Output Area Code,Local Authority Code,Local Authority Name,Region/Country Code,Region/Country Name,Supergroup Code,Supergroup Name,Group Code,Group Name,Subgroup Code,Subgroup Name
E00072563,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00072564,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c2,Migrant Commuters
E00072565,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c1,Migrant Families
E00072566,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c1,Migrant Families
E00072567,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00072568,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c1,Migrant Families
E00072569,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00072570,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c3,Professional Service Cosmopolitans
E00072571,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00072572,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2b,Inner-City Students,2b1,Students and Commuters
E00072573,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2b,Inner-City Students,2b1,Students and Commuters
E00072574,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a1,Student Communal Living
E00072575,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2b,Inner-City Students,2b2,Multicultural Student Neighbourhoods
E00072576,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2b,Inner-City Students,2b1,Students and Commuters
E00072577,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00072578,E06000022,Bath and North East Somerset,E12000009,South West,7,Constrained City Dwellers,7d,Ageing City Dwellers,7d3,Retired Communal City Dwellers
E00072579,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c1,Migrant Families
E00072580,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00072581,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00072582,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c3,Professional Service Cosmopolitans
E00072583,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00072584,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c2,Migrant Commuters
E00072585,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c1,Migrant Families
E00072586,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c1,Migrant Families
E00072587,E06000022,Bath and North East Somerset,E12000009,South West,2,Cosmopolitans,2c,Comfortable Cosmopolitans,2c2,Migrant Commuters
E00072588,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b4,Older Workers and Retirement
E00072589,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00072590,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a3,Detached Retirement Living
E00072591,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00072592,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6b,Semi-Detached Suburbia,6b4,Older Workers and Retirement
E00072593,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00072594,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5a,Urban Professionals and Families,5a1,White Professionals
E00072595,E06000022,Bath and North East Somerset,E12000009,South West,8,Hard-Pressed Living,8d,Migration and Churn,8d2,Hard-Pressed Ethnic Mix
E00072596,E06000022,Bath and North East Somerset,E12000009,South West,1,Rural Residents,1a,Farming Communities,1a2,Established Farming Communities
E00072597,E06000022,Bath and North East Somerset,E12000009,South West,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00072598,E06000022,Bath and North East Somerset,E12000009,South West,6,Suburbanites,6a,Suburban Achievers,6a3,Detached Retirement Living
