URN,LA,ESTAB,LAESTAB,SCHNAME,LOCALITY,TOWN,POSTCODE,TELNUM,ICLOSE,ISNEW,MINORGROUP,NFTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGEL,AGEH,GENDER,SFGENDER,RELDENOM,ADMPOL,NEWACFLAG,TOTPUPSENDN,NORG,NORB,PNORG,PNORB,TSENSAP,TSENA,TOTSENST,TOTSENAP,PSENSAP,PSENA,PTOTSENST,PTOTSENAP,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,TOTPUPFSMDN,NUMFSM,NUMNOFSM,PNUMFSM,PNUMNOFSM,NUMFSMEVER,PNUMFSMEVER,Location 1,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
109062,800,2238,8002238,Chew Magna Primary School,Chew Magna,Bristol,BS40 8RQ,01275 332409,1,false,Maintained School,Community School,true,false,false,4,11,Mixed,3,Does not apply,Not applicable,6,100,54,46,54,46,5,6,,3,5,6,,3,,88,0,,98.9,0,100,,,,,6,6,"Butham Lane
Bristol, Somerset BS40 8RQ",,,,,
109005,800,2158,8002158,Southdown Community Infant School,Southdown,Bath,BA2 1LG,01225 424950,1,false,Maintained School,Community School,true,false,false,3,7,Mixed,3,Does not apply,Not applicable,6,150,74,76,49.3,50.7,26,30,,25,17.3,20,,16.7,4,69,0,5.5,94.5,0,106,38,68,35.799999999999997,64.2,46,43.4,"Mount Road
Bath, Somerset BA2 1LG",,,,,
109306,800,4130,8004130,Chew Valley School,,Bristol,BS40 8QB,01275 332272,1,false,Maintained School,Foundation School,false,true,true,11,18,Mixed,3,,Comprehensive,6,1167,623,544,53.4,46.6,59,88,14,45,5.1,7.5,1.2,3.9,11,,0,0.9,,0,963,56,907,5.8,94.2,118,12.3,"Chew Magna
Bristol, Somerset BS40 8QB",,,,,
108997,800,2150,8002150,Oldfield Park Infant School,,Bath,BA2 3RF,01225 422903,1,false,Maintained School,Community School,true,false,false,5,7,Mixed,3,Does not apply,Not applicable,6,191,90,101,47.1,52.9,12,,3,9,6.3,,1.6,4.7,5,114,0,4.2,95.8,0,191,27,164,14.1,85.9,35,18.3,"Dorset Close
Bath, Somerset BA2 3RF",,,,,
138617,800,3440,8003440,Chew Stoke Church School,Chew Stoke,Bristol,BS40 8UY,01275 332354,1,true,Academy (including Free Schools),Academy - Converter Mainstream,true,false,false,4,11,Mixed,3,Church of England,Not applicable,6,180,97,83,53.9,46.1,3,23,,,1.7,12.8,,,,,0,,,0,180,10,170,5.6,94.4,13,7.2,"School Lane
Bristol, Somerset BS40 8UY",,,,,
133290,800,2000,8002000,St Martin's Garden Primary School,Odd Down,Bath,BA2 2UN,01225 832112,1,false,Maintained School,Community School,true,false,false,3,11,Mixed,3,Does not apply,Not applicable,6,187,84,103,44.9,55.1,35,22,26,9,18.7,11.8,13.9,4.8,29,131,0,18.100000000000001,81.900000000000006,0,187,68,119,36.4,63.6,93,49.7,"Lympsham Green
Bath, Somerset BA2 2UN",,,,,
109000,800,2153,8002153,Moorlands Junior School,,Bath,BA2 2DE,01225 421912,1,false,Maintained School,Community School,true,false,false,7,11,Mixed,3,Does not apply,Not applicable,6,202,104,98,51.5,48.5,11,14,4,7,5.4,6.9,2,3.5,6,196,0,3,97,0,202,14,188,6.9,93.1,37,18.3,"Chantry Mead Road
Bath, Somerset BA2 2DE",,,,,
109001,800,2154,8002154,Moorlands Infant School,,Bath,BA2 2DQ,01225 422556,1,false,Maintained School,Community School,true,false,false,5,7,Mixed,3,Does not apply,Not applicable,6,170,89,81,52.4,47.6,11,7,3,8,6.5,4.1,1.8,4.7,6,106,0,5.4,94.6,0,170,19,151,11.2,88.8,21,12.4,"Moorfields Road
Bath, Somerset BA2 2DQ",,,,,
109004,800,2157,8002157,Southdown Junior School,Southdown,Bath,BA2 1LG,01225 424761,1,false,Maintained School,Community School,true,false,false,7,11,Mixed,3,Does not apply,Not applicable,6,122,60,62,49.2,50.8,15,21,5,10,12.3,17.2,4.1,8.199999999999999,7,115,0,5.7,94.3,0,122,37,85,30.3,69.7,65,53.3,"Mount Road
Bath, Somerset BA2 1LG",,,,,
109006,800,2159,8002159,Oldfield Park Junior School,Twerton,Bath,BA2 2JL,01225 423477,1,false,Maintained School,Community School,true,false,false,7,11,Mixed,3,Does not apply,Not applicable,6,234,118,116,50.4,49.6,19,19,8,11,8.1,8.1,3.4,4.7,13,221,0,5.6,94.4,0,234,35,199,15,85,58,24.8,"Lymore Terrace
Bath, Somerset BA2 2JL",,,,,
