URL,U ID,Public,Derived View,Parent UID,Domain,Type,Name,Description,Visits,Creation Date,Last Update Date (data),Category,Keywords,Downloads,Owner,Contact Email,License,Publication Stage,Published Version Name,Published Version UID,data_provided_by,Additional Attribution Statement,Author Name,Licence URL,routing_approval,api_endpoint,ODI Certificate,Publication Date,Documentation,Additional Licence Information,Update Frequency,Re-user Guidelines,source_link,owner_uid,provenance
https://data.bathhacked.org/d/3jiu-nb4x,3jiu-nb4x,true,false,,data.bathhacked.org,dataset,weather,A wide arrangement of weather statistics from wunderground,3323,08/08/2014 09:27:00 PM +0000,10/14/2014 05:57:00 PM +0000,Environment,weather,68,Toby Jackson,,,published,,,,,,,,https://data.bathhacked.org/resource/3jiu-nb4x.json,,,,,,,,tnwz-gh9e,official
https://data.bathhacked.org/d/x29s-cczc,x29s-cczc,true,false,,data.bathhacked.org,dataset,BANES Historic Car Park Occupancy,"Shows the trend of occupancy of BANES car parks, with data updated every 5 minutes.  Includes full up-to-date data.",10288,10/15/2014 09:19:00 PM +0000,07/17/2019 03:15:00 PM +0000,Government and Society,,374,Dave,,,published,,,Bath and North East Somerset Council,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,https://data.bathhacked.org/resource/x29s-cczc.json,,,https://github.com/BathHacked/documentation/wiki/Bath-Car-Park-Data,UK Open Government Licence V2.0,Other,,,78hi-gya6,official
https://data.bathhacked.org/d/hqr9-djir,hqr9-djir,true,false,,data.bathhacked.org,dataset,"""Live"" Air Quality Sensor Data",Air quality data from sensors across B&NES. Measurements collected at 15-60 min intervals. Data acquired from sensors at 1-4 hour intervals.,4049,08/30/2014 04:40:00 PM +0000,06/03/2019 07:45:00 AM +0000,Environment,air quality,306,Mark Owen,,,published,,,Bath & North East Somerset Council,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,https://data.bathhacked.org/resource/hqr9-djir.json,,,https://github.com/BathHacked/documentation/wiki/Bath-Air-Quality-Sensor-Data,UK Open Government Licence V2.0,Real time,,,kii3-un88,official
https://data.bathhacked.org/d/e46f-mhfs,e46f-mhfs,true,false,,data.bathhacked.org,dataset,"""Live"" BANES Street Level Crime","Updated monthly or quarterly, depending when data.police.uk publish the data.",2199,08/25/2014 09:04:00 AM +0000,06/30/2019 11:00:00 PM +0000,Government and Society,"police,crime",264,jackmcconnell,,,published,,,Police UK,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,https://data.bathhacked.org/resource/e46f-mhfs.json,,,,UK Open Government Licence V2.0,Monthly,,http://data.police.uk,6a3v-3vgw,official
https://data.bathhacked.org/d/svth-xw9a,svth-xw9a,true,false,,data.bathhacked.org,dataset,Historical Nextbike Availability,For City of Bath only. Update interval under initial review.,3420,04/29/2015 02:40:00 PM +0000,02/08/2019 02:15:00 PM +0000,Transport,"transport,cycling,historical",91,Mark Owen,,Open Database License,published,,,Nextbike GMBH,,,,,https://data.bathhacked.org/resource/svth-xw9a.json,,,,,Real time,,https://nextbike.net/maps/nextbike-live.xml?city=236,kii3-un88,official
https://data.bathhacked.org/d/ifh9-xtsp,ifh9-xtsp,true,false,,data.bathhacked.org,dataset,House Price Paid Data - Land Registry,"The price paid for every house sold in BANES since 1995.

Data is the ""Price Paid Data"" from the land registry, filtered to BANES postcodes (as taken from here: https://data.bathhacked.org/Government-and-Society/Bath-North-East-Somerset-Postcodes/vnes-itp9) with lat/longitude added (also from that dataset).",2124,08/28/2014 10:00:00 PM +0000,03/20/2017 12:07:00 AM +0000,Economy,"house price,price paid,land registry,sales,house,pricing,flat,apartment,building,residential",247,thomasfletcher,,,published,,,Land Registry,Data produced by Land Registry © Crown copyright 2014.,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,https://data.bathhacked.org/resource/ifh9-xtsp.json,,,,,,,https://www.gov.uk/about-the-price-paid-data,j2nn-m7j9,official
https://data.bathhacked.org/d/37nn-vnib,37nn-vnib,true,false,,data.bathhacked.org,dataset,Historical Air Quality Sensor Data,Historical readings from B&NES air quality sensors.,1176,08/30/2014 06:24:00 PM +0000,09/20/2014 08:52:00 AM +0000,Environment,air quality,130,Mark Owen,,,published,,,Bath & North East Somerset Council,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,https://data.bathhacked.org/resource/37nn-vnib.json,,,https://github.com/BathHacked/documentation/wiki/Bath-Air-Quality-Sensor-Data,,On change,,,kii3-un88,official
https://data.bathhacked.org/d/tgc7-2htd,tgc7-2htd,true,false,,data.bathhacked.org,dataset,Bath & North East Somerset Food Hygiene Ratings,Data published by BANES under the Food Standards Agency Rating scheme.,923,08/06/2014 06:19:00 PM +0000,07/17/2019 03:00:00 PM +0000,Health,"food,hygiene,location",285,Leigh Dodds,,,published,,,Food Standards Agency,Contains public sector information licensed under the Open Government Licence,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,https://data.bathhacked.org/resource/tgc7-2htd.json,,,,UK Open Government Licence V2.0,,,http://ratings.food.gov.uk/open-data/en-GB,22aw-9kr4,official
https://data.bathhacked.org/d/xdby-kbhf,xdby-kbhf,true,false,,data.bathhacked.org,dataset,Historic Weather August 2014 - Present,Weather data pulled every 24 hours form the Wunderground.com API starting from 1st Aug 2014. This dataset compliments the weather dataset already present in the datastore for pre August 2014.,872,07/04/2015 12:43:00 PM +0000,11/30/2015 11:01:00 PM +0000,Environment,"weather,historic",64,cmusselle,,Public Domain,published,,,,,,,,https://data.bathhacked.org/resource/xdby-kbhf.json,,,,,Daily,,,66xx-7htr,official
https://data.bathhacked.org/d/jiba-iqdn,jiba-iqdn,true,false,,data.bathhacked.org,dataset,Council tax bands by postcode,"Organised by postcode, this dataset contains the total number of properties in that postcode in each of the council tax bands, A-H, plus a mean value(0=A,1=B...) and a centroid value for the postcode",691,08/25/2014 02:00:00 PM +0000,08/25/2014 02:00:00 PM +0000,Government and Society,"council tax,postcode,property",84,evilnick,,,published,,,,,Nick Veitch,,,https://data.bathhacked.org/resource/jiba-iqdn.json,,25/08/2014,,,On change,,,9ijd-kx9b,official
