incident_number,datetime,ward,location,incident_category,type_0,type_1,type_2,type_3,x_coordinate,y_coordinate,unitary_authority,origin_of_call,property_category,property_type,is_primary_fire,cause_of_fire,is_property_derelict,is_property_occupied_at_the_incident,property_normally_occupied,is_fire_confined_to_chimney,how_fire_was_discovered,main_cause_of_fire,ignition_source,ignition_source_powered,item_first_damaged,item_responsible_for_spread_of_fire,main_action_by_other_than_frs,main_action_by_frs,special_service_type,road_traffic_collision,false_alarm_reason,victims_involved,were_alarm_systems_present,no_of_fatalities,no_of_fire_fatalities,no_of_injuries,no_of_rescues,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
020194-05012010,01/05/2010 08:47:06 AM +0000,TIMSBURY,"(51.33365706022013, -2.4678909710962382)",Special Service,Road Vehicle,Car,,,367***,159***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Advice only",yes,,no,,,,,,14,456,16,1,88
003172-24052012,05/24/2012 07:02:32 PM +0000,WIDCOMBE,"(51.37897302091154, -2.367775587009803)",Special Service,Road Vehicle,Car,,,374***,164***,BANES,Police,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Wash down road",yes,,no,,,,,,33,561,12,1,109
021146-28012011,01/28/2011 08:40:18 AM +0000,LANSDOWN,"(51.40594735299272, -2.3679920774306797)",Special Service,Road Vehicle,Car,,,374***,167***,BANES,Ambulance,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,no,,,,,,1,47,10,1,25
006161-08072012,07/08/2012 09:10:07 AM +0000,BATHAVON NORTH,"(51.432965888870484, -2.3538241360510432)",Special Service,Road Vehicle,Car,,,375***,170***,BANES,Other,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Make scene safe",yes,,no,,,,,,1,34,10,1,25
001684-23042011,04/23/2011 07:33:33 AM +0000,RADSTOCK,"(51.29790637945803, -2.410155633110949)",Special Service,Road Vehicle,Car,,,371***,155***,BANES,Police,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,no,,,,,,,,,,
013272-18102012,10/18/2012 03:46:45 PM +0000,PAULTON,"(51.31561598539284, -2.482055765610228)",Special Service,Road Vehicle,Car,,,366***,157***,BANES,Ambulance,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Stand by - no action",yes,,no,,,,,,13,581,23,1,69
005427-12062011,06/12/2011 11:26:56 AM +0000,KEYNSHAM EAST,"(51.42351213188684, -2.483190683495366)",False Alarm,Road Vehicle,Car,,,366***,169***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,,,Malicious False Alarm > By phone,no,,,,,,,,,,
011931-11092011,09/11/2011 11:31:38 AM +0000,HIGH LITTLETON,"(51.306439443621606, -2.524996338787209)",Fire,Road Vehicle,Car,,,363***,156***,BANES,Other FRS,RoadVehicle,Road Vehicle > Car,no,Accidental,yes,,,,,,,,,,,,,no,,no,,,,,,3,136,23,1,43
010022-02092012,09/02/2012 10:27:12 AM +0000,BATHAVON SOUTH,"(51.31593885995659, -2.3959680031762214)",Special Service,Road Vehicle,Car,,,372***,157***,BANES,Ambulance,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Extrication of person/s",yes,,yes,,0,0,1,0,10,60,10,1,114
011968-28092012,09/28/2012 05:28:57 PM +0000,ABBEY,"(51.37901726536445, -2.353407734154723)",Special Service,Road Vehicle,Car,,,375***,164***,BANES,Person (land line),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Effecting entry/exit, For child",no,,yes,,0,0,0,1,33,564,12,1,111
021056-20022013,02/20/2013 07:30:39 AM +0000,CLUTTON,"(51.37823754380124, -2.55455375049904)",Special Service,Road Vehicle,Car,,,361***,164***,BANES,Ambulance,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,no,,,,,,7,399,20,1,74
017040-24122013,12/24/2013 09:41:37 AM +0000,BATHAVON SOUTH,"(51.34321039540982, -2.295704086567169)",Special Service,Road Vehicle,Car,,,379***,160***,BANES,Police,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Flooding, Make safe",no,,no,,,,,,,,,,
006669-27062009,06/27/2009 02:34:48 PM +0000,WESTMORELAND,"(51.38791845815606, -2.382218344259114)",Special Service,Road Vehicle,Car,,,373***,165***,BANES,Police,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Spills and Leaks (not RTC), Vehicle leaking fuel",no,,no,,,,,,34,202,9,1,54
003729-03062014,06/03/2014 04:07:22 PM +0000,FARMBOROUGH,"(51.35158159181407, -2.482433289425764)",Special Service,Road Vehicle,Car,,,366***,161***,BANES,Police,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Extrication of person/s",yes,,yes,,0,0,0,1,8,130,16,1,40
009716-07082009,08/07/2009 09:03:26 PM +0000,RADSTOCK,"(51.30673916726836, -2.453271372538797)",Special Service,Road Vehicle,Car,,,368***,156***,BANES,Person (land line),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,yes,,0,0,1,0,9,63,22,1,28
008343-20072009,07/20/2009 12:17:07 PM +0000,KINGSMEAD,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Other Residential,Other Residential Home,,375***,165***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Other Residential Home,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,36,498,6,1,96
010922-23082009,08/23/2009 06:55:10 PM +0000,MIDSOMER NORTON REDFIELD,"(51.288641633358864, -2.4817731342852936)",Special Service,Road Vehicle,Multiple Vehicles,,,366***,154***,BANES,Police,RoadVehicle,Road Vehicle > Multiple Vehicles,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,yes,,0,0,1,0,11,283,25,1,11
000672-10042009,04/10/2009 11:53:58 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Other Residential,Hotel/motel,,375***,165***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Hotel/motel,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,36,498,6,1,96
012537-15092009,09/15/2009 07:59:48 AM +0000,PUBLOW AND WHITCHURCH,"(51.39628716226844, -2.5403983721885304)",Special Service,Road Vehicle,Car,,,362***,166***,BANES,Ambulance,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,no,,,,,,8,122,16,1,41
010159-12082009,08/12/2009 11:29:12 PM +0000,TIMSBURY,"(51.32460740802742, -2.4821500734210686)",False Alarm,Building,Other Residential,Residential Home,Nursing/Care,366***,158***,BANES,Person (land line),OtherResidential,Building > Other Residential > Residential Home > Nursing/Care,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,14,454,16,1,88
008164-17072009,07/17/2009 04:30:21 PM +0000,WALCOT,"(51.39700019568331, -2.3535463911730448)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,4 to 9 storeys,375***,166***,BANES,Person (land line),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > 4 to 9 storeys,,,,,,,,,,,,,,,,,Malicious False Alarm > By phone,no,,,,,,36,500,6,1,93
012340-12092009,09/12/2009 09:42:51 PM +0000,CHEW VALLEY NORTH,"(51.350977875603, -2.6116626055156495)",False Alarm,Building,Non Residential,Food and Drink,Other Restaurant/cafe - (licensed for sale of alcohol),357***,161***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Food and Drink > Other Restaurant/cafe - (licensed for sale of alcohol),,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,6,79,21,1,31
004523-01062009,06/01/2009 12:58:52 PM +0000,WIDCOMBE,"(51.37006824855398, -2.3389733848583596)",False Alarm,Outdoor,Outdoor structures,Refuse/rubbish tip,,376***,163***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor structures > Refuse/rubbish tip,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,,33,558,12,1,110
001695-23042009,04/23/2009 12:20:32 AM +0000,KINGSMEAD,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Retail,Single shop,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,36,498,6,1,96
