CaseReference,CaseDate,TradingAs,LocationText,Status,StartDate,EndDate,DecisionDate,NoOfDogs,NoOfCats,MaximumOccupants,ConstructionOfEnclosures,SizeOfEnclosures,HeatingAndVentilation,Lighting,WaterSupply,FoodStorage,DisposalOfExcreta,ExerciseFacilities,IsolationFacilitiesForIDControl,LicenceURL
14/00059/ANBD,11/05/2013 12:00:00 AM,My Dog Sitter,"23 Martock Road, Keynsham, Bristol, BS31 1XA",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,12/24/2013 12:00:00 AM,9,0,9,"This is a four bed detached private dwelling with an enclosed secured garden with standard ventilation, central heating, lighting, power and water supply.","This is a four bed detached private dwelling with an enclosed secured garden with standard ventilation, central heating, lighting, power and water supply.","This is a four bed detached private dwelling with an enclosed secured garden with standard ventilation, central heating, lighting, power and water supply.","This is a four bed detached private dwelling with an enclosed secured garden with standard ventilation, central heating, lighting, power and water supply.",Domestic Supply,Kept in Kitchen,As per domestic arrangements during walks - Dog Bins,"Garden, daily walks to fields and woods",Remove to veterinary service or specialist kennelling,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00059/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00059/ANBD
14/00061/ANBD,11/06/2013 12:00:00 AM,Top Cat Hotel,"Old School House, Kelston, Bath, BA1 9AG",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,12/24/2013 12:00:00 AM,,,40,"Wood, Wire, Plastic",3 x 6 x 9,BothNATURAL VENTILATION,Natural and Electric Lighting,Mains,Yes,Collected by Sita,Runs,Taken to Vets - Vet pens in separate building,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00061/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00061/ANBD
14/00081/ANBD,10/28/2013 12:00:00 AM,Hogwood Lodge,"Bath Road, Hinton Charterhouse, BA2 7SE",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,11/21/2013 12:00:00 AM,0,82,82,Timber and Mesh,Cabin:  4' x 4'  Run:  6' x 4',Infra red heat lamps thermostatically controlled - Outdoor pens for ventilation,Electric,Mains supply,Cat kitchen - All tins on shelving  - All dry foods in rodent proof dustbins,PHS Allclear Ltd,4' x 6' run,Full size pen - same standard as others - cabin and run - heating and lighting,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00081/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00081/ANBD
14/00082/ANBD,10/11/2013 12:00:00 AM,Heather's Petcare,"14A Down Lane, Bathampton, Bath, BA2 6UE",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,11/15/2013 12:00:00 AM,6,0,6,n/a,House,Gas central heating. Windows.,Natural - Windows. Artificial - Electric Mains.,Mains,Separate dog cupboards.,Bagged and taken to local refuse centre.,2-3 walks per day plus fully enclosed rear garden.,Crates/Stairgates,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00082/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00082/ANBD
14/00083/ANBD,11/18/2013 12:00:00 AM,Camerton Cattery,"Woodleigh, Whitebrook Lane, Peasedown St. John, BA2 8LD",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,12/04/2013 12:00:00 AM,0,40,40,UPVC and insulated. Galvanised mesh to run area and service corridor,Sizes according to enclosed plan,400 Watt panel heater - Safety wall mounted.,Ceiling mounted strip lighting,Not in Pens - outside tap,"Kitchen area with work tops, sink cupboards, freezer.  Used only for preparing animal food.",Incinerated,Pens have runs,Single pen in building adjoining house.,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00083/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00083/ANBD
14/00084/ANBD,10/11/2013 12:00:00 AM,Mannings Mead Cattery,"Queen Charlton Lane, Whitchurch, Bristol, Bath And North East Somerset, BS14 0QP",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,12/27/2013 12:00:00 AM,,,90,Timber,From 4.5 square metres to 11 square metres,Heated beds and heated lampsWindows and doors for ventilation,Windows for natural light and electric heating,Yes,Separate store room,Licensed waste contractor (SITA),Every pen has a run,4 isolation pens separate from main cattery,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00084/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00084/ANBD
14/00085/ANBD,10/21/2013 12:00:00 AM,Overhill Kennels & Export,"Norton Malreward, Pensford, Bristol, BS39 4EY",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,11/06/2013 12:00:00 AM,,,140,Breeze block & Weld mesh,Various,Infra red lamps or heat reflective bedding.  Wire ventilation at all windows.,Natural & Electric Lighting,Mains,Deep freeze &  Biscuit bins,Incinerator exclusively for this use.,Exercise runs on all enclosures,A Veterinary room (in a separate block to all the kennels) fitted with an isolation crate.,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00085/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00085/ANBD
14/00086/ANBD,10/25/2013 12:00:00 AM,Honeysuckle Farm,"Perrymead, Lyncombe, Bath, BA2 5AU",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,11/14/2013 12:00:00 AM,0,70,70,Wood and wire mesh,3' x 9' to 5' x 13',Heat pads in beds and insulation of pens and natural ventilation,Lights in and out of pens and good natural light,Mains,Fridge and freezer and airtight containers for dry food and shelving for tins,Weekly collection by Greenacre recycling,All pens have runs for cats,Pens in stable block at other side of parking area,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00086/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00086/ANBD
14/00063/ANBD,11/27/2013 12:00:00 AM,Bath Catteries,"Rose Cottage, 27 Newton St Loe, Bath, BA2 9BY",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,12/27/2013 12:00:00 AM,,,20,WOODEN CONSTRUCTIONS,6' x 6'       9' x 3'      5' x 3',INFRA RED LAMPS - HEATING MATS,NATURAL LIGHT,SUPPLY ATTACHED TO HOUSE,PLASTIC STORAGE BINS,BIO DEGRADEABLE CAT LITTER,OUTDOOR RUNS  - SOME INTERNAL RUNS,"ROOM IN OWN HOUSE - TAKEN TO VETERINARY CENTRE IF SERIOUS, BUT, REMOVED AWAY FROM CATTERY AREA ALTOGETHER",http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00063/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00063/ANBD
14/02886/ANBD,05/02/2014 12:00:00 AM,Feathers & Furs Pet Services,"Ivy Cottage, 4 Chapel Barton, High Littleton, Bristol, BS39 6HS",Licence Issued,06/11/2014 12:00:00 AM,12/31/2014 12:00:00 AM,06/11/2014 12:00:00 AM,2,0,2,n/a,n/a,Residential Property,Residential Property,As and when needed.  Residential Property,Residential Property,As with own dog - Pooh bag and bin it.,Residential Property.  Will walk as my own.,n/a,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/02886/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/02886/ANBD
14/00066/ANBD,11/11/2013 12:00:00 AM,RSPCA Cats And Dogs Home,"The Avenue , Claverton Down, Bath, BA2 7AZ",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,12/27/2013 12:00:00 AM,,,307,Brick/concrete,Various,Gas and oil heating; natural ventilation,Natural and electric lighting,Mains,Food storage room,SEWAGE TREATMENT SYSTEM ON SITE - HAZARDOUS WASTE COLLECTIONS WEEKLY,VARIOUS PADDOCKS  RUNS,SEPARATE ISOLATION KENNELS  CATTERIES,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00066/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00066/ANBD
14/00067/ANBD,10/25/2013 12:00:00 AM,Hyver Kennels,"Upper Midford, Bath, BA2 7EJ",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,12/18/2013 12:00:00 AM,,,40,STONE,6' x 4',INFRA LAMPS NATURAL,NATURAL & ARTIFICIAL LIGHTING,MAINS WATER,DRY FOOD TINNED,INCINERATED,GRASS PADDOCKS CONCRETE RUNS,SEPARATE KENNEL FACILITIES,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00067/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00067/ANBD
14/00068/ANBD,10/25/2013 12:00:00 AM,Lodge Boarding Cattery,"1 St Clements Road, Keynsham, Bristol, BS31 1AF",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,12/18/2013 12:00:00 AM,,,48,"Concrete block, wood and wire mesh",Houses:  4' x 4' x 6'Runs: 4' x 6' x 6',"Salamander infra red heaters, opening windows & doors",Both natual and artifical lighting,Mains,Food stored in separate kitchen,Sealed bags to tip,Separate runs to each enclosure 6' x 6' x 4',Two isolation enclosures and runs,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00068/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00068/ANBD
14/00070/ANBD,10/11/2013 12:00:00 AM,Barking Mad,"400 Bath Road, Saltford, BS31 3DQ",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,11/15/2013 12:00:00 AM,2,0,2,n/a,n/a,All used in home.,All used in home.,All used in home.,n/a,Double bagged or dog bins.,Will be walked in local fields.,n/a,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00070/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00070/ANBD
14/00072/ANBD,11/25/2013 12:00:00 AM,Cleracres Cattery,"25 Woollard Lane, Whitchurch, Bristol, BS14 0QT",Licence Issued,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,12/27/2013 12:00:00 AM,,,125,Timber Chalets with External covered runs & alterations to garage to provide cat kitchen and office,Total Size 15' X 5',Infra Red Lamps,Natural & Artificial,Mains,Storage Sheds,Private Collection,Covered External Runs 10' X 5',Detached Chalet,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='14/00072/ANBD'&SearchLayer=LIApplications&SearchField=refval&SearchValue=14/00072/ANBD
