Title,ContactType,MonthNumber,Count
Change of Address - Moving Out,Personal Visit,1,1
Change of Address - Moving Out,Telephone,1,49
Change of Address - Moving Within,Email,1,1
Change of Address - Moving Within,Internet,1,2
Change of Address - Moving Within,Letter,1,1
Change of Address - Moving Within,Personal Visit,1,1
Change of Address - Moving Within,Telephone,1,58
"Complaints, Compliments, Suggestions",Email,1,79
"Complaints, Compliments, Suggestions",Internet,1,5
"Complaints, Compliments, Suggestions",Letter,1,6
"Complaints, Compliments, Suggestions",Personal Visit,1,3
"Complaints, Compliments, Suggestions",Telephone,1,49
Highways Drainage and Flooding,Email,1,120
Highways Drainage and Flooding,Internet,1,5
Highways Drainage and Flooding,Letter,1,2
Highways Drainage and Flooding,Personal Visit,1,19
Highways Drainage and Flooding,Telephone,1,260
Highways Drainage and Flooding,Twitter,1,2
Highways Engineering Design Group,Email,1,4
Highways Engineering Design Group,Personal Visit,1,1
Highways Engineering Design Group,Telephone,1,6
Highways Gritting,Email,1,6
Highways Gritting,Internet,1,1
Highways Gritting,Personal Visit,1,2
Highways Gritting,Telephone,1,35
Highways Hazard or Obstruction,Email,1,7
Highways Hazard or Obstruction,Personal Visit,1,2
Highways Hazard or Obstruction,Telephone,1,38
Highways Hazard or Obstruction,Twitter,1,2
Highways Licences,Email,1,6
Highways Licences,Telephone,1,6
Highways Licences,Twitter,1,1
Highways Maintenance of Roads and Pavements,Email,1,84
Highways Maintenance of Roads and Pavements,Internet,1,2
Highways Maintenance of Roads and Pavements,Personal Visit,1,19
Highways Maintenance of Roads and Pavements,Telephone,1,139
Highways Maintenance of Roads and Pavements,Twitter,1,4
Highways Potholes,Email,1,180
Highways Potholes,Internet,1,6
Highways Potholes,Personal Visit,1,8
Highways Potholes,Telephone,1,189
Highways Potholes,Twitter,1,2
Highways Roadworks and Schemes,Email,1,21
Highways Roadworks and Schemes,Personal Visit,1,1
Highways Roadworks and Schemes,Telephone,1,32
Highways Roadworks and Schemes,Twitter,1,1
Highways Street Lighting,Email,1,57
Highways Street Lighting,Fax,1,2
Highways Street Lighting,Internet,1,7
Highways Street Lighting,Letter,1,1
Highways Street Lighting,Personal Visit,1,10
Highways Street Lighting,Telephone,1,137
Highways Street Lighting,Twitter,1,1
Highways Traffic Signals,Email,1,7
Highways Traffic Signals,Internet,1,2
Highways Traffic Signals,Personal Visit,1,8
Highways Traffic Signals,Telephone,1,11
Highways Vegetation,Email,1,8
Highways Vegetation,Internet,1,1
Highways Vegetation,Personal Visit,1,5
Highways Vegetation,Telephone,1,39
Highways Vegetation,Twitter,1,2
Library Services,Email,1,12
Library Services,Internet,1,1
Library Services,Telephone,1,61
Neighbourhoods Cleansing,Email,1,124
Neighbourhoods Cleansing,Internet,1,5
Neighbourhoods Cleansing,Letter,1,1
Neighbourhoods Cleansing,Personal Visit,1,38
Neighbourhoods Cleansing,Telephone,1,328
Neighbourhoods Cleansing,Twitter,1,5
Neighbourhoods Cleansing Enforcement,Email,1,67
Neighbourhoods Cleansing Enforcement,Internet,1,4
Neighbourhoods Cleansing Enforcement,Letter,1,1
Neighbourhoods Cleansing Enforcement,Personal Visit,1,13
Neighbourhoods Cleansing Enforcement,Telephone,1,114
Neighbourhoods Parks and Grounds,Email,1,28
Neighbourhoods Parks and Grounds,Internet,1,2
Neighbourhoods Parks and Grounds,Personal Visit,1,4
Neighbourhoods Parks and Grounds,Telephone,1,44
Neighbourhoods Parks and Grounds,Twitter,1,1
Public Transport,Email,1,3
Public Transport,Personal Visit,1,3
Public Transport,Telephone,1,25
Public Transport,Twitter,1,1
Traffic and Safety,Email,1,38
Traffic and Safety,Personal Visit,1,2
Traffic and Safety,Telephone,1,52
Traffic and Safety,Twitter,1,2
Waste Services Clinical Waste,Email,1,11
Waste Services Clinical Waste,Personal Visit,1,4
Waste Services Clinical Waste,Telephone,1,205
Waste Services Container Request,Email,1,566
Waste Services Container Request,Internet,1,6
Waste Services Container Request,Personal Visit,1,138
Waste Services Container Request,Telephone,1,782
Waste Services Container Request,Twitter,1,1
Waste Services Garden Waste Start Up,Email,1,2
Waste Services Garden Waste Start Up,Personal Visit,1,17
Waste Services Garden Waste Start Up,Telephone,1,68
Waste Services General Enquiry,Email,1,11
Waste Services General Enquiry,Internet,1,1
Waste Services General Enquiry,Letter,1,1
Waste Services General Enquiry,Personal Visit,1,6
Waste Services General Enquiry,Telephone,1,79
Waste Services General Enquiry,Twitter,1,4
Waste Services Sacks Order,Email,1,2
Waste Services Sacks Order,Personal Visit,1,1
Change of Address - Moving Out,Email,2,1
Change of Address - Moving Out,Personal Visit,2,5
Change of Address - Moving Out,Telephone,2,18
Change of Address - Moving Within,Personal Visit,2,6
Change of Address - Moving Within,Telephone,2,32
"Complaints, Compliments, Suggestions",Email,2,102
"Complaints, Compliments, Suggestions",Internet,2,4
"Complaints, Compliments, Suggestions",Letter,2,12
"Complaints, Compliments, Suggestions",Personal Visit,2,5
"Complaints, Compliments, Suggestions",Telephone,2,38
Highways Drainage and Flooding,Email,2,78
Highways Drainage and Flooding,Internet,2,6
