AADFYear,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles,id,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
2010,16389,South West,Bath and North East Somerset,A39,PR,364800,160000,B3115,A368,3.5,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,176caf94df07c419bbeb462d326bdaa1eb3e3d84,"(51.338, -2.5067)",8,40,126,16,1
2003,7128,South West,Bath and North East Somerset,A367,PU,374700,164540,Avon St,A4,0.7,0.43,118,263,7865,246,680,85,2,4,4,0,1,96,9150,3a4c90001c4365be10eae533fc72a9a8e4c81246,"(51.37935, -2.36491)",34,55,196,9,1
2000,6133,South West,Bath and North East Somerset,A4,PU,375000,165200,Broad St,A3039,0.5,0.31,209,301,13528,88,1650,334,14,6,3,0,4,361,15928,cda9f709e82b51a7aafbaf1749900d1cc49553c7,"(51.3853, -2.36064)",35,20,7,7,1
2000,6134,South West,Bath and North East Somerset,A4,PR,365000,169290,A4174/A4175,B3116,2.8,1.73,53,405,18003,192,2678,773,118,57,64,164,116,1292,22570,5cdd4609b6313d95f5d25c0ddd1b286c89fded9e,"(51.42154, -2.50474)",24,49,171,1,1
2000,6382,South West,Bath and North East Somerset,A37,PR,361700,165000,B3130,Staunton Lane,3.2,1.98,20,236,10903,85,1779,537,61,53,49,171,237,1108,14111,30491dd47cb13af00484125f204cb67101ebc6bb,"(51.38275, -2.55174)",7,74,399,20,1
2000,6990,South West,Bath and North East Somerset,A36,PU,375300,164240,A367 roundabout,A3062 roundabout,0.5,0.31,176,428,23337,341,2442,689,86,26,55,128,123,1107,27655,0903528fee16f15f18165ba243850bf256530910,"(51.37668, -2.35627)",33,109,567,12,1
2000,7128,South West,Bath and North East Somerset,A367,PU,374700,164540,Avon St,A4,0.7,0.43,93,153,8096,644,713,112,3,1,2,2,5,125,9731,43a68c2ef9b269f26c023f7924985171259aea8b,"(51.37935, -2.36491)",34,55,196,9,1
2000,7937,South West,Bath and North East Somerset,A4,PR,372000,165640,Broadway,Old Newbridge Hill,0.4,0.24,70,307,17107,255,1897,210,9,5,6,11,5,246,19812,d9cede61d2aa4294a0eab05f0deaac444d0dff2b,"(51.3891, -2.40378)",29,18,313,8,1
2000,8116,South West,Bath and North East Somerset,A362,PU,366000,154970,B3355,B3355,1.5,0.93,29,120,6316,89,871,121,25,10,4,23,29,212,7608,d0434f6d0d4167e1301d48f948ab7e9aa0c908e6,"(51.29284, -2.48899)",11,10,280,25,1
2000,8292,South West,Bath and North East Somerset,A36,PU,375619,165276,Darlington St,Beckford Rd,0.2,0.12,178,185,12087,354,1652,739,76,30,45,55,75,1020,15298,e49bbc2c5b3e881107d25352b161bf8d14933429,"(51.38601, -2.35175)",35,21,24,7,1
