Year,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles,id,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
2000,6990,South West,Bath and North East Somerset,A36,PU,375300,164240,A367 roundabout,A3062 roundabout,0.31,20,49,2646,39,277,78,10,3,6,15,14,126,3136,0903528fee16f15f18165ba243850bf256530910,"(51.37668, -2.35627)",33,109,567,12,1
2000,7128,South West,Bath and North East Somerset,A367,PU,374700,164540,Avon St,A4,0.43,15,24,1285,102,113,18,0,0,0,0,1,20,1545,43a68c2ef9b269f26c023f7924985171259aea8b,"(51.37935, -2.36491)",34,55,196,9,1
2000,7937,South West,Bath and North East Somerset,A4,PR,372000,165640,Broadway,Old Newbridge Hill,0.24,6,28,1552,23,172,19,1,0,1,1,0,22,1797,d9cede61d2aa4294a0eab05f0deaac444d0dff2b,"(51.3891, -2.40378)",29,18,313,8,1
2000,8116,South West,Bath and North East Somerset,A362,PU,366000,154970,B3355,B3355,0.93,10,41,2149,30,296,41,9,3,1,8,10,72,2588,d0434f6d0d4167e1301d48f948ab7e9aa0c908e6,"(51.29284, -2.48899)",11,10,280,25,1
2000,8292,South West,Bath and North East Somerset,A36,PU,375619,165276,Darlington St,Beckford Rd,0.12,8,8,548,16,75,34,3,1,2,2,3,46,694,e49bbc2c5b3e881107d25352b161bf8d14933429,"(51.38601, -2.35175)",35,21,24,7,1
2000,16122,South West,Bath and North East Somerset,A36,PR,372200,165000,A4(T),Connection Rd,0.93,16,78,3901,60,572,156,20,13,18,31,48,285,4895,14626fbaa3559313728dbbe7e5b347dc3a4b80f1,"(51.38336, -2.40086)",28,92,478,11,1
2000,16354,South West,Bath and North East Somerset,A37,PR,361900,160000,A39,A368,3.54,3,215,12078,151,1937,624,102,57,88,297,252,1421,15801,1fbc6eb7740639e4fb093475bca314cd4053d1f8,"(51.33781, -2.54832)",5,34,95,20,1
2000,6133,South West,Bath and North East Somerset,A4,PU,375000,165200,Broad St,A3039,0.31,24,34,1534,10,187,38,2,1,0,0,0,41,1806,cda9f709e82b51a7aafbaf1749900d1cc49553c7,"(51.3853, -2.36064)",35,20,7,7,1
2000,6134,South West,Bath and North East Somerset,A4,PR,365000,169290,A4174/A4175,B3116,1.73,34,257,11433,122,1701,491,75,36,41,104,74,820,14333,5cdd4609b6313d95f5d25c0ddd1b286c89fded9e,"(51.42154, -2.50474)",24,49,171,1,1
2000,6382,South West,Bath and North East Somerset,A37,PR,361700,165000,B3130,Staunton Lane,1.98,15,171,7913,62,1291,390,44,38,36,124,172,804,10241,30491dd47cb13af00484125f204cb67101ebc6bb,"(51.38275, -2.55174)",7,74,399,20,1
2002,46389,South West,Bath and North East Somerset,A37,PR,362930,156000,A362,A39,0.86,3,62,4351,41,689,205,40,17,20,41,98,422,5564,e0468e395bbf78ef54c5867a3ffe85c61cea213a,"(51.30191, -2.53312)",3,43,131,23,1
2005,47897,South West,Bath and North East Somerset,A3604,PU,373580,165000,A4,A36,0.18,6,6,892,10,174,20,2,5,0,0,1,29,1110,b64fff6d2969f2dafd5a077f69efafb6adbb1cc3,"(51.38344, -2.38103)",32,103,538,13,1
2008,27026,South West,Bath and North East Somerset,A368,PR,360000,161000,B3114,A37,5.59,29,125,9918,100,1204,233,43,16,6,10,22,331,11678,8c58d54480d28ae04181855bd9787fade299bdfd,"(51.34667, -2.57571)",6,31,79,21,1
2000,16389,South West,Bath and North East Somerset,A39,PR,364800,160000,B3115,A368,2.17,18,59,6006,46,854,140,26,8,4,20,19,217,7182,6414c645b5ee856e3a153ae2814ab192f3f3a669,"(51.338, -2.5067)",8,40,126,16,1
2000,16957,South West,Bath and North East Somerset,A367,PR,372050,160820,B3115,Sulis Manor Rd roundabout,1.05,17,118,5618,93,645,107,17,20,3,16,14,178,6652,0c75d06bd3e537374c17416e51ed46c7879f26f6,"(51.34577, -2.40269)",9,28,67,22,1
2000,17552,South West,Bath and North East Somerset,A3062,PU,375630,164000,A36 roundabout,North Rd/The Avenue,1.05,17,37,1747,51,141,14,1,0,0,0,0,16,1992,ee56d12c4a739f0a20d2f4ff2bd306ae9e772c4c,"(51.37453, -2.35151)",33,110,574,12,1
2000,17920,South West,Bath and North East Somerset,A36,PU,375440,165500,Beckford Rd,A4,0.31,27,38,1954,27,208,86,14,6,14,22,25,166,2393,1da40e874b2222a1343c3db99db29b5ddd3ed69a,"(51.388, -2.35434)",35,21,19,7,1
2000,18277,South West,Bath and North East Somerset,A4,PU,375010,165130,Saracen St,George St,0.06,1,2,119,7,17,3,0,0,0,0,0,4,149,f9b1979d1d935aa7f1eb5c87288c374f634b0f53,"(51.38467, -2.3605)",35,20,7,7,1
2000,26126,South West,Bath and North East Somerset,A4,PU,376000,166200,A36,A46,1.24,77,197,10648,241,1213,311,46,80,59,91,77,663,12962,2b34451cfe8ec80b6941f7c60b163a27881847c6,"(51.39432, -2.34634)",36,95,490,4,1
2000,26127,South West,Bath and North East Somerset,A4,PR,370000,165500,B3116,A39,3.1,52,518,22353,323,3007,645,84,40,67,126,92,1053,27256,6692655cf5242e03601d4246f6adbb5ae253b8b7,"(51.38774, -2.43252)",9,28,68,22,1
2000,26381,South West,Bath and North East Somerset,A36,TU,376000,165451,Sydney Rd/Beckford Rd,"Hantone Hill, Bathampton",1.18,20,43,5069,94,485,164,25,8,33,71,75,375,6066,857de72d16560a00935c66ec658b14918fbaee65,"(51.3876, -2.34629)",22,30,72,12,1
2000,26417,South West,Bath and North East Somerset,A39,PR,363500,157000,A37,B3355,0.62,3,19,1142,7,158,57,10,8,3,8,10,96,1423,3ab477cf2e3b28ad78d867cab931288f9bec6c78,"(51.31094, -2.52505)",3,43,136,23,1
2000,27024,South West,Bath and North East Somerset,A36,PU,375640,165000,A3062 roundabout,Sydney Place,0.68,26,69,4935,77,587,139,22,12,13,25,27,239,5907,cd25e932e90ac97156e0af95622105ad4c43bd0f,"(51.38353, -2.35143)",35,21,3,7,1
2000,27025,South West,Bath and North East Somerset,A367,PU,368000,154500,LA boundary,A362,1.61,46,122,5841,109,925,170,27,21,16,33,20,288,7284,3d35aee8132719174474c47404a1c1c41f8e067f,"(51.28874, -2.46026)",26,99,507,26,1
2000,27026,South West,Bath and North East Somerset,A368,PR,360000,161000,B3114,A37,5.59,33,131,7687,96,1408,180,29,4,12,12,20,257,9579,fc7bdb88d77e34ddffb3abd2cde22e075e25915a,"(51.34667, -2.57571)",6,31,79,21,1
2000,27156,South West,Bath and North East Somerset,A4,PU,374000,165200,A3604,A367,0.68,44,74,3655,159,534,90,2,7,1,1,0,100,4522,7924834c2279be94a441b56e428e0a24071cf457,"(51.38525, -2.37502)",34,115,205,9,1
2000,27638,South West,Bath and North East Somerset,A3062,PU,375000,162260,A367,The Avenue/Ralph Allen Drive,1.49,58,69,5587,158,588,65,3,0,1,0,0,69,6472,6b278dd397e9c8148cbd221642d90f67adf1e0a7,"(51.35886, -2.36044)",19,36,121,18,1
2000,28320,South West,Bath and North East Somerset,A36,PU,375783,165443,Bathwick St,Warminster Rd,0.31,22,15,918,23,123,34,9,5,1,10,57,115,1195,1e7224eb9c92d668f58c8f14b82605cf3ffd3c09,"(51.38752, -2.34941)",36,96,499,6,1
2000,36131,South West,Bath and North East Somerset,A4,PU,374700,165000,A367,Broad St,0.37,26,40,1135,24,212,31,3,2,0,0,0,36,1447,ac1fdfe9d192179501acd37406f2db7a4a457c7c,"(51.38349, -2.36494)",34,55,193,9,1
2000,36389,South West,Bath and North East Somerset,A37,PR,361770,164000,A368,B3130,1.98,6,175,7498,64,1221,339,39,22,41,168,118,727,9685,ad89c45d4153ecb138190d41826e7d7601a008a4,"(51.37376, -2.55062)",7,74,399,20,1
2000,36423,South West,Bath and North East Somerset,A39,PR,370000,165300,A368,A4,3.72,49,114,13045,101,1295,310,53,16,10,39,29,457,15012,592b09e7138868916a97028ef25943edf76962a4,"(51.38594, -2.4325)",9,28,68,22,1
2000,37050,South West,Bath and North East Somerset,A367,PU,374800,164300,A3062,A36/A3064 roundabout,1.86,33,139,10684,584,1017,207,27,16,16,23,15,303,12728,3ebf4da9749c4d77340afce0616f2d3e77016f82,"(51.3772, -2.36345)",33,109,,12,1
2000,38015,South West,Bath and North East Somerset,A3039,PU,375085,164955,Dorchester St,Broad St,0.55,67,41,2524,179,282,43,2,1,1,0,0,47,3073,db0c5c385ed564f2b553beedfb30300e5ec89bca,"(51.3831, -2.35941)",35,20,11,7,1
2000,38606,South West,Bath and North East Somerset,A363,PR,379280,165000,LA Boundary,Bathford Hill,1.92,23,78,3249,14,508,121,16,4,7,13,46,206,4055,47d20714a836def20e83e5ea77dae3138a07815a,"(51.38367, -2.29912)",1,24,45,10,1
2000,46133,South West,Bath and North East Somerset,A4,PR,371000,165500,A39,A36,0.86,25,143,6876,128,817,334,33,13,21,34,37,472,8435,b68dc4374dc524521afd71dc02a66346b335b275,"(51.3878, -2.41814)",9,28,68,22,1
2000,46389,South West,Bath and North East Somerset,A37,PR,362930,156000,A362,A39,0.86,3,73,4263,48,665,285,36,16,18,64,88,506,5555,57db8676673ca8bff892078c4cd81c904277c9f3,"(51.30191, -2.53312)",3,43,131,23,1
2000,46421,South West,Bath and North East Somerset,A39,PR,364000,157500,B3355,B3115,1.73,8,95,4933,62,760,137,32,8,6,16,23,223,6072,f5bed1b193d30b98a7f42462d6470d738a354c2c,"(51.31547, -2.51793)",3,43,136,23,1
2000,47026,South West,Bath and North East Somerset,A362,PR,365000,154900,A37,B3355,1.86,24,69,5822,29,619,382,29,20,14,35,37,518,7058,e3966dcb307193d61741c3d534db6e2c3d1ff026,"(51.29215, -2.50332)",13,67,373,23,1
2000,47031,South West,Bath and North East Somerset,A367,PR,370000,156940,A362,B3115,5.4,43,312,18842,195,2283,440,103,53,24,77,59,756,22388,3e9d765d3412f1549401780b25203eef0cf8a0af,"(51.31078, -2.43179)",15,72,377,22,1
2000,47162,South West,Bath and North East Somerset,A431,PR,370000,167400,"Penn Hill Rd, Bath",LA boundary,2.85,39,135,6839,56,730,83,8,9,2,4,1,109,7868,af73d368cd428e1557da4fb3de65382f96bedaf3,"(51.40483, -2.43268)",1,25,50,10,1
2000,47897,South West,Bath and North East Somerset,A3604,PU,373580,165000,A4,A36,0.18,8,14,880,9,112,28,2,2,1,1,2,37,1052,7883acf155ebca4bed6ff6276052f2729e4307b8,"(51.38344, -2.38103)",32,103,538,13,1
2000,48359,South West,Bath and North East Somerset,A367,PU,375005,164350,A36/A3064 roundabout,Broad Quay,0.06,4,7,371,25,39,5,0,0,0,0,0,6,448,27d23a61e8cd5a094fd12347ee18ed74cc4e933c,"(51.37765, -2.36051)",35,20,12,7,1
2013,99383,South West,Bath and North East Somerset,A4,TR,377610,166610,A46,A363,1.3,17,149,9149,41,1503,230,49,40,13,40,44,414,11256,713f25820cc19817bc52826fcb13664f3f1ef4b6,"(51.39808, -2.32322)",1,24,31,10,1
2000,56111,South West,Bath and North East Somerset,A4,PR,380000,167630,A363,LA Boundary,1.24,8,64,4463,77,545,150,26,20,16,22,11,245,5394,b32f54033427394d8cfd60b0055df1afa470a926,"(51.40734, -2.28893)",1,26,41,10,1
2000,56378,South West,Bath and North East Somerset,A36,TR,377840,160000,LA Boundary,LA Boundary,1.92,4,71,6271,59,584,227,42,42,64,126,117,619,7603,c71bbf3b3b39b50343bc70bf662b806acda96b10,"(51.33865, -2.31951)",10,113,52,10,1
2000,56445,South West,Bath and North East Somerset,A4,PU,373300,165100,A431,A3604,0.18,12,27,1516,41,173,38,3,1,0,1,1,44,1801,b387815c94fd3df83bf0f5e305c812f2acacdf10,"(51.38432, -2.38506)",34,54,207,9,1
2000,56503,South West,Bath and North East Somerset,A46,TR,375273,170000,A4,LA Boundary,3.16,6,86,15832,94,2192,717,117,102,168,287,239,1630,19832,b5d5c29ea3ecdbc8c17cacb30b895798f81b217c,"(51.42846, -2.35706)",1,25,51,10,1
