longitude,latitude,name,theme,classification,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
-2.359174826783172,51.377870804147854,Bath Bus Station,Road Transport,Bus Station,"(51.377871, -2.359175)",35,21,13,7,1
-2.371293988912746,51.393795193429256,Bath Spa University Art And Design,Education,Higher or University Education,"(51.393795, -2.371294)",21,1,238,7,1
-2.438961163032074,51.375521471218995,Bath Spa University College,Education,Higher or University Education,"(51.375521, -2.438961)",9,28,68,22,1
-2.391661526898221,51.391774616515711,Bath and Wessex House,Medical Care,Hospital,"(51.391775, -2.391662)",29,16,316,8,1
-2.320526821412585,51.397427355217708,Bathampton Primary School,Education,Primary Education,"(51.397427, -2.320527)",1,27,30,10,1
-2.301080590593931,51.399245340224105,Bathford Church Of England (Voluntary Controlled) Primary School,Education,Primary Education,"(51.399245, -2.301081)",1,26,44,10,1
-2.359119139485363,51.372379817981297,Beechen Cliff School,Education,Secondary Education,"(51.37238, -2.359119)",33,110,575,12,1
-2.596001264265299,51.333525918252661,Bishop Sutton Primary School,Education,Primary Education,"(51.333526, -2.596001)",4,33,89,21,1
-2.495295868885291,51.299316876605637,Bloomfield Care Home,Medical Care,Medical Care Accommodation,"(51.299317, -2.495296)",13,67,372,23,1
-2.508665016795654,51.416962369411785,Broadlands School,Education,Secondary Education,"(51.416962, -2.508665)",24,48,161,1,1
-2.539888857570626,51.320568591316338,Cameley Church Of England (Voluntary Controlled) Primary School,Education,Primary Education,"(51.320569, -2.539889)",2,7,270,20,1
-2.485807473431731,51.409333673352087,Chandag Infants School,Education,Primary Education,"(51.409334, -2.485807)",16,47,145,3,1
-2.487086819061706,51.408585652863252,Chandag Junior School,Education,Primary Education,"(51.408586, -2.487087)",16,45,157,3,1
-2.638550718960675,51.352382963809994,Chew Stoke Church Of England (Voluntary Aided) Primary School,Education,Primary Education,"(51.352383, -2.638551)",6,31,82,21,1
-2.622162043690355,51.358568513839693,Chew Valley School,Education,Secondary Education,"(51.358569, -2.622162)",6,31,83,21,1
-2.551179853948877,51.326960478791754,Cholwell House,Medical Care,Medical Care Accommodation,"(51.32696, -2.55118)",2,7,269,20,1
-2.416511650161971,51.311335820084089,Circle Bath Hospital,Medical Care,Hospital,"(51.311336, -2.416512)",15,72,377,22,1
-2.541070128001369,51.331092047734906,Clutton Primary School,Education,Primary Education,"(51.331092, -2.54107)",5,35,98,20,1
-2.346209159609107,51.358543523656394,Combe Down CEVC Primary School,Education,Primary Education,"(51.358544, -2.346209)",19,38,117,18,1
-2.492161021122669,51.343111158763648,Farmborough Church Of England (Voluntary Controlled) Primary School,Education,Primary Education,"(51.343111, -2.492161)",8,40,129,16,1
-2.528896120434085,51.298500487974259,Farrington Gurney Church Of Engand Primary School,Education,Primary Education,"(51.2985, -2.528896)",3,43,131,23,1
-2.471933162195321,51.283332814983375,Fosse Way School,Education,Non State Primary Education,"(51.283333, -2.471933)",26,100,513,26,1
-2.34105576694822,51.387639246597622,King Edward's Junior School,Education,Primary Education,"(51.387639, -2.341056)",22,29,71,12,1
-2.383872948933313,51.390490590787671,King Edwards School,Education,Primary Education,"(51.390491, -2.383873)",34,54,197,9,1
-2.454094581712861,51.401591034752293,Kingfisher Lodge Care Centre,Medical Care,Medical Care Accommodation,"(51.401591, -2.454095)",17,81,431,16,1
-2.372908568712618,51.394964799136275,Kingswood Preparatory School,Education,Non State Primary Education,"(51.394965, -2.372909)",21,1,235,7,1
-2.377768265029056,51.407976257862913,Kingswood School Upper Sports Fields,Education,Non State Secondary Education,"(51.407976, -2.377768)",21,1,233,7,1
-2.370601085747188,51.399043854161668,Kingswood School,Education,Non State Secondary Education,"(51.399044, -2.370601)",21,1,235,7,1
-2.343122159842399,51.401227409285674,Larkhall Springs Nursing Home,Medical Care,Medical Care Accommodation,"(51.401227, -2.343122)",23,56,219,4,1
-2.479334226883756,51.361492050168046,Marksbury Church Of England (Voluntary Controlled) Primary School,Education,Primary Education,"(51.361492, -2.479334)",8,40,130,16,1
-2.481716012152073,51.287006711660695,Midsomer Norton Primary School,Education,Primary Education,"(51.287007, -2.481716)",11,11,291,25,1
-2.34021371636486,51.360653423863667,Monkton Combe Junior School,Education,Non State Primary Education,"(51.360653, -2.340214)",19,37,113,18,1
-2.338654052939981,51.358605196828989,Monkton Preparatory School,Education,Non State Primary Education,"(51.358605, -2.338654)",19,37,113,18,1
-2.325331696891187,51.357346107583581,Monkton Senior School,Education,Non State Secondary Education,"(51.357346, -2.325332)",10,113,56,10,1
-2.394750578704692,51.386545624076412,Newbridge Primary School,Education,Primary Education,"(51.386546, -2.394751)",29,17,322,8,1
-2.480578025906302,51.280190914890959,Norton Hill School,Education,Secondary Education,"(51.280191, -2.480578)",25,12,300,27,1
-2.45175911903924,51.29006771337216,Norton Radstock College,Education,Further Education,"(51.290068, -2.451759)",26,99,521,26,1
-2.384480471713998,51.393072281798631,Oakfield,Medical Care,Medical Care Accommodation,"(51.393072, -2.38448)",20,107,547,5,1
-2.382588279525327,51.373750246567276,Oldfield Park Junior School,Education,Primary Education,"(51.37375, -2.382588)",32,104,534,13,1
-2.501311198820582,51.303649560750365,Paulton Junior School,Education,Primary Education,"(51.30365, -2.501311)",13,67,368,23,1
-2.493323568407725,51.298755433581427,Paulton Memorial Hospital,Medical Care,Hospital,"(51.298755, -2.493324)",13,67,373,23,1
-2.549620229259038,51.371999402898815,Pensford Primary School,Education,Primary Education,"(51.371999, -2.54962)",7,74,399,20,1
-2.343267523913759,51.364797808089385,Prior Park College,Education,Non State Secondary Education,"(51.364798, -2.343268)",33,110,558,12,1
-2.329286170427538,51.363283619968421,Ralph Allen School,Education,Secondary Education,"(51.363284, -2.329286)",10,113,56,10,1
-2.460890042805888,51.400292307088087,Saltford Church Of England Primary School,Education,Primary Education,"(51.400292, -2.46089)",17,80,422,16,1
-2.281854524643661,51.416239516549162,Shockerwick House,Medical Care,Medical Care Accommodation,"(51.41624, -2.281855)",1,26,41,10,1
-2.407734903165078,51.303904325788388,Shoscombe Church Of England Primary School,Education,Primary Education,"(51.303904, -2.407735)",10,114,57,10,1
-2.484656691468627,51.283919359516744,Somervale School,Education,Secondary Education,"(51.283919, -2.484657)",25,13,305,27,1
-2.367134968865495,51.38835162736985,St Andrew's Church Of England (Voluntary Aided) Primary School,Education,Primary Education,"(51.388352, -2.367135)",34,115,198,9,1
-2.381527117060037,51.353860772805881,St Gregory's Roman Catholic College,Education,Secondary Education,"(51.353861, -2.381527)",30,61,335,19,1
-2.504275854905184,51.411885264545013,St John's Church Of England Primary School Keynsham,Education,Primary Education,"(51.411885, -2.504276)",37,52,181,2,1
-2.373238574206082,51.323125850203432,St Julian's Church Of England Primary School,Education,Primary Education,"(51.323126, -2.373239)",10,114,60,10,1
-2.50884227887676,51.411495878220421,St Keyna Primary School,Education,Primary Education,"(51.411496, -2.508842)",24,50,166,1,1
-2.350581662452662,51.398638078359589,St Mark's School,Education,Secondary Education,"(51.398638, -2.350582)",23,57,227,4,1
-2.374733677699087,51.357030476811289,St Martin's Garden Primary School,Education,Primary Education,"(51.35703, -2.374734)",18,4,262,17,1
-2.371122515173209,51.357538828959754,St Martins Hospital,Medical Care,Hospital,"(51.357539, -2.371123)",18,4,263,17,1
-2.427553562712456,51.288339739199778,St Mary's Church Of England Primary School Writhlington,Education,Primary Education,"(51.28834, -2.427554)",12,78,416,24,1
-2.403161756823823,51.381780178701376,St Michael's Church Of England (Voluntary Controlled) Junior School,Education,Primary Education,"(51.38178, -2.403162)",28,91,480,11,1
-2.445212654771051,51.28966514003185,St Nicholas Church Of England Primary School,Education,Primary Education,"(51.289665, -2.445213)",12,79,413,24,1
-2.380920743601562,51.361373056202417,St Philip's Church Of England Primary School,Education,Primary Education,"(51.361373, -2.380921)",30,19,330,19,1
-2.346738588769571,51.398427985590665,St Saviour's Cof E Junior School,Education,Primary Education,"(51.398428, -2.346739)",23,56,218,4,1
-2.361112795559835,51.395112387595447,St Stephen's Church of England (VA) Primary School,Education,Primary Education,"(51.395112, -2.361113)",21,59,236,7,1
-2.439591425176152,51.387901114887455,St Teresa's Nursing Home,Medical Care,Medical Care Accommodation,"(51.387901, -2.439591)",8,41,125,16,1
-2.574758833582964,51.362657991479274,Stanton Drew Primary School,Education,Primary Education,"(51.362658, -2.574759)",5,34,101,20,1
-2.49291991920124,51.415939800369337,Sunnymede,Medical Care,Medical Care Accommodation,"(51.41594, -2.49292)",16,45,152,3,1
-2.350623257199866,51.413676600495215,Swainswick Church Of England Primary School,Education,Primary Education,"(51.413677, -2.350623)",1,25,51,10,1
-2.355802042936909,51.369898146439915,The Paragon School,Education,Non State Primary Education,"(51.369898, -2.355802)",33,110,575,12,1
-2.378980183007776,51.393439920823567,The Royal High School Bath Junior School,Education,Non State Primary Education,"(51.39344, -2.37898)",20,107,548,5,1
-2.364995421887981,51.397083163039895,The Royal High School Bath,Education,Non State Secondary Education,"(51.397083, -2.364995)",21,1,234,7,1
-2.370622361860364,51.355783525952411,Three Ways School,Education,Special Needs Education,"(51.355784, -2.370622)",18,4,262,17,1
-2.497267923433448,51.408954671672099,Treetops Nursing Home,Medical Care,Medical Care Accommodation,"(51.408955, -2.497268)",37,52,179,2,1
-2.403271611584249,51.378703574107639,Twerton Infant And Nursery School,Education,Primary Education,"(51.378704, -2.403272)",28,90,470,11,1
-2.678594765318734,51.321954563128415,Ubley Church Of England Primary School,Education,Primary Education,"(51.321955, -2.678595)",4,32,93,21,1
-2.487185281323745,51.410346936950859,Wellsway School,Education,Secondary Education,"(51.410347, -2.487185)",16,45,157,3,1
-2.398518408631842,51.400761513194844,Weston All Saints Church Of England Primary School,Education,Primary Education,"(51.400762, -2.398518)",20,105,556,5,1
-2.557976992919031,51.408241744257445,Whitchurch Primary School,Education,Primary Education,"(51.408242, -2.557977)",7,75,402,20,1
-2.47219704614716,51.279052762899092,Whitehaven Nursing Home,Medical Care,Medical Care Accommodation,"(51.279053, -2.472197)",26,100,520,26,1
-2.353104916130002,51.378121993396121,Widcombe Infants School,Education,Primary Education,"(51.378122, -2.353105)",33,111,564,12,1
-2.431539206898183,51.286914813372654,Writhlington School,Education,Secondary Education,"(51.286915, -2.431539)",12,78,416,24,1
-2.39228765609499,51.364006069091623,Bath Community Academy,Education,Secondary Education,"(51.364006, -2.392288)",30,62,340,19,1
-2.393678950559079,51.364627415494638,Bath Spa University [Culverhey Campus],Education,Higher or University Education,"(51.364627, -2.393679)",30,62,340,19,1
-2.319137663435633,51.408993645157089,Batheaston Cof E Primary School,Education,Primary Education,"(51.408994, -2.319138)",1,23,40,10,1
-2.345786048383475,51.388278003161254,Bathwick St Mary Church Of England Primary School,Education,Primary Education,"(51.388278, -2.345786)",22,30,72,12,1
-2.607589018378219,51.367860239263919,Chew Magna Primary School,Education,Primary Education,"(51.36786, -2.607589)",6,31,78,21,1
-2.623316218547605,51.301175090730915,East Harptree Church Of England (Voluntary Controlled) Primary School,Education,Primary Education,"(51.301175, -2.623316)",2,6,272,21,1
-2.305391570828232,51.339070507060114,Freshford Church Of England Primary School,Education,Primary Education,"(51.339071, -2.305392)",10,113,53,10,1
-2.375182606565102,51.379273347741879,Hayesfield Girls' School,Education,Secondary Education,"(51.379273, -2.375183)",33,112,559,12,1
-2.510780134435396,51.320057862096427,High Littleton Church Of England (Voluntary Controlled) Primary School,Education,Primary Education,"(51.320058, -2.51078)",3,42,135,23,1
-2.494555695430244,51.28479250592428,Longvernal Primary School,Education,Primary Education,"(51.284793, -2.494556)",25,14,303,27,1
-2.377411937432099,51.380776827588271,Oldfield Park Infants School,Education,Primary Education,"(51.380777, -2.377412)",32,103,538,13,1
-2.404665113313263,51.392903912048482,Oldfield School,Education,Secondary Education,"(51.392904, -2.404665)",29,18,310,8,1
-2.395167218119886,51.366839819592151,Southdown Community Infant School,Education,Primary Education,"(51.36684, -2.395167)",27,84,444,15,1
-2.39556596616558,51.367406937162642,Southdown Junior School,Education,Primary Education,"(51.367407, -2.395566)",27,84,444,15,1
-2.487462034270764,51.28503904234708,St John's Church Of England Primary School Midsomer Norton,Education,Primary Education,"(51.285039, -2.487462)",25,14,301,27,1
-2.394370479004643,51.394443343459038,St Mary's Roman Catholic Primary School,Education,Primary Education,"(51.394443, -2.39437)",29,18,311,8,1
-2.455023918001443,51.316281847878159,Camerton Church Of England Primary School,Education,Primary Education,"(51.316282, -2.455024)",9,28,63,22,1
-2.505823173540371,51.405535471731184,Castle Primary School,Education,Primary Education,"(51.405535, -2.505823)",37,51,191,2,1
-2.373611769562334,51.374477865648345,Cedar Park Care Centre,Medical Care,Medical Care Accommodation,"(51.374478, -2.373612)",31,64,352,14,1
-2.36263474684454,51.37977538526502,City Of Bath College,Education,Further Education,"(51.379775, -2.362635)",35,20,14,7,1
-2.372292493832915,51.376501919051684,Hayesfield Girls School,Education,Secondary Education,"(51.376502, -2.372292)",33,112,565,12,1
-2.376521904781967,51.369973531927087,Moorlands Infants School,Education,Primary Education,"(51.369974, -2.376522)",31,65,360,14,1
-2.375771912184991,51.369146798528284,Moorlands Junior School,Education,Primary Education,"(51.369147, -2.375772)",31,65,360,14,1
-2.429346688646876,51.314535471434738,Peasedown St John Primary School,Education,Primary Education,"(51.314535, -2.429347)",15,73,378,22,1
-2.360974025327723,51.382076069356955,Royal Mineral Water Hospital,Medical Care,Hospital,"(51.382076, -2.360974)",35,20,10,7,1
-2.375009500396641,51.373007290446047,St Johns Roman Catholic Primary School,Education,Primary Education,"(51.373007, -2.37501)",31,64,353,14,1
-2.471867387427066,51.329058828931288,St Mary's Church Of England Primary School Timsbury,Education,Primary Education,"(51.329059, -2.471867)",14,88,457,16,1
-2.348697302765763,51.398494876266156,St Saviour's Church Of England Nursery and Infant School,Education,Primary Education,"(51.398495, -2.348697)",23,56,221,4,1
-2.442756558560497,51.29843416050133,Trinity Church Of England Voluntary Controlled Primary School,Education,Primary Education,"(51.298434, -2.442757)",12,76,406,24,1
-2.327071203598651,51.37917988875914,University Of Bath,Education,Higher or University Education,"(51.37918, -2.327071)",22,29,580,12,1
-2.473621599016769,51.290345403345441,Welton Primary School,Education,Primary Education,"(51.290345, -2.473622)",11,8,285,25,1
-2.344645014858251,51.381527027215945,Westcroft Nursing Home,Medical Care,Medical Care Accommodation,"(51.381527, -2.344645)",22,30,73,12,1
-2.471283165149617,51.283179981358934,Westfield Primary School,Education,Primary Education,"(51.28318, -2.471283)",26,100,513,26,1
-2.351852280922082,51.378175413669275,Widcombe Church Of England Junior School,Education,Primary Education,"(51.378175, -2.351852)",33,111,564,12,1
