Year,Councillor,Basic Allowance,Special Responsibility Allowance,Carers’ Allowance,Subsistence Allowance,Travel Allowance
2008,"APPLEYARD
Rob",6702.01,586.39,0,0,115.8
2008,"BALL
Sharon",7419.64,0,0,0,6.2
2008,"BALL
Timothy Mark",7419.64,7166.5,0,0,50.4
2008,"BARRETT
Colin Vincent",7419.64,1546.1,0,16,338.11
2008,"BATT
Gabriel",6702.01,2983.1,0,0,237.8
2008,"BEATH
Cherry",6702.01,0,0,0,12.4
2008,"BELLOTTI
David",7419.64,6089.56,164.3,229.75,2009.08
2008,"BEVAN
Sarah",7419.64,744.16,411,0,226.73
2008,"MORGAN-BRINKHURST
Loraine",7419.64,980.64,0,0,176.7
2008,"BULL
John",6702.01,364.09,0,0,191.1
2008,"BUTTERS
Neil",6702.01,0,0,0,0
2008,"CHALKER
Bryan",7419.64,0,0,0,0
2008,"CLARKE
Anthony",6702.01,0,0,0,348.97
2008,"CLARKE
Victor",6702.01,2983.1,0,0,113.52
2008,"COOMBES
Nicholas",6702.01,0,0,0,118.8
2008,"CRAY
Christopher",7419.64,4567.15,0,0,454.85
2008,"CROSSLEY
Paul Nigel",7419.64,12666.49,0,68,1004.81
2008,"CURRAN
Gerard Francis",7419.64,2944.38,0,0,0
2008,"DARRACOTT
Colin",7419.64,2944.38,0,0,0
2008,"DAVIS
Sally",7419.64,7760.25,0,0,0
2008,"DEACON
Douglas",6702.01,0,0,0,39.78
2008,"DEWEY
Ian Charles",7419.64,7760.25,0,0,269.16
2008,"DIXON
David",7419.64,9036.13,0,0,0
2008,"EDWARDS
Armand",6702.01,0,0,0,0
2008,"EDWARDS
Peter",7419.64,0,0,0,283.4
2008,"FURSE
Andrew John",7419.64,1225.55,0,0,29
2008,"GAZZARD
Terry",6702.01,2329.72,0,0,0
2008,"GERRISH
Charles",7419.64,22434.01,84,0,269.55
2008,"GILCHRIST
Ian",6702.01,437.95,0,160,88.4
2008,"HAEBERLING
Francine",7419.64,29109.99,0,0,34
2008,"HALE
Alan",6702.01,0,0,0,0
2008,HALL,6702.01,0,0,0,0
