CaseReference,CaseDate,TradingAs,LocationText,Status,StartDate,EndDate,DecisionDate,LitresStoredUnderground,Purpose,Petrol/BEBF/LNG,LitresStoredOverground,InstallationType,TotalLitres,Throughput,LicenceURL
17/00414/PETROL,02/07/2017 12:00:00 AM,Rontec Watford Ltd,"Bath Road, Keynsham, Bristol, BS31 1TL",Licence Issued,02/15/2017 12:00:00 AM,,02/15/2017 12:00:00 AM,,,,,,,,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='17/00414/PETROL'&SearchLayer=LIApplications&SearchField=refval&SearchValue=17/00414/PETROL
15/00119/PETROL,11/27/2014 12:00:00 AM,R J King And Son Limited,"Belle Vue, Pitway Lane, Farrington Gurney, BS39 6TX",Licence Issued,03/16/2015 12:00:00 AM,,03/16/2015 12:00:00 AM,,,,,,,,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='15/00119/PETROL'&SearchLayer=LIApplications&SearchField=refval&SearchValue=15/00119/PETROL
15/00121/PETROL,12/18/2014 12:00:00 AM,Arleen Services,"14 Bath Road, Peasedown St. John, BA2 8DH",Licence Issued,03/16/2015 12:00:00 AM,,03/16/2015 12:00:00 AM,,,,,,,,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='15/00121/PETROL'&SearchLayer=LIApplications&SearchField=refval&SearchValue=15/00121/PETROL
15/00122/PETROL,12/03/2014 12:00:00 AM,Central Garage & Spar,"High Street, Paulton, Bristol, BS39 7QJ",Licence Expired,03/16/2015 12:00:00 AM,,03/16/2015 12:00:00 AM,,,,,,,,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='15/00122/PETROL'&SearchLayer=LIApplications&SearchField=refval&SearchValue=15/00122/PETROL
15/00193/PETROL,12/15/2014 12:00:00 AM,Sainsburys Supermarkets Limited,"Sainsbury's Petrol Station, Pines Way, Westmoreland, Bath, BA2 3ET",Licence Issued,03/16/2015 12:00:00 AM,,03/16/2015 12:00:00 AM,,,,,,,,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='15/00193/PETROL'&SearchLayer=LIApplications&SearchField=refval&SearchValue=15/00193/PETROL
15/00198/PETROL,01/08/2015 12:00:00 AM,Lowers Filling Station,"Main Road, Temple Cloud, BS39 5BZ",Licence Expired,03/16/2015 12:00:00 AM,,03/16/2015 12:00:00 AM,,,,,,,,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='15/00198/PETROL'&SearchLayer=LIApplications&SearchField=refval&SearchValue=15/00198/PETROL
15/00203/PETROL,12/24/2014 12:00:00 AM,Ubley Motor Services Ltd,"Cleeve Hill Garage, Cleeve Hill, Ubley, BS40 6PG",Licence Issued,03/16/2015 12:00:00 AM,,03/16/2015 12:00:00 AM,,,,,,,,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='15/00203/PETROL'&SearchLayer=LIApplications&SearchField=refval&SearchValue=15/00203/PETROL
15/00208/PETROL,02/27/2015 12:00:00 AM,Farrington Gurney Service Station,"Bristol Road, Farrington Gurney, BS39 6TG",Licence Issued,03/16/2015 12:00:00 AM,,03/16/2015 12:00:00 AM,,,,,,,,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='15/00208/PETROL'&SearchLayer=LIApplications&SearchField=refval&SearchValue=15/00208/PETROL
15/00524/PETROL,01/26/2015 12:00:00 AM,Churchill Bridge Service Station,"Lower Bristol Road, Westmoreland, Bath, BA2 3BA",Licence Issued,03/16/2015 12:00:00 AM,,03/16/2015 12:00:00 AM,,,,,,,,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='15/00524/PETROL'&SearchLayer=LIApplications&SearchField=refval&SearchValue=15/00524/PETROL
15/00528/PETROL,01/26/2015 12:00:00 AM,Chandag Service Station,"20 Bath Road, Keynsham, BS31 1NN",Licence Issued,03/16/2015 12:00:00 AM,,03/16/2015 12:00:00 AM,,,,,,,,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='15/00528/PETROL'&SearchLayer=LIApplications&SearchField=refval&SearchValue=15/00528/PETROL
