URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentStatus (name),StatutoryHighAge,StatutoryLowAge,OpenDate,PhaseOfEducation (name),Gender (name),Street,Locality,Address3,Town,County (name),Postcode,WebsiteAddress,SCUpreferredemail,TelephoneSTD,TelephoneNum,FaxSTD,FaxNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle
108997,800,Bath and North East Somerset,2150,Oldfield Park Infant School,Community School,Open,7,5,,Primary,Mixed,Dorset Close,,,Bath,Somerset,BA2 3RF,http://www.oldfieldparkinfants.co.uk,oldfieldpark_inf@bathnes.gov.uk,01225,422903,01225,422903,Mrs,Jo,Claridge,Headteacher
109000,800,Bath and North East Somerset,2153,Moorlands Junior School,Community School,Open,11,7,,Primary,Mixed,Chantry Mead Road,,,Bath,Somerset,BA2 2DE,http://www.moorlandsfederation.org,moorlands_jun@bathnes.gov.uk,01225,421912,01225,425848,Mrs,Clare,Griffin-Felton,Headteacher
109001,800,Bath and North East Somerset,2154,Moorlands Infant School,Community School,Open,7,5,,Primary,Mixed,Moorfields Road,,,Bath,Somerset,BA2 2DQ,http://www.moorlandsfederation.org,moorlands_inf@bathnes.gov.uk,01225,422556,01225,463056,Mrs,Clare,Griffin-Felton,Headteacher
109004,800,Bath and North East Somerset,2157,Southdown Junior School,Community School,"Open, but proposed to close",11,7,,Primary,Mixed,Mount Road,Southdown,,Bath,Somerset,BA2 1LG,,southdown_jun@bathnes.gov.uk,01225,424761,01225,334181,Mrs,Sue,Adams,Headteacher
109005,800,Bath and North East Somerset,2158,Southdown Community Infant School,Community School,Open,7,3,,Primary,Mixed,Mount Road,Southdown,,Bath,Somerset,BA2 1LG,,southdown_inf@bathnes.gov.uk,01225,424950,01225,310051,Mrs,Susan,Adams,Headteacher
109006,800,Bath and North East Somerset,2159,Oldfield Park Junior School,Community School,Open,11,7,,Primary,Mixed,Lymore Terrace,Twerton,,Bath,Somerset,BA2 2JL,http://www.oldfieldparkjuniorschool.com,oldfieldpark_jun@bathnes.gov.uk,01225,423477,01225,424099,,Marilyn,Cole,Headteacher
109007,800,Bath and North East Somerset,2160,Twerton Infant School,Community School,Open,7,3,,Primary,Mixed,Poolemead Road,Twerton,,Bath,Somerset,BA2 1QR,,twerton_inf@bathnes.gov.uk,01225,423526,01225,314745,Mr,Paul,Mattausch Burrows,Headteacher
109008,800,Bath and North East Somerset,2162,Widcombe Infant School,Community School,Open,7,5,,Primary,Mixed,Archway Street,,,Bath,Somerset,BA2 4JG,,widcombe_inf@bathnes.gov.uk,01225,421998,01225,421998,Ms,Alison,Watts,Headteacher
109060,800,Bath and North East Somerset,2236,Bathampton Primary School,Community School,Open,11,4,,Primary,Mixed,Tyning Road,Bathampton,,Bath,Somerset,BA2 6TQ,,bathampton_pri@bathnes.gov.uk,01225,465229,01225,423637,Mr,P,Falkus,Headteacher
109061,800,Bath and North East Somerset,2237,Bishop Sutton Primary School,Community School,Open,11,4,,Primary,Mixed,Wick Road,Bishop Sutton,,Bristol,,BS39 5XD,http://www.bishopsutton.bathnes.sch.uk,bishopsutton_pri@bathnes.gov.uk,01275,332817,01275,332918,Mrs,L,Bills,Headteacher
109062,800,Bath and North East Somerset,2238,Chew Magna Primary School,Community School,Open,11,4,,Primary,Mixed,Butham Lane,Chew Magna,,Bristol,,BS40 8RQ,,chewmagna_pri@bathnes.gov.uk,01275,332409,01275,332409,Miss,Annie,Spencer,Headteacher
109065,800,Bath and North East Somerset,2242,Chandag Junior School,Community School,Open,11,7,,Primary,Mixed,Chandag Road,Keynsham,,Bristol,Somerset,BS31 1PQ,http://www.chandag-jun.bathnes.sch.uk,chandag_jun@bathnes.gov.uk,0117,9863614,0117,9869616,Mr,Tim,Dunning,Headteacher
109066,800,Bath and North East Somerset,2243,Paulton Infant School,Community School,Open,7,5,,Primary,Mixed,Plumptre Close,Paulton,,Bristol,Somerset,BS39 7QY,,paulton_inf@bathnes.gov.uk,01761,412354,,,Mrs,J,Sloyan,Headteacher
109067,800,Bath and North East Somerset,2244,Peasedown St John Primary School,Community School,Open,11,2,,Primary,Mixed,Bath Road,Peasedown St John,,Bath,Somerset,BA2 8DH,http://www.peasedownstjohnprimary.org.uk,peasedownstjohn_pri@bathnes.gov.uk,01761,432311,01761,431094,Mrs,Julia,Battersby,Acting Headteacher
109068,800,Bath and North East Somerset,2246,Pensford Primary School,Community School,Open,11,4,,Primary,Mixed,Pensford Hill,Pensford,,Bristol,Somerset,BS39 4AA,http://www.pensfordprimary.org.uk,lorna_mcisaac@bathnes.gov.uk,01761,490470,01761,490470,Ms,Lorna,McIsaac,Headteacher
109070,800,Bath and North East Somerset,2248,Stanton Drew Primary School,Community School,Open,11,4,,Primary,Mixed,Upper Stanton,Stanton Drew,,Bristol,,BS39 4EQ,,stantondrew_pri@bathnes.gov.uk,01275,332820,01275,332820,Mr,Robert,Lane,Headteacher
109071,800,Bath and North East Somerset,2249,Welton Primary School,Community School,Open,11,4,,Primary,Mixed,Radstock Road,Midsomer Norton,,Radstock,Somerset,BA3 2AG,,welton_pri@bathnes.gov.uk,01761,413131,01761,419645,Mr,John,Snell,Headteacher
109072,800,Bath and North East Somerset,2250,Westfield Primary School,Community School,Open,11,4,,Primary,Mixed,Longfellow Road,,,Radstock,Avon,BA3 3XX,,westfield_pri@bathnes.gov.uk,01761,413662,01761,419976,Mr,S,Mills,Headteacher
109073,800,Bath and North East Somerset,2251,Whitchurch Primary School,Community School,Open,11,4,,Primary,Mixed,22 Bristol Road,Whitchurch,,Bristol,,BS14 0PT,,whitchurch_pri@bathnes.gov.uk,01275,833593,01275,837318,Mr,C,Hornsby,Acting Headteacher
