name,also_known_as,postcode,phone,website,service_types,date_last_check,specialisms_services,provider_name,local_authority,region,location_url,location_id,provider_id,id,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
Care At Your Home,,BA2 8SG,1225430450,http://www.atyourhome.co.uk,Homecare agencies,24/03/2014 - 00:00,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Personal care,Country Court Care Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-1256063731,1-1256063731,1-863045223,0cae7a471c5afda51f56553498bdc93f10e6ee59,"The Office Village, 2 Roman Way, Bath Business Park, Peasedown St John, Bath
(51.312229, -2.414357)",15,70,383,22,1
St John's Hospital,,BA1 1SQ,1225486400,http://www.stjohnsbath.org.uk,Supported housing,25/03/2014 - 00:00,Caring for adults over 65 yrs|Personal care,St John's Hospital,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-125091623,1-125091623,1-101648898,f9ed9ae5e2edba6921312ee622a986b54659bb7c,"4-5 Chapel Court, Bath
(51.380777, -2.36194)",35,20,10,7,1
Swallow,,BA3 4BQ,1761414034,http://www.swallowcharity.org,Homecare agencies,07/12/2013 - 00:00,Learning disabilities|Personal care,Swallow Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-142966089,1-142966089,1-101647120,a7974593e6d500ae17ee486a138ec32fc7d1eeda,"The Old Engine House, Old Pit Road, Radstock
(51.281299, -2.473223)",26,100,520,26,1
Harptree Dental Surgery,,BS40 6HF,1761221869,,Dentist,21/03/2013 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mrs. Kirsty Jones,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-188665872,1-188665872,1-152954262,61c34ab5f8cf262f723c5dd04220e1590f1aef56,"Bristol Road, West Harptree, Bristol
(51.310321, -2.632185)",2,6,274,21,1
St John's Combe Park,,BA1 3NF,1225485830,,Supported housing,04/10/2013 - 01:00,Caring for adults over 65 yrs|Personal care,St John's Hospital,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-361049336,1-361049336,1-101648898,6cfef2c6370cbdbcf08a5844487820ec8dba8b73,"Combe Park, Bath
(51.388643, -2.390558)",29,16,319,8,1
Bath Orthodontics,,BA2 6NR,1225481890,,Dentist,10/11/2012 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Dr. Eric Tonge,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-189042090,1-189042090,1-152945230,fde22f1b40b2d68e88e63fa81c14184f55fe5e91,"Sydney Road, Bath
(51.385106, -2.348826)",22,30,74,12,1
Manor Farm Residential Home,,BA3 3QG,1761436127,,Residential homes,11/06/2013 - 01:00,Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care,ARTI Services Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-119703008,1-119703008,1-101681439,756ba44133933338804ddefd8803bf517684555c,"Church Street, Radstock, Bath
(51.29069, -2.447148)",12,79,413,24,1
St Bathens Care Home,,BA1 3QA,1225319293,,Residential homes,24/12/2013 - 00:00,Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care,M & J Care Homes Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-112718331,1-112718331,1-101678289,82ab1d16dc8017c4efd9c3a9da76fafa7ca8bacb,"88-90 Newbridge Hill, Bath
(51.388018, -2.394519)",29,16,319,8,1
Nomad Bath,,BA1 1NP,1225443776,http://www.nomadtravel.co.uk,Doctors/GPs|Phone/online advice,12/12/2013 - 00:00,"Services for everyone|Transport services, triage and medical advice provided remotely|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Nomad Travellers Stores & Medical Centre Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-1072888668,1-1072888668,1-101727060,14898fbc6a041bbe6e714cbeb573d905eea0bb4a,"2 Abbey Gate Street, Bath
(51.380309, -2.359135)",35,20,12,7,1
Bridgemead,,BA2 6PZ,1225484904,http://www.bridgecare.org.uk,Nursing homes,20/11/2013 - 00:00,"Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Bridge Care Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-108820650,1-108820650,1-101609111,caee6f069c4db74dacfb274b7c3f64029a9b52a6,"81 St John's Road, Bathwick, Bath
(51.387601, -2.356519)",35,20,16,7,1
Cypress Lodge,,BS14 0QB,1275832012,http://www.bradburyhouse.com,Residential homes,14/11/2013 - 00:00,Learning disabilities|Mental health conditions|Accommodation for persons who require nursing or personal care,Mr Neil Bradbury,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-110813972,1-110813972,1-101628248,972491aa959fafd9afaea991a0b302994dd05e94,"The Witheys, Whitchurch, Bristol
(51.407204, -2.557076)",7,75,401,20,1
Stanton Court,,BS39 4ER,1275332410,,Nursing homes,05/04/2014 - 01:00,"Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Brightwell Care Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-112071422,1-112071422,1-101608184,83de3bac672aa916c937e9e093e4e0f501ef526f,"Stanton Drew, nr Chew Magna, Bristol
(51.367195, -2.580105)",5,34,101,20,1
Keynsham Mencap Family Home Limited,,BS31 2BU,1179864700,,Residential homes,13/06/2014 - 00:00,Learning disabilities|Accommodation for persons who require nursing or personal care,Keynsham Mencap Family Home Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-112092601,1-112092601,1-101607986,6b2bc84dff942c86b200375b8efb107a9a1ffd25,"6 The Avenue, Keynsham, Bristol
(51.418663, -2.498167)",24,49,172,1,1
Greystones,,BA2 4QE,1225317972,http://www.bcvshomes.co.uk,Residential homes,15/10/2013 - 01:00,Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care,Bath Centre for Voluntary Service Homes,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-114386039,1-114386039,1-101642461,76e05c3c23b1c5e565aa91b0515c21d34fd9964d,"Hayesfield Park, Bath
(51.375358, -2.36694)",33,109,570,12,1
Bathampton Manor,,BA2 6TS,1225466260,http://www.bcvshomes.co.uk,Residential homes,16/10/2013 - 01:00,Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care,Bath Centre for Voluntary Service Homes,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-114398915,1-114398915,1-101642461,18ebb77624c1c40d33d9f10bb7821ca907997c34,"Mill Lane, Bathampton, Bath
(51.399424, -2.326007)",1,24,31,10,1
St Chads House,,BA3 2JE,1761413173,http://www.orchardvaletrust.org.uk,Residential homes,23/05/2014 - 01:00,Learning disabilities|Accommodation for persons who require nursing or personal care,Orchard Vale Trust Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-115778960,1-115778960,1-101664607,91ca4e3c1ffa4596e3aaf08da4fe1febcd95a1da,"Withies Lane, Midsomer Norton
(51.283022, -2.487207)",25,13,305,27,1
Cholwell House Nursing Home,,BS39 5DJ,1761452885,,Nursing homes,07/12/2013 - 00:00,"Sensory impairments|Dementia|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Mr & Mrs T B Thompson,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-116709256,1-116709256,1-101670483,6bdde8230c75e408cf456efc13d822720e39fe29,"Main Road, Temple Cloud, Bristol
(51.326853, -2.551079)",2,7,269,20,1
Park Street Home,,BA1 2TE,1225425011,,Residential homes,29/10/2013 - 00:00,Dementia|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Accommodation for persons who require nursing or personal care,Mrs Alice Togher,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-117237563,1-117237563,1-101705545,1997edafdece0e2762e4639b6717e9bc59198816,"10 Park Street, Bath
(51.390657, -2.368428)",21,2,244,7,1
Stratton House,,BA1 2XH,1225421196,http://www.mha.org.uk/ch41.aspx,Residential homes,01/10/2013 - 01:00,Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care,Methodist Homes,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-117976823,1-117976823,1-102642904,9bc69021763956be942fa70f7ca2a26e8a63d1fd,"16 Park Lane, Bath
(51.388653, -2.379176)",34,54,203,9,1
Hillsborough House,,BS31 2JQ,1179869880,http://www.freewaystrust.co.uk,Residential homes,26/09/2014 - 00:00,Sensory impairments|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities|Accommodation for persons who require nursing or personal care,Freeways,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-117991838,1-117991838,1-101640268,320a57a637fe3930ffe0070f21ab4e88c40d0546,"59-61 Charlton Road, Keynsham, Bristol
(51.412609, -2.507261)",24,50,166,1,1
Goldcare Professionals,,BS31 1HA,7944678587,,Homecare agencies,13/02/2014 - 00:00,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities|Personal care,Goldcare Professionals Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-1181570332,1-1181570332,1-1007176147,037afff233591b25ea61ecb8db8f0d37a125f823,"13 Temple Court, Keynsham, Bristol
(51.413602, -2.497997)",37,52,182,2,1
