listentry,name,scheddate,amenddate,legacyuid,capturesca,area_ha,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
1002471,Two round barrows N of Blathwayt Arms,,,BA 32,1:10000,0.10616429415,"(51.41658, -2.39636)",1,25,47,10,1
1002474,Bowl barrow 150m NNW of Abbey Farm,03/03/1953 12:00:00 AM,,BA 43,1:10000,0.02992821652,"(51.3315, -2.33011)",10,113,54,10,1
1002475,Standing stone called Hautville's Quoit,12/18/1946 12:00:00 AM,,BA 44,1:10000,0.00465800466,"(51.37181, -2.5736)",5,34,101,20,1
1002480,Slight univallate hillfort called Bathampton Camp,03/21/1966 12:00:00 AM,,BA 61,1:10000,32.9201113695,"(51.38391, -2.32633)",1,27,29,10,1
1002481,Slight univallate hillfort 190m north west of Westleigh,10/08/1956 12:00:00 AM,,BA 62,1:10000,11.4691675804,"(51.41022, -2.33428)",1,25,34,10,1
1002482,Lansdown camp,,,BA 63,1:10000,0.52970037583,"(51.42708, -2.40239)",1,25,47,10,1
1002487,Stantonbury camp and adjacent sections of Wansdyke,,,BA 72,1:10000,5.85961279839,"(51.37135, -2.47074)",8,40,130,16,1
1003066,Part of the linear boundary known as the Wansdyke 425m south of New Barn Farm,02/14/1978 12:00:00 AM,,BA 168,1:2500,0.24847767537,"(51.38733, -2.5613)",6,31,85,21,1
1004514,"Palladian Bridge, Prior Park, Bath",,,BA 155,1:10000,0.01457910779,"(51.36848, -2.34505)",33,110,558,12,1
1004515,Multi-span bridge called Bathford Bridge,01/10/1952 12:00:00 AM,,BA 157,1:10000,0.03130995321,"(51.40166, -2.30828)",1,26,42,10,1
1004516,Tun Bridge,,,BA 159,1:10000,0.01307034655,"(51.36362, -2.60906)",6,31,80,21,1
1004517,Compton Dando Bridge,,,BA 160,1:10000,0.01773060565,"(51.38012, -2.50858)",8,41,122,16,1
1004518,Chewton Keynsham packhorse bridge,,,BA 161,1:10000,0.00898783905,"(51.39591, -2.49777)",16,44,151,3,1
1004519,Bridge near Manor House,,,BA 162,1:10000,0.02977228751,"(51.36862, -2.5806)",5,34,101,20,1
1004523,Part of the linear boundary known as the Wansdyke 375m south east of Knowle Farm,08/30/1977 12:00:00 AM,,BA 167,1:2500,0.16945895733,"(51.38235, -2.512)",8,41,123,16,1
1004524,Deserted medieval farmstead NE of Northwick,,,BA 169,1:10000,2.04566794991,"(51.39303, -2.58871)",6,31,85,21,1
1004525,Slight univallate hillfort 125m west of Tunley Farm,04/18/1978 12:00:00 AM,,BA 170,1:10000,3.64573343538,"(51.33086, -2.4557)",9,28,62,22,1
1004526,Large univallate hillfort with outworks 800m west of White Cross,05/17/1978 12:00:00 AM,,BA 172,1:10000,6.1956288123,"(51.32401, -2.60051)",2,6,274,21,1
1004527,Romano-British settlement E of Sir Bevil Granville's Monument,,,BA 175,1:2500,7.67067067228,"(51.43045, -2.3979)",1,25,47,10,1
1004541,"Lock Up, Mill Lane",,,BA 152,1:10000,0.00091754955,"(51.35623, -2.32655)",10,113,56,10,1
1004543,Ubley Manor House (remains of),,,BA 154,1:10000,0.0315020481,"(51.32219, -2.67724)",4,32,93,21,1
1004606,"Oval enclosure, possibly Iron Age, SW of Stowey House",,,BA 171,1:10000,0.7312136448,"(51.33125, -2.57918)",4,33,91,21,1
1004607,Saltford brass battery mill,,,BA 185,1:10000,0.22554267393,"(51.40127, -2.45105)",17,81,431,16,1
1004677,Large univallate hillfort with a bowl barrow and pillow mounds 970m west of The Bungalow,04/24/1951 12:00:00 AM,,BA 73,1:10000,7.13162063433,"(51.41828, -2.4196)",1,25,50,10,1
1004678,"The Roman Baths and site of Roman town, Bath",,,BA 82,1:1250,1.31009184539,"(51.38125, -2.3604)",35,20,10,7,1
1005416,The Abbey,,,BA 2,1:10000,0.48960277211,"(51.41731, -2.49605)",24,49,158,1,1
1005421,Part of a Roman road 565m north of Abbey Farm,03/03/1953 12:00:00 AM,,BA 20,1:10000,2.29431234346,"(51.33481, -2.33046)",10,113,54,10,1
