operator,operator_ref,site_ngr,antenna_height,type,band,antenna_type,power__dbw,max_licensed_power__per_carrier_dbw,max_licensed_power__per_carrier_dbm,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
Airwave,AAS005,ST7688065500,32.3,TETRA,400,Omni,17,25,,"(51.38808, -2.33365)",1,27,29,10,1
Airwave,AAS013,ST7288065920,26,TETRA,400,Omni,17,25,,"(51.39167, -2.39116)",29,16,316,8,1
Airwave,AAS033,ST7938069170,16.4,TETRA,400,Omni,17,25,,"(51.42116, -2.29794)",1,25,34,10,1
Airwave,AAS042,ST6749554822,27.6,TETRA,400,Directional,21,25,,"(51.29159, -2.46753)",11,8,284,25,1
Airwave,AAS054,ST7393061665,33.5,TETRA,400,Directional,21,25,,"(51.35346, -2.37575)",30,61,337,19,1
Airwave,AAS072,ST5299560365,16,TETRA,400,Omni,17,25,,"(51.34042, -2.6762)",4,32,88,21,1
Network Rail,1229,ST6668968522,29,GSM,900,MACRO,29,32,,"(51.41473, -2.48038)",16,47,154,3,1
Network Rail,1230,ST7455464384,15,GSM,900,MACRO,29,32,,"(51.37794, -2.367)",33,109,561,12,1
Network Rail,1230,ST7455464384,15,GSM,900,MACRO,29,32,,"(51.37794, -2.367)",33,109,561,12,1
Network Rail,1231,ST7798666693,20,GSM,900,MACRO,26.5,32,,"(51.39884, -2.31782)",1,24,31,10,1
Network Rail,1231,ST7798666693,20,GSM,900,MACRO,26.5,32,,"(51.39884, -2.31782)",1,24,31,10,1
Network Rail,1232,ST7909463690,15,GSM,900,MACRO,29,32,,"(51.37188, -2.30172)",1,27,49,10,1
O2,135,ST7692965498,33,GSM,900,Sectored,23,32,,"(51.38806, -2.33294)",1,27,29,10,1
O2,760,ST6900853698,21.4,GSM,900,Omni,23.3,32,,"(51.28158, -2.44574)",12,79,419,24,1
O2,953,ST6650468579,11.85,GSM,900,Sectored,24.89,32,,"(51.41524, -2.48304)",16,45,152,3,1
O2,1723,ST6200467460,16.1,GSM,900,Sectored,25.89,32,,"(51.40489, -2.54763)",7,75,403,20,1
O2,1723,ST6200467460,16.1,UMTS,900,Sectored,27.89,32,,"(51.40489, -2.54763)",7,75,403,20,1
O2,2018,ST7277065920,22.7,GSM,900,Sectored,21,32,,"(51.39166, -2.39274)",29,16,316,8,1
O2,2018,ST7277065920,22.7,UMTS,900,Sectored,25,32,,"(51.39166, -2.39274)",29,16,316,8,1
O2,2727,ST7730160500,21.5,GSM,900,Sectored,24.5,32,,"(51.34313, -2.32728)",10,113,52,10,1
O2,3038,ST7433062030,11.5,GSM,900,Sectored,21.5,32,,"(51.35676, -2.37003)",18,4,262,17,1
