id,uri,title,published,isbn,author
GBA1W5719,http://bnb.data.bl.uk/id/resource/008394148,Trails west : western stories,2001,0754044386,Eugene Cunningham
GB8233084,http://bnb.data.bl.uk/id/resource/008783185,The Ipcress file,1983,0851191991,Len Deighton
GB98Z9085,http://bnb.data.bl.uk/id/resource/009493553,Bear in a square,1998,1901223027,Stella Blackstone
GB8943078,http://bnb.data.bl.uk/id/resource/008422911,The long farewell,1990,0745196519,"Innes, Michael"
GB7321725,http://bnb.data.bl.uk/id/resource/010972157,Without love,1973,0855948671,Gerald Hanley
GB96X2240,http://bnb.data.bl.uk/id/resource/007713430,Dangerous odyssey,1996,074513999X,Jane Edwards
GB7316421,http://bnb.data.bl.uk/id/resource/012257346,"Bath millenium : the Christian movement, 973-1973",1973,0950289701,Barbara Grace Stone
GBA509776,http://bnb.data.bl.uk/id/resource/013100364,Vessel of sadness,2005,140562065X,William Woodruff
GB97V8087,http://bnb.data.bl.uk/id/resource/008391706,The Eden inheritance,1998,075401052X,Janet Tanner
GB99W3681,http://bnb.data.bl.uk/id/resource/008393570,In Kensington Gardens once,1999,0754038238,H. R. F. Keating
GBB226680,http://bnb.data.bl.uk/id/resource/016049729,Outcasts of Picture Rocks,2012,1445887320,Cherry Wilson
GBA8B2422,http://bnb.data.bl.uk/id/resource/014760861,"The soul of a rhino : a Nepali adventure with kings and elephant drivers, billionaires, and bureaucrats, shamans and scientists, and the Indian rhinoceros",2008,1599211467,Hemanta R. Mishra
GBA994954,http://bnb.data.bl.uk/id/resource/015381045,The Pagan Stone,2009,140841497X,Nora Roberts
GB8621642,http://bnb.data.bl.uk/id/resource/009444978,Footsteps in the dark,1987,074517048X,Georgette Heyer
GBB276684,http://bnb.data.bl.uk/id/resource/007625674,The treasure within,2003,0754089274,Catherine Cross
GB9611812,http://bnb.data.bl.uk/id/resource/009445126,The 31st of February,1995,0745186726,Julian Symons
GB97Y7967,http://bnb.data.bl.uk/id/resource/007713840,The walker in shadows,1997,0745154506,Barbara Michaels
GBA484105,http://bnb.data.bl.uk/id/resource/013046159,A will and a way,2003,1587244896,Nora Roberts
GBA9B1469,http://bnb.data.bl.uk/id/resource/015421786,Leftover dead),2009,1408456443,Jimmie Ruth Evans
GBB295253,http://bnb.data.bl.uk/id/resource/012209237,Daisy Miller,2002,0786243864,Henry James
GB8507681,http://bnb.data.bl.uk/id/resource/009443814,A little local murder,1985,0745101364,Robert Barnard
GBA559156,http://bnb.data.bl.uk/id/resource/013250975,Paradise Valley,2005,1405680504,Jack Curtis
GB97Z6493,http://bnb.data.bl.uk/id/resource/007713691,Rippon rides double,1996,0745149820,Max Brand
GB8113710,http://bnb.data.bl.uk/id/resource/008783402,Because of yesterday,1981,0851194257,Stella March
GBA3U9190,http://bnb.data.bl.uk/id/resource/006945984,Marrakech,2004,1903471818,Justin McGuinness
GBA0V7333,http://bnb.data.bl.uk/id/resource/008392069,Post captain,2000,0786219335,Patrick O'Brian
GB99W2158,http://bnb.data.bl.uk/id/resource/009492788,Laos handbook,1999,1900949466,Joshua Eliot
GB8711606,http://bnb.data.bl.uk/id/resource/009445434,Spiderweb ridge,1987,0745192548,Walt Coburn
GBA546634,http://bnb.data.bl.uk/id/resource/013210778,Stephen Coonts' Deep black : dark zone,2005,1405611049,Stephen Coonts
GBB489081,http://bnb.data.bl.uk/id/resource/016492835,Four Bath Buns,2013,1903056365,Amanda Overeynder
GBB195995,http://bnb.data.bl.uk/id/resource/015388697,Princess Mia and the big smile,2009,1407555197,Rachel Elliot
GB8624234,http://bnb.data.bl.uk/id/resource/008133407,Kabbalah and psychology,1986,0946551243,Zʾev ben Shimon Halevi
GB8720587,http://bnb.data.bl.uk/id/resource/009444245,Hoffman vs. Hoffman : the actor and the man,1987,0745105726,Patrick Agan
GB7617577,http://bnb.data.bl.uk/id/resource/008813681,The Claverton herbal,1976,0950497118,Cathleen Maxwell
GB8742800,http://bnb.data.bl.uk/id/resource/008422580,Fahrenheit 451,1988,0745171060,Ray Bradbury
GBA530592,http://bnb.data.bl.uk/id/resource/013029417,The art of managing major procurement projects,2004,095471170X,David McEwen
GBA4X0639,http://bnb.data.bl.uk/id/resource/012880367,Endangering innocents,2003,0754072983,Priscilla Masters
GBA455175,http://bnb.data.bl.uk/id/resource/012959414,The Tristan betrayal,2004,0786256281,Robert Ludlum
GBA795145,http://bnb.data.bl.uk/id/resource/014407668,"Interesting, very interesting : the autobiography",2008,1405648910,Barry Davies
GB7404948,http://bnb.data.bl.uk/id/resource/011602454,User evaluation of an information service in social welfare : report of an interview and questionnaire study of the Wiltshire Social Services Staff Digest,1973,0900843454,Design of Information Systems in the Social Sciences
GBA619643,http://bnb.data.bl.uk/id/resource/013392204,Buffalo township,2005,1405634758,Lauran Paine
GBA8A9796,http://bnb.data.bl.uk/id/resource/014754570,Accidentally yours,2008,1597227617,Susan Mallery
GB8722238,http://bnb.data.bl.uk/id/resource/010104146,Ishmael,1987,0859979245,Barbara Hambly
GB8412302,http://bnb.data.bl.uk/id/resource/008783600,Shared moments,1984,0851196268,Mary Lynn Baxter
GBA4Z0982,http://bnb.data.bl.uk/id/resource/006946322,A lost mine named Salvation,2003,0754077470,Nelson C. Nye
GB7307994,http://bnb.data.bl.uk/id/resource/010972079,The reminiscences of Lady Randolph Churchill,1973,0855947888,Randolph Spencer Churchill
GBB1C6511,http://bnb.data.bl.uk/id/resource/015959634,If you can't stand the heat,2012,1410439534,Robin Allen
GBA002908,http://bnb.data.bl.uk/id/resource/010733157,Ancient wisdom,1999,0752535412,Cassandra Eason
GB7028476,http://bnb.data.bl.uk/id/resource/012244855,Light motor cars and voiturettes,1970,0901571393,John Henry Knight
