the_geom,Name,Descriptio
POINT (-2.36206257603399 51.3599641035717),kml_1,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34909107476232 51.3634293571296),kml_2,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34909107476232 51.3634293571296),kml_3,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.42059595690947 51.3152862234904),kml_4,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.37751095693894 51.3226445547614),kml_5,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.37542213785612 51.3234155364523),kml_6,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.43131821194931 51.2897283347414),kml_7,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.43206833772867 51.406150829845),kml_8,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.43391155833864 51.4079873183943),kml_9,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.42994401842594 51.3145418360389),kml_10,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.43238809833066 51.3181116237869),kml_11,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.4234706977222 51.3111755984965),kml_12,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.41914174680551 51.3178900460122),kml_13,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.37644930465943 51.3594511969274),kml_14,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.50081560535166 51.3954107497746),kml_15,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.508272049181 51.3808479521682),kml_16,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.53004135963189 51.3784046471043),kml_17,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.52620334714186 51.3557088180272),kml_18,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.54899847173144 51.3716724256086),kml_19,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.5725351150758 51.3835906555067),kml_20,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.53103867056699 50.0459069741562),kml_21,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.4800139436899 51.3607717865005),kml_22,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
