postcode,status,has_lines_below_2m,average_speed,median_speed,max_speed,has_fibre,connections,longitude,latitude,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
BA20BS,OK,Y,4.7,4.7,6.8,N,7,-2.49187178639314,51.3466148365651,"(51.346615, -2.491872)",8,40,126,16,1
BA20AB,OK,N,8.9,8.1,11.7,N,4,-2.48153279757937,51.3410289618689,"(51.341029, -2.481533)",8,40,127,16,1
BS397LR,OK,Y,5.2,5.9,8,Y,4,-2.49718512816607,51.3015883899127,"(51.301588, -2.497185)",13,67,372,23,1
BA20HY,OK,Y,17.6,18.7,24.4,N,10,-2.47624418398485,51.3266547402745,"(51.326655, -2.476244)",14,87,461,16,1
BA33SX,OK,N,19.5,14.9,30,Y,4,-2.46544859163424,51.2866755384042,"(51.286676, -2.465449)",26,97,510,26,1
BA18BE,OK,N,12.4,6.3,30,Y,5,-2.34211583674962,51.3984818041987,"(51.398482, -2.342116)",23,58,224,4,1
BS395AG,OK,N,11,6.8,22.1,N,5,-2.54541276039693,51.3175499341767,"(51.31755, -2.545413)",2,7,268,20,1
BA13EA,OK,Y,21.9,9.8,30,Y,16,-2.38940071563624,51.3858626781929,"(51.385863, -2.389401)",29,15,325,8,1
BA17AD,OK,N,16.6,6.1,30,Y,10,-2.33935045495774,51.4016189452453,"(51.401619, -2.33935)",23,58,217,4,1
BA20EU,OK,N,11.2,8.9,19.8,N,14,-2.48622246951315,51.3242938373698,"(51.324294, -2.486222)",14,87,460,16,1
BA23HW,OK,N,24.9,20.8,30,Y,5,-2.36967030490736,51.3769619092852,"(51.376962, -2.36967)",33,112,566,12,1
BS408RR,Insufficient Data,,,,,N,2,-2.6045371313968,51.3671011936982,"(51.367101, -2.604537)",6,31,78,21,1
BS311RN,OK,N,27.4,20,30,Y,6,-2.49021973524823,51.4056884222803,"(51.405688, -2.49022)",16,46,146,3,1
BA27PD,No Data,,,,,N,0,-2.32255484975953,51.3804460832392,"(51.380446, -2.322555)",22,29,580,12,1
BA34PR,Insufficient Premises,,,,,N,2,-2.59537795057108,51.2932981968903,"(51.293298, -2.595378)",2,6,271,21,1
BA20NP,OK,N,10.3,9.8,15.3,N,9,-2.45951307729921,51.3269733789558,"(51.326973, -2.459513)",9,28,62,22,1
BA33AX,Insufficient Data,,,,,N,2,-2.44945640317699,51.2951004674364,"(51.2951, -2.449456)",12,76,409,24,1
BA33BG,OK,N,12,11.3,18.4,Y,9,-2.45705313464982,51.2989735053571,"(51.298974, -2.457053)",12,76,421,24,1
BA20AY,OK,N,6.5,6.9,8.4,N,5,-2.49385519217249,51.3427939744869,"(51.342794, -2.493855)",8,40,128,16,1
BA22DF,OK,Y,18.1,10.8,30,Y,12,-2.37250305089184,51.3701731898424,"(51.370173, -2.372503)",31,65,356,14,1
BS395RJ,Insufficient Data,,,,,N,2,-2.54881944444012,51.336075148568,"(51.336075, -2.548819)",5,35,98,20,1
BS408BE,No Data,,,,,N,0,-2.67343600392348,51.3577334826026,"(51.357733, -2.673436)",4,32,88,21,1
BA20JZ,No Data,,,,,N,0,-2.47416695908069,51.3270228441022,"(51.327023, -2.474167)",14,87,459,16,1
BA26RL,OK,Y,6.3,6.8,10.1,N,15,-2.34072183442945,51.3888557970642,"(51.388856, -2.340722)",22,29,71,12,1
BA24SB,Insufficient Premises,,,,,Y,2,-2.36669423073002,51.3677277977289,"(51.367728, -2.366694)",18,5,256,17,1
BA13ZJ,No premises,,,,,N,0,-2.3555616880202,51.37885788809,"(51.378858, -2.355562)",35,21,13,7,1
BA15PB,OK,N,12,11.6,17.3,Y,7,-2.3581112038937,51.3907101452231,"(51.39071, -2.358111)",36,96,497,6,1
BA26LB,OK,N,13.4,10.8,30,Y,8,-2.34402040634584,51.3802860758806,"(51.380286, -2.34402)",22,29,77,12,1
BA25SL,OK,N,17.7,19,24,N,3,-2.36299346376702,51.3556904285213,"(51.35569, -2.362993)",19,36,119,18,1
BA14HL,No Data,,,,,Y,0,-2.39221129486441,51.4019573873721,"(51.401957, -2.392211)",20,106,553,5,1
BA32NH,OK,N,11.1,14.6,16,Y,5,-2.49695926192937,51.2793524772522,"(51.279352, -2.496959)",25,12,298,27,1
BA20QP,Insufficient Premises,,,,,N,2,-2.47192630521015,51.3198654310654,"(51.319865, -2.471926)",14,87,459,16,1
BA16HS,OK,N,5,5.1,5.9,Y,6,-2.35861963155831,51.3969128393301,"(51.396913, -2.35862)",23,57,215,4,1
BA28DH,OK,N,26.5,5.4,30,Y,10,-2.42861672878706,51.3150325819293,"(51.315033, -2.428617)",15,73,378,22,1
BA12HS,No premises,,,,,N,0,-2.3555616880202,51.37885788809,"(51.378858, -2.355562)",35,21,13,7,1
BS312DL,OK,Y,22.2,20.1,30,Y,20,-2.50382512934151,51.4153057439182,"(51.415306, -2.503825)",24,50,162,1,1
BA32SR,No Data,,,,,Y,0,-2.484637123471,51.2937102095555,"(51.29371, -2.484637)",11,9,276,25,1
BS319DR,No premises,,,,,N,0,-2.49892474066113,51.4155874740204,"(51.415587, -2.498925)",24,49,158,1,1
BA27SE,No Data,,,,,N,0,-2.33570641653301,51.3358731427235,"(51.335873, -2.335706)",10,113,54,10,1
BS312NZ,OK,Y,20.9,20,30,Y,22,-2.5103972798208,51.4089111878108,"(51.408911, -2.510397)",37,51,185,2,1
BS312TG,Insufficient Data,,,,,N,1,-2.48193090746577,51.3857972198971,"(51.385797, -2.481931)",8,41,122,16,1
BS312PP,OK,N,30,25.1,30,Y,12,-2.50664177576032,51.4073449533403,"(51.407345, -2.506642)",37,53,190,2,1
BS312SD,No Data,,,,,N,0,-2.51079921953111,51.4062748721189,"(51.406275, -2.510799)",37,51,175,2,1
BS311RR,OK,N,16.5,15.3,30,Y,4,-2.48783523725644,51.4058782101713,"(51.405878, -2.487835)",16,47,148,3,1
BA29BB,Insufficient Premises,,,,,N,2,-2.43071509892756,51.3858169306107,"(51.385817, -2.430715)",9,28,68,22,1
BA15QA,OK,N,21.6,11.5,30,Y,24,-2.35943876586844,51.3950580454989,"(51.395058, -2.359439)",21,59,236,7,1
BA20JN,OK,N,14.3,14.2,21.1,N,16,-2.47182449998903,51.3281203158046,"(51.32812, -2.471824)",14,88,457,16,1
BA33AR,OK,N,13.5,12.9,20.8,N,4,-2.45084111697764,51.2959044070965,"(51.295904, -2.450841)",12,76,421,24,1
BA21AZ,Insufficient Premises,,,,,N,2,-2.39219045085447,51.3810428146807,"(51.381043, -2.39219)",28,92,482,11,1
BS394JZ,OK,Y,1.8,1.5,4,N,10,-2.51123136180633,51.3779940614204,"(51.377994, -2.511231)",8,41,123,16,1
BA12LW,OK,Y,14.4,15.7,22.5,N,29,-2.36636799759509,51.3862337256063,"(51.386234, -2.366368)",35,22,23,7,1
BA24NG,OK,N,19.5,11.3,30,Y,30,-2.35252073836305,51.3757829325291,"(51.375783, -2.352521)",33,111,569,12,1
BA13AT,Insufficient Premises,,,,,Y,2,-2.37791525454377,51.3854327378148,"(51.385433, -2.377915)",34,54,206,9,1
BS397PU,OK,N,8.6,8.1,12.9,N,5,-2.48018170044113,51.3161542072596,"(51.316154, -2.480182)",13,69,581,23,1
BA11PS,No Data,,,,,N,0,-2.35809589985214,51.3795515173329,"(51.379552, -2.358096)",35,21,13,7,1
BA20AZ,OK,Y,3.4,2.9,5.3,N,3,-2.49746777209454,51.3436239086409,"(51.343624, -2.497468)",8,40,126,16,1
BS311RE,OK,Y,23.3,20,30,Y,25,-2.48649914389004,51.4032581952181,"(51.403258, -2.486499)",16,46,147,3,1
BA20NT,Insufficient Premises,,,,,N,2,-2.46506914655268,51.3356644819232,"(51.335664, -2.465069)",14,88,456,16,1
BS311TS,OK,N,4.9,4.7,5.6,N,4,-2.46650982057841,51.4138777460229,"(51.413878, -2.46651)",16,45,152,3,1
BA32DL,OK,N,17.1,15.4,23.5,Y,5,-2.47851776404376,51.288628015489,"(51.288628, -2.478518)",11,11,290,25,1
BA20LQ,No Data,,,,,N,0,-2.47901094793645,51.3304829495777,"(51.330483, -2.479011)",14,88,455,16,1
BA12AY,OK,N,22.1,20.5,30,Y,7,-2.36579524742373,51.382890610213,"(51.382891, -2.365795)",34,115,212,9,1
BS311TB,OK,N,30,25,30,Y,8,-2.48027096678435,51.4111606047918,"(51.411161, -2.480271)",16,47,154,3,1
BS396XN,No premises,,,,,N,0,-2.52201948632942,51.3121176181724,"(51.312118, -2.522019)",3,43,136,23,1
BA11RZ,Insufficient Premises,,,,,Y,2,-2.36003240248941,51.3828005697862,"(51.382801, -2.360032)",35,20,11,7,1
BA24LS,OK,Y,11.3,6.4,30,Y,15,-2.35812205034595,51.3700202398432,"(51.37002, -2.358122)",33,110,575,12,1
BA26LT,Insufficient Data,,,,,N,1,-2.35724009761137,51.3858932681032,"(51.385893, -2.35724)",35,20,6,7,1
BA16PZ,OK,N,8.4,9.4,9.6,Y,3,-2.34750237261839,51.394185914507,"(51.394186, -2.347502)",36,95,504,6,1
BA24BS,No premises,,,,,Y,0,-2.35474392658032,51.3845880712978,"(51.384588, -2.354744)",35,21,8,7,1
BA27AN,No Data,,,,,N,0,-2.31937027859123,51.3667604693654,"(51.36676, -2.31937)",19,37,105,18,1
BA16HB,OK,N,24.8,7.8,30,Y,11,-2.35623563815121,51.3953285909268,"(51.395329, -2.356236)",36,93,502,6,1
BS311EZ,OK,N,9,8.1,14.1,N,8,-2.49438833995431,51.4082964745491,"(51.408296, -2.494388)",16,46,142,3,1
BA11NH,Insufficient Premises,,,,,N,2,-2.35958461993681,51.380670916218,"(51.380671, -2.359585)",35,20,12,7,1
BS406BU,OK,N,6.1,6,6.5,N,5,-2.62752071973842,51.2935439162786,"(51.293544, -2.627521)",2,6,271,21,1
BA17BL,Insufficient Premises,,,,,Y,2,-2.34115103926721,51.3982508356169,"(51.398251, -2.341151)",23,58,220,4,1
BA14BP,OK,Y,10.4,5.1,30,Y,6,-2.38895983121897,51.3948738054396,"(51.394874, -2.38896)",20,107,551,5,1
BA25AS,No Data,,,,,N,0,-2.35612282458315,51.3641547527293,"(51.364155, -2.356123)",33,110,575,12,1
BA15HF,OK,N,7.2,8.2,9.7,Y,4,-2.3669748790132,51.3938297901359,"(51.39383, -2.366975)",21,1,234,7,1
BA11XD,OK,N,19.8,20.1,24,Y,10,-2.36549887077748,51.3799602456196,"(51.37996, -2.365499)",34,55,195,9,1
BA18AB,Insufficient Premises,,,,,N,2,-2.34125399779881,51.4197945039395,"(51.419795, -2.341254)",1,25,34,10,1
BA14EP,OK,Y,17,4.2,30,Y,25,-2.39066390070827,51.3975026930835,"(51.397503, -2.390664)",20,108,544,5,1
BA24AR,OK,N,12,15.2,18,Y,5,-2.35578871559133,51.3803408270016,"(51.380341, -2.355789)",35,21,13,7,1
BA11RH,No Data,,,,,Y,0,-2.3604612119426,51.3825115167169,"(51.382512, -2.360461)",35,20,11,7,1
BA10BD,No premises,,,,,N,0,-2.3555616880202,51.37885788809,"(51.378858, -2.355562)",35,21,13,7,1
BA32TY,OK,N,16.7,9.8,30,Y,8,-2.4853260789685,51.2924035359376,"(51.292404, -2.485326)",11,9,276,25,1
BA28NA,Insufficient Data,,,,,Y,2,-2.40426428721806,51.3032140708729,"(51.303214, -2.404264)",10,114,57,10,1
BS311NU,OK,N,14.2,11.2,30,Y,11,-2.49049662241316,51.4100662108508,"(51.410066, -2.490497)",16,46,142,3,1
BS140QN,OK,N,12,14,17.4,Y,5,-2.55230977005273,51.4030832927251,"(51.403083, -2.55231)",7,75,403,20,1
BA23EJ,OK,N,13.5,14.6,18,Y,4,-2.37643392993867,51.3817868841834,"(51.381787, -2.376434)",32,103,538,13,1
BA14EN,OK,Y,6.6,3.2,30,Y,19,-2.38961087565525,51.4004464754336,"(51.400446, -2.389611)",20,106,553,5,1
BA20NF,No Data,,,,,N,0,-2.46745331757326,51.3245051652746,"(51.324505, -2.467453)",14,87,459,16,1
BA15TQ,Insufficient Data,,,,,Y,2,-2.37434632784198,51.4041648545979,"(51.404165, -2.374346)",21,1,233,7,1
BA26DG,OK,N,13.1,7.2,30,Y,10,-2.3491755271269,51.3779779367199,"(51.377978, -2.349176)",33,110,568,12,1
BA10TJ,No Data,,,,,N,0,-2.35879075452497,51.382049079234,"(51.382049, -2.358791)",35,20,12,7,1
BA22LT,OK,Y,12.5,4,30,Y,19,-2.38581423404388,51.3643843821741,"(51.364384, -2.385814)",30,62,338,19,1
BS313HZ,No Data,,,,,N,0,-2.4574300471013,51.4002641957488,"(51.400264, -2.45743)",17,80,422,16,1
BA10SR,No Data,,,,,N,0,-2.35879075452497,51.382049079234,"(51.382049, -2.358791)",35,20,12,7,1
BA16PT,OK,Y,5.4,5.8,8.1,Y,4,-2.3494219983963,51.3933529694464,"(51.393353, -2.349422)",36,95,487,6,1
BA10NZ,No premises,,,,,N,0,-2.3555616880202,51.37885788809,"(51.378858, -2.355562)",35,21,13,7,1
BA16QH,Insufficient Premises,,,,,Y,2,-2.34741853087571,51.3963981121001,"(51.396398, -2.347419)",23,57,225,4,1
BS311AD,OK,Y,23.4,20,30,Y,22,-2.50061144920601,51.4107157832007,"(51.410716, -2.500611)",37,52,174,2,1
BS312HA,OK,N,30,20.6,30,Y,4,-2.50851318003435,51.4127408452074,"(51.412741, -2.508513)",24,50,166,1,1
BS395XW,OK,Y,2.4,2.3,3,N,8,-2.60228238700657,51.3310107106395,"(51.331011, -2.602282)",4,33,89,21,1
BA28LS,OK,Y,3.4,2.6,14.7,Y,27,-2.41472390401141,51.3066662990304,"(51.306666, -2.414724)",10,114,57,10,1
BA11JD,Insufficient Data,,,,,N,2,-2.36804895999172,51.3808154605599,"(51.380815, -2.368049)",34,55,195,9,1
BS397ST,OK,N,9.1,8.1,16.9,Y,5,-2.50678123485925,51.2937692826438,"(51.293769, -2.506781)",13,67,373,23,1
BA18EY,No Data,,,,,N,0,-2.31590008987502,51.4218437842682,"(51.421844, -2.3159)",1,25,34,10,1
BA22TU,OK,Y,11.2,8.1,30,N,20,-2.38627783306736,51.3614425611296,"(51.361443, -2.386278)",30,62,582,19,1
BA22QH,OK,N,30,30,30,Y,8,-2.39393848963407,51.3654093619226,"(51.365409, -2.393938)",30,62,340,19,1
BA20PX,Insufficient Premises,,,,,N,2,-2.45339699651703,51.3151190564027,"(51.315119, -2.453397)",9,28,63,22,1
BS394HF,No Data,,,,,N,0,-2.58293352848945,51.3682897267551,"(51.36829, -2.582934)",5,34,101,20,1
BA11TR,No premises,,,,,N,0,-2.35994260045321,51.3786826532062,"(51.378683, -2.359943)",35,20,12,7,1
BA28QP,OK,N,5.5,6.1,6.8,N,4,-2.36234881318469,51.3104009257016,"(51.310401, -2.362349)",10,114,60,10,1
BS140QE,No Data,,,,,Y,0,-2.54978574782607,51.4059904935961,"(51.40599, -2.549786)",7,75,403,20,1
BA29BB,No Data,,,,,N,0,-2.43071509892756,51.3858169306107,"(51.385817, -2.430715)",9,28,68,22,1
BA29JE,Insufficient Premises,,,,,N,2,-2.41798673759404,51.3767724411219,"(51.376772, -2.417987)",9,28,68,22,1
BA22ES,OK,Y,30,20,30,Y,25,-2.39146625313991,51.3669012865376,"(51.366901, -2.391466)",27,84,448,15,1
BA34RT,No premises,,,,,Y,0,-2.47713870187069,51.2842456176566,"(51.284246, -2.477139)",26,100,517,26,1
BA20BY,Insufficient Premises,,,,,N,2,-2.48377846342073,51.3484199342558,"(51.34842, -2.483778)",8,40,127,16,1
BA16BQ,OK,N,29.3,4.3,30,Y,8,-2.34297653967358,51.39440606505,"(51.394406, -2.342977)",36,95,503,6,1
BA33EX,OK,N,11.5,8.3,30,Y,19,-2.45990594034268,51.2844764623966,"(51.284476, -2.459906)",26,98,518,26,1
BA11JX,OK,N,16.7,18.4,19.7,Y,7,-2.35757003168702,51.3802904427022,"(51.38029, -2.35757)",35,21,13,7,1
BA34PA,OK,N,3.8,4,5.1,N,3,-2.61350159049728,51.2854625804618,"(51.285463, -2.613502)",2,6,271,21,1
BA14HE,OK,Y,2.1,1.9,4.1,Y,4,-2.38976303049218,51.3997446194048,"(51.399745, -2.389763)",20,106,553,5,1
BA32EF,OK,N,20.6,17,30,Y,18,-2.48170051653176,51.289927770152,"(51.289928, -2.481701)",11,11,283,25,1
BS395TH,OK,Y,1.9,1.9,3.1,N,19,-2.57952774838045,51.3363318142904,"(51.336332, -2.579528)",4,33,91,21,1
