longitude,latitude,LSOA code (2011),LSOA name (2011),Local Authority District code (2013),Local Authority District name (2013),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2012 (excluding prisoners),Dependent Children aged 0-15: mid 2012 (excluding prisoners),Population aged 16-59: mid 2012 (excluding prisoners),Older population aged 60 and over: mid 2012 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners) ,location,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
-2.4169127794,51.3184534015,E01014442,Bath and North East Somerset 022B,E06000022,Bath and North East Somerset,8.533,26070,8,0.057,26292,9,0.055,26400,9,10.738,21162,7,-0.849,27198,9,-1.191,30740,10,34.015,4452,2,3.267,31060,10,0.051,28295,9,0.116,20375,7,-0.256,20314,7,0.26,20551,7,1.361,1843,1,-1.755,24873,8,-0.92,28062,9,-1.043,29207,9,1716,332,1037,347,1031.25,"(51.3184534015, -2.4169127794)",15,394,22,1,70
-2.3883695997,51.3791009204,E01014474,Bath and North East Somerset 013B,E06000022,Bath and North East Somerset,17.32,16482,6,0.106,17414,6,0.1,15772,5,25.382,10665,4,-0.002,16166,5,0.416,10184,4,17.121,20373,7,16.488,17258,6,0.088,22836,7,0.165,14936,5,0.753,5953,2,0.277,18655,6,-0.201,19322,6,0.643,12220,4,0.056,15719,5,0.002,16017,5,1167,144,807,216,813.25,"(51.3791009204, -2.3883695997)",32,525,13,1,102
-2.3600682842,51.3835223388,E01014370,Bath and North East Somerset 007A,E06000022,Bath and North East Somerset,28.329,8999,3,0.155,11963,4,0.137,10381,4,10.419,21454,7,0.958,4732,2,0.685,6582,3,19.942,16891,6,51.396,2016,1,0.177,13965,5,0.239,9055,3,0.025,15827,5,0.2,27096,9,-0.209,19466,6,1.281,9396,3,1.489,1346,1,0.139,13902,5,1782,79,1219,484,1247.5,"(51.3835223388, -2.3600682842)",35,11,7,1,20
-2.3951576722,51.3765386678,E01014461,Bath and North East Somerset 011A,E06000022,Bath and North East Somerset,28.346,8984,3,0.177,9965,4,0.125,11950,4,53.356,2591,1,0.295,11949,4,0.916,4140,2,17.839,19518,6,16.446,17301,6,0.203,12193,4,0.253,8195,3,1.657,622,1,0.361,9744,3,-0.106,17651,6,0.575,12552,4,0.216,13307,5,-0.417,22424,7,1161,255,702,204,702,"(51.3765386678, -2.3951576722)",28,472,11,1,89
-2.3714002056,51.4147439129,E01014375,Bath and North East Somerset 010C,E06000022,Bath and North East Somerset,10.467,23642,8,0.035,30822,10,0.051,27496,9,1.057,31997,10,-0.987,28450,9,0.224,13080,4,36.137,3508,2,25.068,11347,4,0.036,30525,10,0.044,31308,10,-1.653,32290,10,0.154,30437,10,1.484,1462,1,-1.749,24849,8,0.708,6919,3,-0.657,25509,8,1252,203,664,385,684.75,"(51.4147439129, -2.3714002056)",1,47,10,1,25
-2.3466904631,51.3831885254,E01014381,Bath and North East Somerset 012B,E06000022,Bath and North East Somerset,2.92,32163,10,0.039,30226,10,0.025,32355,10,0.168,32784,10,-1.485,31387,10,-0.704,26452,9,17.013,20506,7,11.269,22177,7,0.048,28801,9,0.053,30242,10,-1.973,32693,10,0.08,32512,10,0.084,14388,5,-0.206,16590,6,-0.258,20246,7,-0.211,19388,6,1497,168,828,501,853.5,"(51.3831885254, -2.3466904631)",22,73,12,1,30
-2.397789713,51.3855561417,E01014429,Bath and North East Somerset 008C,E06000022,Bath and North East Somerset,5.134,30160,10,0.055,26839,9,0.048,28417,9,2.668,30188,10,-0.909,27787,9,0.075,15392,5,8.939,29785,10,10.972,22484,7,0.059,27134,9,0.092,23985,8,-0.908,28523,9,0.164,29895,10,-0.374,22253,7,-1.197,22007,7,-0.116,18215,6,-0.608,24904,8,1615,373,939,303,933,"(51.3855561417, -2.397789713)",29,320,8,1,17
-2.3643334467,51.3726545467,E01014415,Bath and North East Somerset 017A,E06000022,Bath and North East Somerset,2.773,32249,10,0.03,31580,10,0.031,31704,10,0.244,32739,10,-1.37,30944,10,-0.642,25695,8,7.153,31039,10,18.719,15600,5,0.029,31458,10,0.041,31632,10,-1.717,32415,10,0.076,32573,10,-0.732,27182,9,-1.027,21098,7,0.314,11879,4,-0.301,20731,7,2024,400,1229,395,1248.75,"(51.3726545467, -2.3643334467)",18,264,17,1,3
-2.48814271,51.397281721,E01014395,Bath and North East Somerset 003A,E06000022,Bath and North East Somerset,3.643,31624,10,0.018,32583,10,0.027,32137,10,2.177,30761,10,-1.252,30335,10,-1.666,32396,10,28.693,7791,3,1.521,32428,10,0.015,32564,10,0.029,32484,10,-1.286,31109,10,0.182,28621,9,1.188,2507,1,-3.47,30675,10,-1.608,31785,10,-0.972,28684,9,1223,163,542,518,568.25,"(51.397281721, -2.48814271)",16,151,3,1,44
-2.3562765648,51.3990876371,E01014410,Bath and North East Somerset 004B,E06000022,Bath and North East Somerset,1.814,32689,10,0.036,30710,10,0.038,30663,10,2.209,30731,10,-1.865,32337,10,-0.796,27463,9,8.633,30048,10,5.757,28444,9,0.042,29626,10,0.056,29817,10,-0.904,28491,9,0.137,31164,10,-0.241,20005,7,-1.813,25146,8,-0.625,25017,8,-0.738,26422,9,1759,359,945,455,961.25,"(51.3990876371, -2.3562765648)",23,226,4,1,57
