id,label,latitude,longitude,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
1,anabate,51.38765884551084,-2.405928166712303,"(51.38765884551084, -2.4059281667123034)",9,28,68,22,1
2,sm2c,51.3815974373247,-2.390355958759026,"(51.3815974373247, -2.390355958759026)",29,15,308,8,1
3,anabatd,51.38123921586976,-2.389921842049137,"(51.38123921586976, -2.3899218420491373)",32,103,578,13,1
4,anabatc,51.384689955224104,-2.379604791234698,"(51.384689955224104, -2.379604791234698)",34,54,206,9,1
5,sm2f,51.38433029745253,-2.379601813655122,"(51.38433029745253, -2.3796018136551225)",32,103,538,13,1
6,anabatb,51.37951521539518,-2.366917792022633,"(51.37951521539518, -2.366917792022633)",34,55,195,9,1
7,sm2g,51.37924772023536,-2.36619723771184,"(51.37924772023536, -2.36619723771184)",33,109,561,12,1
8,sm2e,51.38583593859609,-2.358346167236208,"(51.38583593859609, -2.3583461672362076)",35,20,11,7,1
9,anabata,51.38547671967349,-2.358199657313293,"(51.38547671967349, -2.3581996573132926)",35,20,6,7,1
10,sm2d,51.39090279277633,-2.347894268434371,"(51.39090279277633, -2.347894268434371)",36,95,496,6,1
