id,name
BABA,Barbastelle barbastella barbastellus
EPSE,Serotine Eptesicus serotinus
MYBE,Bechstien’s Myotis bechsteinii
MYBR,Brandt’s Myotis brandtii
MYDAU,Daubenton’s Myotis daubentonii
MYNA,Natterers Myotis nattereri
MYSP,Myotis species
NOID,Not identified
NOISE,Not a bat
NYLE,Leisler’s Nyctalus leisleri
NYNO,Noctule Nyctalus noctula
NYSP,Nyctalus species
PINA,Nathusius pipistrelle Pipistrellus nathusii
PIPI,Common pipistrelle Pipistrellus pipistrellus
PIPY,Soprano pipistrelle Pipistrellus pygmaeus
PLAUR,Long eared sp Plecotus sp
RHFE,Greater horseshoe Rhinolophus ferrumequinum
RHHI,Lesser horseshoe Rhinolophus hipposideros
NA,Not applicable
