Year,Ward,WD12CD,WD12CDO,Candidate,Party,Votes,Result
2011,Abbey,E05001935,00HANP,Manda Rigby,Liberal Democrats,773,Elected
2011,Abbey,E05001935,00HANP,Brian John Webber,Conservative Party,716,Elected
2011,Abbey,E05001935,00HANP,Jay Oliver Risbridger,Liberal Democrats,662,Not elected
2011,Abbey,E05001935,00HANP,Gladys Pek Yue MacRae,Conservative Party,646,Not elected
2011,Abbey,E05001935,00HANP,Ian James Martin,Green Party,436,Not elected
2011,Abbey,E05001935,00HANP,Adrian Bateman,Labour Party,323,Not elected
2007,Abbey,E05001935,00HANP,Terry Gazzard,Conservative Party,728,Elected
2007,Abbey,E05001935,00HANP,Brian Webber,Conservative Party,661,Elected
2007,Abbey,E05001935,00HANP,Roger Michael Crouch,Liberal Democrats,633,Not elected
2007,Abbey,E05001935,00HANP,Ian Thorn,Liberal Democrats,621,Not elected
2007,Abbey,E05001935,00HANP,Ian James Martin,Green Party,345,Not elected
2007,Abbey,E05001935,00HANP,Julian Emery,Independent,225,Not elected
2003,Abbey,E05001935,00HANP,Sarah Elizabeth Webb,Conservative Party,680,Elected
2003,Abbey,E05001935,00HANP,Brian Webber,Conservative Party,613,Elected
2003,Abbey,E05001935,00HANP,Jane Marilyn Tapper,Liberal Democrats,587,Not elected
2003,Abbey,E05001935,00HANP,Graham Richard Peter Smith,Liberal Democrats,561,Not elected
2003,Abbey,E05001935,00HANP,Andrew Richard Edwards,Independent,166,Not elected
2003,Abbey,E05001935,00HANP,Graham Paul Walker,Independent,82,Not elected
2015,Abbey,E05001935,00HANP,Brian John Webber,Conservative Party,985,Not elected
2015,Abbey,E05001935,00HANP,Peter Joseph Michael Turner,Conservative Party,1158,Elected
2015,Abbey,E05001935,00HANP,Jenny Knight,Independent,148,Not elected
2015,Abbey,E05001935,00HANP,Jonathan Charles Carr,Green Party,1071,Elected
2015,Abbey,E05001935,00HANP,Laurel Denise Casserley,Labour Party,639,Not elected
2015,Abbey,E05001935,00HANP,Manda Rigby,Liberal Democrats,741,Not elected
2015,Abbey,E05001935,00HANP,Louise Bray,Liberal Democrats,798,Not elected
2011,Bathavon North,E05001936,00HANQ,Gabriel Michael Batt,Conservative Party,1423,Elected
2011,Bathavon North,E05001936,00HANQ,Martin Beresford John Veal,Conservative Party,1408,Elected
