id,name,postcode,day,closingtime,Location,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
081a40ad5b5a1f938390b3608e4936cc,The Curfew Inn,BA1 5DG,Saturday,0:00,"(51.3900424, -2.3571185)",35,15,7,1,22
73e27e5790432131d90d3c480586b5ca,St Christophers Inn,BA1 2JY,Sunday,23:30,"(51.3836937, -2.3604584)",35,11,7,1,20
f7c244651d1724ab5b545fe899421f11,Marlborough Tavern,BA1 2LY,Saturday,1:00,"(51.38758136, -2.369683114)",34,200,9,1,115
5642e4c00419493040b880986ccd2b62,Revolution,BA1 2EB,Friday,0:00,"(51.38501, -2.3615183)",35,4,7,1,22
bdaa48ca89a65dd3f31c820ac18516f1,Devonshire Arms,BA2 4RY,Saturday,0:30,"(51.3692333, -2.3654974)",18,252,17,1,5
ad46e6a195494f82b831ecee0f385444,The Curfew Inn,BA1 5DG,Sunday,0:00,"(51.3900424, -2.3571185)",35,15,7,1,22
9557130089bdfa91cc9d34ed3847477a,The Raven,BA1 1HE,Friday,0:00,"(51.3826217, -2.3618477)",35,11,7,1,20
8febd6e4ea4b875cff2d965e9acadb71,Circo Bar & Lounge,BA2 4AA,Sunday,23:00,"(51.3801536, -2.3569087)",35,13,7,1,21
b2bc63331aae3f47d25b977415e7829b,Alehouse,BA1 1NG,Friday,0:00,"(51.3812608, -2.358277)",35,12,7,1,20
a6888fe84e4bbf20af6b276086e33170,Slug and Lettuce,BA1 2EE,Monday,0:00,"(51.38517287, -2.362056346)",35,4,7,1,22
f28531868270e5be437d5a7fbce5b90e,King Of Wessex,BA1 2BX,Sunday,23:30,"(51.3810366, -2.3649104)",34,196,9,1,55
3cf06e78b695a125c01b7730c15bd84f,The Curfew Inn,BA1 5DG,Tuesday,0:00,"(51.3900424, -2.3571185)",35,15,7,1,22
ff0fab91a403c3b04dad541921ecd3c8,Po Na Na,BA2 4AL,Friday,3:00,"(51.3806683, -2.3565983)",35,13,7,1,21
37cfd1ced458c5d46eaa29ea1fd50799,The Salamander,BA1 2JL,Friday,1:00,"(51.38343425, -2.362078271)",35,11,7,1,20
318b1255d10580c4318b8c5b2fd0152c,Back To Mine,BA1 5LS,Friday,2:00,"(51.38531725, -2.3604623)",35,7,7,1,20
869df9cfda51228a8bd733f9965b10eb,The Porter,BA1 2QS,Friday,1:00,"(51.3847244, -2.3628356)",35,4,7,1,22
ee717e71cc9c149453d6aba7976ff4df,The Cork,BA1 1EB,Monday,0:00,"(51.3806949, -2.3623316)",35,14,7,1,20
e2c33f6ca2cf491924859e73d16b6624,Pig & Fiddle,BA1 5BR,Friday,0:00,"(51.3844738, -2.3601015)",35,7,7,1,20
87fab7232217f7925e152150172e3b86,Po Na Na,BA2 4AL,Saturday,3:00,"(51.3806683, -2.3565983)",35,13,7,1,21
a93ebf2d1cecec3635f633ddc8c1291d,The West Gate,BA1 1EL,Sunday,23:00,"(51.381538, -2.361262419)",35,10,7,1,20
7db5111797ca0d2a88986641330195d6,St Christophers Inn,BA1 2JY,Tuesday,1:00,"(51.3836937, -2.3604584)",35,11,7,1,20
dbf6a50ffdf2787e73f2c8e2aefa3900,Devonshire Arms,BA2 4RY,Friday,0:30,"(51.3692333, -2.3654974)",18,252,17,1,5
e7ab6f032f4b9b4f6502f144e377f49b,The Canary,BA1 1HE,Monday,0:00,"(51.3826217, -2.3618477)",35,11,7,1,20
471ed4fa8be2cccd33f6e51150c6da93,The Porter,BA1 2QS,Saturday,1:00,"(51.3847244, -2.3628356)",35,4,7,1,22
6207807a053923019fc6eda84c5d14e6,The Slug And Lettuce,BA1 2EY,Tuesday,0:00,"(51.3852571, -2.3609377)",35,4,7,1,22
962d6b896060611e0ddb8fbb4370ed95,Sub 13,BA1 2EE,Monday,0:00,"(51.38517287, -2.362056346)",35,4,7,1,22
ee6adf9ff616ea018b86c4ccf21d443a,The Chequers,BA1 2QA,Saturday,0:00,"(51.3879331, -2.3642838)",21,247,7,1,2
be19c8cf1f541250f4623f9e44f827fb,The Cork,BA1 1EB,Friday,1:00,"(51.3806949, -2.3623316)",35,14,7,1,20
7e5d46c62d7489d4005a60c9123484a8,The Weir Lounge,BA2 6PA,Tuesday,4:00,"(51.3871585, -2.3525749)",35,19,7,1,21
73fb9c8b2211a1f27ef12393c85e2bf7,Flan O’Briens,BA1 1EP,Saturday,2:00,"(51.38133209, -2.36165962)",35,10,7,1,20
0e861d0905c2216c248f0b4accdb9393,Moles,BA1 2EN,Sunday,0:00,"(51.3847244, -2.3628356)",35,4,7,1,22
42d4b64458337b7efa668acc923cd40e,Ring O Bells,BA2 4JT,Saturday,0:00,"(51.3763999, -2.3540716)",33,572,12,1,111
f44326831c8388dc469b74eb95b906bf,The Salamander,BA1 2JL,Tuesday,0:00,"(51.38343425, -2.362078271)",35,11,7,1,20
d8e0b8cdc17d03acdf5d64316b9756d7,Gascoyne Place,BA1 1EY,Monday,2:00,"(51.3824068, -2.361809)",35,11,7,1,20
cc3424812c12ae17b07023364e8b168c,The Ram At Widcombe,BA2 4LD,Sunday,23:00,"(51.3765542, -2.3546397)",33,572,12,1,111
ac7787b5b48ffc176fc7abdd4d268ed0,The Grapes,BA1 1EQ,Saturday,0:30,"(51.3814334, -2.3614968)",35,10,7,1,20
4bfb4cdf4575ef7d986643ace11b3a52,The Crown Inn,BA2 6NY,Sunday,23:00,"(51.3869586, -2.3521468)",35,24,7,1,21
84fc0bd072b465f0a768fa816e98a0d8,Slug and Lettuce,BA1 2EE,Sunday,0:00,"(51.38517287, -2.362056346)",35,4,7,1,22
5c87c0cd970e9a64a5615ae31a63a8d8,The Canary,BA1 1HE,Friday,0:00,"(51.3826217, -2.3618477)",35,11,7,1,20
9749bbbde551086170276a8486f05ad1,The Assembly Inn,BA1 2QU,Saturday,0:00,"(51.3857983, -2.3619204)",35,4,7,1,22
5b46beceb46dab7d783c862b04ce5ad7,The Pulteney Arms,BA2 6ND,Friday,0:00,"(51.38587015, -2.352673712)",35,24,7,1,21
7d7d3aacaec85c49428c2a62682605b6,Back To Mine,BA1 5LS,Monday,2:00,"(51.38531725, -2.3604623)",35,7,7,1,20
ea3d45ba7670a766860d55b784bf03b1,Ring O Bells,BA2 4JT,Sunday,0:00,"(51.3763999, -2.3540716)",33,572,12,1,111
231eb7dcbf8281941ff47fa79a30c296,Lambrettas Bar Bistro,BA2 4AL,Saturday,0:00,"(51.3806683, -2.3565983)",35,13,7,1,21
3e0eb38a7c9537650bccc99314881cb2,Central Bar,BA1 1RG,Saturday,2:00,"(51.3830983, -2.3596389)",35,11,7,1,20
e7a20348837768c61ec106892b675a8b,The Bath Brew House,BA1 2BX,Friday,1:00,"(51.3810366, -2.3649104)",34,196,9,1,55
0a8e32aa5f8ad2892181c7ec5600ffd7,Gascoyne Place,BA1 1EY,Friday,2:00,"(51.3824068, -2.361809)",35,11,7,1,20
34db39e21c50c82cad643341a09e4be7,Common Room,BA1 2QP,Tuesday,2:00,"(51.38615989, -2.361793362)",35,4,7,1,22
26a0366cda0b3a6b00ecfa97b61bb744,Slug and Lettuce,BA1 2EE,Saturday,0:00,"(51.38517287, -2.362056346)",35,4,7,1,22
01428a8734cf3217ffe680ad1198d7ba,The Grapes,BA1 1EQ,Friday,0:30,"(51.3814334, -2.3614968)",35,10,7,1,20
67e30c012a9072270ee78b7de0f09830,The Grapes,BA1 1EQ,Sunday,23:30,"(51.3814334, -2.3614968)",35,10,7,1,20
e0b91d0c18906c58e183e03a63ba2b41,Marlborough Tavern,BA1 2LY,Friday,1:00,"(51.38758136, -2.369683114)",34,200,9,1,115
0a49df1a1184b60f9bf459a59b5f5d0c,The Salamander,BA1 2JL,Saturday,1:00,"(51.38343425, -2.362078271)",35,11,7,1,20
c658a5fcc10d2500e0dc1a5d9dd86308,Moles,BA1 2EN,Monday,3:00,"(51.3847244, -2.3628356)",35,4,7,1,22
39014a67a3bf84d09940eac0cc442ea0,The Cork,BA1 1EB,Saturday,1:00,"(51.3806949, -2.3623316)",35,14,7,1,20
bb1e29e23b61882765e70f9026acc2eb,club XL,BA1 5BG,Tuesday,0:00,"(51.3874595, -2.3592388)",35,1,7,1,20
82683cc1b2af4dc1c36bcaee74d05dd1,New Inn,BA1 2AY,Friday,0:00,"(51.3828617, -2.365594847)",34,212,9,1,115
1f46a87971cd2ca92b8f0532b7d292d0,The Boater,BA2 4BQ,Monday,0:00,"(51.3831512, -2.3570824)",35,11,7,1,20
49bf97cce88cfbf2baf553087f6f9895,The Trinity,BA1 2DA,Sunday,23:30,"(51.38081959, -2.36315153)",34,196,9,1,55
e6fbf194a50431d28b41540d325524a2,The Second Bridge,BA1 1JQ,Saturday,3:00,"(51.3789327, -2.3571527)",35,13,7,1,21
7c4a6a9e001e083aaeea77b4af288b71,Volunteer Riflemans Arms,BA1 1BH,Sunday,23:00,"(51.38267472, -2.36058838)",35,11,7,1,20
71721eca23513efca9673a9bfc2693cc,Alehouse,BA1 1NG,Saturday,0:00,"(51.3812608, -2.358277)",35,12,7,1,20
afe461844807cdf829282ccd4199c5b6,The Bath Brew House,BA1 2BX,Saturday,1:00,"(51.3810366, -2.3649104)",34,196,9,1,55
da2078f99674c9ef6acdf332cff42840,The West Gate,BA1 1EL,Friday,0:00,"(51.381538, -2.361262419)",35,10,7,1,20
dcfef3ae04b80ae37736ecf3f3067f30,Belushi’s,BA1 2JY,Sunday,23:00,"(51.3836937, -2.3604584)",35,11,7,1,20
df87d0ef7aca635d46277f81814d8af5,The Second Bridge,BA1 1JQ,Friday,2:30,"(51.3789327, -2.3571527)",35,13,7,1,21
962adbfbd4ca6aa5378d8a737d16b61c,The Old Green Tree,BA1 2JZ,Sunday,23:00,"(51.3830553, -2.36047)",35,11,7,1,20
a0d505de80d09ae66e87fba0e1a325ce,The Pulteney Arms,BA2 6ND,Saturday,0:00,"(51.38587015, -2.352673712)",35,24,7,1,21
57aca3ea691268d56985958ceb164e04,The Salamander,BA1 2JL,Sunday,23:00,"(51.38343425, -2.362078271)",35,11,7,1,20
6b6e621bb59cd1dd91a20ccbd1a58593,Common Room,BA1 2QP,Saturday,2:00,"(51.38615989, -2.361793362)",35,4,7,1,22
f419577ad3827c153bfe9b74f0543eb3,The Curfew Inn,BA1 5DG,Friday,0:00,"(51.3900424, -2.3571185)",35,15,7,1,22
68757d657b75ebd7a45ee7c8af9a4aec,Circo Bar & Lounge,BA2 4AA,Friday,1:00,"(51.3801536, -2.3569087)",35,13,7,1,21
dd856a31c20aabd86a1140c063fd1f01,club XL,BA1 5BG,Friday,2:00,"(51.3874595, -2.3592388)",35,1,7,1,20
bb54d7088db5a43003175f5022ceff83,The Porter,BA1 2QS,Tuesday,0:00,"(51.3847244, -2.3628356)",35,4,7,1,22
bd3eb80ae77fcd0ebfeaf15d2e9b0d7e,Revolution,BA1 2EB,Monday,0:00,"(51.38501, -2.3615183)",35,4,7,1,22
238a8e6d6abb2036373e55a0f10936e1,The Second Bridge,BA1 1JQ,Tuesday,2:00,"(51.3789327, -2.3571527)",35,13,7,1,21
9b628a2e48086fbd757376d33d552845,Po Na Na,BA2 4AL,Monday,3:00,"(51.3806683, -2.3565983)",35,13,7,1,21
d63191a8a80b7d5e95d6940b89d93880,Culture & Cure ,BA1 5ED,Friday,0:00,"(51.3884761, -2.3619039)",21,249,7,1,2
4ae433ef81c3bf9e14bca033f4b0de76,Belushi’s,BA1 2JY,Tuesday,0:00,"(51.3836937, -2.3604584)",35,11,7,1,20
c1b2092bddc3f8f0aefc0de567939c52,St. James Wine Vault,BA1 2TW,Friday,1:00,"(51.3882653, -2.367554025)",34,198,9,1,115
4fe2040c7644d01c678f99166867cd2d,The Weir Lounge,BA2 6PA,Friday,4:00,"(51.3871585, -2.3525749)",35,19,7,1,21
9cfdc22a7ab6b9c2e5105666b77fc1fc,club XL,BA1 5BG,Monday,2:00,"(51.3874595, -2.3592388)",35,1,7,1,20
ae0c66364f6058eeb0ad20dcd33756a0,Star Inn,BA1 5NA,Sunday,0:00,"(51.3871152, -2.3599813)",35,17,7,1,22
0ac8e8da645f82b6b75ed24f7dd9a5fe,The Slug And Lettuce,BA1 2EY,Friday,1:00,"(51.3852571, -2.3609377)",35,4,7,1,22
6b9711282a9fee34ec2a59643a393a86,The Garricks Head,BA1 1ET,Saturday,0:00,"(51.38201063, -2.362660774)",34,193,9,1,55
6c0b9b6f935b8317be3839b3f9201803,Volunteer Riflemans Arms,BA1 1BH,Friday,0:00,"(51.38267472, -2.36058838)",35,11,7,1,20
c4082607a9d29f28d448c840b84935ab,The Slug And Lettuce,BA1 2EY,Monday,0:00,"(51.3852571, -2.3609377)",35,4,7,1,22
fe28f8ebc9153a1b5463f7754455bc87,The Canary,BA1 1HE,Tuesday,0:00,"(51.3826217, -2.3618477)",35,11,7,1,20
9a3e44d4ce82877966ac43d4119d3222,The Salamander,BA1 2JL,Monday,0:00,"(51.38343425, -2.362078271)",35,11,7,1,20
d3ae759bad00a5e1b67e44e9664dbf9f,Cosy Club,BA1 1AP,Saturday,0:30,"(51.37903675, -2.358080198)",35,13,7,1,21
0ea0f9d104b1a1011aa2316fde36b44a,Gascoyne Place,BA1 1EY,Tuesday,2:00,"(51.3824068, -2.361809)",35,11,7,1,20
6c29450048261ec21a304e04d79530d4,The Weir Lounge,BA2 6PA,Saturday,4:00,"(51.3871585, -2.3525749)",35,19,7,1,21
810d69e4f9abf372403e70e86c504730,All Bar One,BA1 5AQ,Saturday,0:00,"(51.38188656, -2.359384654)",35,11,7,1,20
0d3be3ede5c877f6c1f64fd231718428,New Inn,BA1 2AY,Saturday,0:00,"(51.3828617, -2.365594847)",34,212,9,1,115
e5ab7f384b2b3e9e5175151bf57ac58c,The Assembly Inn,BA1 2QU,Friday,0:00,"(51.3857983, -2.3619204)",35,4,7,1,22
50e39da820d18fe3a8e518037221f6f9,Common Room,BA1 2QP,Friday,2:00,"(51.38615989, -2.361793362)",35,4,7,1,22
06c30ad5dfb32c705eb16f8b999e44ea,The Boater,BA2 4BQ,Saturday,1:00,"(51.3831512, -2.3570824)",35,11,7,1,20
c1590d89ca8bb02bf2782aefe8501d4f,Back To Mine,BA1 5LS,Saturday,2:00,"(51.38531725, -2.3604623)",35,7,7,1,20
eb8add1bfe5b931749f77957046a0912,Coeur De Lion,BA1 5AR,Sunday,23:30,"(51.3823273, -2.3602477)",35,11,7,1,20
5dc828b9062e79123e9e1482d734eb69,Star Inn,BA1 5NA,Saturday,1:00,"(51.3871152, -2.3599813)",35,17,7,1,22
b6a0d4ad595992b094cdf85d49b7a427,The Barley,BA2 6NZ,Saturday,00:30,"(51.3868055, -2.3521925)",35,24,7,1,21
00eb23eea12b384f96f6e5a288d53bd0,Sub 13,BA1 2EE,Tuesday,0:00,"(51.38517287, -2.362056346)",35,4,7,1,22
