Pinterest URL,Note,Title,Latitude,Longitude,Thumbnail,Original,Location,Address,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
https://uk.pinterest.com/pin/287456388687352665,"BADGER CULL Kingston Parade 51.381061, -2.358797",BADGER CULL,51.381061,-2.358797,https://s-media-cache-ak0.pinimg.com/236x/f8/8b/2d/f88b2d3f0fb1507182427e26950a3aff.jpg,https://s-media-cache-ak0.pinimg.com/originals/f8/8b/2d/f88b2d3f0fb1507182427e26950a3aff.jpg,"(51.381061, -2.358797)",Kingston Parade,35,12,7,1,20
https://uk.pinterest.com/pin/287456388694045104,"FROSTY FOUNTAIN Walcot St Bath BA1 5BD, UK 51.385967, -2.359780",FROSTY FOUNTAIN,51.385967,-2.35978,https://s-media-cache-ak0.pinimg.com/236x/19/57/82/1957829787934da399714bd4588be638.jpg,https://s-media-cache-ak0.pinimg.com/originals/19/57/82/1957829787934da399714bd4588be638.jpg,"(51.385967, -2.35978)","Walcot St Bath BA1 5BD, UK",35,17,7,1,22
https://uk.pinterest.com/pin/287456388691196408,"WISTERIA Lansdown Crescent Bath BA1 5EX, UK 51.392470, -2.365834",WISTERIA,51.39247,-2.365834,https://s-media-cache-ak0.pinimg.com/236x/68/4f/95/684f95c1ad5e4060aceed47c6cce469f.jpg,https://s-media-cache-ak0.pinimg.com/originals/68/4f/95/684f95c1ad5e4060aceed47c6cce469f.jpg,"(51.39247, -2.365834)","Lansdown Crescent Bath BA1 5EX, UK",21,240,7,1,1
https://uk.pinterest.com/pin/287456388693053741,"DROPPING LIKE FLIES Stall St Bath BA1 1QN, UK 51.380915, -2.360170",DROPPING LIKE FLIES,51.380915,-2.36017,https://s-media-cache-ak0.pinimg.com/236x/81/11/39/8111395124b1bb2455bb471db33e6bed.jpg,https://s-media-cache-ak0.pinimg.com/originals/81/11/39/8111395124b1bb2455bb471db33e6bed.jpg,"(51.380915, -2.36017)","Stall St Bath BA1 1QN, UK",35,12,7,1,20
https://uk.pinterest.com/pin/287456388693772578,"STORMY Lansdown Rd Bath BA1 5EE, UK 51.388921, -2.362086",STORMY,51.388921,-2.362086,https://s-media-cache-ak0.pinimg.com/236x/dd/42/6d/dd426d4643121c1087c38ccc17f2dbf5.jpg,https://s-media-cache-ak0.pinimg.com/originals/dd/42/6d/dd426d4643121c1087c38ccc17f2dbf5.jpg,"(51.388921, -2.362086)","Lansdown Rd Bath BA1 5EE, UK",21,243,7,1,59
https://uk.pinterest.com/pin/287456388690408357,"DEMONS York St Bath BA1 1NH, UK 51.380772, -2.359862",DEMONS,51.380772,-2.359862,https://s-media-cache-ak0.pinimg.com/236x/8d/b3/19/8db3194aa890ff04a9c896b45295857e.jpg,https://s-media-cache-ak0.pinimg.com/originals/8d/b3/19/8db3194aa890ff04a9c896b45295857e.jpg,"(51.380772, -2.359862)","York St Bath BA1 1NH, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388691225563,"STILTS Lansdown Pl E Bath BA1 5ET, UK 51.391430, -2.364754",STILTS,51.39143,-2.364754,https://s-media-cache-ak0.pinimg.com/236x/54/e9/d4/54e9d4d7914f2d48b0191991206d0611.jpg,https://s-media-cache-ak0.pinimg.com/originals/54/e9/d4/54e9d4d7914f2d48b0191991206d0611.jpg,"(51.39143, -2.364754)","Lansdown Pl E Bath BA1 5ET, UK",21,240,7,1,1
https://uk.pinterest.com/pin/287456388691231402,"DOZY HOUSE The Paragon Bath BA1 5LY, UK 51.387987, -2.359930",DOZY HOUSE,51.387987,-2.35993,https://s-media-cache-ak0.pinimg.com/236x/a8/c3/5e/a8c35ea6ca72c743bd1511a36c94d91d.jpg,https://s-media-cache-ak0.pinimg.com/originals/a8/c3/5e/a8c35ea6ca72c743bd1511a36c94d91d.jpg,"(51.387987, -2.35993)","The Paragon Bath BA1 5LY, UK",35,15,7,1,22
https://uk.pinterest.com/pin/287456388691359389,"WINDY CITY 2 George St Bath BA1 2EH, UK 51.384965, -2.361589",WINDY CITY,51.384965,-2.361589,https://s-media-cache-ak0.pinimg.com/236x/2c/1e/51/2c1e512f3955979fcd5e2aa2983ed024.jpg,https://s-media-cache-ak0.pinimg.com/originals/2c/1e/51/2c1e512f3955979fcd5e2aa2983ed024.jpg,"(51.384965, -2.361589)","2 George St Bath BA1 2EH, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388690395893,"SKETCHY ARCH Lansdown Rd Bath BA1, UK 51.388432, -2.361740",SKETCHY ARCH,51.388432,-2.36174,https://s-media-cache-ak0.pinimg.com/236x/f0/69/79/f069797ec1608050a99a96bce0fcd7e1.jpg,https://s-media-cache-ak0.pinimg.com/originals/f0/69/79/f069797ec1608050a99a96bce0fcd7e1.jpg,"(51.388432, -2.36174)","Lansdown Rd Bath BA1, UK",21,245,7,1,59
https://uk.pinterest.com/pin/287456388690408376,"CAT NAP Lansdown Rd Bath BA1, UK 51.386224, -2.361336",CAT NAP,51.386224,-2.361336,https://s-media-cache-ak0.pinimg.com/236x/f3/0f/4d/f30f4d1c5f29ccaf17c1475493c90b40.jpg,https://s-media-cache-ak0.pinimg.com/originals/f3/0f/4d/f30f4d1c5f29ccaf17c1475493c90b40.jpg,"(51.386224, -2.361336)","Lansdown Rd Bath BA1, UK",35,4,7,1,22
