Period,Max. temp(°C),Min. temp(°C),Days of air frost (days),Sunshine (hours),Rainfall (mm),Days of rainfall >= 1 mm (days)
Jan,7.6,1.9,9.7,40.8,82.5,13.3
Feb,7.9,1.7,9.2,66.5,53.2,10
Mar,10.5,3.5,4.5,118.9,63.7,11.6
Apr,13.3,4.6,2.3,157,56.9,10.5
May,16.7,7.5,0.2,190.9,59.7,10
Jun,19.7,10.4,0,188.8,51.9,9.2
Jul,21.7,12.5,0,211.9,55.8,9.2
Aug,21.5,12.4,0,202.7,65.7,9.6
Sep,18.8,10.3,0,143.9,66.6,9.9
Oct,14.6,7.6,0.8,82.1,88.5,12.6
Nov,10.7,4.5,4.2,51.7,82.7,12.8
Dec,8,2.3,9.1,37.7,87.1,12.8
Annual,14.3,6.6,40,1492.7,814.1,131.5
