Year,Constituency,Ward,Name,Party,Votes,Elected
2011,Bath,Abbey,Manda Rigby,Liberal Democrats,773,true
2011,Bath,Abbey,Brian John Webber,Conservative Party,716,true
2011,Bath,Abbey,Jay Oliver Risbridger,Liberal Democrats,662,false
2011,Bath,Abbey,Gladys Pek Yue MacRae,Conservative Party,646,false
2011,Bath,Abbey,Ian James Martin,Green Party,436,false
2011,Bath,Abbey,Adrian Bateman,Labour Party,323,false
2011,Bath,Bathwick,Nicholas John Coombes,Liberal Democrats,740,true
2011,Bath,Bathwick,David John Martin,Liberal Democrats,657,true
2011,Bath,Bathwick,Tony Hickman,Conservative Party,528,false
2011,Bath,Bathwick,Johnny Kidney,Conservative Party,528,false
2011,Bath,Bathwick,Katharine Anne Miles,Green Party,155,false
2011,Bath,Bathwick,Peter Marsh,Labour Party,153,false
2011,Bath,Bathwick,Jenny Rust,Green Party,124,false
2011,Bath,Combe Down,Roger Alan Symonds,Liberal Democrats,1052,true
2011,Bath,Combe Down,Cherry Elizabeth Beath,Liberal Democrats,1042,true
2011,Bath,Combe Down,Robin Henderson Kirkland,Conservative Party,567,false
2011,Bath,Combe Down,Glenys Chalker,Conservative Party,564,false
2011,Bath,Combe Down,Giles Oliver Malcolm Green,Green Party,317,false
2011,Bath,Combe Down,Jane Bigham,Labour Party,283,false
2011,Bath,Combe Down,Kevin Russell,Independent,59,false
2011,Bath,Kingsmead,Andrew John Furse,Liberal Democrats,924,true
2011,Bath,Kingsmead,Douglas Nicol,Liberal Democrats,620,true
2011,Bath,Kingsmead,Carol Anne Paradise,Conservative Party,469,false
2011,Bath,Kingsmead,Eric Lucas,Green Party,457,false
2011,Bath,Kingsmead,Anthony Bernard Masters,Conservative Party,417,false
2011,Bath,Kingsmead,Pam Richards,Labour Party,367,false
2011,Bath,Kingsmead,Michael Stanley,UK Independence Party,94,false
2011,Bath,Lambridge,Bryan Alan Chalker,Conservative Party,871,true
2011,Bath,Lambridge,Dave Laming,Conservative Party,719,true
2011,Bath,Lambridge,Quil Cantrell,Liberal Democrats,617,false
2011,Bath,Lambridge,Bernard Morgan,Labour Party,605,false
2011,Bath,Lambridge,Thelma Vivian Grimes,Green Party,593,false
2011,Bath,Lambridge,Raine Cantrell,Liberal Democrats,587,false
2011,Bath,Lansdown,Patrick Michael Anketell-Jones,Conservative Party,1018,true
2011,Bath,Lansdown,Tony Clarke,Conservative Party,888,true
2011,Bath,Lansdown,David Kevin Naismith,Green Party,378,false
2011,Bath,Lansdown,Cherry Joan Shelton-Mills,Liberal Democrats,378,false
