Year,Constituency,Ward,Seats,Total votes,Electorate,Number of ballot papers issued,Number of ballot papers rejected,Turnout percentage,Candidates: Liberal Democrats,Candidates: Conservative Party,Candidates: Labour Party,Candidates: Independent,Candidates: Labour and Co-operative Party,Candidates: Green Party,Candidates: UK Independence Party,Candidates: Total,Candidates Elected: Liberal Democrats,Candidates Elected: Conservative Party,Candidates Elected: Labour Party,Candidates Elected: Independent,Candidates Elected: Labour and Co-operative Party,Candidates Elected: Green Party,Candidates Elected: UK Independence Party,Candidates Elected: Total,Votes: Liberal Democrats,Votes: Conservative Party,Votes: Labour Party,Votes: Independent,Votes: Labour and Co-operative Party,Votes: Green Party,Votes: UK Independence Party,Votes: Total
2011,Bath,Abbey,2,3556,4427,1957,16,44,2,2,1,0,0,1,0,6,1,1,0,0,0,0,0,2,1435,1362,323,0,0,436,0,3556
2011,Bath,Bathwick,2,2885,4319,1520,9,35,2,2,1,0,0,2,0,7,2,0,0,0,0,0,0,2,1397,1056,153,0,0,279,0,2885
2011,Bath,Combe Down,2,3884,4099,2180,16,53,2,2,1,1,0,1,0,7,2,0,0,0,0,0,0,2,2094,1131,283,59,0,317,0,3884
2011,Bath,Kingsmead,2,3348,4125,1853,14,45,2,2,1,0,0,1,1,7,2,0,0,0,0,0,0,2,1544,886,367,0,0,457,94,3348
2011,Bath,Lambridge,2,3992,4215,2339,16,55,2,2,1,0,0,1,0,6,0,2,0,0,0,0,0,2,1204,1590,605,0,0,593,0,3992
2011,Bath,Lansdown,2,3364,3561,1872,24,53,2,2,1,1,0,1,0,7,0,2,0,0,0,0,0,2,732,1906,289,59,0,378,0,3364
2011,Bath,Lyncombe,2,4932,4518,2737,31,61,2,2,1,0,0,1,0,6,2,0,0,0,0,0,0,2,2448,1589,383,0,0,512,0,4932
2011,Bath,Newbridge,2,4684,4437,2541,8,57,2,2,1,0,0,1,0,6,2,0,0,0,0,0,0,2,2392,1415,513,0,0,364,0,4684
2011,Bath,Odd Down,2,3304,4280,1920,13,45,2,2,1,0,0,1,0,6,2,0,0,0,0,0,0,2,1874,706,381,0,0,343,0,3304
2011,Bath,Oldfield,2,3171,4661,1772,15,38,2,2,2,0,0,1,0,7,2,0,0,0,0,0,0,2,1472,608,758,0,0,333,0,3171
2011,Bath,Southdown,2,2978,4308,1809,16,42,2,2,1,0,0,1,0,6,2,0,0,0,0,0,0,2,1666,595,402,0,0,315,0,2978
2011,Bath,Twerton,2,2293,3804,1333,4,35,2,2,2,0,0,1,0,7,2,0,0,0,0,0,0,2,1282,387,474,0,0,150,0,2293
2011,Bath,Walcot,2,4254,4414,2411,11,55,2,2,1,0,0,1,0,6,2,0,0,0,0,0,0,2,2058,842,599,0,0,755,0,4254
2011,Bath,Westmoreland,2,3212,5024,1898,8,38,2,2,2,1,0,2,0,9,1,0,0,1,0,0,0,2,1061,408,517,565,0,661,0,3212
2011,Bath,Weston,2,3972,4062,2276,23,56,2,2,1,0,0,1,0,6,0,2,0,0,0,0,0,2,1019,2150,419,0,0,384,0,3972
2011,Bath,Widcombe,2,3929,4502,2146,13,48,2,2,1,0,0,1,0,6,2,0,0,0,0,0,0,2,1963,1175,331,0,0,460,0,3929
