FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,HygieneScore,StructuralScore,ConfidenceInManagementScore,Location,Latitude,Longitude,NewRatingPending,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
655885,10/00118/FOOD,American Kitchen,Other catering premises,7841,,,,,BA3 ,5,fhrs_5_en-gb,2015/08/13,5,5,5,,,,false,,,,,
1083612,18/00313/MIXED,Coffee#1,Restaurant/Cafe/Canteen,1,Unit 1,Royal View,Victoria Bridge Road,Westmoreland,BA2 3GG,5,fhrs_5_en-gb,2019/04/08,5,5,0,,,,false,,,,,
775531,15/00090/MIXED,Eat Thai/The Great Stone Baker,Mobile caterer,7846,,,,,BS14,5,fhrs_5_en-gb,2015/07/09,0,5,0,,,,false,,,,,
769655,15/00092/MIXED,Frothy Coffee Bar,Mobile caterer,7846,,,,,BS31,5,fhrs_5_en-gb,2015/06/08,0,5,0,,,,false,,,,,
1046935,18/00113/FOOD,Go Super You Limited,Manufacturers/packers,7839,,,,,BA1 ,5,fhrs_5_en-gb,2018/07/02,5,5,0,,,,false,,,,,
833871,14/00345/FOOD,Happystar Cakes,Other catering premises,7841,,,,,BA2 ,5,fhrs_5_en-gb,2015/12/11,5,5,5,,,,false,,,,,
205025,07/00336/MIXED,J R Refreshments,Mobile caterer,7846,,,,,BA1 ,5,fhrs_5_en-gb,2016/01/21,5,5,5,,,,false,,,,,
877849,15/00115/FOOD,Kismit Coriander,Other catering premises,7841,,,,,BA2 ,5,fhrs_5_en-gb,2016/06/06,5,5,5,,,,false,,,,,
1062087,18/00199/FOOD,LBH Superfoods,Manufacturers/packers,7839,,,,,BA2 ,5,fhrs_5_en-gb,2018/09/07,5,5,5,,,,false,,,,,
204981,07420/2700/2/000,Morrisons,Retailers - supermarkets/hypermarkets,7840,Morrisons Supermarket,London Road,Walcot,Bath,BA1 6AE,5,fhrs_5_en-gb,2016/01/14,,,,"(51.391627, -2.352295)",51.391627,-2.352295,false,36,492,6,1,96
205625,15620/1000/2/000,New Inn,Pub/bar/nightclub,7843,Bath Road,Farmborough,Bath,,BA2 0EG,5,fhrs_5_en-gb,2018/03/21,5,5,5,"(51.349768, -2.483732)",51.349768,-2.483732,false,8,127,16,1,40
570168,13/00056/MIXED,Pottick Pigs,Retailers - other,4613,,,,,BA1 ,5,fhrs_5_en-gb,2013/07/11,5,5,5,,,,false,,,,,
960201,17/00145/MIXED,Somer Dining And B Block,Caring Premises,5,Charterhouse Care Home,The Chocolate Quarter,Trajectus Way,Keynsham,BS31 2GL,5,fhrs_5_en-gb,2019/07/25,,,,,,,false,,,,,
828810,15/00188/FOOD,Tolputt's Cakes,Other catering premises,7841,,,,,BA2 ,5,fhrs_5_en-gb,2015/11/10,5,5,5,,,,false,,,,,
928747,16/00300/FOOD,Wild Fork West,Other catering premises,7841,,,,,BA1 ,5,fhrs_5_en-gb,2017/01/18,5,5,5,,,,false,,,,,
550916,13/00088/MIXED,Pit Stop,Mobile caterer,7846,Pitch 47,Street Trading,,,,4,fhrs_4_en-gb,2017/01/18,5,10,5,,,,false,,,,,
1066640,18/00229/FOOD,The H'eggs Company,Other catering premises,7841,,,,,BA1 ,4,fhrs_4_en-gb,2019/04/10,5,10,5,,,,false,,,,,
