uri,postcode,ward_uri,ward_name,centroid,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA22RG,BA2 2RG,http://data.ordnancesurvey.co.uk/id/7000000000000573,Southdown,"(51.369034, -2.400419)",27,443,15,1,83
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA13LL,BA1 3LL,http://data.ordnancesurvey.co.uk/id/7000000000000595,Newbridge,"(51.386274, -2.394418)",29,322,8,1,17
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA15EG,BA1 5EG,http://data.ordnancesurvey.co.uk/id/7000000000000590,Lansdown,"(51.390016, -2.363551)",21,241,7,1,2
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA10QD,BA1 0QD,http://data.ordnancesurvey.co.uk/id/7000000000000585,Abbey,"(51.378855, -2.35556)",35,13,7,1,21
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA22TH,BA2 2TH,http://data.ordnancesurvey.co.uk/id/7000000000000508,Odd Down,"(51.359074, -2.380942)",30,331,19,1,60
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA17DD,BA1 7DD,http://data.ordnancesurvey.co.uk/id/7000000000000578,Lambridge,"(51.401373, -2.33006)",23,216,4,1,58
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA20HL,BA2 0HL,http://data.ordnancesurvey.co.uk/id/7000000000025532,Farmborough,"(51.340042, -2.515978)",8,126,16,1,40
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA15TG,BA1 5TG,http://data.ordnancesurvey.co.uk/id/7000000000000590,Lansdown,"(51.402007, -2.373421)",21,233,7,1,1
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA25RJ,BA2 5RJ,http://data.ordnancesurvey.co.uk/id/7000000000000501,Lyncombe,"(51.360145, -2.372262)",18,259,17,1,4
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA24SD,BA2 4SD,http://data.ordnancesurvey.co.uk/id/7000000000000501,Lyncombe,"(51.365636, -2.367322)",18,256,17,1,5
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA20AT,BA2 0AT,http://data.ordnancesurvey.co.uk/id/7000000000025532,Farmborough,"(51.343653, -2.485236)",8,127,16,1,40
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA18BQ,BA1 8BQ,http://data.ordnancesurvey.co.uk/id/7000000000025557,Bathavon North,"(51.405794, -2.343376)",1,51,10,1,25
