id,title,date,easting,northing,homepage,image,thumbnail,usage terms,location,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
eaw049901,"Bath, the second day of the Somerset-Kent county cricket match, 1953",1953/06/12,375365,164905,http://www.britainfromabove.org.uk/image/eaw049901,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW049901.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW049901.jpg,http://www.britainfromabove.org.uk/download/EAW049901,"(51.38264371092552, -2.355375541456374)",35,3,7,1,21
eaw026454,"The Royal Crescent and environs, Bath, from the west, 1949",1949/09/08,374399,165314,http://www.britainfromabove.org.uk/image/eaw026454,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW026454.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW026454.jpg,http://www.britainfromabove.org.uk/download/EAW026454,"(51.38627825585751, -2.3692855991645847)",34,205,9,1,115
epw053127,"Pulteney Bridge, St Michael's Church and The Circus, Bath, 1937",1937/05/19,375051,165099,http://www.britainfromabove.org.uk/image/epw053127,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW053127.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW053127.jpg,http://www.britainfromabove.org.uk/download/EPW053127,"(51.38437426932374, -2.359901098203372)",35,11,7,1,20
eaw032282,"The E. S. & A. Robinson Ltd Paper Mill and environs, Keynsham, 1950. This image was marked by Aerofilms Ltd for photo editing.",1950/09/05,366097,168736,http://www.britainfromabove.org.uk/image/eaw032282,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW032282.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW032282.jpg,http://www.britainfromabove.org.uk/download/EAW032282,"(51.4166094045316, -2.48891301755491)",16,152,3,1,45
eaw026678,"Fields to the east of Bickfield Farm, Compton Martin, 1949. This image has been produced from a print.",1949/10/01,355089,158664,http://www.britainfromabove.org.uk/image/eaw026678,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW026678.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW026678.jpg,http://www.britainfromabove.org.uk/download/EAW026678,"(51.32528404213272, -2.6459221501109225)",4,87,21,1,32
epw038337,"The Phonetic Institute Print Works (Pitman Press), Bath, 1932",1932/06/01,373731,164792,http://www.britainfromabove.org.uk/image/epw038337,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW038337.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW038337.jpg,http://www.britainfromabove.org.uk/download/EPW038337,"(51.3815540749957, -2.3788460496239474)",32,538,13,1,103
eaw026459,"Bath Racecourse, Lansdown, from the north-east, 1949",1949/09/08,372472,168687,http://www.britainfromabove.org.uk/image/eaw026459,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW026459.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW026459.jpg,http://www.britainfromabove.org.uk/download/EAW026459,"(51.41651554066453, -2.397239559937144)",1,47,10,1,25
eaw027311,"The Royal Crescent, Lansdown Crescent and The Circus, Bath, 1949",1949/10/19,374565,165500,http://www.britainfromabove.org.uk/image/eaw027311,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EAW027311.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EAW027311.jpg,http://www.britainfromabove.org.uk/download/EAW027311,"(51.387958157945405, -2.366913542990851)",34,200,9,1,115
epw048389,"Lansdown Crescent, Lansdown Road and environs, Lansdown, 1935",1935/07/01,374482,166413,http://www.britainfromabove.org.uk/image/epw048389,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW048389.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW048389.jpg,http://www.britainfromabove.org.uk/download/EPW048389,"(51.39616357298802, -2.3681722365481055)",21,235,7,1,1
epw033191,"St John the Baptist's Church and the High Street, Keynsham, 1930. This image has been produced from a copy-negative.",1930/07/01,365405,168771,http://www.britainfromabove.org.uk/image/epw033191,http://www.britainfromabove.org.uk/sites/default/files/imagecache/download/sites/all/lib/aerofilms-images/public/england/EPW033191.jpg,http://www.britainfromabove.org.uk/sites/default/files/imagecache/small-thumbnail/sites/all/lib/aerofilms-images/public/england/EPW033191.jpg,http://www.britainfromabove.org.uk/download/EPW033191,"(51.41688214888076, -2.4988669792884854)",24,158,1,1,49
