postcode,A,B,C,D,E,F,G,H,average,Location 1,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
BA3 3LY,0,0,2,0,0,0,0,0,2,"(51.290184, -2.428557)",12,416,24,1,78
BA2 3BP,10,0,0,0,0,0,0,0,0,"(51.381981, -2.38211)",32,578,13,1,103
BA2 3LN,0,1,7,0,0,0,0,0,1.875,"(51.376067, -2.378397)",31,349,14,1,63
BA3 3SN,12,0,0,0,0,0,0,0,0,"(51.288972, -2.45651)",26,508,26,1,99
BA2 2DS,0,0,0,0,6,2,1,0,4.4444444444,"(51.37083, -2.368427)",18,254,17,1,3
BA1 3QG,0,0,0,0,22,5,0,0,4.1851851852,"(51.38989, -2.396734)",29,315,8,1,16
BS14 0QJ,0,0,0,0,1,0,0,0,4,"(0.0, 0.0)",,,,,
BA3 5SQ,0,0,0,0,1,0,0,0,4,"(0.0, 0.0)",,,,,
BS31 1EE,0,0,0,3,0,0,0,0,3,"(0.0, 0.0)",,,,,
BA1 9DE,0,0,0,0,0,0,1,0,6,"(0.0, 0.0)",,,,,
BA2 7GH,0,0,0,0,0,0,2,0,6,"(0.0, 0.0)",,,,,
BA2 0EL,0,0,15,0,0,0,0,0,2,"(51.323927, -2.478168)",14,461,16,1,87
BA3 3XJ,0,8,0,0,0,0,0,0,1,"(51.287559, -2.468412)",26,510,26,1,97
BS31 2JG,0,0,0,0,8,0,0,0,4,"(51.412821, -2.505983)",24,164,1,1,49
BA1 6DH,50,0,0,0,0,0,0,0,0,"(51.391664, -2.353748)",36,486,6,1,94
BS40 8PY,0,3,5,0,0,0,0,0,1.625,"(51.35626, -2.630721)",6,83,21,1,31
BA2 5PD,11,1,0,0,0,0,0,0,0.0833333333,"(51.363756, -2.358933)",19,110,18,1,39
BA1 6ER,0,0,4,0,0,0,0,0,2,"(51.395632, -2.352988)",36,501,6,1,93
BA1 4JP,0,0,0,28,1,0,0,0,3.0344827586,"(51.401867, -2.396709)",20,556,5,1,105
BA1 6RZ,0,1,13,0,0,0,0,0,1.9285714286,"(51.397429, -2.344435)",23,224,4,1,58
BS39 4LF,0,0,0,0,1,0,1,0,5,"(51.371243, -2.493184)",8,123,16,1,41
BA3 3XD,0,18,0,0,0,0,0,0,1,"(51.287066, -2.467905)",26,511,26,1,97
BA2 3PU,0,0,18,0,0,0,0,0,2,"(51.377302, -2.380275)",32,530,13,1,101
BA2 7GP,0,0,0,0,1,0,1,0,5,"(0.0, 0.0)",,,,,
BA2 8AQ,0,0,4,2,1,0,0,0,2.5714285714,"(0.0, 0.0)",,,,,
BA1 1HH,0,1,0,0,0,0,0,0,1,"(51.382942, -2.362647)",35,11,7,1,20
BA2 7GR,0,0,0,0,0,1,1,0,5.5,"(0.0, 0.0)",,,,,
BA15 2BA,0,0,0,1,0,0,0,0,3,"(0.0, 0.0)",,,,,
BA1 2UY,0,1,0,0,0,0,0,0,1,"(0.0, 0.0)",,,,,
BA2 8BE,0,1,5,1,0,1,2,0,3.1,"(51.341611, -2.413071)",9,65,22,1,28
BA2 6DW,0,0,10,0,0,0,0,0,2,"(51.374656, -2.330759)",22,580,12,1,29
BA1 9BL,0,0,0,0,1,0,0,0,4,"(51.413609, -2.397299)",1,47,10,1,25
BA1 5NA,6,9,8,1,2,9,4,1,2.8,"(51.386978, -2.360193)",35,17,7,1,22
BS31 1PT,1,19,6,0,0,0,0,0,1.1923076923,"(51.4069, -2.483576)",16,145,3,1,47
BA3 3JA,0,30,0,0,0,0,0,0,1,"(51.296403, -2.443876)",12,408,24,1,77
BA2 2EG,0,25,41,0,0,0,0,0,1.6212121212,"(51.354017, -2.376607)",30,337,19,1,61
BS39 6UW,0,2,0,1,0,0,0,0,1.6666666667,"(51.298084, -2.520371)",3,132,23,1,43
BA2 6HZ,0,1,0,0,0,0,5,0,5.1666666667,"(51.379828, -2.339762)",22,77,12,1,29
BA3 5TZ,0,0,0,2,5,0,0,0,3.7142857143,"(51.293593, -2.425649)",12,416,24,1,78
BA3 2RD,0,0,0,0,0,0,0,1,7,"(51.285952, -2.495856)",25,306,27,1,14
BA1 2NB,1,7,1,14,6,0,0,0,2.5862068966,"(51.383599, -2.368156)",34,209,9,1,115
BA2 5EH,4,1,2,6,0,3,0,0,2.375,"(51.359854, -2.346881)",19,117,18,1,38
BA2 6BD,0,0,0,0,1,1,3,0,5.4,"(51.370481, -2.344347)",33,558,12,1,110
BS39 4LA,0,0,0,7,4,5,6,0,4.4545454546,"(51.379033, -2.511429)",8,123,16,1,41
BS40 6EJ,0,0,0,1,0,1,2,0,5,"(51.300833, -2.653614)",2,274,21,1,6
BA2 4AH,0,3,9,0,0,0,0,0,1.75,"(51.380257, -2.355758)",35,13,7,1,21
