ID,Street Name,Road Side,Locality ,TRO,Label,Sign,Current Sign,Proposed Sign
34,Alfred Street,South,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
17,Beau Street,South,Bath,Central Bath TRO,"Disabled badge holders only 8am - 10pm 4hrs, NR 1hr",F,Disabled badge holders only 8am - 10pm 4 hours  No return within 1 hour,
3,High Street,West,Keynsham,"Keynsham, Saltford TRO",Disabled badge holders only,T,Disabled Badge Holders Only,
4,High Street,East,Keynsham,"Keynsham, Saltford TRO",Disabled badge holders only,T,Disabled Badge Holders Only,
5,Temple Street,East,Keynsham,"Keynsham, Saltford TRO",Disabled badge holders only,T,Disabled Badge Holders Only,
6,West View Road,South East,Keynsham,"Keynsham, Saltford TRO",Disabled badge holders only Mon - Fri 9am - 6pm,F,,Disabled Badge Holders Only Mon - Fri 9am - 6pm
7,Service Area Outside No. 493 - 507 Bath Road,North West,Saltford,"Keynsham, Saltford TRO",Disabled badge holders only,T,Disabled Badge Holders Only,
8,Service Area Outside No. 493 - 507 Bath Road,North West,Saltford,"Keynsham, Saltford TRO",Disabled badge holders only,T,Disabled Badge Holders Only,
9,Monmouth Road,South East,Keynsham,"Keynsham, Saltford TRO",Disabled badge holders only,T,Disabled Badge Holders Only,
44,Bennett Street,South,Bath,Central Bath TRO,Disabled badge holders only,F,,
33,Bloomfield Road,West,Bath,Bath Outer Area South West TRO,Disabled badge holders only,T,Disabled Badge Holders Only,
11,Brock Street,South West,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
12,Brock Street,South West,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
25,Burlington Street,West,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
26,Catharine Place,East,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
29,Chandler Close,North East,Bath,Bath Outer Area North West TRO,Disabled badge holders only,T,Disabled badge holders only,
37,Cheap Street,North,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
22,Claverton Street,North,Bath,Central Bath TRO,Disabled badge holders only,F,,
13,Great Stanhope Street,North East,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
65,Henrietta Mews,North East,Bath,Central Bath TRO,Disabled badge holders only,F,Disabled badge holders only,
15,Henry Street,South,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled Badge Holders Only,
23,Temple Street,East,Keynsham,"Keynsham, Saltford TRO",Disabled badge holders only,F,,Disabled Badge Holders Only
24,Station Road,South,Keynsham,"Keynsham, Saltford TRO",Disabled badge holders only,F,,Disabled Badge Holders Only
16,Henry Street,North,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled Badge Holders Only,
39,Herbet Road,South East,Bath,Bath Outer Area South West TRO,Disabled badge holders only,T,Disabled badge holders only,
27,High Street,South West,Bath,Bath Outer Area North West TRO,Disabled badge holders only,T,Disabled badge holders only,
28,High Street,North,Bath,Bath Outer Area North West TRO,Disabled badge holders only,T,Disabled badge holders only,
38,High Street,East,Bath,Central Bath TRO,"Disabled badge holders only 3hrs max, NR 4hr",T,Disabled badge holders only 3 hours No return within 4 hour,
42,High Street,South West,Bath,Bath Outer Area North West TRO,Disabled badge holders only,T,Disabled badge holders only,
46,High Street,East,Bath,Central Bath TRO,"Disabled badge holders only 3hrs max, NR 4hrs",T,Disabled badge holders only 3 hours No return within 4 hours,
19,James Street West,North East,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
20,James Street West,South West,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
47,Kingston Road,Both,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled Badge Holders Only,
48,Kingston Road,Both,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled Badge Holders Only,
45,Lower Borough Walls,South West,Bath,Central Bath TRO,Disabled badge holders only,T,Blue Badge Holders Only,
63,Lower Borough Walls,North,Bath,Central Bath TRO,"Disabled badge holders only 8am - 10pm 4hrs, NR 1hr",F,Disabled badge holders only 8am - 10pm 4 hours  No return within 1 hour,
1,Milsom Street,East,Bath,Central Bath TRO,Disabled badge holders only Mon - Sat 8am - 7pm,T,Disabled badge holders only,Disabled badge holders only Mon - Sat 8am - 7pm
40,Moorland Road,South West,Bath,Bath Outer Area South West TRO,Disabled badge holders only,F,,
35,New Bond Street,North,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
36,Queen Square,West,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
10,Rivers Street,South,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled Badge Holders Only,
43,Rivers Street,South,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
30,Royal Avenue,North,Bath,Bath Outer Area North West TRO,Disabled badge holders only,T,Disabled badge holders only,
31,Royal Avenue,North,Bath,Bath Outer Area North West TRO,Disabled badge holders only,T,Disabled badge holders only,
32,Royal Avenue,North,Bath,Bath Outer Area North West TRO,Disabled badge holders only,T,Disabled badge holders only,
66,Royal Avenue,North East,Bath,Central Bath TRO,Disabled badge holders only,F,,
67,Royal Avenue,North East,Bath,Central Bath TRO,Disabled badge holders only,F,,
18,Saw Close,West,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
14,Upper Borough Walls,South East,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
51,The Island,South East,Midsomer Norton,"Midsomer Norton, Radstock TRO",Disabled Badge Holders Only,F,,
52,St Chad's Green,West,Midsomer Norton,"Midsomer Norton, Radstock TRO",Disabled Badge Holders Only,F,,
53,High Street,South East,Midsomer Norton,"Midsomer Norton, Radstock TRO",Disabled badge holders only,T,Disabled badge holders only,
54,South Road,West,Midsomer Norton,"Midsomer Norton, Radstock TRO",Disabled Badge Holders Only,F,Disabled Badge Holders Only,
55,Waterloo Road,North,Radstock,"Midsomer Norton, Radstock TRO",Disabled badge holders only,F,,
57,High Street,South East,Midsomer Norton,"Midsomer Norton, Radstock TRO",Disabled Badge Holders Only,F,Disabled Badge Holders Only,
58,Fortescue Road,North East,Radstock,"Midsomer Norton, Radstock TRO",Disabled badge holders only,F,,
62,,,Radstock,"Midsomer Norton, Radstock TRO",Disabled badge holders only,F,,
41,Upper Oldfield Park,North,Bath,Bath Outer Area South West TRO,Disabled badge holders only,T,,Blue Badge Holders Only
64,High Street,North East,Batheaston,North East Somerset TRO,Disabled badge holders only,T,Disabled badge holders only,
2,Walcot Street,East,Bath,Central Bath TRO,Disabled badge holders only,T,Disabled badge holders only,
50,Widcombe Hill,South,Bath,Bath Outer Area South East TRO,Disabled badge holders only,T,Blue badge holders only,
49,York Street,South,Bath,Central Bath TRO,"Disabled badge holders only 4hrs max, NR 1hr",F,,
