Business Name,Award,FHRSID,LocalAuthorityBusinessID,Address
Acorn Vegetarian Cafe,Gold,584477,13/00130/MIXED,"2 North Parade Passage, Bath, BA1 1NX"
Bakers of Bath,Bronze,205334,05970/0141/0/000,"141 High Street, Twerton, BA2 1BZ"
Bath Spa University Student Union Bar,Silver,205684,08890/1000/3/C01,"Newton Park, Newton St Loe, Bath, BA2 9BN"
Bear Pad Café,Gold,550913,13/00068/MIXED,"7 Hayes Place, Holloway, Widcombe, Bath, BA2 4QW"
Bernie’s Bistro,Bronze,565713,13/00093/MIXED,"3 High Street, Upper Weston, Bath, BA1 4BX"
Benugo Café,Bronze,205699,11/00096/MIXED,"Holburne Museuam of Art, Great Pultney Street, Bathwick, BA2 4DB"
Bianco Rosso Pizza Co.,Silver,735958,14/00331/MIXED,"The Galleries Shop, Freshford Lane, Freshford, Bath"
Busy Bee Café,Bronze,204751,10/00110/FOOD,"1 Moorland Road, Oldfield Park, BA2 3PJ"
Cafe @ The Centre,Silver,205117,10/00053/MIXED,"Manvers Street, Bath, BA1 1JW"
Café Crème,Silver,204637,10/00078/MIXED,"35 High Street, Keynsham, BS31 1DS"
Café Eighty Four,Silver,204637,10/00078/MIXED,"84 Lower Bristol Rd, Bath, BA2 3BQ"
Carpenters Arms,Silver,205187,16016/1400/2/000,"Stanton Wick, Nr Pensford, North Somerset, BS39 4BX"
Chapel Arts Centre,Silver,550917,13/00095/MIXED,"St James Memorial Hall, Lower Borough Walls, City Centre, Bath, BA1 1QR"
"Charlton House Community Resource Centre,",Gold,205358,08/00179/FOOD,"Hawthorns Lane, Keynsham BS31 1BF"
City Edge Café,Bronze,688880,13/00179/MIXED,"29 Charles Street, Bath, BA1 1HU"
Cloud Nine,Silver,735959,14/00339/MIXED,"1 Upper Lambridge Street, Lambridge, Bath, BA1 6RY"
"Combe Lea Community Resource Centre,",Gold,205269,08/00012/MIXED,"Greenacres, Midsomer Norton, BA3 2RD"
Connections Day Services,Bronze,204939,19094/2100/2/000,"Frome Rd, Radstock, BA3 3LL"
Connies Tea Rooms,Silver,205385,10/00325/MIXED,"The Square, Bath, BA2 0HY"
Courtyard Café,Silver,,,"10 Monmouth Place, Bath, BA1 2AU"
Cowtastic Playbarn,Gold,622046,13/00230/MIXED,"Farrington’s Farm Shop & Café, Home Farm, Main Street, Farrington Gurney, BS39 6UB"
