Row Labels,Comment,18+ 2015 MYE LSOA,Sum of Registered Electors (Randomised at <10),population/electorate,Local LSOA Name,Ward
E01014370,,2001,1436,0.717641179,Central,Abbey
E01014371,,2016,1316,0.652777778,Central East,Abbey
E01014372,,2101,1338,0.6368396,Central North,Abbey
E01014373,,1657,1206,0.727821364,Batheaston,Bathavon North
E01014374,,1498,1145,0.76435247,Bathavon East,Bathavon North
E01014375,,1291,1147,0.888458559,Bathavon North,Bathavon North
E01014376,,1473,1189,0.807196198,Bathford,Bathavon North
E01014377,,1399,1396,0.997855611,Bathhampton,Bathavon North
E01014379,,2869,1902,0.662948763,Englishcombe,Bathavon West
E01014380,This area includes the University of Bath Campus,4073,1784,0.438006384,Claverton Down,Bathwick
E01014381,,1491,1037,0.695506372,Bathwick,Bathwick
E01014382,,2415,2010,0.832298137,Chew Valley North,Chew Valley North
E01014383,,1055,914,0.866350711,Chew Valley,Chew Valley South
E01014384,,1442,1154,0.800277393,Stowey Sutton,Chew Valley South
E01014385,,1394,1111,0.796987088,Stanton Drew,Clutton
E01014386,,1149,878,0.764142733,Clutton,Clutton
E01014387,,1229,941,0.765663141,Fox Hill South,Combe Down
E01014388,,1298,894,0.688751926,Combe Down East,Combe Down
E01014389,,1422,1038,0.729957806,Combe Down West,Combe Down
E01014390,,1574,829,0.526683609,Fox Hill North,Combe Down
E01014391,,1462,1277,0.873461012,Farmborough,Farmborough
E01014392,This area includes Bath Spa University Campus,1064,1226,1.152255639,Corston,Farmborough
E01014393,,1390,841,0.605035971,High Littleton,High Littleton
E01014394,,1704,1612,0.94600939,Farrington Gurney,High Littleton
E01014395,,1234,1025,0.830632091,Keynsham South East,Keynsham East
E01014396,,1523,1204,0.790544977,Keynsham Central East,Keynsham East
E01014397,,1371,1055,0.769511306,Lower Keynsham East,Keynsham East
E01014398,,1423,1146,0.805340829,Keynsham Bath Road,Keynsham East
E01014399,,1638,1269,0.774725275,Keynsham North,Keynsham North
E01014400,,2089,1596,0.764001915,Keynsham St. John,Keynsham North
E01014401,,1721,1264,0.734456711,Keynsham Central West,Keynsham North
E01014402,,1680,1268,0.754761905,Keynsham South West,Keynsham South
E01014403,,1705,1304,0.764809384,Keynsham Central,Keynsham South
E01014404,,1950,1561,0.800512821,Keynsham Wellsway,Keynsham South
E01014405,,2168,1402,0.646678967,Lower Weston,Kingsmead
E01014407,,1306,847,0.648545176,Kingsmead,Kingsmead
E01014409,,1602,1235,0.770911361,Larkhall,Lambridge
E01014410,,1749,1296,0.740994854,Fairfield Park North,Lambridge
E01014411,,2129,1521,0.714419915,Lower Swainswick,Lambridge
E01014412,,1477,915,0.619498984,Beacon Hill,Lansdown
E01014413,,1712,1210,0.706775701,Lansdown North,Lansdown
E01014414,,1620,1015,0.62654321,Lansdown South,Lansdown
E01014415,,2076,1299,0.625722543,Bear Flat,Lyncombe
E01014416,,1775,1377,0.775774648,St. Martins,Lyncombe
E01014417,,1786,1354,0.758118701,Bloomfield,Lyncombe
E01014418,,1451,1139,0.784975879,Hinton Blewett,Mendip
E01014419,,1301,990,0.760953113,Temple Cloud,Mendip
E01014420,,1565,1119,0.715015974,Welton,Midsomer Norton North
E01014421,,1398,1132,0.809728183,Midsomer Norton North,Midsomer Norton North
E01014422,,1523,1140,0.748522653,Thicketmead,Midsomer Norton North
E01014423,,1500,1114,0.742666667,Midsomer Norton Central,Midsomer Norton North
E01014424,,1639,1304,0.795607077,Midsomer Norton South,Midsomer Norton Redfield
E01014425,,2221,1746,0.786132373,Redfield,Midsomer Norton Redfield
E01014426,,1479,1097,0.741717377,Midsomer Norton West,Midsomer Norton Redfield
E01014427,,1419,868,0.611698379,Locksbrook,Newbridge
E01014428,,1431,931,0.65059399,Combe Park,Newbridge
E01014429,,1619,1104,0.681902409,Brassmill,Newbridge
E01014430,,1563,1473,0.942418426,Newbridge,Newbridge
E01014431,,1289,916,0.710628394,Odd Down North,Odd Down
E01014432,,1321,893,0.676003028,Odd Down,Odd Down
E01014433,,1428,727,0.509103641,Odd Down South,Odd Down
E01014434,,1888,1284,0.680084746,Kingsway,Odd Down
E01014435,,1872,780,0.416666667,Oldfield Park North,Oldfield
E01014436,,1600,895,0.559375,Oldfield Park,Oldfield
E01014437,,1473,1031,0.699932111,Moorlands,Oldfield
E01014438,,1334,877,0.657421289,Southdown East,Oldfield
E01014439,,1833,1293,0.705400982,South Paulton,Paulton
E01014440,,2197,1562,0.710969504,Paulton,Paulton
E01014441,,1753,1303,0.743297205,East Paulton,Paulton
E01014442,,1732,1173,0.677251732,Peasedown St. John East,Peasedown
E01014443,,1636,1335,0.81601467,Peasedown St. John North,Peasedown
E01014444,,1690,1239,0.733136095,Lower Peasedown St. John,Peasedown
E01014445,,1757,1149,0.653955606,Peasedown St. John,Peasedown
E01014446,,1144,864,0.755244755,Publow,Publow and Whitchurch
E01014447,,1344,1095,0.814732143,Whitchurch,Publow and Whitchurch
E01014448,,1564,1147,0.733375959,Clandown,Radstock
E01014449,,1546,1059,0.684993532,Radstock North,Radstock
E01014450,,1296,958,0.739197531,Writhlington,Radstock
E01014451,,1249,978,0.783026421,Radstock,Radstock
E01014452,,1473,1180,0.801086219,Saltford North,Saltford
E01014453,,1341,1036,0.772557793,Saltford South,Saltford
E01014454,,1377,1109,0.805374001,Saltford West,Saltford
E01014455,,1356,946,0.697640118,Southdown North,Southdown
E01014456,,1546,1149,0.743208279,Southdown,Southdown
E01014457,,1371,1093,0.797228301,Lower Twerton West,Southdown
E01014458,,1362,847,0.621879589,Whiteway,Southdown
E01014459,,1472,1086,0.737771739,Timsbury,Timsbury
E01014460,,1153,942,0.816999133,Timsbury North,Timsbury
E01014461,,1181,806,0.682472481,Twerton South,Twerton
E01014462,,1527,951,0.622789784,Whiteway West,Twerton
E01014463,,1516,1104,0.72823219,Twerton West,Twerton
E01014464,,1396,964,0.690544413,Twerton,Twerton
E01014465,,1615,1078,0.66749226,Fairfield Park South,Walcot
E01014466,,1312,938,0.714939024,Snow Hill,Walcot
E01014467,,1652,1100,0.665859564,Grosvenor,Walcot
E01014468,,1611,1039,0.64494103,Walcot,Walcot
E01014469,,1380,942,0.682608696,Westfield North,Westfield
E01014470,,1715,1178,0.686880466,Westfield South,Westfield
E01014471,,1624,1172,0.721674877,Radstock West,Westfield
E01014472,,1765,1309,0.741643059,Norton Hill,Westfield
E01014473,,1824,869,0.476425439,Oldfield Park West,Westmoreland
E01014474,,1194,753,0.630653266,Twerton East,Westmoreland
E01014475,,3175,1702,0.536062992,Westmoreland West,Westmoreland
E01014476,,1524,870,0.570866142,Lower Twerton East,Westmoreland
E01014477,,1483,1107,0.746459879,Upper Weston West,Weston
E01014478,,1236,815,0.659385113,Upper Weston,Weston
E01014479,,1486,938,0.631224764,Weston Park,Weston
E01014480,,1490,847,0.568456376,Weston Village,Weston
E01014481,,1552,782,0.503865979,Widcombe St Marks,Widcombe
E01014482,,1172,947,0.808020478,Lyncombe & Widcombe,Widcombe
E01014483,,1718,1089,0.633876601,Widcombe North,Widcombe
E01014484,,1655,972,0.587311178,Westmoreland,Widcombe
E01033078,,1795,1517,0.845125348,Freshford,Bathavon South
E01033079,,1199,1010,0.842368641,Wellow,Bathavon South
E01033080,,2370,1656,0.698734177,Victoria Park,Kingsmead
