ID,Site Name,Street Address,Location,Site Details,Access Information,Number of Station / Bays,Usage,Connection Type,Level,Operational Status,Operator,Operator Telephone Number,Last Updated,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
60456,Bath Spa University,"Twiverton Courtyard, , Newton Saint Loe, Bath & North East Somerset, BA2 9BN","(51.3734099, -2.4409721)",,,9,"Private - For Staff, Visitors or Customers",Type 2 (Socket Only),Level 2 : Medium (Over 2kW),Operational,POD Point (UK),,05/13/2019 05:29:00 PM +0000,9,68,22,1,28
132723,Tesco Superstore-Keynsham,"Bristol Road, , Keynsham, Bristol, BS31 2BA","(51.416674, -2.501015)","This is an open charge unit installed at the Tesco superstore at Bristol Road, Keynsham, Bristol",,4,Public - Membership Required,Type 2 (Socket Only),Level 2 : Medium (Over 2kW),Operational,POD Point (UK),,10/09/2019 05:26:00 AM +0000,24,173,1,1,49
75201,Lansdown Road Park and Ride,"Lansdown Road, , Bath, , BA1 9BJ","(51.410525604349, -2.3879934497029)","Normal parking tariffs apply (free parking, Bus fare only). Mon-Sat: 06:00-21:00, Sun: 09:00-18:30",,2,Public - Membership Required,Type 2 (Socket Only),Level 2 : Medium (Over 2kW),Operational,Charge Your Car,0191 26 50 500,08/25/2017 05:28:00 PM +0000,1,47,10,1,25
75541,University of Bath (Security),"Quarry Road, Claverton Down, Bath, , BA2 7AY","(51.37996080106, -2.3303407430649)",,UD1 space. For Security vehicles only.,1,Private - Restricted Access,Type 2 (Socket Only),Level 2 : Medium (Over 2kW),Operational,POD Point (UK),,01/22/2017 08:42:00 AM +0000,22,580,12,1,29
113598,Bailbrook House Hotel,"London Road West, , Bath, , BA1 7JD","(51.401398, -2.335291)",,,1,Public - Membership Required,CCS (Type 2),Level 3:  High (Over 40kW),Operational,POLAR (UK),01582 400331,06/20/2019 05:32:00 AM +0000,23,231,4,1,58
102219,Temple Inn Lane,"Temple Inn Lane, Clutton, Temple Cloud, Bath and North East Somerset, BS39 5DA","(51.320867045906, -2.5437795053101)",,,2,Public - Pay At Location,Type 2 (Socket Only),Level 2 : Medium (Over 2kW),Operational,(Business Owner at Location),,04/19/2018 09:55:00 PM +0000,2,268,20,1,7
54061,City of Bristol College - South Bristol Skills Academy,"Whitchurch Lane, Totterdown, City of Bristol, England, BS14 0DB","(51.410708903286, -2.584472788855)",,,2,"Private - For Staff, Visitors or Customers",Type 2 (Socket Only),Level 2 : Medium (Over 2kW),Not Operational,Charge Your Car,0191 26 50 500,10/03/2019 05:14:00 AM +0000,,,,,
8810,Best Western Centurion Hotel,"Charlton Lane, Midsomer Norton, Bath, Somerset, BA3 4BD","(51.27647, -2.472012)",,,2,Public,BS1363 3 Pin 13 Amp,Level 2 : Medium (Over 2kW),Operational,Zero Carbon World,,04/21/2017 05:28:00 PM +0000,,,,,
101875,Bath Spa University-Newton Park Campus,"Newton Park, , Bath, , BA2 9BN","(51.375848, -2.438212)","This is an open charge unit installed at the Bath Spa University - Newton Park campus in Newton St Loe, Bath",,4,"Private - For Staff, Visitors or Customers",Type 2 (Socket Only),Level 2 : Medium (Over 2kW),Operational,POD Point (UK),,04/14/2018 05:34:00 AM +0000,9,68,22,1,28
60280,Curo Group-Bath,"Lower Bristol Road, Twerton, City of Bath, Bath & North East Somerset, BA2 1EP","(51.3808969, -2.3912696)",,,2,"Private - For Staff, Visitors or Customers",Type 2 (Socket Only),Level 2 : Medium (Over 2kW),Operational,POD Point (UK),,11/12/2016 12:24:00 PM +0000,28,482,11,1,92
44926,University of Bath East Car Park,"Convocation Avenue, Claverton Down, Bath, , BA2 7PJ","(51.378869, -2.324367)",Pod-Point T7-S points. Web or app login required for charge sessions over 15 minutes.,"Restricted access for the use of University staff, students and visitors from Monday - FridayVisitors must pay and display.",8,"Private - For Staff, Visitors or Customers",Type 2 (Socket Only),Level 2 : Medium (Over 2kW),Operational,POD Point (UK),,05/13/2019 12:04:00 PM +0000,22,580,12,1,29
99418,The Old Parsonage,"Main Street, , Bristol, Somerset, BS39 6UB","(51.297847, -2.532994)","1 Tesla Connector, up to 7kW.Available for customers. Please see front desk.",,1,Public - Membership Required,Tesla (Model S/X),Level 2 : Medium (Over 2kW),Operational,Tesla Motors (Worldwide),,10/03/2018 06:07:00 PM +0000,3,133,23,1,43
75295,Babington House,"Babington House, , Somerset, Somerset, BA11 3RW","(51.257913, -2.425058)","1 Tesla Connector, up to 22kW.Available by reservation only. Please call ahead.",,1,Public - Notice Required,Tesla (Model S/X),Level 2 : Medium (Over 2kW),Operational,Tesla Motors (Worldwide),,10/03/2018 05:21:00 PM +0000,,,,,
23086,Bloomfield House,"146 Bloomfield Rd, , Bath, Somerset, BA2 2AS","(51.368433, -2.368452)",,,2,Public,Type 2 (Socket Only),Level 2 : Medium (Over 2kW),Operational,Zero Carbon World,,07/13/2015 02:40:00 PM +0000,18,256,17,1,5
