title,url,created,state,whensent,category,lastupdate,latitude,longitude,ward,Location,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
Caravan,https://www.fixmystreet.com/report/122878,2010-07-04 19:00:35 UTC,confirmed,2010-07-04 19:05:02 UTC,Other,2010-07-04 19:05:02 UTC,51.40058458,-2.351277417,Lambridge,"(51.40058458, -2.351277417)",23,221,4,1,56
Stop Lines at Junction,https://www.fixmystreet.com/report/132054,2010-09-06 10:25:59 UTC,unconfirmed,,Other,2010-09-06 10:25:59 UTC,51.37249928,-2.349651049,Widcombe,"(51.37249928, -2.349651049)",33,575,12,1,110
Potholes,https://www.fixmystreet.com/report/969969,2017-02-01 09:13:42 UTC,confirmed,2017-02-01 09:26:31 UTC,Roads/highways,2017-03-01 10:55:43 UTC,51.357334,-2.315411,Monkton Combe,"(51.357334, -2.315411)",10,56,10,1,113
Carriageway Subsidence,https://www.fixmystreet.com/report/365350,2013-06-15 09:24:54 UTC,fixed - user,2013-06-15 09:25:09 UTC,Roads/highways,2015-01-25 17:06:01 UTC,51.42459058,-2.400383547,Charlcombe,"(51.42459058, -2.400383547)",1,47,10,1,25
Motorcycles damaging trees and paths,https://www.fixmystreet.com/report/475824,2014-05-18 10:50:07 UTC,confirmed,2014-05-18 10:55:16 UTC,Pavements/footpaths,2014-05-18 10:55:16 UTC,51.407135,-2.34052,Swainswick,"(51.407135, -2.34052)",1,51,10,1,25
No no entry sign ,https://www.fixmystreet.com/report/18693,2008-03-19 18:19:54 UTC,confirmed,2008-03-19 18:25:02 UTC,Road traffic signs,2008-03-19 18:25:02 UTC,51.38031385,-2.362910434,Abbey,"(51.38031385, -2.362910434)",35,14,7,1,20
Using a disabled space that should not be there.,https://www.fixmystreet.com/report/594353,2015-02-25 16:50:23 UTC,unconfirmed,,Other,2015-02-25 16:50:23 UTC,51.397928,-2.300296,Bathford,"(51.397928, -2.300296)",1,45,10,1,24
Sunken manhole covers and eroding repairs,https://www.fixmystreet.com/report/445700,2014-02-25 09:53:23 UTC,confirmed,2014-02-25 09:55:22 UTC,Potholes,2014-02-25 09:55:22 UTC,51.40441733,-2.556096698,Whitchurch,"(51.40441733, -2.556096698)",7,404,20,1,75
Collapsed house wall at bus stop,https://www.fixmystreet.com/report/843269,2016-06-18 09:43:55 UTC,confirmed,2016-06-18 09:45:16 UTC,Pavements/footpaths,2016-07-26 15:59:55 UTC,51.388501,-2.396773,Newbridge,"(51.388501, -2.396773)",29,315,8,1,16
Road damage following rain,https://www.fixmystreet.com/report/832389,2016-05-30 20:39:40 UTC,fixed - user,2016-05-30 20:40:57 UTC,Potholes,2016-06-30 12:11:12 UTC,51.347253,-2.473212,Farmborough,"(51.347253, -2.473212)",8,127,16,1,40
Pothole,https://www.fixmystreet.com/report/496012,2014-07-02 00:00:41 UTC,confirmed,2014-07-02 00:05:18 UTC,Potholes,2014-07-02 00:05:18 UTC,51.393027,-2.388422,Newbridge,"(51.393027, -2.388422)",29,316,8,1,16
Potholes,https://www.fixmystreet.com/report/447118,2014-02-27 20:22:52 UTC,confirmed,2014-02-27 20:25:22 UTC,Potholes,2014-02-27 20:25:22 UTC,51.31783596,-2.473305197,Paulton,"(51.31783596, -2.473305197)",13,581,23,1,69
Builder's skip,https://www.fixmystreet.com/report/79389,2009-11-09 09:50:43 UTC,fixed,2009-11-09 10:00:02 UTC,Other,2009-12-07 10:58:01 UTC,51.39355379,-2.348166079,Walcot,"(51.39355379, -2.348166079)",36,489,6,1,95
Graffiti,https://www.fixmystreet.com/report/5036,2007-06-05 22:14:20 UTC,unconfirmed,,Graffiti,2007-06-05 22:14:20 UTC,51.39740397,-2.345621378,Lambridge,"(51.39740397, -2.345621378)",23,229,4,1,56
Lots of Potholes,https://www.fixmystreet.com/report/583945,2015-02-08 21:16:10 UTC,fixed - user,2015-02-08 21:20:24 UTC,Potholes,2015-10-15 07:36:00 UTC,51.41480139,-2.393143953,Charlcombe,"(51.41480139, -2.393143953)",1,47,10,1,25
Over grown hedgerow,https://www.fixmystreet.com/report/181758,2011-04-27 11:13:45 UTC,fixed,2011-04-27 12:30:02 UTC,Trees,2011-06-23 06:09:13 UTC,51.345229,-2.4833,Farmborough,"(51.345229, -2.4833)",8,129,16,1,40
People often putting out rubbish several days early,https://www.fixmystreet.com/report/60843,2009-06-09 10:40:59 UTC,confirmed,2009-06-09 10:45:02 UTC,Rubbish (refuse and recycling),2009-06-09 10:45:02 UTC,51.29885124,-2.457727587,Radstock,"(51.29885124, -2.457727587)",12,421,24,1,76
Flooding - No drains to take water away,https://www.fixmystreet.com/report/431453,2014-01-31 14:24:31 UTC,confirmed,2014-01-31 14:32:13 UTC,Pavements/footpaths,2014-01-31 14:32:13 UTC,51.383216,-2.397671,Newbridge,"(51.383216, -2.397671)",29,323,8,1,17
Test,https://www.fixmystreet.com/report/257924,2012-06-15 13:58:42 UTC,unconfirmed,,Abandoned vehicles,2012-06-15 13:58:42 UTC,51.38427791,-2.36806292,Kingsmead,"(51.38427791, -2.36806292)",34,209,9,1,115
Incorrect sign of zebra crossing ahead,https://www.fixmystreet.com/report/862126,2016-07-18 20:15:15 UTC,confirmed,2016-07-18 20:20:15 UTC,Road traffic signs,2016-07-18 20:20:15 UTC,51.359807,-2.479864,Marksbury,"(51.359807, -2.479864)",8,130,16,1,40
Branch broken and overhanging road - could fall (school bus route),https://www.fixmystreet.com/report/704531,2015-10-19 16:26:25 UTC,fixed - user,2015-10-19 16:30:17 UTC,Trees,2015-11-16 16:42:15 UTC,51.307744,-2.410116,Shoscombe,"(51.307744, -2.410116)",10,57,10,1,114
Bin graffiti,https://www.fixmystreet.com/report/951843,2017-01-05 07:59:02 UTC,fixed - user,2017-01-05 08:00:16 UTC,Graffiti,2017-01-19 21:04:24 UTC,51.407798,-2.493151,Keynsham,"(51.407798, -2.493151)",16,142,3,1,46
Abandoned boats sinking,https://www.fixmystreet.com/report/909179,2016-10-08 11:07:28 UTC,confirmed,2016-10-08 11:10:11 UTC,Other,2016-11-05 15:32:12 UTC,51.378082,-2.354996,Abbey,"(51.378082, -2.354996)",35,13,7,1,21
Dog mess on pavement,https://www.fixmystreet.com/report/726103,2015-12-07 17:02:23 UTC,confirmed,2015-12-07 17:05:25 UTC,Dog fouling,2015-12-07 17:05:25 UTC,51.389561,-2.366029,Lansdown,"(51.389561, -2.366029)",21,246,7,1,2
Street Lighting not working,https://www.fixmystreet.com/report/359665,2013-05-24 11:29:04 UTC,confirmed,2013-05-24 11:30:10 UTC,Street lighting,2013-05-24 11:30:10 UTC,51.40026965,-2.39305587,Weston,"(51.40026965, -2.39305587)",20,541,5,1,106
Overgrown Hedge ,https://www.fixmystreet.com/report/273,2007-02-26 16:56:05 UTC,unconfirmed,,Other,2007-02-26 16:56:05 UTC,51.36097057,-2.34933244,Combe Down,"(51.36097057, -2.34933244)",19,118,18,1,38
Blocked drain,https://www.fixmystreet.com/report/29817,2008-09-07 20:50:08 UTC,unconfirmed,,Other,2008-09-07 20:50:08 UTC,51.37826672,-2.510689055,Farmborough,"(51.37826672, -2.510689055)",8,123,16,1,41
Rubbish and recylcing,https://www.fixmystreet.com/report/46861,2009-03-02 12:49:23 UTC,fixed,2009-03-02 12:55:02 UTC,Rubbish (refuse and recycling),2009-03-31 09:30:18 UTC,51.3944809,-2.345517193,Walcot,"(51.3944809, -2.345517193)",36,490,6,1,95
"Hazardous road surface, Junction off of Publow Lane onto unnamed Lane",https://www.fixmystreet.com/report/651844,2015-06-23 12:04:58 UTC,confirmed,2015-06-23 12:10:24 UTC,Roads/highways,2015-06-23 12:10:24 UTC,51.376874,-2.541595,Publow,"(51.376874, -2.541595)",7,398,20,1,74
Dangerous steps,https://www.fixmystreet.com/report/170631,2011-03-04 10:13:33 UTC,unconfirmed,,Pavements/footpaths,2011-03-04 10:13:33 UTC,51.40857703,-2.316944453,Batheaston,"(51.40857703, -2.316944453)",1,35,10,1,23
Broken street light,https://www.fixmystreet.com/report/457348,2014-03-22 22:20:27 UTC,confirmed,2014-03-22 22:25:16 UTC,Street lighting,2014-03-22 22:25:16 UTC,51.35257768,-2.364333984,Southstoke,"(51.35257768, -2.364333984)",10,59,10,1,113
Road falling apart,https://www.fixmystreet.com/report/486012,2014-06-09 16:21:15 UTC,confirmed,2014-06-09 16:25:10 UTC,Roads/highways,2014-06-09 16:25:10 UTC,51.27782696,-2.49845768,Midsomer Norton,"(51.27782696, -2.49845768)",25,298,27,1,12
Abandoned car in lane behind Kensington Place,https://www.fixmystreet.com/report/162084,2011-02-05 12:35:54 UTC,confirmed,2011-02-08 21:00:01 UTC,Abandoned vehicles,2011-05-19 19:12:12 UTC,51.39226302,-2.349643694,Walcot,"(51.39226302, -2.349643694)",36,487,6,1,95
Pothole at BA2 7JD,https://www.fixmystreet.com/report/771072,2016-02-19 13:04:08 UTC,confirmed,2016-02-19 13:05:39 UTC,Potholes,2016-02-19 13:05:39 UTC,51.357677,-2.315398,Monkton Combe,"(51.357677, -2.315398)",10,56,10,1,113
Missing drain/manhole cover,https://www.fixmystreet.com/report/997802,2017-03-08 09:30:21 UTC,confirmed,2017-03-08 09:36:04 UTC,Other,2017-03-08 09:36:04 UTC,51.398887,-2.387157,Weston,"(51.398887, -2.387157)",20,553,5,1,106
Pothole has opened up - hazardous for cycles,https://www.fixmystreet.com/report/940214,2016-12-10 19:43:11 UTC,confirmed,2016-12-10 19:45:11 UTC,Potholes,2016-12-10 19:45:11 UTC,51.339139,-2.48095,Farmborough,"(51.339139, -2.48095)",8,127,16,1,40
Potholes,https://www.fixmystreet.com/report/93063,2010-02-02 07:41:20 UTC,unconfirmed,,Potholes,2010-02-02 07:41:20 UTC,51.35742348,-2.369082113,Lyncombe,"(51.35742348, -2.369082113)",18,262,17,1,4
Incomplete removal of weeds,https://www.fixmystreet.com/report/358272,2013-05-19 00:38:17 UTC,fixed - user,2013-05-19 00:40:09 UTC,Pavements/footpaths,2013-06-03 16:31:42 UTC,51.389364,-2.366148,Kingsmead,"(51.389364, -2.366148)",34,199,9,1,115
Flood lights not working,https://www.fixmystreet.com/report/588859,2015-02-16 23:04:37 UTC,confirmed,2015-02-16 23:05:16 UTC,Parks/landscapes,2015-03-17 07:19:55 UTC,51.380136,-2.409212,Twerton,"(51.380136, -2.409212)",28,481,11,1,91
Incorrect sign,https://www.fixmystreet.com/report/113911,2010-05-10 23:21:37 UTC,confirmed,2010-05-10 23:25:03 UTC,Road traffic signs,2010-08-03 14:43:50 UTC,51.37988736,-2.417240539,Bathavon West,"(51.37988736, -2.417240539)",9,68,22,1,28
Overflowing recycling,https://www.fixmystreet.com/report/476218,2014-05-19 14:03:49 UTC,fixed - user,2014-05-19 14:05:28 UTC,Rubbish (refuse and recycling),2014-06-23 16:34:17 UTC,51.389237,-2.36365,Lansdown,"(51.389237, -2.36365)",21,246,7,1,2
Norton-Radstock Greenway surface.,https://www.fixmystreet.com/report/288579,2012-11-05 20:08:43 UTC,fixed - user,2012-11-05 20:10:14 UTC,Other,2015-08-24 00:09:27 UTC,51.29327513,-2.469733058,Midsomer Norton,"(51.29327513, -2.469733058)",11,282,25,1,8
Huge dip in road,https://www.fixmystreet.com/report/639262,2015-05-26 15:29:26 UTC,confirmed,2015-05-26 15:30:26 UTC,Potholes,2015-05-26 15:30:26 UTC,51.380338,-2.362462,Abbey,"(51.380338, -2.362462)",35,14,7,1,20
Road surface cracked and breaking up in centre,https://www.fixmystreet.com/report/536946,2014-10-25 09:24:16 UTC,confirmed,2014-10-25 09:25:16 UTC,Roads/highways,2014-10-25 09:25:16 UTC,51.39995424,-2.470787384,Saltford,"(51.39995424, -2.470787384)",17,427,16,1,82
Potholes,https://www.fixmystreet.com/report/251358,2012-05-15 00:22:15 UTC,fixed - user,2012-05-15 00:25:05 UTC,Potholes,2012-06-16 13:38:02 UTC,51.393606,-2.304904,Bathford,"(51.393606, -2.304904)",1,45,10,1,24
