Name,Postcode,Phone,Location 1,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
Batheaston Medical Centre       ,BA1 7NP,01225 858128,"(51.406045, -2.317373)",1,35,10,1,23
Oldfield Surgery ,BA2 3HT,01225 421137,"(51.376368, -2.373933)",33,565,12,1,112
St. Michael,BA2 1ER,01225 428277,"(51.381858, -2.399469)",28,479,11,1,92
St Chad,BA3 2UH,01761 413334,"(51.287835, -2.476846)",11,289,25,1,11
Somerton House Surgery ,BA3 2QE,01761 412141,"(51.288008, -2.48386)",11,290,25,1,11
Bath University Medical Centre,BA2 7AY,01225 386655,"(51.380445, -2.330673)",22,580,12,1,29
West View Surgery ,BS31 1BX,0117 9376835,"(51.411936, -2.502106)",37,181,2,1,52
No 18 Upper Oldfield Surgery ,BA2 3JZ,01225 427402,"(51.375928, -2.370855)",33,565,12,1,112
Combe Down Surgery                 ,BA2 5EG,01225 832226,"(51.361016, -2.345585)",19,109,18,1,37
Pulteney Street Surgery,BA2 4BY,01225 464567,"(51.385341, -2.352551)",35,24,7,1,21
Temple House Surgery ,BS31 1AF,0117 9862139,"(51.4098, -2.498186)",37,179,2,1,52
Severn Way Surgery (Branch of West View),BS31 1NU,0117 9376835,"(51.41007, -2.490497)",16,142,3,1,46
St James Surgery,BA1 2SR,01225 422911,"(51.389374, -2.366868)",34,199,9,1,115
Weston Surgery (Subsidary of Rush Hill),BA1 3NR,01225 446089,"(51.390284, -2.388619)",29,316,8,1,16
Fairfield Park Health Centre   ,BA1 6EA,01225 331616,"(51.394984, -2.352597)",36,484,6,1,93
Cameley Surgery ,BS39 5BW,01761 452205,"(51.316921, -2.542392)",2,268,20,1,7
Elm Hayes Surgery ,BS39 7SF,01761 413155,"(51.30055, -2.492742)",13,372,23,1,67
Westfield Surgery ,BA3 3UJ,01761 436333,"(51.284961, -2.458979)",26,518,26,1,98
Widcombe Surgery ,BA2 4JT,01225 310883,"(51.376384, -2.354322)",33,572,12,1,111
Monmouth Surgery ,BA1 2AU,01225 334618,"(51.38323, -2.367724)",34,212,9,1,115
Grosvenor Medical Centre ,BA1 6BA,01225 484748,"(51.394756, -2.344532)",36,490,6,1,95
St. Augustine,BS31 2BN,0117 986 2343,"(51.418055, -2.496924)",24,158,1,1,49
Harptree Surgery,BS40 6HF,01761 221406,"(51.310329, -2.632183)",2,274,21,1,6
Rush Hill Surgery   ,BA2 2QH,01225 428277,"(51.365243, -2.393722)",30,340,19,1,62
St Marys Surgery ,BA2 0HX,01761 470880,"(51.326082, -2.479869)",14,460,16,1,87
Hope House Surgery ,BA3 3PL,01761 432121,"(51.291838, -2.44779)",12,413,24,1,79
Catherine Cottage,BA1 2PS,01225 421034,"(51.386964, -2.365828)",35,20,7,1,22
Hillcrest Surgery,BA2 8JS,01761 434469,"(51.311138, -2.429987)",15,377,22,1,72
Saltford Surgery  (Branch of St Augustine,BS31 3HQ,01225 873245,"(51.401801, -2.456296)",17,431,16,1,81
Newbridge Surgery ,BA1 3PT,01225 425807,"(51.387632, -2.394)",29,319,8,1,16
Chew Medical Centre ,BS40 8UE,01275 332420,"(51.356358, -2.628825)",6,83,21,1,31
