PRACTICE_CODE,CCG,CCG Name,Residential LA,ORG_NAME,LSOA_CODE,Male Patients,Female Patients,All Patients
J83006,99N,NHS Wiltshire CCG,Bath and North East Somerset,PURTON SURGERY,E01014482,0,1,1
J83008,99N,NHS Wiltshire CCG,Bath and North East Somerset,LOVEMEAD GROUP PRACTICE,E01014438,0,1,1
J83013,99N,NHS Wiltshire CCG,Bath and North East Somerset,BOX SURGERY,E01014373,6,6,12
J83013,99N,NHS Wiltshire CCG,Bath and North East Somerset,BOX SURGERY,E01014374,5,7,12
J83013,99N,NHS Wiltshire CCG,Bath and North East Somerset,BOX SURGERY,E01014375,5,4,9
J83013,99N,NHS Wiltshire CCG,Bath and North East Somerset,BOX SURGERY,E01014376,53,59,112
J83013,99N,NHS Wiltshire CCG,Bath and North East Somerset,BOX SURGERY,E01014377,1,0,1
J83013,99N,NHS Wiltshire CCG,Bath and North East Somerset,BOX SURGERY,E01014379,0,1,1
J83013,99N,NHS Wiltshire CCG,Bath and North East Somerset,BOX SURGERY,E01014380,0,1,1
J83013,99N,NHS Wiltshire CCG,Bath and North East Somerset,BOX SURGERY,E01014411,0,2,2
J83013,99N,NHS Wiltshire CCG,Bath and North East Somerset,BOX SURGERY,E01014467,1,0,1
J83016,99N,NHS Wiltshire CCG,Bath and North East Somerset,ADCROFT SURGERY,E01014480,0,1,1
J83016,99N,NHS Wiltshire CCG,Bath and North East Somerset,ADCROFT SURGERY,E01033078,1,0,1
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01014372,1,0,1
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01014373,1,1,2
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01014379,0,1,1
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01014387,1,2,3
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01014388,44,17,61
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01014389,0,1,1
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01014412,1,2,3
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01014415,1,0,1
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01014416,1,0,1
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01014473,3,1,4
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01014475,2,2,4
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01014482,1,1,2
J83030,99N,NHS Wiltshire CCG,Bath and North East Somerset,BRADFORD-ON-AVON AND MELKSHAM HEALTH,E01033078,195,155,350
