FEATURE_LOCATION,the_geom,FEATURE_TYPE_CODE,FEATURE_NO,EASTING,NORTHING,FEATURE_ID,ATTRIB_VALUE_CODE,ADOPTED_HW,URBANRURAL,MI_STYLE,MI_PRINX
GBIN: ROTCOMBE LANE 1/2 WAY ALONG O/S LITTLE ORCHARD,POINT (-2.507045557327729 51.326231751802865),GBIN,15.01,364766.52,158692.34,082,GR,CLASS 4 ROAD,Urban,,169
GBIN: EASTOVER ROAD - TOP END,POINT (-2.507287231037621 51.324048657312275),GBIN,15.01,364748,158449.67,379,NA,CLASS 4 ROAD,Urban,,170
GBIN: ANCHOR LA (?) TOP JNT OPP MANOR HSE FARM,POINT (-2.384151528812777 51.33734382568877),GBIN,15.01,373336,159876.13,126,GR,CLASS 4 ROAD,Rural,,171
GBIN: OPP CHURCH ENTRANCE BY NOTICEBOARD,POINT (-2.381534200835815 51.33743787250402),GBIN,15.02,373518.38,159885.63,097,GR,CLASS 4 ROAD,Rural,,172
GBIN: WINTERFIELD ROAD JNT WITH ELM ROAD AND BLOOMFIELD,POINT (-2.498522746320474 51.30311312268532),GBIN,15.01,365342.9,156117.2,052,GR,CLASS 4 ROAD,Urban,,173
GBIN: JNT THE GLEBE AND THE TYNING,POINT (-2.30835406998838 51.33789784893503),GBIN,15.01,378616.41,159912.8,137,GR,CLASS 4 ROAD,Rural,,174
GBIN: ROWLEY FARM LANE OS ROWLEY FARM,POINT (-2.375952438547859 51.34057041339815),GBIN,15.01,373909,160232,393,YE,CLASS 4 ROAD,Rural,,175
GBIN: ROSEMARY LANE OPP ROCK COTTAGE,POINT (-2.312549344733624 51.33542593552977),GBIN,15.01,378322.99,159639.13,139,GR,CLASS 4 ROAD,Rural,,176
GBIN: BOTTOM OF ROSEMARY LANE BEFORE MILL,POINT (-2.310291497976586 51.334479539991925),GBIN,15.02,378479.84,159533.21,138,YE,CLASS 4 ROAD,Rural,,177
GBIN: JNCT OF DOWNSWAY AND WOODVIEW,POINT (-2.510393991680247 51.306295940138824),GBIN,15.01,364517.78,156476.86,048,GR,CLASS 4 ROAD,Urban,,178
GBIN: CNR JNT DOWNSWAY AND HALLOTROW ROAD,POINT (-2.509999438525451 51.30798368659627),GBIN,15.01,364546.59,156664.36,047,GR,CLASS 4 ROAD,Urban,,179
GBIN: CNR JNT OF DOWNSWAY AND HIGH PARK,POINT (-2.510354734914404 51.30689389755861),GBIN,15.01,364520.98,156543.34,049,YE,CLASS 4 ROAD,Urban,,180
GBIN: CNR JNT OF LAUREL DRIVE AND PARK ROAD OPP LIBRARY,POINT (-2.502413988610829 51.3059592071306),GBIN,15.01,365073.8,156435.57,050,YE,CLASS 4 ROAD,Urban,,181
GBIN: SOMERSET WAY JNT WITH ORCHARD ROAD,POINT (-2.500119144016891 51.30714518989747),GBIN,15.01,365234.67,156566.37,053,YE,CLASS 4 ROAD,Urban,,182
"GBIN: PRIORS HILL, TOP, O/S SANSOME VILLA",POINT (-2.486907936035437 51.32699996992341),GBIN,15.01,366170.23,158768.27,026,YE,CLASS 4 ROAD,Rural,,183
GBIN: GREGORYS TYNING OPP NO.71/72,POINT (-2.494914227539697 51.3092413146644),GBIN,15.01,365599.06,156797.03,055,YE,CLASS 4 ROAD,Urban,,184
GBIN: BROOKSIDE OPP JNT LITTLEBROOK BY SUBSTATION,POINT (-2.498885824941304 51.3093919250696),GBIN,15.01,365322.34,156815.65,054,YE,CLASS 4 ROAD,Urban,,185
GBIN: PARKWAY LANE BY SMALL LAYBY / PROW SIGN,POINT (-2.465349803862667 51.33394255590672),GBIN,15.01,367677.23,159530.62,034,YE,CLASS 4 ROAD,Rural,,186
GBIN: JNT CLAREMONT GARDENS AND PAULTON ROAD,POINT (-2.520514384398641 51.31213790547989),GBIN,15.01,363816.92,157131.51,025,GR,,Rural,,187
GBIN: LANSDOWN CRESCENT OS NO 50,POINT (-2.46914480672257 51.32712401000566),GBIN,15.01,367408,158774,422,YE,CLASS 4 ROAD,Urban,,188
GBIN: JNT WICK LANE & WHITEBROOK LANE OPP EASTVIEW COT.,POINT (-2.447082547322313 51.3208033673518),GBIN,15.01,368940.94,158061.46,040,YE,CLASS 4 ROAD,Rural,,189
GBIN: STONEAGE LANE BY STREAM BRIDGE & PUMP STATION,POINT (-2.437215070516778 51.32473791534473),GBIN,15.01,369631.17,158494.89,039,YE,CLASS 4 ROAD,Rural,,190
GBIN: CNR JNT OF BATH OLD ROAD AND WOODBOROUGH ROAD,POINT (-2.444188895401855 51.294626820684655),GBIN,15.01,369124.96,155149.09,062,YE,CLASS 4 ROAD,Urban,,191
GBIN: X-ROADS JNT BARN HILL & SINGLE HILL,POINT (-2.403064803433768 51.303984896229814),GBIN,15.01,371998.09,156173.27,153,YE,CLASS 4 ROAD,Rural,,192
GBIN: X-ROADS JNT ST JULIANS RD AND BARN HILL,POINT (-2.405179055451145 51.30507140672485),GBIN,15.02,371851.37,156294.91,152,YE,CLASS 4 ROAD,Rural,,193
GBIN: KNIGHTSTONE CLOSE JUNCTION LOWER CHURCH ROAD,POINT (-2.43306931815763 51.31856793218278),GBIN,15.01,369916,157807,412,YE,CLASS 4 ROAD,Urban,,194
"GBIN: THE HOLLOWS, TOP, BELOW JNT WITH TUNLEY ROAD",POINT (-2.421277296791514 51.339211263769265),GBIN,15.01,370750.97,160098.01,046,YE,CLASS 4 ROAD,Rural,,195
GBIN: HILLSIDE VIEW TERRACES 1/2 WAY UP - SIDE ALLEY,POINT (-2.42954212949709 51.318481777466864),GBIN,15.01,370161.75,157795.97,044,YE,CLASS 4 ROAD,Urban,,196
GBIN: JNT HIGH ROAD AND GREENLANDS ROAD,POINT (-2.429305897148284 51.31677541004962),GBIN,15.01,370177.1,157606.1,042,YE,CLASS 4 ROAD,Urban,,197
GBIN: JNT KEELS HULL AND AXFORD WAY,POINT (-2.423471695239598 51.318223072789955),GBIN,15.01,370584.63,157764.74,043,YE,CLASS 4 ROAD,Urban,,198
GBIN: KEEL'S HILL ON CNR OPP # 10,POINT (-2.425795503446502 51.31893369083928),GBIN,15.02,370423.14,157844.71,385,YE,CLASS 4 ROAD,Rural,,199
GBIN: KEEL'S HILL TOP OF HILL OS NO 10,POINT (-2.425439078150128 51.318964561374216),GBIN,15.03,370448,157848,411,YE,CLASS 4 ROAD,Rural,,200
GBIN: CNR JNT SMALLCOMBE CLOSE AND SMALLCOMBE ROAD,POINT (-2.454759922191319 51.30214835075657),GBIN,15.01,368393.07,155990.09,057,YE,CLASS 4 ROAD,Urban,,201
GBIN: GREEN ST & ST JULIANS RD X-ROADS JNT,POINT (-2.412323951991853 51.3017928862063),GBIN,15.01,371351.25,155933.07,150,YE,CLASS 4 ROAD,Rural,,202
"GBIN: THE COOMBE, TOP BY COOMBE COTTAGE",POINT (-2.658395287087723 51.30834862112833),GBIN,15.01,354202.98,156787.31,087,YE,CLASS 4 ROAD,Rural,,203
GBIN: RECTORY LANE BY PROW SIGN OPP THE GABLES,POINT (-2.653362680322654 51.30932995363724),GBIN,15.01,354554.75,156893.31,086,YE,CLASS 4 ROAD,Rural,,204
"GBIN: HIGHFIELDS LANE, THE WRANGLE OPP HIGHFIELDS DRIVE",POINT (-2.653092598756513 51.30585448355819),GBIN,15.01,354570.13,156506.63,085,YE,CLASS 4 ROAD,Rural,,205
"GBIN: HIGHFIELD LANE, THE WRANGLE O/S VALLEY VIEW",POINT (-2.65125244462202 51.30869717830793),GBIN,15.02,354701.21,156821.63,084,YE,CLASS 4 ROAD,Rural,,206
GBIN: JNT OF RIDGE LANE AND RIDGE CRESCENT,POINT (-2.631970237571395 51.30798725934565),GBIN,15.01,356044.58,156730.93,007,GR,CLASS 4 ROAD,Rural,,207
GBIN: BETWEEN CHARLIE HORSE LANE AND SHORTCOMBE FARM,POINT (-2.643936617444346 51.30239272041532),GBIN,15.02,355205,156116,,YE,CLASS 4 ROAD,Rural,,208
"GBIN: CHAPEL HILL, 2/3 WAY UP",POINT (-2.685738573183103 51.34318645482078),GBIN,15.01,352333.25,160679.14,010,YE,CLASS 4 ROAD,Rural,,209
GBIN: JNT OF MILWARD ROAD AND ST LADOC ROAD,POINT (-2.50465162372085 51.41745551465374),GBIN,15.01,365003.17,168836.48,096,GR,CLASS 4 ROAD,Urban,,210
GBIN: JNT OF LAYS DRIVE AND CHARLTON ROAD O/S NO.152,POINT (-2.5124241425659 51.41060884595305),GBIN,15.01,364457.35,168078.79,095,GR,CLASS 4 ROAD,Urban,,211
GBIN: JNT OF LAYS DRIVE & CHARLTON ROAD O/S NO.276,POINT (-2.514462947812956 51.40823343715058),GBIN,15.02,364313.69,167815.6,094,GR,CLASS 4 ROAD,Urban,,212
GBIN: ST CADOCS HOUSE - FORECOURT,POINT (-2.49644833521858 51.4116114237565),GBIN,15.01,365569.22,168182.64,102,YE,,Urban,,213
GBIN: DAPPS HILL - BY TRACKWAY,POINT (-2.495908677712628 51.41077799257667),GBIN,15.01,365606.12,168089.69,103,YE,CLASS 4 ROAD,Urban,,214
GBIN: JNT OF FOX AND HOUNDS LANE AND AVON ROAD,POINT (-2.494054175419363 51.41406163598708),GBIN,15.01,365737.57,168454.01,098,YE,CLASS 4 ROAD,Urban,,215
GBIN: MEAD LANE OPP BIRD IN HAND PH BY BRIDGE,POINT (-2.450543981050708 51.40553884606706),GBIN,15.01,368757.64,167486.65,111,YE,CLASS 4 ROAD,Urban,,216
GBIN: JNT HIGH STREET AND HOMEFIELD ROAD,POINT (-2.454549002353113 51.40442166931771),GBIN,15.01,368478.29,167364.12,109,YE,CLASS 4 ROAD,Urban,,217
GBIN: JNT QUEEN SQUARE AND HIGH STREET,POINT (-2.453244215613678 51.404903147498636),GBIN,15.01,368569.38,167417.11,110,YE,CLASS 4 ROAD,Urban,,218
GBIN: IFORD CLOSE OPP NO.11,POINT (-2.459974074411934 51.4036018103163),GBIN,15.01,368100.35,167275.3,108,YE,CLASS 4 ROAD,Urban,,219
GBIN: HINTON CLOSE O/S NO.S 1/2,POINT (-2.458332073930669 51.40370883460254),GBIN,15.01,368214.65,167286.48,107,YE,CLASS 4 ROAD,Urban,,220
GBIN: WICK HOUSE CLOSE O/S NO.16,POINT (-2.463924259728836 51.40465899200512),GBIN,15.01,367826.32,167394.6,106,YE,CLASS 4 ROAD,Urban,,221
GBIN: JNT OF CLAPTON ROAD AND WOODSIDE,POINT (-2.498079888101846 51.285512195768995),GBIN,15.01,365360.49,154159.56,075,YE,CLASS 4 ROAD,Urban,,222
"GBIN: JNT OF ORCHARD VALE, GREENACRES AND PINEWOOD ROAD",POINT (-2.496228942033325 51.28617079359536),GBIN,15.01,365490.07,154231.93,076,YE,CLASS 4 ROAD,Urban,,223
GBIN: JNT GREENACRES AND PINEWOOD ROAD BY RAILINGS,POINT (-2.495928957782006 51.286123253295834),GBIN,15.01,365510.95,154226.5,077,YE,CLASS 4 ROAD,Urban,,224
GBIN: HAYES PARK ROAD JUNCTION VIVIEN AVENUE,POINT (-2.489224972135606 51.28952793652374),GBIN,15.01,365981,154602,408,BL,CLASS 4 ROAD,Urban,,225
GBIN: CLEVEDON ROAD JUNCTION BERKELEY AVENUE,POINT (-2.483562457305742 51.28970428751294),GBIN,15.01,366376,154619,410,BL,,Urban,,226
GBIN: JNT OF MELLS LANE AND QUEENS ROAD,POINT (-2.437191859071185 51.28977747864948),GBIN,15.01,369609.62,154606.85,070,YE,CLASS 4 ROAD,Urban,,227
