Provider,Age Group,LSOA,No. spells
Other,0-18,E01014380,under 5
Other,0-18,E01014381,under 5
Other,0-18,E01014383,under 5
Other,0-18,E01014388,under 5
Other,0-18,E01014392,under 5
Other,0-18,E01014407,under 5
Other,0-18,E01014409,under 5
Other,0-18,E01014410,under 5
Other,0-18,E01014411,under 5
Other,0-18,E01014413,under 5
Other,0-18,E01014421,under 5
Other,0-18,E01014427,under 5
Other,0-18,E01014437,under 5
Other,0-18,E01014454,under 5
Other,0-18,E01014455,under 5
Other,0-18,E01014460,under 5
Other,0-18,E01014467,under 5
Other,0-18,E01014472,under 5
Other,0-18,E01014475,under 5
Other,0-18,E01014476,under 5
Other,0-18,E01014481,under 5
Other,0-18,E01014484,under 5
Other,19 -45,E01014375,under 5
Other,19 -45,E01014377,under 5
Other,19 -45,E01014391,under 5
Other,19 -45,E01014398,under 5
Other,19 -45,E01014410,under 5
Other,19 -45,E01014411,under 5
Other,19 -45,E01014415,under 5
Other,19 -45,E01014417,under 5
Other,19 -45,E01014421,under 5
Other,19 -45,E01014426,under 5
Other,19 -45,E01014429,under 5
Other,19 -45,E01014436,under 5
Other,19 -45,E01014442,under 5
Other,19 -45,E01014445,under 5
Other,19 -45,E01014451,under 5
Other,19 -45,E01014454,under 5
Other,19 -45,E01014460,under 5
Other,19 -45,E01014468,under 5
Other,19 -45,E01014470,under 5
Other,19 -45,E01014472,under 5
Other,19 -45,E01014479,under 5
Other,19 -45,E01014482,under 5
Other,19 -45,E01015517,under 5
Other,46 - 65,E01014372,under 5
Other,46 - 65,E01014376,under 5
Other,46 - 65,E01014377,under 5
Other,46 - 65,E01014389,under 5
Other,46 - 65,E01014390,under 5
Other,46 - 65,E01014393,under 5
Other,46 - 65,E01014413,under 5
Other,46 - 65,E01014423,under 5
Other,46 - 65,E01014424,under 5
Other,46 - 65,E01014430,under 5
Other,46 - 65,E01014433,under 5
Other,46 - 65,E01014434,under 5
Other,46 - 65,E01014435,under 5
Other,46 - 65,E01014436,under 5
Other,46 - 65,E01014438,under 5
Other,46 - 65,E01014439,under 5
Other,46 - 65,E01014449,under 5
Other,46 - 65,E01014452,under 5
Other,46 - 65,E01014464,under 5
Other,46 - 65,E01014468,under 5
Other,46 - 65,E01014473,under 5
Other,46 - 65,E01014483,under 5
Other,66 - 85,E01014394,under 5
Other,66 - 85,E01014407,under 5
Other,66 - 85,E01014409,under 5
Other,66 - 85,E01014410,under 5
Other,66 - 85,E01014414,under 5
Other,66 - 85,E01014415,under 5
Other,66 - 85,E01014417,under 5
Other,66 - 85,E01014423,under 5
Other,66 - 85,E01014424,under 5
Other,66 - 85,E01014427,under 5
Other,66 - 85,E01014428,under 5
Other,66 - 85,E01014433,under 5
Other,66 - 85,E01014434,under 5
Other,66 - 85,E01014435,under 5
Other,66 - 85,E01014437,under 5
Other,66 - 85,E01014442,under 5
Other,66 - 85,E01014449,under 5
Other,66 - 85,E01014454,under 5
Other,66 - 85,E01014457,under 5
Other,66 - 85,E01014462,under 5
Other,66 - 85,E01014464,under 5
Other,66 - 85,E01014475,under 5
Other,66 - 85,E01014478,under 5
Other,66 - 85,E01014480,under 5
Other,66 - 85,E01014482,under 5
Other,85+,E01014372,under 5
Other,85+,E01014373,under 5
Other,85+,E01014376,under 5
Other,85+,E01014378,under 5
Other,85+,E01014379,under 5
Other,85+,E01014380,under 5
Other,85+,E01014381,under 5
Other,85+,E01014394,under 5
Other,85+,E01014397,under 5
Other,85+,E01014399,under 5
Other,85+,E01014402,under 5
Other,85+,E01014407,under 5
Other,85+,E01014408,under 5
Other,85+,E01014409,under 5
Other,85+,E01014415,under 5
Other,85+,E01014418,under 5
Other,85+,E01014424,under 5
Other,85+,E01014427,under 5
Other,85+,E01014432,under 5
Other,85+,E01014438,under 5
Other,85+,E01014439,under 5
Other,85+,E01014445,under 5
Other,85+,E01014452,under 5
Other,85+,E01014455,under 5
Other,85+,E01014456,under 5
Other,85+,E01014457,under 5
Other,85+,E01014467,under 5
Other,85+,E01014468,under 5
Other,85+,E01014473,under 5
Other,85+,E01014476,under 5
Other,85+,E01014479,under 5
RUH,0-18,E01014383,under 5
RUH,0-18,E01014406,under 5
RUH,0-18,E01031875,under 5
RUH,19 -45,E01014447,under 5
RUH,19 -45,E01031888,under 5
RUH,46 - 65,E01031888,under 5
RUH,46 - 65,E01031953,under 5
RUH,46 - 65,E01032081,under 5
RUH,46 - 65,E01032086,under 5
RUH,66 - 85,E01031941,under 5
RUH,66 - 85,E01032059,under 5
RUH,66 - 85,E01032117,under 5
RUH,85+,E01014408,under 5
RUH,85+,E01014444,under 5
Other,0-18,E01014376,under 5
Other,0-18,E01014377,under 5
Other,0-18,E01014379,under 5
Other,0-18,E01014394,under 5
Other,0-18,E01014405,under 5
Other,0-18,E01014406,under 5
Other,0-18,E01014419,under 5
Other,0-18,E01014423,under 5
Other,0-18,E01014426,under 5
Other,0-18,E01014429,under 5
Other,0-18,E01014444,under 5
Other,0-18,E01014447,under 5
Other,0-18,E01014452,under 5
Other,0-18,E01014453,under 5
Other,0-18,E01014459,under 5
Other,0-18,E01014468,under 5
Other,0-18,E01014477,under 5
Other,0-18,E01032027,under 5
Other,19 -45,E01014387,under 5
Other,19 -45,E01014395,under 5
Other,19 -45,E01014408,under 5
Other,19 -45,E01014413,under 5
Other,19 -45,E01014416,under 5
Other,19 -45,E01014428,under 5
Other,19 -45,E01014430,under 5
Other,19 -45,E01014433,under 5
Other,19 -45,E01014435,under 5
Other,19 -45,E01014437,under 5
Other,19 -45,E01014441,under 5
Other,19 -45,E01014443,under 5
Other,19 -45,E01014461,under 5
Other,19 -45,E01014469,under 5
Other,19 -45,E01014477,under 5
Other,19 -45,E01014481,under 5
Other,46 - 65,E01014373,under 5
Other,46 - 65,E01014380,under 5
Other,46 - 65,E01014383,under 5
Other,46 - 65,E01014385,under 5
Other,46 - 65,E01014391,under 5
Other,46 - 65,E01014392,under 5
Other,46 - 65,E01014394,under 5
Other,46 - 65,E01014395,under 5
Other,46 - 65,E01014405,under 5
Other,46 - 65,E01014410,under 5
Other,46 - 65,E01014412,under 5
Other,46 - 65,E01014415,under 5
Other,46 - 65,E01014416,under 5
Other,46 - 65,E01014417,under 5
Other,46 - 65,E01014419,under 5
Other,46 - 65,E01014420,under 5
Other,46 - 65,E01014428,under 5
Other,46 - 65,E01014431,under 5
Other,46 - 65,E01014443,under 5
Other,46 - 65,E01014445,under 5
Other,46 - 65,E01014450,under 5
Other,46 - 65,E01014454,under 5
Other,46 - 65,E01014456,under 5
Other,46 - 65,E01014459,under 5
Other,46 - 65,E01014460,under 5
Other,46 - 65,E01014470,under 5
Other,46 - 65,E01014478,under 5
Other,46 - 65,E01014482,under 5
Other,66 - 85,E01014372,under 5
Other,66 - 85,E01014390,under 5
Other,66 - 85,E01014411,under 5
Other,66 - 85,E01014412,under 5
Other,66 - 85,E01014425,under 5
Other,66 - 85,E01014429,under 5
Other,66 - 85,E01014440,under 5
Other,66 - 85,E01014443,under 5
Other,66 - 85,E01014445,under 5
Other,66 - 85,E01014458,under 5
Other,66 - 85,E01014459,under 5
Other,66 - 85,E01014465,under 5
Other,66 - 85,E01014474,under 5
Other,66 - 85,E01014476,under 5
Other,66 - 85,E01014479,under 5
Other,66 - 85,E01014481,under 5
Other,66 - 85,E01014483,under 5
Other,85+,E01014389,under 5
Other,85+,E01014392,under 5
Other,85+,E01014401,under 5
Other,85+,E01014405,under 5
Other,85+,E01014416,under 5
Other,85+,E01014417,under 5
Other,85+,E01014419,under 5
Other,85+,E01014421,under 5
Other,85+,E01014425,under 5
Other,85+,E01014428,under 5
Other,85+,E01014429,under 5
Other,85+,E01014437,under 5
Other,85+,E01014443,under 5
Other,85+,E01014453,under 5
