AssetType,Easting,Northing,Geometry,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
LD Watercourses,374211.196828713,169526.95266981146,"{""type"":""LineString"",""coordinates"":[[-2.372336659533794,51.424155199809114],[-2.372247552851362,51.424163573143957]]}","(51.42415938647653, -2.3722921061925777)",1,25,47,10,1
LD Watercourses,378040.380472877,168357.787339906,"{""type"":""LineString"",""coordinates"":[[-2.317683439102228,51.414049514185699],[-2.316612031870704,51.41356844477567]]}","(51.413808979480685, -2.317147735486466)",1,25,34,10,1
LD Watercourses,378000.12808458204,168403.60422495901,"{""type"":""LineString"",""coordinates"":[[-2.317731210475762,51.414219367606066],[-2.317727535259406,51.414219377576416]]}","(51.41421937259124, -2.3177293728675843)",1,25,34,10,1
LD Watercourses,377940.14938760153,167667.69987538751,"{""type"":""LineString"",""coordinates"":[[-2.318552357853194,51.407608291003314],[-2.318539205506628,51.407592056571303]]}","(51.40760017378731, -2.318545781679911)",1,23,35,10,1
LD Watercourses,378003.26533033105,167462.76853637351,"{""type"":""LineString"",""coordinates"":[[-2.317578603642261,51.405752626124027],[-2.317672586249177,51.405767382969671]]}","(51.405760004546856, -2.317625594945719)",1,23,35,10,1
LD Watercourses,378047.14554551052,167446.20327812951,"{""type"":""LineString"",""coordinates"":[[-2.31700018021864,51.405602907248351],[-2.316987277792873,51.405622628228656]]}","(51.4056127677385, -2.3169937290057567)",1,23,35,10,1
LD Watercourses,377437.29960116756,167003.84990046651,"{""type"":""LineString"",""coordinates"":[[-2.325717228526047,51.401645999041541],[-2.325748262858628,51.401576606956027]]}","(51.40161130299879, -2.3257327456923376)",23,58,216,4,1
LD Watercourses,377452.70137530449,167017.95086410802,"{""type"":""LineString"",""coordinates"":[[-2.325500861121409,51.401754469516298],[-2.325523631071312,51.401722944465746]]}","(51.401738706991026, -2.3255122460963604)",23,58,216,4,1
LD Watercourses,377451.45224854804,167018.50070671699,"{""type"":""LineString"",""coordinates"":[[-2.325522451474738,51.401757106227535],[-2.325538023442791,51.401730095718911]]}","(51.40174360097322, -2.3255302374587643)",23,58,216,4,1
LD Watercourses,376184.05031380098,167002.82019521651,"{""type"":""LineString"",""coordinates"":[[-2.343751650202949,51.401550316208834],[-2.343744542236783,51.40155078652559]]}","(51.40155055136721, -2.3437480962198665)",23,58,217,4,1
LD Watercourses,376262.30418871099,166559.76201930051,"{""type"":""LineString"",""coordinates"":[[-2.342592457027414,51.397568673394751],[-2.342594374723591,51.397571544291736]]}","(51.39757010884324, -2.342593415875503)",23,58,224,4,1
LD Watercourses,376831.33295807254,166496.51512353553,"{""type"":""LineString"",""coordinates"":[[-2.33441487924903,51.397023121781494],[-2.334405545107761,51.397027013741649]]}","(51.397025067761575, -2.3344102121783954)",1,24,31,10,1
LD Watercourses,376876.32625650149,166575.052642405,"{""type"":""LineString"",""coordinates"":[[-2.333880333719128,51.397813169354642],[-2.333656951419768,51.397652991329139]]}","(51.397733080341894, -2.333768642569448)",23,58,220,4,1
LD Watercourses,377405.049044671,166817.59821445702,"{""type"":""LineString"",""coordinates"":[[-2.326190839619961,51.399929025778668],[-2.326178010705212,51.399941646219517]]}","(51.39993533599909, -2.3261844251625865)",1,24,31,10,1
LD Watercourses,377425.70292272902,166895.24598801299,"{""type"":""LineString"",""coordinates"":[[-2.325886917092497,51.400657268012083],[-2.325898087488784,51.400611392638233]]}","(51.40063433032516, -2.3258925022906407)",1,24,31,10,1
LD Watercourses,377426.45322328899,166898.3500994705,"{""type"":""LineString"",""coordinates"":[[-2.325876913837177,51.400667273722895],[-2.325886917092497,51.400657268012083]]}","(51.400662270867485, -2.3258819154648367)",1,24,31,10,1
LD Watercourses,376339.090442746,166143.03630579502,"{""type"":""LineString"",""coordinates"":[[-2.341446512339171,51.393826986690534],[-2.341477077244016,51.393825728987444]]}","(51.39382635783899, -2.341461794791593)",36,95,503,6,1
LD Watercourses,376342.37609959452,166425.31050564602,"{""type"":""LineString"",""coordinates"":[[-2.341452205316249,51.396356769099739],[-2.341414753173547,51.396372339519566]]}","(51.39636455430965, -2.3414334792448983)",23,58,230,4,1
LD Watercourses,376348.08992693754,166429.03443968098,"{""type"":""LineString"",""coordinates"":[[-2.341365836433341,51.396392078325889],[-2.341337367486714,51.396404476355045]]}","(51.39639827734047, -2.3413516019600276)",23,58,230,4,1
LD Watercourses,376333.77237833547,166437.22209598852,"{""type"":""LineString"",""coordinates"":[[-2.341571646731771,51.396465638181105],[-2.34154423633949,51.396476954482587]]}","(51.396471296331846, -2.3415579415356307)",23,58,224,4,1
LD Watercourses,378647.96727047849,167000.90074465348,"{""type"":""LineString"",""coordinates"":[[-2.308338693715319,51.40162373960041],[-2.308319721015363,51.401640059773342]]}","(51.401631899686876, -2.3083292073653405)",1,26,42,10,1
LD Watercourses,378645.41130153701,167002.00042987199,"{""type"":""LineString"",""coordinates"":[[-2.30834723290735,51.401659763292294],[-2.30838479912539,51.40162361819521]]}","(51.40164169074375, -2.30836601601637)",1,26,42,10,1
LD Watercourses,375895.45256260951,165819.02905190649,"{""type"":""LineString"",""coordinates"":[[-2.347820890480187,51.390890727531591],[-2.34781087231268,51.390897858672098]]}","(51.390894293101844, -2.3478158813964334)",36,95,496,6,1
LD Watercourses,373075.77358701045,164792.87278608201,"{""type"":""LineString"",""coordinates"":[[-2.388274917301927,51.381538694756344],[-2.388246866544256,51.381541933949265]]}","(51.381540314352804, -2.3882608919230917)",32,103,578,13,1
LD Watercourses,373876.69882237201,164762.59645259252,"{""type"":""LineString"",""coordinates"":[[-2.37676618472744,51.381293939609861],[-2.376734745363499,51.381317412461499]]}","(51.38130567603567, -2.3767504650454696)",33,112,560,12,1
LD Watercourses,374353.07784013997,164767.82495594851,"{""type"":""LineString"",""coordinates"":[[-2.36990485951116,51.381369748897995],[-2.369907068829318,51.381379270381146]]}","(51.38137450963956, -2.369905964170239)",33,112,559,12,1
LD Watercourses,374366.59974034602,164768.55474704801,"{""type"":""LineString"",""coordinates"":[[-2.369711770010959,51.381387078428503],[-2.369711683044179,51.381376291764994]]}","(51.381381685096756, -2.3697117265275685)",33,112,559,12,1
LD Watercourses,374368.77643647697,164768.65471843199,"{""type"":""LineString"",""coordinates"":[[-2.369680856619101,51.381388074934911],[-2.369680058840468,51.38137729051536]]}","(51.381382682725125, -2.3696804577297845)",33,112,559,12,1
LD Watercourses,374187.22431356099,164989.876394386,"{""type"":""LineString"",""coordinates"":[[-2.372301341694266,51.383370502206276],[-2.372309166388173,51.383356544205064]]}","(51.383363523205674, -2.3723052540412195)",34,115,209,9,1
LD Watercourses,374178.42271083547,164992.02577913099,"{""type"":""LineString"",""coordinates"":[[-2.372309166388173,51.383356544205064],[-2.372554599786372,51.383408349952887]]}","(51.38338244707897, -2.3724318830872724)",34,115,205,9,1
LD Watercourses,374162.32422903553,164997.474219531,"{""type"":""LineString"",""coordinates"":[[-2.372554599786372,51.383408349952887],[-2.372772607505677,51.383453051202608]]}","(51.38343070057774, -2.372663603646025)",34,115,205,9,1
LD Watercourses,374671.49797733454,164494.35323641449,"{""type"":""LineString"",""coordinates"":[[-2.365214471341024,51.378879474183691],[-2.365407783807769,51.37898044814186]]}","(51.378929961162775, -2.3653111275743965)",33,109,561,12,1
LD Watercourses,374387.34843660699,164635.827739759,"{""type"":""LineString"",""coordinates"":[[-2.36940835269403,51.38019482073323],[-2.369399614107128,51.380183611903753]]}","(51.3801892163185, -2.369403983400579)",33,112,563,12,1
LD Watercourses,357111.0514133565,162001.64676621949,"{""type"":""LineString"",""coordinates"":[[-2.617304167407147,51.355444150099999],[-2.617311788554433,51.355473774380329]]}","(51.355458962240164, -2.61730797798079)",6,31,83,21,1
LD Watercourses,357344.30006937549,162878.19585665199,"{""type"":""LineString"",""coordinates"":[[-2.614035230217107,51.363361512647764],[-2.614092685652361,51.363354020024069]]}","(51.36335776633592, -2.6140639579347336)",6,31,80,21,1
LD Watercourses,357345.24825140258,162949.84534719851,"{""type"":""LineString"",""coordinates"":[[-2.614035280479523,51.364002623161994],[-2.614082636724455,51.364001475944548]]}","(51.36400204955328, -2.614058958601989)",6,31,80,21,1
LD Watercourses,359475.71432449855,163368.5954812195,"{""type"":""LineString"",""coordinates"":[[-2.583505854481548,51.367915476079922],[-2.583509376293588,51.367931639088098]]}","(51.36792355758401, -2.5835076153875676)",5,34,101,20,1
LD Watercourses,355814.00023888901,161838.80337965349,"{""type"":""LineString"",""coordinates"":[[-2.635900042909236,51.353875450482569],[-2.635926400596784,51.353914860002511]]}","(51.35389515524254, -2.6359132217530092)",6,31,83,21,1
LD Watercourses,355816.20167020353,161839.503179338,"{""type"":""LineString"",""coordinates"":[[-2.635902110988774,51.353922183288525],[-2.635861284341584,51.353881054478478]]}","(51.3539016188835, -2.6358816976651793)",6,31,83,21,1
LD Watercourses,355916.28434437898,161746.82970684351,"{""type"":""LineString"",""coordinates"":[[-2.63442858076706,51.353099300103409],[-2.634437532137889,51.353053046924089]]}","(51.35307617351375, -2.6344330564524743)",6,31,83,21,1
LD Watercourses,355917.52522607497,161746.45481415553,"{""type"":""LineString"",""coordinates"":[[-2.634420521355313,51.353047296074998],[-2.634409862394246,51.3530985025847]]}","(51.353072899329845, -2.63441519187478)",6,31,83,21,1
LD Watercourses,357006.751390427,161645.39874115551,"{""type"":""LineString"",""coordinates"":[[-2.618666157394053,51.352286237305279],[-2.618858944777324,51.352209709092655]]}","(51.35224797319896, -2.618762551085688)",6,31,83,21,1
LD Watercourses,357003.20189162297,161659.24977633799,"{""type"":""LineString"",""coordinates"":[[-2.618769485720984,51.352389157457324],[-2.61886090738703,51.352355324306721]]}","(51.35237224088202, -2.618815196554007)",6,31,83,21,1
LD Watercourses,358156.38911746757,160524.24966673949,"{""type"":""LineString"",""coordinates"":[[-2.602127964495549,51.342253438491959],[-2.602117550742183,51.342253671826072]]}","(51.342253555159026, -2.602122757618866)",6,31,79,21,1
LD Watercourses,358245.10185238498,160560.59926177649,"{""type"":""LineString"",""coordinates"":[[-2.600800386917449,51.342586297464244],[-2.600906584532375,51.342587550379051]]}","(51.342586923921644, -2.6008534857249117)",6,31,79,21,1
LD Watercourses,357286.7990132565,158606.4986172675,"{""type"":""LineString"",""coordinates"":[[-2.614600311231448,51.324990475448594],[-2.614151362555353,51.324901140710871]]}","(51.32494580807973, -2.6143758368934007)",2,6,274,21,1
LD Watercourses,357322.43416733551,157983.71188811451,"{""type"":""LineString"",""coordinates"":[[-2.613801723014266,51.319355870663408],[-2.61377763684411,51.319341883767564]]}","(51.31934887721549, -2.6137896799291878)",2,6,274,21,1
LD Watercourses,356949.09780067793,158006.45037928899,"{""type"":""LineString"",""coordinates"":[[-2.619313565862698,51.319466267134814],[-2.618985053822997,51.319583966224364]]}","(51.319525116679586, -2.619149309842847)",2,6,274,21,1
LD Watercourses,357250.62793020601,158208.95241368501,"{""type"":""LineString"",""coordinates"":[[-2.614898036911381,51.321347266309395],[-2.614796144803428,51.321390051025908]]}","(51.32136865866765, -2.6148470908574044)",2,6,274,21,1
LD Watercourses,357872.60235942854,157187.29985868651,"{""type"":""LineString"",""coordinates"":[[-2.606091951215598,51.312305110341271],[-2.605510304198139,51.312153414567689]]}","(51.31222926245448, -2.6058011277068687)",2,6,274,21,1
LD Watercourses,370143.29805301852,155192.29592262302,"{""type"":""LineString"",""coordinates"":[[-2.429591029632061,51.295071626660317],[-2.429585320212323,51.295068051912878]]}","(51.2950698392866, -2.429588174922192)",9,77,412,24,1
LD Watercourses,369425.37172523147,154938.54855705102,"{""type"":""LineString"",""coordinates"":[[-2.439857834871271,51.292750036820046],[-2.439867175879494,51.292750001712093]]}","(51.292750019266066, -2.439862505375382)",12,77,411,24,1
LD Watercourses,369420.75036848499,154942.22250539402,"{""type"":""LineString"",""coordinates"":[[-2.439925550045786,51.292783042589974],[-2.439932640189698,51.292782566474401]]}","(51.29278280453219, -2.4399290951177415)",12,77,411,24,1
LD Watercourses,369425.54899404547,154943.04726930801,"{""type"":""LineString"",""coordinates"":[[-2.439853137251011,51.292790506182818],[-2.439867562618173,51.292790451965715]]}","(51.29279047907427, -2.4398603499345923)",12,77,411,24,1
LD Watercourses,368342.09024993307,154111.90018268599,"{""type"":""LineString"",""coordinates"":[[-2.45530524083033,51.285259163963218],[-2.455342809355501,51.285256410901333]]}","(51.28525778743227, -2.4553240250929154)",26,79,419,24,1
LD Watercourses,368783.5102086335,154501.66861263401,"{""type"":""LineString"",""coordinates"":[[-2.44903542490304,51.288801793338223],[-2.44902248216044,51.288771908706181]]}","(51.2887868510222, -2.44902895353174)",12,79,413,24,1
LD Watercourses,365000.19796190504,154664.9968604095,"{""type"":""LineString"",""coordinates"":[[-2.503298457655752,51.290031977976504],[-2.503292723250776,51.290037396210195]]}","(51.29003468709335, -2.503295590453264)",,,,,
LD Watercourses,365424.15075866249,154755.00109696452,"{""type"":""LineString"",""coordinates"":[[-2.497227390200922,51.290895100405208],[-2.497222471557316,51.290844781293586]]}","(51.2908699408494, -2.4972249308791192)",13,67,373,23,1
LD Watercourses,378926.00309839903,167125.84997830749,"{""type"":""LineString"",""coordinates"":[[-2.304329844452895,51.402769006550919],[-2.304349952057242,51.402762661945687]]}","(51.4027658342483, -2.3043398982550682)",1,26,41,10,1
LD Watercourses,378927.070833812,167126.61475939149,"{""type"":""LineString"",""coordinates"":[[-2.304329844452895,51.402769006550919],[-2.304319345205188,51.402776494762882]]}","(51.402772750656894, -2.3043245948290414)",1,26,41,10,1
LD Watercourses,378947.63401619752,167184.83809313551,"{""type"":""LineString"",""coordinates"":[[-2.304014825161789,51.403309079006036],[-2.304050105542657,51.403284986598365]]}","(51.40329703280219, -2.304032465352223)",1,26,41,10,1
LD Watercourses,378929.00017810951,167121.55120881752,"{""type"":""LineString"",""coordinates"":[[-2.304282177372287,51.402730477421599],[-2.304310937349357,51.402724110340529]]}","(51.402727293881064, -2.3042965573608223)",1,26,41,10,1
LD Watercourses,369635.24563302996,153095.9110065625,"{""type"":""LineString"",""coordinates"":[[-2.436713752249989,51.276222884339369],[-2.436677254656733,51.276163421533411]]}","(51.276193152936386, -2.436695503453361)",,,,,
LD Watercourses,367967.63667749648,153415.53451528502,"{""type"":""LineString"",""coordinates"":[[-2.460645274677109,51.278976866144134],[-2.460615574661625,51.278973926690767]]}","(51.27897539641745, -2.460630424669367)",26,98,516,26,1
LD Watercourses,354314.80077887652,158130.39989910799,"{""type"":""LineString"",""coordinates"":[[-2.656972896689661,51.320466823137643],[-2.656954671922805,51.32040031471314]]}","(51.320433568925395, -2.6569637843062326)",4,32,87,21,1
LD Watercourses,354467.14889537147,157080.1505298625,"{""type"":""LineString"",""coordinates"":[[-2.654660412418133,51.311046401950868],[-2.654626168877066,51.310959307235088]]}","(51.31100285459298, -2.6546432906476)",4,32,87,21,1
LD Watercourses,374375.67755261861,164660.29573586799,"{""type"":""LineString"",""coordinates"":[[-2.369583261909435,51.380421244027445],[-2.369563630423619,51.380396136458522]]}","(51.38040869024299, -2.369573446166527)",33,112,563,12,1
