Street,Area,Easting,Northing,Geometry,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
Westgate Buildings            ,Bath                ,374867.13758078375,164721.30072266125,"{""type"":""LineString"",""coordinates"":[[-2.362756961830915,51.381270307347982],[-2.362610400631616,51.38126896345495],[-2.362573640695398,51.381249750684773],[-2.362551137556483,51.381130714600801],[-2.362521254430694,51.380992284871262],[-2.362447842340698,51.380787560315142],[-2.362380308451332,51.380606998234292],[-2.362378872628979,51.380605204854703]]}","(51.38099864361922, -2.3625268957234717)",35,20,14,7,1
Bridge Street                 ,Bath                ,375132.14748945727,164929.02926977945,"{""type"":""LineString"",""coordinates"":[[-2.359103985194742,51.382768815239054],[-2.358969878929107,51.382800238846315],[-2.358765414226873,51.382848957189687],[-2.358678376422878,51.382869539206773],[-2.358591929504119,51.382889939567463],[-2.358514588135148,51.382908154600685],[-2.358430978825144,51.382927827025902],[-2.358342284191125,51.382948683537414]]}","(51.38285880290809, -2.3587231474705366)",35,20,11,7,1
Pulteney Bridge               ,Bath                ,375189.41550870985,164949.21450535092,"{""type"":""MultiLineString"",""coordinates"":[[[-2.358239697103882,51.382965627274316],[-2.358107282172479,51.383016551086598],[-2.358048456779061,51.383039113849946],[-2.35790517194555,51.383093935985315],[-2.357844340003455,51.383117493580514],[-2.357755036984981,51.38315156549659],[-2.357670931293596,51.383183643865692]],[[-2.358095542236823,51.382908987340372],[-2.358005062088645,51.382943961959548],[-2.357893911270812,51.382986999993705],[-2.357829298811481,51.383011917502444],[-2.357777679877981,51.383031851266622],[-2.357727124363401,51.383051422194974],[-2.357674678123809,51.383071628114152],[-2.357587741052207,51.383105243220896]]]}","(51.38304284435391, -2.3579016951569973)",35,20,11,7,1
Argyle Street                 ,Bath                ,375237.96331299172,164977.11097785021,"{""type"":""MultiLineString"",""coordinates"":[[[-2.356711601425454,51.383425051163755],[-2.356736297025815,51.38341652617121],[-2.35675519292406,51.383408737971472],[-2.356786736989725,51.383397225697806],[-2.356804920621141,51.383389259877944],[-2.356791891410552,51.383374467546922],[-2.356810194206744,51.38336659125423],[-2.356818842893336,51.383366564901131],[-2.356832453545693,51.383364725605432],[-2.356838251832669,51.38336380902571],[-2.356846764554244,51.383361535807559],[-2.356849008586237,51.383360630058299],[-2.356853252703831,51.383357920392093],[-2.356857486327008,51.383353862391353],[-2.356861827930534,51.383348455694993],[-2.356865336709312,51.383342602081058],[-2.356889676111765,51.383333988250421],[-2.356914113463589,51.383337958869127],[-2.35693560595417,51.38332890425059],[-2.356939870573184,51.38331360976575],[-2.35696986525456,51.383300933580998],[-2.356982138161882,51.383309885277015],[-2.357030213305172,51.383291221145001],[-2.357023627190558,51.383282252115926],[-2.357049496205565,51.383272285221949],[-2.357060235946423,51.383282140495531],[-2.357119054438057,51.383258589449063],[-2.357110318261305,51.383247379704407],[-2.357126274559339,51.383242476924025],[-2.357133957220123,51.383240116325268],[-2.357160551596344,51.383247226502419],[-2.357221520045286,51.383225916124239],[-2.357222840198408,51.38321287788829],[-2.357228687480518,51.383218253516361],[-2.357283042287885,51.383199660014277],[-2.35727514240934,51.38318934664111],[-2.357299478151015,51.383180283280652],[-2.357305210465558,51.383186108711229],[-2.357369015151099,51.383163890690838],[-2.357362547463362,51.383154921319154],[-2.357381098232762,51.383148482437583],[-2.357393977631565,51.38314403846644],[-2.357396228648525,51.383144031596281],[-2.357399075541608,51.383144472362901],[-2.35740191893147,51.383144463684658],[-2.357404047970578,51.383144007731161],[-2.357411260906283,51.383142187894407],[-2.357419174178498,51.383139017553141],[-2.357426961968026,51.38313494868342],[-2.357431324505122,51.383132238634666],[-2.357436976247155,51.38312772682869],[-2.35744062443217,51.383124569504588],[-2.357462599025912,51.383116592010417],[-2.357563247699863,51.383078890030255],[-2.357578186685374,51.383095474266739],[-2.357587741052207,51.383105243220896]],[[-2.357670931293596,51.383183643865692],[-2.357689933553679,51.383204710231695],[-2.357691247294048,51.383206054585251],[-2.357675535732017,51.383211945497209],[-2.357670399246891,51.383206567720315],[-2.357599510697808,51.383231953725769],[-2.357607393130039,51.383240019852977],[-2.357603612451523,51.383241379764911],[-2.357527524233537,51.383268489536029],[-2.357509328861102,51.383274927355579],[-2.357503471026078,51.383268203407283],[-2.357450893351663,51.383286791586734],[-2.357364060171768,51.383318608386666],[-2.357270633588769,51.383355748812811]],[[-2.357173293670916,51.383392451644845],[-2.357089414279979,51.383423270428793],[-2.357106018862917,51.383440748556275],[-2.357050130517907,51.383460245561892],[-2.35696848445884,51.383488810171819],[-2.356929847940007,51.383502411607616],[-2.356915435910648,51.383507849000637],[-2.356909707103594,51.383502472996085],[-2.356887454697625,51.383505237549215],[-2.356880175218023,51.383498517902808],[-2.356829381154909,51.38351799927721]]]}","(51.38329726899182, -2.357204958643316)",35,20,11,7,1
Northgate Street              ,Bath                ,375090.78879617958,164971.0853759539,"{""type"":""LineString"",""coordinates"":[[-2.359106818001035,51.382767458185299],[-2.359108943485628,51.382766552756124],[-2.359111779811594,51.382765645146968],[-2.359117577976834,51.382764728454646],[-2.359121132184087,51.382764717554771],[-2.359126230067925,51.382765151376177],[-2.359134070445102,51.38276782406416],[-2.359139171849647,51.382768707329753],[-2.359154256719238,51.382773605075563],[-2.35916935215366,51.382779851153593],[-2.35917946113783,51.382784764157947],[-2.359187441119371,51.38279013314736],[-2.35919614954874,51.382797747179396],[-2.359204264908422,51.382805273138914],[-2.359207725995717,51.382808498601861],[-2.359225517680533,51.382856445874665],[-2.359242101423075,51.38290143044371],[-2.359251783576219,51.382927469160627],[-2.359264261073647,51.382962488410932],[-2.359280197437554,51.383015565159205],[-2.359297468048666,51.383072593019548],[-2.359259343952348,51.38307585617661],[-2.359259343952348,51.38307585617661],[-2.359275578723835,51.38312165082985],[-2.35923037428441,51.383128531344227],[-2.359233288096908,51.383137511515578],[-2.359218259436112,51.383139804895741],[-2.359232183310542,51.383177965899826],[-2.359245375231813,51.383213432414578],[-2.359260031129321,51.383254287902197],[-2.359275181821935,51.383252443597868],[-2.359278799456981,51.383260522697555],[-2.35932471839012,51.383254089427886],[-2.359337918154,51.383290544709865],[-2.359484729804898,51.383685704823606],[-2.359508211019146,51.38374900595759]]}","(51.38322181141038, -2.359314535624896)",35,20,11,7,1
High Street                   ,Keynsham            ,365453.65981079178,168499.30559149568,"{""type"":""LineString"",""coordinates"":[[-2.498286285274494,51.414860099727356],[-2.498203706224197,51.414603722302516],[-2.498111598433562,51.414397724273456],[-2.498107905005834,51.41438515523982],[-2.498103396368949,51.414373938036782],[-2.498087934529941,51.414336699018037],[-2.498068704732798,51.414290936373042],[-2.498052526747337,51.414253250938934],[-2.498034018109393,51.414208384131669],[-2.498008901485842,51.414144578413826],[-2.498082701483428,51.414051676958493]]}","(51.41444632825481, -2.4981392646011664)",24,49,158,1,1
High Street                   ,Midsomer Norton     ,366637.02102531429,154310.8066885095,"{""type"":""LineString"",""coordinates"":[[-2.479730221633596,51.286973649911609],[-2.479747226522426,51.286960365951686],[-2.479781184155304,51.286974160141625],[-2.47982948051063,51.286934409269968],[-2.479798469145303,51.286919704086337],[-2.47981418476688,51.286907504116691]]}","(51.286948606868435, -2.479790313372871)",11,11,291,25,1
Westgate Street               ,Bath                ,374920.71026489319,164763.14962769835,"{""type"":""LineString"",""coordinates"":[[-2.362364588475509,51.381166349566023],[-2.362383583231051,51.381291239465618],[-2.362358620366854,51.381310643308211],[-2.362214415058911,51.381322595517645],[-2.362125261949385,51.381329792869174],[-2.362039783506019,51.381337248465357],[-2.361933590544071,51.381347015303724],[-2.36193506894177,51.381354202024994],[-2.361846025684109,51.381360320130796],[-2.361777115198757,51.381365477059852],[-2.361732591778436,51.381368311338889],[-2.361622729653406,51.38137853868529],[-2.361587575970482,51.381382692340708],[-2.361484108323759,51.381392540247184],[-2.361412372179574,51.381399952962589],[-2.361341346832269,51.381407363440715],[-2.361264527051425,51.3814161401192],[-2.361157500907979,51.381425459368536],[-2.361064913919021,51.381432936176864],[-2.360946399629426,51.381442740110742],[-2.360943474977935,51.381432411645562]]}","(51.38136384705681, -2.3617205764702067)",35,20,10,7,1
Broad Street                  ,Bath                ,375007.64058429445,165119.27013302129,"{""type"":""LineString"",""coordinates"":[[-2.360426476048581,51.384373712938483],[-2.360437466683581,51.384400286871134],[-2.36044391913416,51.384422290326057],[-2.360454841950893,51.384440234921655],[-2.360486691604363,51.384497757064835],[-2.360491274338019,51.384507990540747],[-2.36051227304157,51.384541635051924],[-2.360537238104281,51.384582458634092],[-2.360564152588652,51.384630107930505],[-2.360593249228204,51.384684042876543],[-2.360630639742686,51.384753053974698]]}","(51.384564436715365, -2.360525977117932)",35,20,11,7,1
Broad Street                  ,Bath                ,374995.02019505715,165159.23775429503,"{""type"":""LineString"",""coordinates"":[[-2.360643007386836,51.384788972318063],[-2.360700079269835,51.384904845920786],[-2.36077804553678,51.385056072206581]]}","(51.38492282561649, -2.360709924562303)",35,20,11,7,1
