the_geom,Name,Descriptio
POINT (-2.36947954084565 51.3805044654059),kml_1,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35668652888151 51.3811941413689),kml_2,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.32548846415757 51.4014924188228),kml_3,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.31687939152992 51.405222947273),kml_4,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.30828193306965 51.4016586323359),kml_5,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.30918792044227 51.4022002618437),kml_6,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.28296147780674 51.4122759011606),kml_7,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.31034789156784 51.4018258543765),kml_8,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.28602553087318 51.4078073683393),kml_9,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49121609597499 51.4191483064173),kml_10,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49219293606178 51.4188443301413),kml_11,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.4910113771516 51.4189099650571),kml_12,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.53839076156575 51.3143158916718),kml_13,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.45905800667985 51.3187374655141),kml_14,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.45382576357827 51.3192500306052),kml_15,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.45153748640851 51.3205279802735),kml_16,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35983650570733 51.4177335799504),kml_17,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.61702679859138 51.367486463085),kml_18,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.60817111297715 51.3673732295025),kml_19,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.63100006762305 51.3682495314297),kml_20,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.60485624552989 51.3659060101105),kml_21,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.61259197452854 51.3672444741689),kml_22,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.60906247712643 51.3636970443803),kml_23,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.59800821122513 51.3437676475609),kml_24,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.60089866610919 51.34252294097),kml_25,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.62016278833383 51.3512190012565),kml_26,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.63286483517491 51.3532920951467),kml_27,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.63598104465994 51.3530870668526),kml_28,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36053423945369 51.3776341723031),kml_29,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.30126134509608 51.3778315552096),kml_30,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34507235455046 51.3437890993408),kml_31,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34472731043439 51.3435554988814),kml_32,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34359779133044 51.3449496240544),kml_33,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34321012288638 51.3450159329433),kml_34,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.31641004447785 51.3568434216576),kml_35,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.31448066758235 51.357065979043),kml_36,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.30843362550385 51.335649856225),kml_37,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.30146764677702 51.3383039935858),kml_38,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.28812049401237 51.328818894733),kml_39,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34402408175368 51.4007519416583),kml_40,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34373513509659 51.4017803317592),kml_41,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.52943553836219 51.3782415374694),kml_42,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.50960145471571 51.3788997085328),kml_43,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.48190886798387 51.4122402859131),kml_44,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.50719031556335 51.422648092532),kml_45,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.51011173454888 51.4239008017128),kml_46,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.51611046918992 51.4262960975357),kml_47,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.59751618472512 51.3436817054561),kml_48,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.58500411584637 51.3412724909044),kml_49,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.52682327431426 51.3155398272854),kml_50,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.63581932992666 51.3538067245046),kml_51,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.63570228632925 51.3530839960246),kml_52,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.60938004659364 51.3650396388834),kml_53,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.40349039329107 51.3891136209679),kml_54,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38352695854483 51.3842010127721),kml_55,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38311653879031 51.3843139112881),kml_56,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38297807902419 51.3843475340766),kml_57,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38291480101449 51.3843605954633),kml_58,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38283617420163 51.3843800892717),kml_59,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38253353651394 51.3844465191345),kml_60,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38261382300592 51.3844271099974),kml_61,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38272321662111 51.3844030212198),kml_62,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38295432433324 51.3844823585708),kml_63,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.3829794403481 51.3844395781379),kml_64,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38295902423364 51.3844634660626),kml_65,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38296861174691 51.3844481532131),kml_66,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38381661035912 51.3842396157481),kml_67,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38282859336286 51.3844938263323),kml_68,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38266741572501 51.384502802968),kml_69,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38337544972222 51.3843459639916),kml_70,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35082697049591 51.3925989707476),kml_71,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34253331293437 51.3960610447852),kml_72,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35173484169927 51.3921086785577),kml_73,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35148212416962 51.3923152877049),kml_74,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35121816287163 51.3924312300745),kml_75,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35230140373134 51.3920176236157),kml_76,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35283727263242 51.3918650831303),kml_77,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35303642384952 51.39178205283),kml_78,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35328322528166 51.3916701133219),kml_79,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35286304365511 51.3916877405213),kml_80,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34318312603115 51.4394536137796),kml_81,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35835469024445 51.3772470506729),kml_82,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35962656501418 51.3774970033928),kml_83,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36871557096668 51.378064800316),kml_84,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38286790754164 51.3831009245266),kml_85,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38142219343821 51.3840059027323),kml_86,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38122139150639 51.3840369398894),kml_87,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.37701309906419 51.3844679303942),kml_88,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.3565912496893 51.3847243648187),kml_89,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34143069305372 51.3964591557601),kml_90,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34497764223252 51.3132995732307),kml_91,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35868620209067 51.3225933791769),kml_92,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35909924982733 51.3769930739687),kml_93,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35354593982313 51.377091327318),kml_94,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.42933813595387 51.357848623239),kml_95,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.41220854668058 51.3786014021338),kml_96,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.397354546216 51.38160352276),kml_97,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39568026009922 51.3816700490001),kml_98,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39386422052343 51.382213002079),kml_99,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.43719090265488 51.3855761560411),kml_100,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.40719108253327 51.3875436269208),kml_101,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.42159544496447 51.3906636524006),kml_102,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.42696234563866 51.3915470740934),kml_103,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.42734306511117 51.391608609169),kml_104,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49779494785104 51.3959156920671),kml_105,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
