Image,GPSLocationAltitude,GPSLocationAccuracy,VillageWard,AccessStreet,LocationDescription,AssetNo,BinType,Location,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy_2pmgsM.jpg,131,10,Wellow,High street,By phone box,Unknown,,"(51.322989, -2.374956)",10,60,10,1,114
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh5aTywgM.jpg,172,10,Writhlington,Manor park,The plantation,0,Knight,"(51.29104, -2.430193)",12,414,24,1,78
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-9LHrAgM.jpg,35.3,5,Newbridge,Park Road/Chelsea Road,Outside Spar Shop,LB0052,Jubilee,"(51.384967, -2.388752)",29,325,8,1,15
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAm9-oiQgM.jpg,90,10,Twerton,Loxton drive,Loxton drive by play area,0,Brunel,"(51.379185, -2.390206)",32,525,13,1,102
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAm9TLwwsM.jpg,93,10,Saltford,Beech Road,Junc of high street and beech street,0,Knight,"(51.404124, -2.456623)",17,430,16,1,80
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-8-WtQkM.jpg,119,30,Priston,Village hall,Village hall summer lea,Unknown,Knight,"(51.342965, -2.441264)",9,69,22,1,28
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAk9LGkQkM.jpg,192,10,Southdown,Mount road,Twerton round hill on path between whiteway road and Mount road,0,,"(51.367361, -2.395975)",27,444,15,1,84
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA27mdwQgM.jpg,119,10,Combe Down,Combe park,Junc of Cedric and combe park,0,Knight,"(51.386961, -2.389338)",29,318,8,1,16
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh_C53wgM.jpg,42.967007,5,Twerton,Dartmouth avenue,Brickfields playing fields to path at Dartmouth avenue,N/A,Knight,"(51.376751, -2.38619)",32,532,13,1,101
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA09egowoM.jpg,183,30,,Ballance street,Ballance street just down from the balance street SB bus stoo,0,Knight,"(51.389261, -2.363248)",21,248,7,1,2
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA29b6ywgM.jpg,310,200,Newbridge,Kaynton Mead,End of Kaynton Mead,0,Other,"(51.383973, -2.390871)",29,326,8,1,15
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu5-MjAgM.jpg,155,10,West Harptree,West harptree road,Play field off B3114,Unknown,Knight,"(51.308548, -2.630201)",2,274,21,1,6
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgoa38nggM.jpg,177.9,5,Odd Down,Burnt House Road,Outside play area,LB0083,Jubilee,"(51.352121, -2.379005)",30,327,19,1,61
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAi4rq7wkM.jpg,76,10,City Centre,Manvers,Pierre pont place  junc with manvers,0,Big Belly,"(51.380352, -2.356926)",35,13,7,1,21
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-6riqwoM.jpg,229,10,Foxhill,Foxhill,Junc of Queen's drive and foxhill,0,Knight,"(51.363269, -2.356192)",19,116,18,1,36
,164.1,5,Odd Down,Bloomfield Road,By gate entrance to cycle track,LB0148,,"(51.362368, -2.376747)",18,259,17,1,4
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA25_f3AoM.jpg,61,10,Lower Swainswick,Gloucester road,Alice park path,0,,"(51.398593, -2.339975)",23,220,4,1,58
