Place ID,Place Name,Address,Google Rating,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
ChIJFdrFlE2BcUgRLGW3UIF85Pc,Hares Cycle Works,"6 High St, Bath BA1 4BX, United Kingdom",5,"(51.3949183, -2.3890343)",20,107,551,5,1
ChIJESgPTxOBcUgRLdFKonjeeJ8,Take Charge Bikes,"1 Victoria Buildings, Lower Bristol Rd, Bath BA2 3EH, United Kingdom",4.2,"(51.381274, -2.374279)",32,103,538,13,1
ChIJV4bOLGyFcUgRlN8TAAAfYAc,Webbs Cycle Shop,"3 The Park, Willsbridge, Bristol BS30 6EE, United Kingdom",4.8,"(51.4300066, -2.4784112)",,,,,
ChIJceMkI_-AcUgRgLppmn4NCRE,Randy's Bikes,"4 The Avenue, Combe Down, Bath BA2 5EE, United Kingdom",4.9,"(51.359724, -2.346644)",19,38,117,18,1
ChIJpwbpqgOPcUgRIwBqzQrE-1Q,Bristol Bike Fitting @ 73 Degrees Bicycles,"5-52 Temple St, Keynsham, Bristol BS31 1EL, United Kingdom",5,"(51.4136253, -2.4978107)",37,52,182,2,1
ChIJ0a47YYUockgRJV8hnEJ-bKk,Biketricity,"Radstock BA3 4QE, United Kingdom",5,"(51.2701666, -2.4688365)",,,,,
ChIJnXEmeraLcUgRgMWF4p_ElC0,Chew Valley Cycles,"13 High St, Chew Magna, Bristol BS40 8PR, United Kingdom",0,"(51.3655811, -2.6133482)",6,31,80,21,1
ChIJPUQbMIcnckgRp74KlN9oiKg,Powabyke UK Ltd,"Trident Works, Marsh Ln, Temple Cloud, Clutton, Bristol BS39 5AZ, United Kingdom",5,"(51.317876, -2.527165)",5,34,97,20,1
ChIJXxi9yJOFcUgR_gY8Cm66vTM,WEBBS CUSTOM CYCLES LIMITED,"Jarretts, 3 The Park, Willsbridge, Bristol BS30 6EE, United Kingdom",0,"(51.4300066, -2.4784112)",,,,,
ChIJw8Y7-34ockgR_KNeZR2IF1g,Action Leisure Gear Limited,"9 Woodpecker Ave, Midsomer Norton, Radstock BA3 4NN, United Kingdom",0,"(51.2821434, -2.4782424)",26,100,517,26,1
ChIJkZ8cMIcnckgRJt9zbRXEa9g,WAW Associates Ltd,"Trident Works, Marsh Ln, Clutton, Bristol BS39 5AZ, United Kingdom",0,"(51.3178722, -2.5271663)",5,34,97,20,1
ChIJN1wuAh6PcUgROODzXoARXZ8,Halfords - Bristol Bath Rd,"City Centre, Bath Rd, Bristol BS4 5NG, United Kingdom",3.5,"(51.4293649, -2.5441107)",,,,,
ChIJqchrGhOBcUgRAqZCWCY2TpI,Total Fitness Bath,"3 Saracen St, Bath BA1 5BR, United Kingdom",4.6,"(51.3845802, -2.3599922)",35,20,11,7,1
ChIJizEmFm8ickgREaKl-ldxho0,Torke Cycling,"The Avenue, Combe Down, Bath BA2 5EH, United Kingdom",0,"(51.359858, -2.346883)",19,38,117,18,1
ChIJ-aTfl3aOcUgRl-_3ErvqUSc,Jake's Bikes,"6 Haymarket Walk, Bristol BS1 3LN, United Kingdom",4.7,"(51.4593866, -2.591838)",,,,,
ChIJ170OLHGOcUgRkR-u-fFcayA,Cycle Surgery,"41-45 Merchant St, Bristol BS1 3EE, United Kingdom",4.3,"(51.4582733, -2.5888867)",,,,,
ChIJ5fixKuwnckgRHUTnIF4EL2w,Bruces Bikes,"High St, Avon, Bristol BS39 7QF, United Kingdom",,"(51.3077869, -2.5017412)",13,68,362,23,1
ChIJSUqOtGSOcUgRcJ0XqUZe2nQ,The Triathlon Shop,"1, 11, Canons Way, Bristol BS1 5SZ, United Kingdom",4.6,"(51.4497754, -2.6022522)",,,,,
ChIJHalfgTyOcUgRG0QzA4-6bno,Specialized Concept Store,"Eastgate Road, Bristol BS5 6XX, United Kingdom",3.9,"(51.47428, -2.566295)",,,,,
ChIJgyVEL9uNcUgRpo2OIAnSwWE,Bike UK,"Ground Floor, Embassy House, Queen's Ave, Bristol BS8 1SB, United Kingdom",4.1,"(51.457796, -2.607855)",,,,,
ChIJAUQmH9iNcUgRmN1qDKrJoH0,Taylored Cycles Ltd,"Bristol, United Kingdom",4.6,"(51.454961, -2.592921)",,,,,
ChIJDzXZCxGBcUgRMoY-YWwqiPE,USC,"Unit 5A St Lawrence Street, Southga, Bath, Bath BA1 1AN, United Kingdom",,"(51.379405, -2.358914)",35,21,13,7,1
ChIJcX6ngnOOcUgRkzAOMH_1BL4,The Bristol Bike Project,"7 City Rd, Bristol BS2 8TN, United Kingdom",4.6,"(51.4628062, -2.588966)",,,,,
ChIJj64uVPmOcUgRRb8vNKBjvq0,Briscycle,"151 Wick Rd, Bristol BS4 4HH, United Kingdom",5,"(51.4402026, -2.5516531)",,,,,
ChIJL1wuAh6PcUgRyAm55fn658g,Sports Direct,"1C, Brislington Retail Park, Bristol BS4 5NG, United Kingdom",3.4,"(51.4296962, -2.5431684)",,,,,
ChIJVQ9noBWBcUgR9jbsglGlKaI,Cyclescheme,"Queen Anne House, 11 Charlotte St, Avon, Bath BA1 2NE, UK",2,"(51.3834514, -2.3661192)",34,55,193,9,1
ChIJ-fUp822McUgRB-1FyGrpztE,Pembury Cycles,"8 Highridge Road, Avon, Bristol BS13 8HA, United Kingdom",,"(51.4127539, -2.62114)",,,,,
ChIJwaiBLDOMcUgRZOiYgvJFjAg,Budget Bikes,"67 Raleigh Rd, Bristol BS3 1QS, United Kingdom",4.3,"(51.4437817, -2.6105211)",,,,,
ChIJ21AawFOOcUgRn23zWic68oo,Argos Racing Cycles,"Unit 12 Riverside Park, St Anne's Rd, Bristol, Avon BS4 4ED, United Kingdom",4.4,"(51.4517718, -2.5507412)",,,,,
ChIJCZ9zLhGBcUgRtmRQz6wLM68,Julian House Bike Workshop,"35 Corn St, Bath BA1 1UF, United Kingdom",4.9,"(51.3789859, -2.3612273)",35,20,14,7,1
