the_geom,Name,Descriptio
POINT (-2.47648098367051 51.3334039983751),kml_1,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.50155180696524 51.4045972999528),kml_2,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36174478586046 51.3939706543762),kml_3,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34850429732403 51.3942186270666),kml_4,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34859694044189 51.4028179805137),kml_5,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.29686393605422 51.4002610663034),kml_6,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.32362437541331 51.3944915784216),kml_7,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.34960481708903 51.3819261573834),kml_8,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36890466301572 51.3722405998821),kml_9,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.33780310731553 51.3599945750716),kml_10,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35373901857575 51.3986556987087),kml_11,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.5014913621919 51.3391684047383),kml_12,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.51646938655538 51.2949824125313),kml_13,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.53598027016854 51.3006065103627),kml_14,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.52046465268957 51.3158073044427),kml_15,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39728222043051 51.3843020301783),kml_16,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35706220374935 51.3737953140414),kml_17,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36113881046198 51.3695962559693),kml_18,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.37438700057052 51.369805848676),kml_19,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.45487989473867 51.2813447096054),kml_20,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.46908064208177 51.290078885416),kml_21,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.37881092166175 51.3556180623884),kml_22,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.50007394148889 51.3083200250031),kml_23,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.42249781485539 51.3049354770484),kml_24,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.54641625976143 51.3721099769273),kml_25,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.4637515224576 51.4042571024409),kml_26,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36341605290927 51.3467432490969),kml_27,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.54130539840771 51.3298455819069),kml_28,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38606860182927 51.3795509708326),kml_29,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38228982283487 51.3724198879424),kml_30,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39329712820866 51.3995239064556),kml_31,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39212089592181 51.4004496133678),kml_32,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.37472024471587 51.3912195529874),kml_33,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.37101154579133 51.3875732436237),kml_34,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35021932948404 51.3776020354518),kml_35,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.31529943218864 51.4085065975951),kml_36,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.65050151283814 51.3107429989887),kml_37,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.37245308202952 51.3850536940178),kml_38,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.37445711754868 51.3854155563806),kml_39,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
