Longitude,Latitude,Location,Post Code,Status,Full Address,Date Updated,Latlng,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
-2.3226234971,51.3933726932,"Bathampton Surgery, 29 Holcombe Lane, Bathampton",BA2 6UL,Installed,"Bathampton Surgery, 29 Holcombe Lane, Bathampton, BA2 6UL, UK",06/21/2016 12:00:00 AM,"(51.3933726932, -2.3226234971)",1,27,27,10,1
-2.3173725,51.4060415,Batheaston Medical Centre,BA1 7NP,Installed,"Batheaston Medical Centre, BA1 7NP, UK",06/21/2016 12:00:00 AM,"(51.4060415, -2.3173725)",1,23,35,10,1
-2.3013959956,51.4004772006,"Bathford village shop, 54 Bathford Hill, Bathford",BA1 7SN,Installed,"Bathford village shop, 54 Bathford Hill, Bathford, BA1 7SN, UK",06/21/2016 12:00:00 AM,"(51.4004772006, -2.3013959956)",1,26,44,10,1
-2.3455320537,51.3609290792,Combe Down Surgery,BA2 5EG,Installed,"Combe Down Surgery, BA2 5EG, UK",06/21/2016 12:00:00 AM,"(51.3609290792, -2.3455320537)",19,37,103,18,1
-2.5080957199,51.4087423952,Community @ 67,BS31 2NW,Installed,"Community @ 67, BS31 2NW, UK",06/21/2016 12:00:00 AM,"(51.4087423952, -2.5080957199)",37,53,187,2,1
-2.3569589,51.3608433,"Curo, Foxhill",BA2 5QN,Installed,"Curo, Foxhill, BA2 5QN, UK",06/21/2016 12:00:00 AM,"(51.3608433, -2.3569589)",19,36,116,18,1
-2.3550909963,51.3909864799,"Dominos Pizza, London Road",BA1 5NL,Installed,"Dominos Pizza, London Road, BA1 5NL, UK",06/21/2016 12:00:00 AM,"(51.3909864799, -2.3550909963)",36,94,495,6,1
-2.616998,51.304543,East Harptree Parish Council,BS40 6BH,Installed,"East Harptree Parish Council, BS40 6BH, UK",06/21/2016 12:00:00 AM,"(51.304543, -2.616998)",2,6,272,21,1
-2.4994901346,51.4075027068,"Elim Church, Balmoral Road, Keynsham",BS31 1AL,Planned,"Elim Church, Balmoral Road, Keynsham, BS31 1AL, UK",06/21/2016 12:00:00 AM,"(51.4075027068, -2.4994901346)",37,53,186,2,1
-2.3680925294,51.3567866401,"Esso Garage, 100 Midford Road",BA2 5RU,Installed,"Esso Garage, 100 Midford Road, BA2 5RU, UK",06/21/2016 12:00:00 AM,"(51.3567866401, -2.3680925294)",18,4,262,17,1
-2.4917588206,51.4121665377,"Esso Garage, 20 Bath Road, Keynsham",BS31 1NN,Planned,"Esso Garage, 20 Bath Road, Keynsham, BS31 1NN, UK",06/21/2016 12:00:00 AM,"(51.4121665377, -2.4917588206)",16,45,156,3,1
-2.4920067,51.3431255,"Farmborough School, The Street, Farmborough",BA2 0FY,Installed,"Farmborough School, The Street, Farmborough, BA2 0FY, UK",06/21/2016 12:00:00 AM,"(51.3431255, -2.4920067)",8,40,128,16,1
-2.3882907037,51.383210801,Genesis Lifestyle Centre,BA1 3DY,Installed,"Genesis Lifestyle Centre, BA1 3DY, UK",06/21/2016 12:00:00 AM,"(51.383210801, -2.3882907037)",34,54,208,9,1
-2.3879704603,51.3806938725,Golden Fleece,BA2 1ES,Installed,"Golden Fleece, BA2 1ES, UK",06/21/2016 12:00:00 AM,"(51.3806938725, -2.3879704603)",32,103,578,13,1
-2.3451761919,51.3972439967,Larkhall Butchers,BA1 6RS,Installed,"Larkhall Butchers, BA1 6RS, UK",06/21/2016 12:00:00 AM,"(51.3972439967, -2.3451761919)",23,58,224,4,1
