URN,LAESTAB,School name,Post code,Ofsted region,Region,Local authority,Parliamentary constituency,Type of school,Phase of school,Ofsted phase,Dataview phase,Predecessor URN of schools converting to academy,Schools open/closed status,School opening date,Reason for opening,School closing date,Reason for closure,Inspection number,Inspection type,Academic year,Inspection start date,Inspection end date,First published date,Latest published date,Overall effectiveness,Category,Sixth form provision,Early years provision,Pupils' achievement (aggregated),Achievement of pupils,How well do pupils achieve?,Behaviour and safety of pupils,Quality of teaching,Leadership and management,Overall effectiveness of residential experience (aggregated),The effectiveness of the boarding provision (pre Jan 2012),Overall effectiveness of residential experience (post Jan 2012),Outcomes for residential pupils (post Jan 2012),Quality of residential provision and care (post Jan 2012),Residential pupils safety (post Jan 2012),Leadership and management of the residential provision (post Jan 2012),The effectiveness of partnerships in promoting learning and well-being,The school's capacity for sustained improvement,Outcomes for individuals and groups of pupils,Pupils' attainment,The quality of pupils' learning and their progress,Outcomes for children in the Early Years Foundation Stage,The quality of learning for pupils with special educational needs and/or disabilities and their progress,Outcomes for students in the sixth form ,"The extent of pupils' spiritual, moral, social and cultural development",The extent to which pupils adopt healthy lifestyles,The extent to which pupils feel safe,Pupils' attendance,The extent to which pupils contribute to the school and wider community,The extent to which pupils develop workplace and other skills that will contribute to their future economic well-being,The quality of provision in the sixth form,"The extent to which the curriculum meets pupils' needs, including, where relevant, through partnerships","The effectiveness of care, guidance and support",The use of assessment to support learning,The quality of provision in the Early Years Foundation Stage,The effectiveness of leadership and management of the Early Years Foundation Stage,The effectiveness of leadership and management of the sixth form,The effectiveness with which the school promotes equality of opportunity and tackles discrimination,The effectiveness with which the school promotes community cohesion,The effectiveness with which the school deploys resources to achieve value for money,The effectiveness of the governing body in challenging and supporting the school so that weaknesses are tackled decisively...,The effectiveness of safeguarding procedures,The effectiveness of the school's engagement with parents and carers,The leadership and management of teaching and learning,Pilot_Does the school adequately promote the pupils' well-being?,Pilot_Does the school adequately promote community cohesion?,Pilot_Does the school provide value for money?,Inspection number of the previous inspection,Academic year of the previous inspection,Inspection end date of the previous inspection,Previous inspection - Overall effectiveness,Previous inspection - Category,Movement in overall effectiveness since previous inspection,Time between inspections (months)
109156,8003037,Newbridge St John's Church of England VC Infants' School,BA1 3LL,South West,South West,Bath and North East Somerset,Bath,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Closed,,Not applicable,31/08/2006,Result of Amalgamation/Merger,278140,S5 Inspection,2005/06,21/09/2005,22/09/2005,14/10/2005,18/10/2005,2,,9,2,2,9,2,2,2,2,9,9,9,9,9,9,9,2,,9,2,2,9,2,9,2,2,2,3,2,2,9,3,2,9,9,9,9,3,9,2,2,Y,9,9,9,9,9,,,,,,No previous inspection,
109257,8003421,St Andrew's CofE Primary School,BA1 2SN,South West,South West,Bath and North East Somerset,Bath,Voluntary Aided School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,278167,S5 Inspection,2005/06,03/10/2005,04/10/2005,16/11/2005,14/03/2006,2,,9,2,2,9,2,2,2,2,9,9,9,9,9,9,9,2,,9,2,2,9,2,9,2,2,2,3,2,2,9,2,2,9,9,9,9,2,9,2,2,Y,9,9,9,9,9,,,,,,No previous inspection,
109005,8002158,Southdown Community Infant School,BA2 1LG,South West,South West,Bath and North East Somerset,Bath,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,278098,S5 Inspection,2005/06,05/10/2005,06/10/2005,22/11/2005,22/11/2005,3,,9,2,2,9,2,3,2,3,9,9,9,9,9,9,9,2,,9,3,2,9,2,9,2,2,3,4,4,2,9,2,3,9,9,9,9,2,9,3,3,Y,9,9,9,9,9,,,,,,No previous inspection,
109007,8002160,Twerton Infant School,BA2 1QR,South West,South West,Bath and North East Somerset,Bath,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,278099,S5 Inspection,2005/06,05/10/2005,06/10/2005,22/11/2005,22/11/2005,3,,9,3,3,9,3,2,3,3,9,9,9,9,9,9,9,3,,9,3,3,9,3,9,3,3,3,4,3,3,9,3,3,9,9,9,9,3,9,3,3,Y,9,9,9,9,9,,,,,,No previous inspection,
109256,8003420,Bathwick St Mary Church of England Primary School,BA2 6NN,South West,South West,Bath and North East Somerset,Bath,Voluntary Aided School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,278166,S5 Inspection,2005/06,05/10/2005,06/10/2005,01/11/2005,14/03/2006,1,,9,1,1,9,1,1,1,1,9,9,9,9,9,9,9,1,,9,1,1,9,1,9,1,2,2,2,1,1,9,1,2,9,9,9,9,1,9,2,1,Y,9,9,9,9,9,,,,,,No previous inspection,
109107,8002293,Longvernal Primary School,BA3 2LP,South West,South West,Bath and North East Somerset,North East Somerset,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,278126,S5 Inspection,2005/06,03/11/2005,03/11/2005,25/11/2005,15/12/2005,3,,9,3,3,9,3,3,3,3,9,9,9,9,9,9,9,3,,9,3,3,9,3,9,3,2,3,4,3,3,9,3,3,9,9,9,9,3,9,3,3,Y,9,9,9,9,9,,,,,,No previous inspection,
109195,8003092,Freshford Church of England Primary School,BA2 7WE,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,278153,S5 Inspection,2005/06,04/11/2005,04/11/2005,01/12/2005,01/12/2005,2,,9,2,2,9,2,1,2,2,9,9,9,9,9,9,9,2,,9,2,2,9,2,9,1,1,2,2,1,1,9,1,2,9,9,9,9,1,9,2,2,Y,9,9,9,9,9,,,,,,No previous inspection,
109190,8003086,East Harptree Church of England VC Primary School,BS40 6BD,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,278152,S5 Inspection,2005/06,08/11/2005,08/11/2005,25/11/2005,15/12/2005,2,,9,2,2,9,2,2,2,2,9,9,9,9,9,9,9,2,,9,2,2,9,2,9,2,2,2,2,2,2,9,2,2,9,9,9,9,2,9,2,2,Y,9,9,9,9,9,,,,,,No previous inspection,
109329,8004608,Saint Gregory's Catholic College,BA2 8PA,South West,South West,Bath and North East Somerset,Bath,Voluntary Aided School,Secondary,Secondary,Local authority maintained,,Open,,Not applicable,,Not applicable,278186,S5 Inspection,2005/06,15/11/2005,16/11/2005,01/12/2005,01/12/2005,2,,9,9,2,9,2,1,2,2,9,9,9,9,9,9,9,1,,9,2,2,9,2,9,1,1,2,2,1,2,9,1,1,9,9,9,9,2,9,2,2,Y,9,9,9,9,9,,,,,,No previous inspection,
109000,8002153,Moorlands Junior School,BA2 2DE,South West,South West,Bath and North East Somerset,Bath,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,278096,S5 Inspection,2005/06,16/11/2005,17/11/2005,02/12/2005,02/12/2005,3,,9,9,3,9,3,2,3,3,9,9,9,9,9,9,9,3,,9,3,3,9,2,9,2,2,2,2,2,3,9,3,3,9,9,9,9,3,9,3,3,Y,9,9,9,9,9,,,,,,No previous inspection,
