Distributing Body,Good Cause,Recipient Name,Project Name,Grant Date,Grant Amount,Programme Name,County,Postal Town,Local Authority,Electoral Ward,Region,UK Constituency,EU Constituency
Sport England,Sport,Wellow Parish Council,Saving Wellow Playing Field,09/06/2015,23225,Protecting Playing Fields,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,University of Bristol Boat Club,New boat for Women's Squad,11/05/2015,10000,Small Grants,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Bath City Farm,Walk through history trail - Celebrating local heritage,06/05/2015,8400,,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Make A Move,This new project targets women suffering from Post-Natal Depression and uses creative movement therapeutic dance and talking therapy to support mothers with PND referred by their health visitor to provide relief from their symptoms.,23/04/2015,205475,Reaching Communities,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Writhlington Academy Trust,Writhlington Inclusive Sports Hub,07/04/2015,9395,Small Grants,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Off The Record- Bath & North East Somerset,"This is a new project which aims to challenge homophobia/transphobia among young people and to support LGBT young people helping to reduce isolation, improve overall health and wellbeing and help these young people make informed life choices.",23/03/2015,213055,Reaching Communities,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Mardons Sports and Social Club,The group will use the funding to install a new security system and facility improvements in its community use building that is used by a number of organisations who have young or vulnerable service users.,12/03/2015,9844,Awards for All,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Live Wire Theatre Company,"This is a project by a community organisation in Bath and North East Somerset. The group will use the funding to deliver leadership workshops for school pupils who are at risk of the effects of economic disadvantage. This will equip the young people with skills that will improve their chances in life with a focus upon team working, problem solving and communication.",12/03/2015,4160,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Somersetshire Coal Canal Society,The Somerset Coal Canal and William Smith: the Highway to prosperity and evolution,10/03/2015,10000,,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Bath and North East Somerset Council,"Our Heritage, Your Story: Explore the Past with Bath Record Office",11/02/2015,74700,,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Mentoring Plus Bath and North East Somerset Ltd,This is a project by a charity in Bath. The group will use the funding to run activity workshops for vulnerable young people. This will help develop their life skills and maximise their potential.,04/02/2015,9792,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath Mind,The group will use the funding to provide children and young people at schools with mental health awareness training. This will enable the beneficiaries to better understand mental health and identify if they or a friend requires support in this area.,29/01/2015,2613,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Percy Community Centre,"The group will use the funding to deliver a creative media, marketing, music and business project for young adults including those who are NEET. This will enable beneficiaries to gain skills in several areas of business which will improve their life skills, team working and employment prospects.",23/01/2015,5980,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",B&NES LA Westfield Primary School,This is a project by a school in Bath and North East Somerset. The group will use the funding to create an outdoor gazebo area for socially isolated children with special educational needs. This will create a new resource that will facilitate means of social contact for disadvantaged pupils.,15/01/2015,10000,Awards for All,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Clutton Parish Council,This is a project by a Clutton Parish Council in Bath and North East Somerset. The group will use the funding to improve the way in which it engages with its service users through the purchase of new equipment. This will enable the parish council to communicate complex issues in a straightforward paperless method and share information quickly to people who attend its meetings.,15/12/2014,442,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Bath Festivals,Bath International Music Festival 2015,15/12/2014,99500,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",59th Staffordshire Division,59th Staffordshire Division,09/06/2014,1380,Heroes Return,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Minerva Bath Rowing Club,The group will use the funding to purchase a sailing boat. This will enable the group to continue providing its services for free to a local organisation that provides mentoring activities to young people who come from disadvantaged backgrounds as a way to positively encourage their personal development.,08/12/2014,9626,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Golden-Oldies,Golden-Oldies,04/12/2014,4900,Awards for All,,RADSTOCK,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Newbridge Primary School Association (NPSA),This is a project by a school in Bath. The group will use the funding to provide outdoor activity equipment for children at their school and the community. This will give beneficiaries access to a safe outdoor play facility.,26/11/2014,10000,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Widcombe Association,The group will use the funding to deliver energy efficiency workshops within two local schools imparting knowledge to pupils and encouraging them to cascade this information to parents. This will provide beneficiaries with increased knowledge of energy saving techniques that will improve their immediate environments.,24/11/2014,2290,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Bath Spa University,Illuminate Bath 2015,24/11/2014,48811,Grants for the arts,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,British Judo Association Western Area,Western Area Judo Development,08/11/2014,9990,Small Grants,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,UNIVERSITY OF BATH,50m Legacy Pool Project,05/11/2014,200000,Facilities Investment,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",The Hive,"This community organisation in Bristol will use the funding to host a festival and workshops targeted towards young people that will promote social enterprise and positively address social problems, addictions and depression. The project aims to improve community cohesion amongst beneficiaries, encourage them to learn new skills to improve life chances and provide support to address health problems.",05/11/2014,10000,Awards for All,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
