Country Code,Country Name,Region Code,Region Name,County Code,County Name,LA Code,LA Name,Sex,Age,Quinary Age,Estimated Population 2012,Births,Deaths,Internal Migration Inflow,Internal Migration Outflow,Internal Migration Net,International Migration Inflow,International Migration Outflow,International Migration Net,Other,Estimated Population 2013
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,4, 0-4,899,0,1,49,28,21,10,5,5,0,911
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,3, 0-4,886,0,0,46,40,6,11,3,8,0,881
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,2, 0-4,867,0,0,62,60,2,6,0,6,0,950
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,1, 0-4,942,0,0,78,55,23,11,3,8,0,923
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,0, 0-4,892,862,1,23,29,-6,6,4,2,0,857
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,4, 0-4,965,0,0,54,51,3,12,2,10,0,988
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,3, 0-4,975,0,0,67,54,13,12,2,10,0,953
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,2, 0-4,930,0,0,75,64,11,12,1,11,0,1018
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,1, 0-4,996,0,0,55,66,-11,16,3,13,0,980
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,0, 0-4,978,986,0,29,30,-1,7,0,7,0,992
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,9, 5-9,815,0,0,32,24,8,7,1,6,0,847
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,8, 5-9,833,0,0,29,20,9,8,2,6,0,851
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,7, 5-9,836,0,0,30,28,2,10,3,7,0,910
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,6, 5-9,901,0,0,36,32,4,9,1,8,0,992
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,5, 5-9,980,0,1,35,24,11,16,0,16,0,925
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,9, 5-9,960,0,0,34,20,14,5,0,5,0,875
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,8, 5-9,856,0,0,32,33,-1,7,0,7,0,945
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,7, 5-9,939,0,0,35,29,6,8,5,3,1,963
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,6, 5-9,953,0,1,35,26,9,7,0,7,0,1017
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,5, 5-9,1002,0,0,41,36,5,7,4,3,0,973
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,14,10-14,1016,0,0,42,20,22,4,0,4,0,970
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,13,10-14,944,0,0,28,14,14,8,0,8,0,927
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,12,10-14,905,0,0,27,15,12,7,1,6,0,946
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,11,10-14,928,0,0,24,16,8,5,0,5,0,865
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,10,10-14,852,0,0,22,17,5,6,0,6,0,826
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,14,10-14,997,0,0,30,24,6,4,1,3,0,1002
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,13,10-14,993,0,0,34,29,5,7,1,6,0,979
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,12,10-14,968,0,0,21,12,9,11,2,9,0,947
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,11,10-14,929,0,0,28,20,8,6,0,6,0,920
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,10,10-14,906,0,0,28,26,2,9,2,7,0,969
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,19,15-19,2177,0,0,1185,352,833,75,10,65,-1,2187
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,18,15-19,1290,0,0,261,78,183,38,9,29,0,1194
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,17,15-19,982,0,0,45,30,15,6,6,0,-1,1010
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,16,15-19,996,0,1,18,20,-2,11,4,7,0,966
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,15,15-19,962,0,0,27,18,9,6,1,5,0,1030
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,19,15-19,1986,0,0,1202,240,962,67,14,53,-5,2283
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,18,15-19,1273,0,3,223,54,169,30,5,25,-4,1163
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,17,15-19,976,0,1,22,22,0,13,1,12,-4,1036
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,16,15-19,1029,0,0,21,12,9,7,0,7,0,1078
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,15,15-19,1062,0,0,18,26,-8,7,4,3,0,992
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,24,20-24,1129,0,0,235,384,-149,57,19,38,1,1340
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,23,20-24,1450,0,0,305,690,-385,94,21,73,1,1493
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,22,20-24,1804,0,0,406,582,-176,113,28,85,-1,1934
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,21,20-24,2026,0,0,315,480,-165,79,15,64,-2,2113
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,20,20-24,2216,0,0,512,383,129,95,23,72,2,2380
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,24,20-24,1268,0,0,168,302,-134,67,34,33,1,1522
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,23,20-24,1622,0,0,238,502,-264,97,36,61,1,1574
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,22,20-24,1776,0,2,304,399,-95,109,23,86,-4,2105
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,21,20-24,2120,0,1,244,405,-161,86,24,62,-6,2048
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,20,20-24,2154,0,1,368,278,90,82,17,65,0,2140
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,29,25-29,941,0,0,114,120,-6,26,15,11,-2,926
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,28,25-29,923,0,0,123,132,-9,35,13,22,-1,904
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,27,25-29,892,0,0,150,148,2,40,14,26,0,973
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,26,25-29,945,0,0,155,205,-50,48,18,30,0,1031
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Female,25,25-29,1051,0,0,185,265,-80,53,19,34,1,1084
E92000001,England,E12000009,South West,No Code,No County,E06000022,Bath and North East Somerset,Male,29,25-29,978,0,0,106,138,-32,34,10,24,-2,1021
