postcode,data status,lines < 2mbps,average speed,median speed,maximum speed,super fast available,connections
BA10AG,No premises,N/A,N/A,N/A,N/A,N,0
BA10AQ,No premises,N/A,N/A,N/A,N/A,N,0
BS408QS,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA12AN,OK,N,17.6,20.1,24,Y,5
BA11UZ,No premises,N/A,N/A,N/A,N/A,N,0
BA27AW,No Data,N/A,N/A,N/A,N/A,N,0
BA33XF,OK,N,7,7.1,13.7,Y,21
BA11TG,OK,N,13.2,10.7,21,Y,9
BA10SH,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA26NG,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BS313LS,OK,Y,23.3,16.8,>=30,N,12
BS319AE,No premises,N/A,N/A,N/A,N/A,N,0
BS408SH,OK,N,16.3,19,23.8,N,9
BA11NL,OK,N,17,18.9,21.3,Y,9
BA26QU,OK,N,28,>=30,>=30,Y,17
BA22JS,OK,N,>=30,>=30,>=30,Y,14
BA15PS,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA15JG,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS313AF,OK,Y,5.3,4.8,12.5,N,11
BS312AF,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA23DF,OK,N,>=30,>=30,>=30,Y,12
BA23DL,OK,N,>=30,>=30,>=30,Y,12
BA16QZ,OK,N,20,6.7,>=30,Y,21
BA32XE,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA21ES,OK,N,>=30,12.6,>=30,Y,6
BA15SD,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA32NU,OK,N,21.5,12.6,>=30,Y,25
BS406WA,No premises,N/A,N/A,N/A,N/A,N,0
BA20HZ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA28DY,OK,Y,11,3.1,>=30,Y,9
BA11AL,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA20NX,No Data,N/A,N/A,N/A,N/A,N,0
BA20HY,OK,Y,17.6,18.7,24.4,N,10
BA11RD,OK,N,12.3,12.3,18.1,Y,3
BA17ZQ,No premises,N/A,N/A,N/A,N/A,N,0
BA21HR,OK,Y,25.4,20,>=30,Y,22
BA26RF,OK,N,22.2,11.3,>=30,Y,8
BS394JX,OK,Y,4.7,3.7,14.6,N,13
BA16SH,OK,Y,13,4.5,>=30,Y,14
BA22SL,OK,N,8.8,8.8,9.5,N,3
BA17ED,OK,Y,8.8,8.1,17.4,N,5
BA28BB,OK,N,3.7,3.8,4.4,N,3
BA16QL,OK,Y,21.9,6.3,>=30,Y,10
BA33TU,OK,N,20.7,12.8,>=30,Y,34
BA14EW,OK,Y,17.1,3.9,>=30,Y,28
BA21JG,OK,N,18,20,>=30,Y,15
BA27BW,No Data,N/A,N/A,N/A,N/A,Y,0
BA20AS,OK,N,6.8,6.9,9.9,N,15
BA17AQ,No Data,N/A,N/A,N/A,N/A,Y,0
BA22EY,OK,Y,13.7,3,>=30,Y,8
BA27HA,OK,N,7.7,8,10.4,N,8
BS312DA,OK,Y,24.5,20,>=30,Y,12
BA24DH,OK,N,17.5,17.9,23.1,N,37
BA22AP,No Data,N/A,N/A,N/A,N/A,Y,0
BA13RX,No Data,N/A,N/A,N/A,N/A,Y,0
BA28LT,OK,Y,2,1.9,2.5,Y,6
BA24PN,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS312SL,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA39AB,No premises,N/A,N/A,N/A,N/A,N,0
BA23BU,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA17SD,OK,N,10.5,10.4,18,N,6
BS395TB,OK,N,8.1,8.1,8.1,N,4
BS313LB,OK,N,15.2,20,20,N,11
BA32HY,OK,N,11.2,8.1,20.3,N,4
BA15SX,No Data,N/A,N/A,N/A,N/A,Y,0
BA25BW,OK,N,14.2,16.8,19.9,N,12
BS408XS,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BS311DX,OK,Y,11.3,8.1,24.4,Y,15
BS406EQ,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA28DR,No Data,N/A,N/A,N/A,N/A,Y,0
BA21BB,OK,N,23.3,20,>=30,Y,19
BA32LP,OK,N,17.1,11.5,>=30,Y,9
BS397RH,OK,N,20.6,6.8,>=30,Y,7
BS312JZ,OK,N,25.4,>=30,>=30,Y,12
BA25LX,OK,N,21.1,14.3,>=30,Y,7
BA25EW,OK,N,10,8.9,14.6,N,5
BA27DX,No Data,N/A,N/A,N/A,N/A,N,0
BA29HS,OK,Y,4.6,2.1,19.3,N,9
BA11HL,OK,N,18,20.5,>=30,Y,12
BS395WB,No premises,N/A,N/A,N/A,N/A,N,0
BA26SS,OK,Y,2.8,2.8,4.9,Y,8
BA10SL,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA12SH,OK,N,20.4,14.3,>=30,Y,10
BA32DR,OK,N,10.1,8.1,14.5,N,3
BA25EG,No Data,N/A,N/A,N/A,N/A,N,0
BS394EZ,OK,N,4.7,3.3,14.3,N,9
BA28JR,OK,Y,6.8,4.3,>=30,Y,12
BA29HZ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA21SW,OK,N,21,>=30,>=30,Y,7
BS406BB,OK,Y,3.9,4.3,5.7,N,5
BA20ET,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA33UT,OK,Y,8.9,8.6,13.9,Y,13
BS311JA,OK,N,27.5,9.1,>=30,Y,18
BA32LE,OK,N,18.2,23.8,24.4,N,7
BA20DP,OK,Y,6.5,6.7,10.9,N,8
BA24HL,No Data,N/A,N/A,N/A,N/A,Y,0
BA22SQ,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA32XS,Insufficient Data,N/A,N/A,N/A,N/A,Y,1
BA29HT,OK,Y,1.7,1.3,2.9,N,11
BA24HP,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA33TZ,OK,N,25.9,15.4,>=30,Y,10
BS395BH,OK,N,7.7,6.8,16.6,N,8
BA11BZ,OK,N,15.8,17.2,20.7,N,4
BA25NZ,OK,N,18.5,19.7,24.4,N,40
BS396HR,OK,Y,4.7,4.8,9.1,N,18
BA25EX,OK,N,9.6,10.2,14.1,N,5
BA27SZ,OK,Y,4.5,4,7.1,N,9
BS311JW,OK,Y,28.4,20,>=30,Y,19
BA13QJ,No Data,N/A,N/A,N/A,N/A,Y,0
BA28DX,OK,N,23.1,12.2,>=30,Y,8
BA10PH,No premises,N/A,N/A,N/A,N/A,N,0
BA25JG,OK,N,15.4,14.3,21.9,N,6
BA33XZ,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA32HU,No premises,N/A,N/A,N/A,N/A,N,0
BA24QJ,OK,Y,13.7,7.1,>=30,Y,15
BA24DF,OK,N,10.8,9.7,19,N,27
BA11NP,OK,Y,6.1,8.1,8.1,N,3
BS406HS,OK,N,7.5,7.9,8.1,N,4
BA10TF,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA32RU,OK,N,16.4,15,>=30,Y,8
BA21PN,OK,Y,20.1,12.6,>=30,Y,29
BA24AY,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA22UY,OK,Y,5.2,5,12.2,N,25
BS408RD,No Data,N/A,N/A,N/A,N/A,N,0
BS397XT,OK,Y,12,3.1,>=30,Y,4
BA34BP,OK,N,13.9,10.1,>=30,Y,35
BA17JW,OK,N,12.6,14.2,15.3,N,7
BA23NR,No Data,N/A,N/A,N/A,N/A,Y,0
BA22UA,No Data,N/A,N/A,N/A,N/A,N,0
BA26EU,No Data,N/A,N/A,N/A,N/A,Y,0
BA11DG,OK,N,14.1,13.7,20.6,Y,11
BA16QR,OK,N,6.7,6.7,10.2,Y,4
BA12LJ,No Data,N/A,N/A,N/A,N/A,Y,0
BS312AG,OK,N,15.3,16.4,18.7,N,5
BA19BN,No premises,N/A,N/A,N/A,N/A,N,0
BA22BX,OK,Y,25.2,8.5,>=30,Y,23
BS312HU,OK,Y,28.9,22,>=30,Y,22
BA18BS,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS312BG,No Data,N/A,N/A,N/A,N/A,Y,0
BS311HS,OK,N,22.6,18.1,>=30,Y,18
BS140PY,OK,N,19.9,15.4,>=30,Y,8
BA16JN,OK,N,14.7,7.3,>=30,Y,15
BA13JZ,OK,N,16.8,7.9,>=30,Y,17
BA12BD,OK,N,17.4,17.7,21.9,Y,8
BS408UF,OK,N,6.9,6.8,10.3,N,7
BS394JH,OK,Y,5.9,8.1,8.1,N,3
BA32NF,OK,N,17.7,12.5,>=30,Y,5
BA19BJ,OK,Y,3,3,3.7,Y,7
BS406PP,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA14AG,OK,N,>=30,>=30,>=30,Y,4
BA23LU,OK,N,29,14.6,>=30,Y,4
BA11QX,No premises,N/A,N/A,N/A,N/A,N,0
BS313DS,OK,N,12.9,8.1,20,N,6
BS313AL,OK,N,>=30,20,>=30,N,16
BA16QX,OK,N,10.7,5.1,>=30,Y,13
BA27UQ,OK,N,7.6,8.2,12.3,N,7
BS396XX,OK,Y,2.6,2.8,4.8,N,13
BS312SH,OK,Y,4.1,3.8,5.7,N,7
BA20BH,OK,Y,2.4,2.5,3.8,N,16
BA32AG,OK,N,18.3,18.5,>=30,Y,10
BA29DJ,No Data,N/A,N/A,N/A,N/A,N,0
BS313ER,OK,N,10.2,8.1,17.6,N,11
BS311SS,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA11NR,No Data,N/A,N/A,N/A,N/A,N,0
BS395WJ,No premises,N/A,N/A,N/A,N/A,N,0
BS394BR,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS312EN,OK,N,22.2,20.7,>=30,Y,10
BA13JT,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS319BG,No premises,N/A,N/A,N/A,N/A,N,0
BA26PF,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS312BG,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS397RX,OK,Y,14.9,5.7,>=30,Y,8
BS395SN,OK,Y,6.2,6.4,10.4,N,18
BA24AD,OK,N,15,16.5,19.8,Y,18
BA32BW,OK,N,>=30,>=30,>=30,Y,4
BA34AH,OK,N,13.7,10,>=30,Y,13
BA13PE,OK,N,18,7.9,>=30,Y,23
BS395ED,No Data,N/A,N/A,N/A,N/A,N,0
BA26PU,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA33EQ,OK,N,14.6,13.2,>=30,Y,15
