postcode,FID,PROB_4BAND,SUITABILITY,PUB_DATE,RISK_FOR_INSURANCE_SOP,easting,northing,latitude,longitude
BA1 0AQ,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0AY,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0AZ,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0BG,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0BT,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0DH,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0DS,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0EJ,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0EQ,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0FA,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0FG,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0FH,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0FN,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0FW,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0FX,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0GL,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0HE,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0HF,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0HJ,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0HU,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0JH,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0JN,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0LR,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
BA1 0LT,\N,None,\N,\N,\N,375350,164482,"(51.378849, -2.355562)","(51.378849, -2.355562)"
