id,uri,title,inscription,subjects,colour_name,location,erected_at,thumbnail_url,coordinates,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
10397,http://openplaques.org/plaques/10397.json,Isambard Kingdom Brunel and Pulteney Bridge blue plaque in Bath,1821-26 Here lived I. K. Brunel Designer of the Pulteney Bridge,Isambard Kingdom Brunel and Pulteney Bridge,blue,Walcot Street,,http://farm8.staticflickr.com/7211/7190635016_2bd2e8225b_s.jpg,"(51.385146, -2.35971)",35,7,7,1,20
868,http://openplaques.org/plaques/868.json,Edmund Burke bronze plaque in Bath,"Here dwelt 
Edmund Burke 
B.1729 D.1797",Edmund Burke,bronze,11 North Parade,,http://farm5.static.flickr.com/4125/5065622070_9f9fb5be37_s.jpg,"(51.3807, -2.35631)",35,13,7,1,21
889,http://openplaques.org/plaques/889.json,John Andre bronze plaque in Bath,"Here dwelt 
Major Andre 
A.D. 1770.",John Andre,bronze,22 The Circus,,http://farm5.static.flickr.com/4108/5064955287_b3ef3ae395_s.jpg,"(51.3858, -2.3634)",35,25,7,1,22
867,http://openplaques.org/plaques/867.json,John Wood the elder bronze plaque in Bath,Here lived John Wood B. 1704 D. 1754,John Wood the elder,bronze,24 Queen Square,,http://farm8.staticflickr.com/7047/6970092735_acdb33b164_s.jpg,"(51.3839, -2.36371)",34,193,9,1,55
872,http://openplaques.org/plaques/872.json,Sarah Siddons bronze plaque in Bath,Here dwelt Sarah Siddons B. 1755 D. 1831,Sarah Siddons,bronze,33 The Paragon,,http://farm8.staticflickr.com/7062/6823969046_228c2c6d42_s.jpg,"(51.3887, -2.3595)",35,15,7,1,22
877,http://openplaques.org/plaques/877.json,Charles Napier bronze plaque in Bath,Here lived Sir Charles Napier 1836-1838.,Charles Napier,bronze,9 Henrietta Street,,http://farm8.staticflickr.com/7067/6950153257_f594d2a30a_s.jpg,"(51.3843, -2.35697)",35,5,7,1,21
4432,http://openplaques.org/plaques/4432.json,Richard Howe bronze plaque in Bath,"Admiral Earl Howe. K.G.
lived here
in 1794, 1795 & 1798. B.1725. D.1799.",Richard Howe,bronze,William Street,,http://farm5.static.flickr.com/4107/5065494934_6ef600ea5f_s.jpg,"(51.3841, -2.35451)",35,9,7,1,21
909,http://openplaques.org/plaques/909.json,Benjamin Barker bronze plaque in Bath,Here lived Benjamin Barker B.1776 D.1838,Benjamin Barker,bronze,16 Bathwick Street,,http://farm5.static.flickr.com/4083/5065471730_8f8cc80492_s.jpg,"(51.3871, -2.35213)",36,499,6,1,96
892,http://openplaques.org/plaques/892.json,Edward Bulwer-Lytton bronze plaque in Bath,Here dwelt Lord Lytton B.1803 D.1873,Edward Bulwer-Lytton,bronze,"Connaught Mansions, Pultney Street",,http://farm5.static.flickr.com/4084/5065450628_1abf4b4089_s.jpg,"(51.3791, -2.35063)",33,562,12,1,111
904,http://openplaques.org/plaques/904.json,"Thomas Linley, Elizabeth Anne Linley, and Richard Brinsley Sheridan bronze plaque in Bath",Thomas Linley lived here and from this house his daughter Elizabeth eloped with Richard Brinsley Sheridan on the evening of the 18th March 1772,"Thomas Linley, Elizabeth Anne Linley, and Richard Brinsley Sheridan",bronze,11 Royal Crescent,,http://farm5.static.flickr.com/4146/5064986669_00824bfe9e_s.jpg,"(51.3872, -2.3676)",34,200,9,1,115
4424,http://openplaques.org/plaques/4424.json,John Arthur Roebuck Rudge bronze plaque in Bath,"Here lived, worked and died Rudge inventor of the biophantascope the precursor of the kinematograph B.1837 D.1903",John Arthur Roebuck Rudge,bronze,New Bond Street Place,,http://farm5.static.flickr.com/4109/5065440896_88b1726d60_s.jpg,"(51.3829, -2.36042)",35,11,7,1,20
881,http://openplaques.org/plaques/881.json,William Herschel and Caroline Herschel green plaque in Bath,"Here lived Scientist and Musician Sir William Herschel 1738-1822 from where he found the planet Uranus, March 13th 1781 he also discovered Infrared radiation in 1800 ~ and his sister Caroline Herschel early woman scientist 1750-1848 Hunter of comets",William Herschel and Caroline Herschel,green,19 New King Street,,http://farm8.staticflickr.com/7179/6844697316_e3ca94631d_s.jpg,"(51.3825, -2.36723)",34,192,9,1,55
891,http://openplaques.org/plaques/891.json,Isaac Pitman bronze plaque in Bath,"Here lived 
Sir Isaac Pitman 
B.1813 D.1897",Isaac Pitman,bronze,17 Royal Crescent,,http://farm5.static.flickr.com/4150/5064991425_646fb6bef8_s.jpg,"(51.3874, -2.36832)",34,201,9,1,115
888,http://openplaques.org/plaques/888.json,Fred E. Weatherly bronze plaque in Bath,"Here lived
Fred E. Weatherly, K.C.
song writer
1919 to 1928
B. 1848 D. 1929.",Fred E. Weatherly,bronze,10 Edward Street,,http://farm8.staticflickr.com/7082/7035653733_8d96a26148_s.jpg,"(51.3842, -2.35218)",35,3,7,1,21
873,http://openplaques.org/plaques/873.json,John Palmer bronze plaque in Bath,Here lived John Palmer B.1741 D.1818,John Palmer,bronze,1 North Parade Buildings,,http://farm5.static.flickr.com/4105/5064767491_876ca36cb1_s.jpg,"(51.3806, -2.35809)",35,12,7,1,20
896,http://openplaques.org/plaques/896.json,Christopher Anstey bronze plaque in Bath,"Here lived 
Christopher Anstey 
1770-1805",Christopher Anstey,bronze,5 Royal Crescent,,http://farm5.static.flickr.com/4091/5064975289_65d228067f_s.jpg,"(51.3867, -2.36724)",34,200,9,1,115
11255,http://openplaques.org/plaques/11255.json,Richard 'Beau' Nash bronze plaque in Bath,"This tablet marks the site of Harrison's Assembly Rooms where Richard (Beau) Nash presided as Master of ceremonies 1708-1761

Here also stood 1823-1933 The Royal Literary and Scientific Institution inaugerated by the poets 
Moore, Crabbe, and Bowles: now transferred to Queen Square",Richard 'Beau' Nash,bronze,Grand Parade,,http://farm9.staticflickr.com/8293/7803180622_6e0e0a8e3c_s.jpg,"(51.38242, -2.35759)",35,11,7,1,20
11257,http://openplaques.org/plaques/11257.json,Edgar and Dunstan brass plaque in Bath,Edgar first king of all England was crowned by Dunstan Archbishop of Canterbury in the Saxon abbey on this site on Whitsunday A.D.973,Edgar and Dunstan,brass,Bath Abbey,,http://farm9.staticflickr.com/8422/7803179600_15a03ca521_s.jpg,"(51.381454, -2.358925)",35,11,7,1,20
4430,http://openplaques.org/plaques/4430.json,Connop Thirlwall bronze plaque in Bath,Here dwelt Bishop Thirlwall 1874-75,Connop Thirlwall,bronze,Sydney Place,,http://farm5.static.flickr.com/4131/5064878109_1a7566c30c_s.jpg,"(51.3852, -2.35069)",22,74,12,1,30
911,http://openplaques.org/plaques/911.json,Walter Scott bronze plaque in Bath,"Here dwelt 
Sir Walter Scott
1775.",Walter Scott,bronze,6 South Parade,,http://farm5.static.flickr.com/4086/5065642820_eb85054c52_s.jpg,"(51.3801, -2.356)",35,13,7,1,21
882,http://openplaques.org/plaques/882.json,Frederic Leighton bronze plaque in Bath,"Here lived 
Lord Leighton, P.R.A. 
1855. 1856.",Frederic Leighton,bronze,9 The Circus,,http://farm5.static.flickr.com/4127/5064941127_7cbc72a1b0_s.jpg,"(51.3856, -2.3645)",35,21,7,1,22
906,http://openplaques.org/plaques/906.json,Frederick Sleigh Roberts bronze plaque in Bath,Field-Marshal Earl Roberts K.G. was a constant visitor in this house 1900-1914 B. 1832 D. 1914,Frederick Sleigh Roberts,bronze,9 Queen's Parade,,http://farm8.staticflickr.com/7062/6990812193_1c12c3e04b_s.jpg,"(51.3836, -2.36481)",34,193,9,1,55
893,http://openplaques.org/plaques/893.json,William Pitt bronze plaque in Bath,"Here lived 
Earl of Chatham 
B.1708-D.1778",William Pitt,bronze,7 The Circus,,http://farm5.static.flickr.com/4128/5065557784_142688bd41_s.jpg,"(51.3858, -2.3647)",35,21,7,1,22
4422,http://openplaques.org/plaques/4422.json,John Arthur Roebuck Rudge and William Friese-Greene black plaque in Bath,"To perpetuate the name and memory of John Arthur Roebuck Rudge who lived for many years in the adjoining house and after numerous experiments conducted in the basement was the first Englishman to produce moving pictures by means of photographs mounted on a revolving drum

And also of his friend William Friese-Greene who had his studio at no. 9 The Corridor nearby,the inventor of commercial kinematography, being the first man to apply celluloid ribbon for this purpose.

Kinematography can thus be attributed to the labours of these two citizens of Bath where this wonderful invention undoubtedly received its birth.",John Arthur Roebuck Rudge and William Friese-Greene,black,New Bond Street Place,,http://farm5.static.flickr.com/4111/5065436818_9a19b0751a_s.jpg,"(51.3822, -2.36025)",35,11,7,1,20
