fsa_id,name,address,postcode,easting,northing,latitude,longitude,local authority
292472,All Bar One,"All Bar One, 11 - 12 High Street, City Centre, Bath",BA1 5AQ,375081,164824,51.381912,-2.359463,Bath and North East Somerset
292489,Apple Tree Inn,"The Apple Tree Inn, Rag Hill, Shoscombe",BA2 8LS,371186,156478,51.306675,-2.414736,Bath and North East Somerset
292500,Assembly Inn,"17 Alfred Street, City Centre, Bath, Bath And North East Somerset",BA1 2QU,374926,165268,51.385897,-2.361707,Bath and North East Somerset
292538,Bath Brew House,"The Bath Brew House, 14 James Street West, City Centre, Bath",BA1 2BX,374701,164706,51.380834,-2.3649,Bath and North East Somerset
292559,Bath Spa Uni,"Burdall's Yard, 7A Anglo Terrace, Walcot, Bath",BA1 5NH,375305,165775,51.390473,-2.356296,Bath and North East Somerset
292568,Bathampton Mill,"Mill Lane, Bathampton, Bath, Bath And North East Somerset",BA2 6TS,377416,166762,51.399435,-2.326021,Bath and North East Somerset
292583,Be At One,"11 Brunel Square, Bath",BA1 1SX,375162,164345,51.377608,-2.35825,Bath and North East Somerset
292593,Belushi's,"Belushi Bar  St Christopher's Inn, 9 Green Street, City Centre, Bath",BA1 2JY,375004,164997,51.383464,-2.360567,Bath and North East Somerset
292594,Belvoir Castle,"32 - 33 Victoria Buildings, Twerton, Bath",BA2 3EH,373973,164797,51.381619,-2.375366,Bath and North East Somerset
292609,Bird In Hand,"58 High Street, Saltford",BS31 3EJ,368624,167415,51.404887,-2.452456,Bath and North East Somerset
292618,Blathwayt,"Blathwayt Arms, Lansdown Road, Charlcombe, Bath",BA1 9BT,372566,168653,51.416232,-2.395883,Bath and North East Somerset
292622,Blue Bowl,"The Blue Bowl, Bristol Road, West Harptree, Bristol",BS40 6HJ,355705,157679,51.316493,-2.636957,Bath and North East Somerset
292624,Boat House Public House,"Boathouse Restaurant, Newbridge Road, Newbridge, Bath",BA1 3NB,371704,165857,51.391041,-2.408054,Bath and North East Somerset
292625,Boater,"The Boater, 9 Argyle Street, Bathwick, Bath",BA2 4BQ,375248,164968,51.383214,-2.357059,Bath and North East Somerset
292643,Brass Mill Public House,"The Brass Mill, Avon Mill Lane, Keynsham, Bristol",BS31 2UG,365851,168740,51.41664,-2.492448,Bath and North East Somerset
292670,Burgers And Barrels,"2 Victoria Buildings, Twerton, Bath",BA2 3EH,373973,164797,51.381619,-2.375366,Bath and North East Somerset
292707,Carpenters Arms,"Wick Lane, Stanton Drew",BS39 4BX,361573,162080,51.356483,-2.55324,Bath and North East Somerset
292724,Centurion Inn,"Poolemead Road, Whiteway, Bath, Bath And North East Somerset",BA2 1QR,372060,164490,51.378767,-2.40283,Bath and North East Somerset
292781,Club XL,"90B Walcot Street, City Centre, Bath",BA1 5BG,375111,165422,51.38729,-2.359074,Bath and North East Somerset
292792,Coeur De Lion Public House,"Coeur De Lion, 17 Northumberland Place, Bath",BA1 5AR,375054,164880,51.382405,-2.359854,Bath and North East Somerset
292806,Combe Down Rugby Football Club,"Combe Down Rugby Club, North Road, Combe Down, Bath",BA2 5DE,375675,162468,51.360753,-2.350751,Bath and North East Somerset
