WARD,POLLING_DISTRICT,ELEC_REG_REF,Address,X,Y,Location 1,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
Newbridge,B-NB3,,"Emmanuel Church, Apsley Road, Bath BA1 3LP",-2.394912,51.386118,"(51.386118, -2.394912)",29,17,322,8,1
Abbey,B-AB1,AB 1 to 1586 inclusive,"Card Room, Assembly Rooms, Bennett Steet, Bath BA1 2QH",-2.36107,51.385737,"(51.385737, -2.36107)",35,22,4,7,1
Abbey,B-AB2,AY 1 to 2265 inclusive,"Percy Hall, Central United Reformed Church, Grove Street, Bath BA2 6PJ",-2.355777,51.38337,"(51.38337, -2.355777)",35,21,9,7,1
Bathwick,B-BK1,BK 1 to 1553 inclusive,"St Mary's Church Hall, Darlington Street, Bathwick, Bath BA2 4EB",-2.3495,51.383883,"(51.383883, -2.3495)",22,30,74,12,1
Bathwick,B-BK2 A,BW 1 to 394 inclusive,"Claverton Down Community Hall, Claverton Down Road, Bath, BA2 6DT",-2.328518,51.373818,"(51.373818, -2.328518)",22,29,70,12,1
Bathwick,B-BK2 B,BW 395 to 2289 inclusiv,"University of Bath Library, Univeristy of Bath Campus, Claverton Down, Bath BA2 7AY",-2.326899,51.379517,"(51.379517, -2.326899)",22,29,580,12,1
Combe Down,B-CD1,CD 1 to 1823 inclusive,"Foxhill Community Centre, Hawthorn Grove, Combe Down, Bath, BA2 5QA",-2.360357,51.35912,"(51.35912, -2.360357)",19,36,121,18,1
Combe Down,B-CD2,CO 1 to 1924 inclusive,"Union Chapel, Church Road, Combe Down, Bath BA2 5JJ",-2.343651,51.358982,"(51.358982, -2.343651)",19,37,103,18,1
Kingsmead,B-KM2,KM 1 to 2174 inclusive,"Percy Community Centre, New King Street, Bath BA1 2BN",-2.364719,51.382029,"(51.382029, -2.364719)",34,55,194,9,1
Lambridge,B-LA1,LG 1 to 1088 inclusive,"New Oriel Hall, Brookleaze Buildings, Larkhall, Bath BA1 6RA",-2.344629,51.397396,"(51.397396, -2.344629)",23,56,229,4,1
Lambridge,B-LA3,LM 1 to 973 inclusive,"Swainswick Gardens Community Hall, Swainswick Gardens, Lower Swainswick, Bath BA1 6TL",-2.341452,51.401113,"(51.401113, -2.341452)",23,56,219,4,1
Lansdown,B-LN1,LA 1 to 1214 inclusive,"St Mary's Church Hall, Burlington Street, Bath BA1 7BL",-2.363816,51.388044,"(51.388044, -2.363816)",21,2,247,7,1
Lansdown,B-LN2,LN 1 to 2199 inclusive,"St. Stephen's Church, Lansdown Road, Bath BA1 5SX",-2.362243,51.392334,"(51.392334, -2.362243)",21,59,237,7,1
Lyncombe,B-LY1,LC 1 to 1608 inclusive,"St Luke's Church, Bloomfield Road, Bath BA2 2BD",-2.365414,51.368196,"(51.368196, -2.365414)",18,5,256,17,1
Lyncombe,B-LY2,LE 1 to 777 inclusive,"Community Centre, 20 Chelwood Drive, Bath BA2 2PR",-2.373802,51.35906,"(51.35906, -2.373802)",18,4,263,17,1
Lyncombe,B-LY3,LY 1 to 1639 inclusive,"Beechen Cliff Methodist Church Hall, Bruton Avenue, Bath BA2 4RF",-2.364434,51.373368,"(51.373368, -2.364434)",18,3,265,17,1
