Unitary Authority Ward,Polling District Code,Total Electorate       (1 December 2014),Postal Voters          (1 December 2014),Electorate at    Polling Station,Current Polling Station,Proposed Polling Station,Constintuency
Bathavon North,N-BN1,1433,249,1184,"The Community Centre, Mountain Wood, Bathford, BA1 7SB",NO CHANGE,North East Somerset
Bathavon North,N-BN2,1239,223,1016,"Bathampton Methodist Church, Holcombe Lane, Bathampton, BA2 6JD",Recommendations for alternative venues welcomed,North East Somerset
Bathavon North,N-BN3,2112,333,1779,"Batheaston Youth Club, School Lane, Batheaston, BA1 7EP",NO CHANGE,North East Somerset
Bathavon North,N-BN4,225,47,178,"Lansdown and Langridge Village Hall, Langridge Lane, Bath, BA1 9BX",Recommendations for alternative venues welcomed,North East Somerset
Bathavon North,N-BN4,132,25,107,"Weston Free Church (Moravian Church), High Street, Upper Weston, Bath, BA1 4DB",Recommendations for alternative venues welcomed,North East Somerset
Bathavon North,N-BN5,84,20,64,"The Close, Claverton, BA2 7BG",Recommendations for alternative venues welcomed,North East Somerset
Bathavon North,N-BN6,121,14,107,"Kelston Village Hall, Church Lane, Kelston, BA1 9AG",NO CHANGE,North East Somerset
Bathavon North,N-BN7,70,18,52,"Kelston Village Hall, Church Lane, Kelston, BA1 9AG",NO CHANGE,North East Somerset
Bathavon North,N-BN8,48,13,35,"Batheaston Youth Club, School Lane, Batheaston, BA1 7EP",Recommendations for alternative venues welcomed,North East Somerset
Bathavon North,N-BN9,217,28,189,"The Manor House East, Manor Lane, Upper Swainswick, BA1 8DA",Recommendations for alternative venues welcomed,North East Somerset
Bathavon South,N-BS1,413,59,354,"Freshford Village Memorial Hall, Freshford Lane, Freshford, BA2 7UR",NO CHANGE,North East Somerset
Bathavon South,N-BS2,381,47,334,"Hinton Charterhouse Memorial Hall, High Street, Hinton Charterhouse, BA2 7SW",NO CHANGE,North East Somerset
Bathavon South,N-BS3,274,30,244,"St Michael's Church, Church Lane, Monkton Combe, BA2 7EZ",NO CHANGE,North East Somerset
Bathavon South,N-BS4,342,38,304,"Shoscombe Village Hall, Barn Hill, Shoscombe, BA2 8LZ",NO CHANGE,North East Somerset
Bathavon South,N-BS5,342,43,299,"South Stoke Village Hall, Old School Hill, South Stoke, BA2 7DU",NO CHANGE,North East Somerset
Bathavon South,N-BS6,410,56,354,"Communal Room, Manor Close, Wellow, BA2 8RA",Recommendations for alternative venues welcomed,North East Somerset
Bathavon West,N-BW1,498,80,418,"Camerton Community Centre, Meadgate, Camerton, BA2 0NL",NO CHANGE,North East Somerset
Bathavon West,N-BW2,125,14,111,"Combe Hay Parish Church, Backy Hill, Combe Hay, BA2 7EG",NO CHANGE,North East Somerset
Bathavon West,N-BW3A,198,39,159,"Dunkerton Parish Hall, The Hollow, Dunkerton, BA2 8BG",NO CHANGE,North East Somerset
Bathavon West,N-BW3B,212,17,195,"Tunley Recreation Centre, Bath Road, Tunley, BA2 8BA",NO CHANGE,North East Somerset
Bathavon West,N-BW4,240,44,196,"The Salem Christian Centre (The Old School), Englishcombe, BA2 9DT",NO CHANGE,North East Somerset
Bathavon West,N-BW5/1,133,16,117,"Parish Room, Village Road, Newton St Loe, BA2 9BT",NO CHANGE,North East Somerset
Bathavon West,N-BW5/2,77,1,76,"Students Union, Bath Spa University, Newton Park, Newton St Loe, BA2 9BW",NO CHANGE,North East Somerset
Bathavon West,N-BW6,216,24,192,"Priston Village Hall, High Street, Priston, BA2 9EE",NO CHANGE,North East Somerset
Chew Valley North,N-CN1,954,139,815,"The Old School Room, Millennium Hall, Chew Magna, BS40 8SH",NO CHANGE,North East Somerset
Chew Valley North,N-CN2,801,115,686,"St Andrew's Church Hall, Pilgrims Way, Chew Stoke, BS40 8TU",NO CHANGE,North East Somerset
Chew Valley North,N-CN3,203,24,179,"The YDA Hall, Rookery Hill, Norton Malreward, BS39 4EX",NO CHANGE,North East Somerset
