Postcode,Total domestic electricity consumption (kWh),Total number of domestic electricity meters,Mean domestic electricity consumption (kWh per meter),Median domestic electricity consumption (kWh per meter),Publication Date,Postcode Centroid Latitude,Postcode Centroid Longitude,Postcode Centroid,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
BA1 1AQ,27580.9,19,1452,1435,26/03/2015,51.378844,-2.359209,"(51.378844, -2.359209)",35,21,13,7,1
BA1 1AR,40928.4,27,1516,1536,26/03/2015,51.378376,-2.359191,"(51.378376, -2.359191)",35,21,13,7,1
BA1 1AU,70466.4,50,1409,1382,26/03/2015,51.378866,-2.357873,"(51.378866, -2.357873)",35,21,13,7,1
BA1 1AW,15455.4,10,1546,1629,26/03/2015,51.384109,-2.360558,"(51.384109, -2.360558)",35,20,11,7,1
BA1 1BA,50043.6,6,8341,6657,26/03/2015,51.383183,-2.360336,"(51.383183, -2.360336)",35,20,11,7,1
BA1 1BG,24569.2,6,4095,4308,26/03/2015,51.383176,-2.359703,"(51.383176, -2.359703)",35,20,11,7,1
BA1 1BP,69971.4,9,7775,5650,26/03/2015,51.382794,-2.361267,"(51.382794, -2.361267)",35,20,11,7,1
BA1 1DE,73093.6,14,5221,4117,26/03/2015,51.384149,-2.362125,"(51.384149, -2.362125)",35,20,11,7,1
BA1 1DG,52524.9,13,4040,4471,26/03/2015,51.384573,-2.361582,"(51.384573, -2.361582)",35,20,11,7,1
BA1 1DN,15375.4,9,1708,1492,26/03/2015,51.38399,-2.361218,"(51.38399, -2.361218)",35,20,11,7,1
BA1 1EA,72622.5,17,4272,3802,26/03/2015,51.381795,-2.361316,"(51.381795, -2.361316)",35,20,10,7,1
BA1 1EB,27611.7,9,3068,3332,26/03/2015,51.380542,-2.362427,"(51.380542, -2.362427)",35,20,14,7,1
BA1 1EL,75955.3,8,9494,5960,26/03/2015,51.381589,-2.361041,"(51.381589, -2.361041)",35,20,10,7,1
BA1 1EP,19405.8,9,2156,1876,26/03/2015,51.381479,-2.361917,"(51.381479, -2.361917)",35,20,10,7,1
BA1 1EQ,53433,13,4110,3905,26/03/2015,51.381336,-2.361413,"(51.381336, -2.361413)",35,20,10,7,1
BA1 1ER,194870.4,25,7795,8301,26/03/2015,51.381913,-2.361102,"(51.381913, -2.361102)",35,20,10,7,1
BA1 1HJ,140502.3,28,5018,4457,26/03/2015,51.382464,-2.363132,"(51.382464, -2.363132)",34,55,193,9,1
BA1 1HL,59278.3,18,3293,2466,26/03/2015,51.382453,-2.363678,"(51.382453, -2.363678)",34,55,193,9,1
BA1 1HN,21500.3,6,3583,2027,26/03/2015,51.38273,-2.36447,"(51.38273, -2.36447)",34,55,193,9,1
BA1 1HU,56585.5,17,3329,2681,26/03/2015,51.382367,-2.365315,"(51.382367, -2.365315)",34,55,193,9,1
BA1 1HZ,315974.3,99,3192,2372,26/03/2015,51.380724,-2.367544,"(51.380724, -2.367544)",34,55,195,9,1
BA1 1JH,56593,9,6288,5087,26/03/2015,51.378094,-2.357221,"(51.378094, -2.357221)",35,21,13,7,1
BA1 1JQ,24562.5,11,2233,2151,26/03/2015,51.37911,-2.357257,"(51.37911, -2.357257)",35,21,13,7,1
BA1 1JU,69113.7,14,4937,2239,26/03/2015,51.380259,-2.358028,"(51.380259, -2.358028)",35,20,12,7,1
BA1 1JX,34404.4,8,4301,4152,26/03/2015,51.380287,-2.357568,"(51.380287, -2.357568)",35,21,13,7,1
BA1 1LA,118911,24,4955,2594,26/03/2015,51.380171,-2.357309,"(51.380171, -2.357309)",35,21,13,7,1
BA1 1LN,18121.1,11,1647,1342,26/03/2015,51.381141,-2.357891,"(51.381141, -2.357891)",35,20,12,7,1
BA1 1LY,94915,16,5932,4273,26/03/2015,51.381512,-2.359819,"(51.381512, -2.359819)",35,20,11,7,1
BA1 1NE,28846.9,10,2885,2532,26/03/2015,51.38171,-2.359821,"(51.38171, -2.359821)",35,20,10,7,1
BA1 1NF,16618.8,7,2374,2021,26/03/2015,51.381746,-2.359692,"(51.381746, -2.359692)",35,20,10,7,1
BA1 1NL,20696.8,8,2587,1419,26/03/2015,51.380769,-2.358664,"(51.380769, -2.358664)",35,20,12,7,1
BA1 1NN,41998.4,9,4666,1693,26/03/2015,51.380769,-2.35898,"(51.380769, -2.35898)",35,20,12,7,1
BA1 1NR,50624.2,8,6328,6586,26/03/2015,51.380742,-2.358923,"(51.380742, -2.358923)",35,20,12,7,1
BA1 1NS,125459.8,21,5974,1506,26/03/2015,51.380429,-2.358187,"(51.380429, -2.358187)",35,20,12,7,1
BA1 1NW,41396.6,7,5914,3386,26/03/2015,51.38032,-2.358718,"(51.38032, -2.358718)",35,20,12,7,1
BA1 1QE,4893.5,7,699,103,26/03/2015,51.380487,-2.359783,"(51.380487, -2.359783)",35,20,12,7,1
BA1 1QN,286349.1,42,6818,5084,26/03/2015,51.381016,-2.36039,"(51.381016, -2.36039)",35,20,10,7,1
BA1 1SJ,21161.2,9,2351,2298,26/03/2015,51.380338,-2.361549,"(51.380338, -2.361549)",35,20,12,7,1
BA1 1SL,37722.8,32,1179,1074,26/03/2015,51.380598,-2.361766,"(51.380598, -2.361766)",35,20,14,7,1
BA1 1TQ,15543.1,8,1943,1792,26/03/2015,51.379406,-2.36055,"(51.379406, -2.36055)",35,20,14,7,1
BA1 1UH,278461.4,44,6329,5102,26/03/2015,51.379369,-2.360765,"(51.379369, -2.360765)",35,20,14,7,1
BA1 1UL,101960.6,29,3516,1947,26/03/2015,51.379314,-2.36111,"(51.379314, -2.36111)",35,20,14,7,1
BA1 1UQ,67878.6,8,8485,7780,26/03/2015,51.379701,-2.361142,"(51.379701, -2.361142)",35,20,14,7,1
BA1 1US,86377.4,19,4546,4056,26/03/2015,51.380267,-2.364163,"(51.380267, -2.364163)",34,55,196,9,1
BA1 1UT,106948.3,17,6291,5406,26/03/2015,51.380025,-2.36396,"(51.380025, -2.36396)",34,55,196,9,1
BA1 1UX,26531.9,8,3316,2083,26/03/2015,51.380374,-2.364294,"(51.380374, -2.364294)",34,55,196,9,1
BA1 1XA,127738.7,32,3992,3475,26/03/2015,51.379797,-2.364749,"(51.379797, -2.364749)",34,55,196,9,1
BA1 1XB,149429.7,32,4670,3877,26/03/2015,51.380291,-2.365069,"(51.380291, -2.365069)",34,55,196,9,1
BA1 1XD,75950.8,27,2813,2509,26/03/2015,51.379957,-2.365497,"(51.379957, -2.365497)",34,55,195,9,1
BA1 2AA,39353.7,10,3935,3692,26/03/2015,51.381464,-2.363641,"(51.381464, -2.363641)",34,55,194,9,1
BA1 2AG,121082,22,5504,4520,26/03/2015,51.381272,-2.364718,"(51.381272, -2.364718)",34,55,194,9,1
BA1 2AH,151516.3,47,3224,2611,26/03/2015,51.381967,-2.363832,"(51.381967, -2.363832)",34,55,194,9,1
BA1 2AP,59691.6,9,6632,6381,26/03/2015,51.382469,-2.364468,"(51.382469, -2.364468)",34,55,193,9,1
BA1 2AQ,239922.4,52,4614,3522,26/03/2015,51.38166,-2.364333,"(51.38166, -2.364333)",34,55,194,9,1
BA1 2AR,36512.5,8,4564,4519,26/03/2015,51.382609,-2.365533,"(51.382609, -2.365533)",34,115,212,9,1
BA1 2AS,16039.2,6,2673,2575,26/03/2015,51.382609,-2.365533,"(51.382609, -2.365533)",34,115,212,9,1
BA1 2AU,31083.1,8,3885,3191,26/03/2015,51.383223,-2.367722,"(51.383223, -2.367722)",34,115,212,9,1
BA1 2AX,56731.5,15,3782,3600,26/03/2015,51.383301,-2.368542,"(51.383301, -2.368542)",34,115,210,9,1
BA1 2AZ,41923.7,13,3225,2525,26/03/2015,51.383344,-2.369376,"(51.383344, -2.369376)",34,115,210,9,1
BA1 2BA,155156.3,29,5350,5222,26/03/2015,51.383342,-2.369864,"(51.383342, -2.369864)",34,115,209,9,1
BA1 2BD,29702.2,13,2285,2702,26/03/2015,51.383472,-2.371374,"(51.383472, -2.371374)",34,115,209,9,1
BA1 2BE,219928.5,61,3605,2710,26/03/2015,51.382317,-2.369827,"(51.382317, -2.369827)",34,115,211,9,1
BA1 2BG,172360.3,36,4788,3477,26/03/2015,51.382858,-2.369386,"(51.382858, -2.369386)",34,115,211,9,1
BA1 2BH,38612.4,16,2413,1586,26/03/2015,51.383123,-2.367951,"(51.383123, -2.367951)",34,115,212,9,1
BA1 2BJ,55115.1,13,4240,2509,26/03/2015,51.383088,-2.367793,"(51.383088, -2.367793)",34,115,212,9,1
BA1 2BL,453328,129,3514,2676,26/03/2015,51.382497,-2.366998,"(51.382497, -2.366998)",34,55,192,9,1
BA1 2BN,265916.7,70,3799,2653,26/03/2015,51.382722,-2.366928,"(51.382722, -2.366928)",34,115,212,9,1
BA1 2BP,113495.9,36,3153,2064,26/03/2015,51.382076,-2.369164,"(51.382076, -2.369164)",34,115,211,9,1
BA1 2BQ,420314,120,3503,2641,26/03/2015,51.383219,-2.368943,"(51.383219, -2.368943)",34,115,210,9,1
BA1 2BT,24605.4,10,2461,2084,26/03/2015,51.382315,-2.367542,"(51.382315, -2.367542)",34,55,195,9,1
BA1 2ED,41258.9,10,4126,3421,26/03/2015,51.385275,-2.361229,"(51.385275, -2.361229)",35,22,4,7,1
BA1 2EE,70713,12,5893,2922,26/03/2015,51.385183,-2.361918,"(51.385183, -2.361918)",35,22,4,7,1
BA1 2EH,55116.2,12,4593,3255,26/03/2015,51.384542,-2.362775,"(51.384542, -2.362775)",35,22,4,7,1
BA1 2ER,31569.7,8,3946,3695,26/03/2015,51.38629,-2.364571,"(51.38629, -2.364571)",35,22,23,7,1
BA1 2ES,39157.6,12,3263,3143,26/03/2015,51.386426,-2.364241,"(51.386426, -2.364241)",35,22,21,7,1
BA1 2ET,37700,17,2218,1844,26/03/2015,51.386409,-2.363767,"(51.386409, -2.363767)",35,22,25,7,1
BA1 2EU,220631.4,48,4596,3471,26/03/2015,51.385736,-2.363359,"(51.385736, -2.363359)",35,22,25,7,1
BA1 2EW,151588.6,31,4890,2396,26/03/2015,51.385526,-2.36445,"(51.385526, -2.36445)",35,22,21,7,1
BA1 2HX,27461.9,10,2746,2152,26/03/2015,51.383909,-2.363977,"(51.383909, -2.363977)",34,55,193,9,1
BA1 2JR,43029.8,15,2869,3194,26/03/2015,51.384318,-2.362615,"(51.384318, -2.362615)",35,22,4,7,1
BA1 2JS,24073.4,6,4012,3874,26/03/2015,51.383358,-2.361889,"(51.383358, -2.361889)",35,20,11,7,1
BA1 2LJ,16388.5,6,2731,2204,26/03/2015,51.386209,-2.364699,"(51.386209, -2.364699)",35,22,23,7,1
BA1 2LN,282602.6,55,5138,3718,26/03/2015,51.386306,-2.365318,"(51.386306, -2.365318)",35,22,23,7,1
BA1 2LP,115713.5,31,3733,2966,26/03/2015,51.386655,-2.365752,"(51.386655, -2.365752)",35,22,23,7,1
BA1 2LR,324873.1,62,5240,2856,26/03/2015,51.387055,-2.367235,"(51.387055, -2.367235)",34,115,200,9,1
BA1 2LT,318517.2,67,4754,2824,26/03/2015,51.38739,-2.36925,"(51.38739, -2.36925)",34,115,201,9,1
BA1 2LW,216756.5,41,5287,3531,26/03/2015,51.38623,-2.366367,"(51.38623, -2.366367)",35,22,23,7,1
BA1 2LX,266316.3,77,3459,2614,26/03/2015,51.386523,-2.370508,"(51.386523, -2.370508)",34,115,205,9,1
BA1 2LY,284386,90,3160,2473,26/03/2015,51.387721,-2.369971,"(51.387721, -2.369971)",34,115,201,9,1
BA1 2NA,106267,21,5060,4148,26/03/2015,51.383961,-2.370243,"(51.383961, -2.370243)",34,115,209,9,1
BA1 2NB,152685.6,30,5090,4736,26/03/2015,51.383599,-2.368156,"(51.383599, -2.368156)",34,115,209,9,1
BA1 2ND,100621.9,18,5590,3103,26/03/2015,51.383201,-2.36627,"(51.383201, -2.36627)",34,115,212,9,1
BA1 2NE,91857.2,21,4374,2618,26/03/2015,51.383425,-2.366488,"(51.383425, -2.366488)",34,55,193,9,1
BA1 2NJ,237974.3,48,4958,2842,26/03/2015,51.383915,-2.365055,"(51.383915, -2.365055)",34,55,193,9,1
BA1 2NQ,91812.1,22,4173,2237,26/03/2015,51.384696,-2.370982,"(51.384696, -2.370982)",34,115,205,9,1
BA1 2PH,163213.4,26,6277,5047,26/03/2015,51.3848,-2.363826,"(51.3848, -2.363826)",35,22,25,7,1
BA1 2PR,276588.4,75,3688,2178,26/03/2015,51.387427,-2.36606,"(51.387427, -2.36606)",35,22,20,7,1
BA1 2PS,53903,12,4492,4478,26/03/2015,51.386961,-2.365826,"(51.386961, -2.365826)",35,22,20,7,1
BA1 2PT,81942.7,20,4097,3366,26/03/2015,51.386824,-2.3664,"(51.386824, -2.3664)",35,22,23,7,1
BA1 2PU,48989.9,12,4082,3390,26/03/2015,51.38765,-2.366809,"(51.38765, -2.366809)",34,115,200,9,1
BA1 2PW,125288.6,45,2784,2077,26/03/2015,51.387064,-2.364491,"(51.387064, -2.364491)",35,22,21,7,1
BA1 2PZ,151020.4,49,3082,2062,26/03/2015,51.387762,-2.365344,"(51.387762, -2.365344)",35,22,20,7,1
BA1 2QA,296735.6,92,3225,2238,26/03/2015,51.38756,-2.364006,"(51.38756, -2.364006)",35,22,18,7,1
BA1 2QB,49694,13,3823,2087,26/03/2015,51.387357,-2.362768,"(51.387357, -2.362768)",35,22,18,7,1
BA1 2QE,56820.7,28,2029,1571,26/03/2015,51.386718,-2.36295,"(51.386718, -2.36295)",35,22,25,7,1
BA1 2QF,212177.8,65,3264,2184,26/03/2015,51.387069,-2.362694,"(51.387069, -2.362694)",35,22,21,7,1
BA1 2QL,227677,41,5553,2484,26/03/2015,51.386829,-2.361931,"(51.386829, -2.361931)",35,22,22,7,1
BA1 2QN,74587.4,16,4662,2647,26/03/2015,51.386318,-2.361524,"(51.386318, -2.361524)",35,22,4,7,1
BA1 2QP,16236.2,6,2706,1310,26/03/2015,51.386325,-2.362027,"(51.386325, -2.362027)",35,22,25,7,1
BA1 2QQ,113959.9,24,4748,4366,26/03/2015,51.386541,-2.361828,"(51.386541, -2.361828)",35,22,25,7,1
BA1 2QR,26107.6,8,3263,2616,26/03/2015,51.385595,-2.36251,"(51.385595, -2.36251)",35,22,4,7,1
BA1 2QS,28224.1,6,4704,2467,26/03/2015,51.385099,-2.362894,"(51.385099, -2.362894)",35,22,4,7,1
BA1 2QU,127223.9,45,2827,2270,26/03/2015,51.385885,-2.361693,"(51.385885, -2.361693)",35,22,4,7,1
BA1 2QW,78544.1,19,4134,2292,26/03/2015,51.38709,-2.361645,"(51.38709, -2.361645)",35,22,22,7,1
BA1 2QX,118059.5,33,3578,2709,26/03/2015,51.385784,-2.36244,"(51.385784, -2.36244)",35,22,4,7,1
BA1 2RB,60505.1,17,3559,2647,26/03/2015,51.387851,-2.362801,"(51.387851, -2.362801)",21,2,249,7,1
BA1 2RD,17866.1,8,2233,1452,26/03/2015,51.388228,-2.363149,"(51.388228, -2.363149)",21,2,247,7,1
BA1 2RF,49534.9,8,6192,1362,26/03/2015,51.387476,-2.361893,"(51.387476, -2.361893)",21,2,249,7,1
BA1 2RG,14358,7,2051,2086,26/03/2015,51.387751,-2.363116,"(51.387751, -2.363116)",21,2,249,7,1
BA1 2RJ,62889.7,36,1747,1620,26/03/2015,51.388598,-2.362778,"(51.388598, -2.362778)",21,2,247,7,1
BA1 2RL,106236.1,22,4829,3342,26/03/2015,51.388166,-2.362789,"(51.388166, -2.362789)",21,2,249,7,1
BA1 2RP,137511.2,61,2254,2128,26/03/2015,51.389315,-2.363416,"(51.389315, -2.363416)",21,2,248,7,1
BA1 2RQ,68251.3,34,2007,1899,26/03/2015,51.387277,-2.36225,"(51.387277, -2.36225)",35,22,22,7,1
BA1 2RR,58019.8,26,2232,2048,26/03/2015,51.389001,-2.363284,"(51.389001, -2.363284)",21,2,248,7,1
BA1 2RS,13132.3,6,2189,2146,26/03/2015,51.387758,-2.363979,"(51.387758, -2.363979)",35,22,18,7,1
BA1 2RU,206238.1,73,2825,2026,26/03/2015,51.389338,-2.364609,"(51.389338, -2.364609)",21,2,246,7,1
BA1 2RW,121636.8,59,2062,1893,26/03/2015,51.388261,-2.363968,"(51.388261, -2.363968)",21,2,247,7,1
BA1 2RY,68364.1,18,3798,2131,26/03/2015,51.388989,-2.364118,"(51.388989, -2.364118)",21,2,248,7,1
BA1 2RZ,60290.7,21,2871,2053,26/03/2015,51.389013,-2.364909,"(51.389013, -2.364909)",21,2,248,7,1
BA1 2SA,149214.7,50,2984,1917,26/03/2015,51.388557,-2.364287,"(51.388557, -2.364287)",21,2,247,7,1
BA1 2SB,51798,13,3984,3763,26/03/2015,51.388834,-2.36485,"(51.388834, -2.36485)",21,2,246,7,1
BA1 2SE,31249.8,7,4464,2965,26/03/2015,51.387774,-2.364626,"(51.387774, -2.364626)",35,22,18,7,1
BA1 2SF,15106.9,11,1373,1547,26/03/2015,51.388617,-2.365293,"(51.388617, -2.365293)",21,2,246,7,1
BA1 2SH,26575.5,9,2953,2422,26/03/2015,51.388858,-2.365784,"(51.388858, -2.365784)",34,115,199,9,1
BA1 2SL,275490.1,64,4305,2919,26/03/2015,51.388551,-2.366141,"(51.388551, -2.366141)",34,115,199,9,1
BA1 2SN,124583.2,22,5663,3895,26/03/2015,51.388927,-2.366589,"(51.388927, -2.366589)",34,115,199,9,1
BA1 2SP,25346.5,6,4224,3302,26/03/2015,51.383395,-2.370296,"(51.383395, -2.370296)",34,115,209,9,1
BA1 2SQ,60050,17,3532,2927,26/03/2015,51.387908,-2.36477,"(51.387908, -2.36477)",35,22,18,7,1
BA1 2SS,30785.7,11,2799,3103,26/03/2015,51.389568,-2.365948,"(51.389568, -2.365948)",21,2,246,7,1
BA1 2ST,56943.8,12,4745,3863,26/03/2015,51.390027,-2.36565,"(51.390027, -2.36565)",21,2,246,7,1
BA1 2SU,54995.5,13,4230,3213,26/03/2015,51.390467,-2.365797,"(51.390467, -2.365797)",21,2,242,7,1
BA1 2SW,45268.5,11,4115,3845,26/03/2015,51.388956,-2.366158,"(51.388956, -2.366158)",34,115,199,9,1
BA1 2SX,52860.5,19,2782,1932,26/03/2015,51.389583,-2.366724,"(51.389583, -2.366724)",34,115,199,9,1
BA1 2SZ,49683.7,15,3312,3624,26/03/2015,51.389895,-2.367704,"(51.389895, -2.367704)",34,115,198,9,1
BA1 2TB,88045.2,26,3386,2459,26/03/2015,51.389828,-2.368867,"(51.389828, -2.368867)",34,115,198,9,1
BA1 2TD,63547.3,18,3530,2459,26/03/2015,51.389874,-2.368508,"(51.389874, -2.368508)",34,115,198,9,1
