ExtractDate,OrganisationURI,OrganisationLabel,CaseReference,CaseDate,ServiceTypeURI,ServiceTypeLabel,PremisesName,LocationText,Postcode,EntertainmentTypeURI,EntertainmentTypeLabel,LateNightRefreshment,AlcoholSupply,StatusURI,StatusLabel,LicenceStartDate,LicenceEndDate,Conditions,DecisionDate,LicenceURL,UPRN,GeoPointLicensingURL
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,05/01215/LAPREC,04/03/2005,http://id.esd.org.uk/service/646,Club Premises Certificate,Royal British Legion - Whitchurch & Pensford,Staunton Lane| Whitchurch| Bristol| BS14  0QF,BS140QF,http://id.esd.org.uk/entertainment/7|http://id.esd.org.uk/entertainment/5,Performances of dance|Live music,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,24/11/2005,,Alcohol Pricing|Door Supervision|Standard PEL Terms and Conditions,16/05/2005,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='05/01215/LAPREC'&SearchLayer=LIApplications&SearchField=refval&SearchValue=05/01215/LAPREC,Not Known,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,05/01306/LAPRE,10/03/2005,http://id.esd.org.uk/service/860,Premises Licence,Tasburgh House Hotel,Warminster Road| Bathampton| Bath| BA2  6SH,BA26SH,,,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,24/11/2005,,Alcohol DPS|Alcohol Pricing|Extra Restaurant Conditions|Hours - Restaurant and Residential,08/08/2005,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='05/01306/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=05/01306/LAPRE,Not Known,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,05/01314/LAPRE,10/03/2005,http://id.esd.org.uk/service/860,Premises Licence,Tandoori Garden,45 High Street| Keynsham| Bristol| BS31 1DS,BS311DS,,,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,24/11/2005,,Alcohol DPS|Alcohol Pricing|Hours - Restaurant and Residential,16/05/2005,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='05/01314/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=05/01314/LAPRE,Not Known,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,05/01318/LAPRE,17/03/2005,http://id.esd.org.uk/service/860,Premises Licence,Rajpoot Tandoori,4 Argyle Street| Bathwick| Bath| BA2  4BA,BA24BA,,,TRUE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,24/11/2005,,Alcohol Pricing|Hours - Restaurant and Residential,25/06/2005,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='05/01318/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=05/01318/LAPRE,10001137515,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,05/01413/LAPRE,04/04/2005,http://id.esd.org.uk/service/860,Premises Licence,Bengal Brasserie,32 Milsom Street| Bath| BA1  1DG,BA11DG,,,TRUE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,06/05/2009,,Alcohol DPS|Alcohol Pricing|Door Supervision|Extra Alcohol ON Conditions from 2010|Hours - Restaurant and Residential,25/06/2005,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='05/01413/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=05/01413/LAPRE,10001136996,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,05/01452/LAPRE,11/04/2005,http://id.esd.org.uk/service/860,Premises Licence,Mumford's Vineyard,Shockerwick Lane| Bathford| Bath| BA1  7LQ,BA17LQ,,,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,24/11/2005,,Alcohol DPS|Hours - Off Licence,16/05/2005,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='05/01452/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=05/01452/LAPRE,Not Known,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,05/01454/LAPRE,11/04/2005,http://id.esd.org.uk/service/860,Premises Licence,Bathampton Village Hall,Holcombe Lane| Bathampton| Bath| BA2  6UL,BA26UL,http://id.esd.org.uk/entertainment/7|http://id.esd.org.uk/entertainment/5|http://id.esd.org.uk/entertainment/6,Performances of dance|Live music|Recorded music,FALSE,FALSE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,24/11/2005,,Standard PEL Terms and Conditions,16/05/2005,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='05/01454/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=05/01454/LAPRE,10001143300,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,05/01526/LAPRE,19/04/2005,http://id.esd.org.uk/service/860,Premises Licence,Victoria Hotel,Millmead Road| Oldfield Park| Bath| BA2  3JW,BA23JW,,,FALSE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,24/11/2005,,Alcohol DPS|Alcohol Pricing|Hours - On Licence,16/05/2005,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='05/01526/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=05/01526/LAPRE,Not Known,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,05/01558/LAPRE,22/04/2005,http://id.esd.org.uk/service/860,Premises Licence,Apple Tree Inn,Rag Hill| Shoscombe| BA2  8LS,BA28LS,http://id.esd.org.uk/entertainment/2|http://id.esd.org.uk/entertainment/5|http://id.esd.org.uk/entertainment/6,Films|Live music|Recorded music,TRUE,TRUE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,24/11/2005,,Alcohol DPS|Alcohol Pricing|Door Supervision|Extra Alcohol ON Conditions from 2010|Films,23/06/2005,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='05/01558/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=05/01558/LAPRE,10001143895,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
17/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset ,Bath and North East Somerset,05/01568/LAPRE,25/04/2005,http://id.esd.org.uk/service/860,Premises Licence,Hillside Hall,Hillside Road| Moorlands| Bath| BA2  3NX,BA23NX,http://id.esd.org.uk/entertainment/7|http://id.esd.org.uk/entertainment/5|http://id.esd.org.uk/entertainment/6,Performances of dance|Live music|Recorded music,FALSE,FALSE,http://id.esd.org.uk/premisesLicenceStatus/1 ,Approved,24/11/2005,,Door Supervision|Standard PEL Terms and Conditions,25/07/2005,http://isharemaps.bathnes.gov.uk/projects/bathnes/licensing/default.aspx?requesttype=parsetemplate&template=LicenceApplication.tmplt&basepage=default.aspx&Filter=^REFVAL^='05/01568/LAPRE'&SearchLayer=LIApplications&SearchField=refval&SearchValue=05/01568/LAPRE,Not Known,http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf 
