Reference,Title,Description,Date,UnveilingYear,UnveilingDetails,Statement,Material,Inscription,History,Notes,WebsiteUrl,Height,Width,Depth,Diameter,SurfaceCondition,StructuralCondition,Address,Location,Lat,Lng,Categories,Artist1_Name,Artist1_Biography,Artist1_WebsiteUrl,Artist1_StartYear,Artist1_EndYear,Artist1_Notes,Artist2_Name,Artist2_Biography,Artist2_WebsiteUrl,Artist2_StartYear,Artist2_EndYear,Artist2_Notes,Artist3_Name,Artist3_Biography,Artist3_WebsiteUrl,Artist3_StartYear,Artist3_EndYear,Artist3_Notes,Artist4_Name,Artist4_Biography,Artist4_WebsiteUrl,Artist4_StartYear,Artist4_EndYear,Artist4_Notes,Artist5_Name,Artist5_Biography,Artist5_WebsiteUrl,Artist5_StartYear,Artist5_EndYear,Artist5_Notes,Artist6_Name,Artist6_Biography,Artist6_WebsiteUrl,Artist6_StartYear,Artist6_EndYear,Artist6_Notes,ImageFileNames,ImageCaptions,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
BA119,City Trail by Way of Walcot,Stone slab with the inscription below,2002,2002,A special ceremony was organised to celebrate the extension of the City Trail pavers to Walcot.,The City trail by Way of Walcot is a walk around the World Heritage Site of Bath with pavement markers to guide visitors through the less frequented streets to most of the major sites of interest.,Stone carving,"Example: By Way of Walcot, Cornmarket and Beehive Yard, City XIV trail",City Trail was developed by Triptych for B&NES Council. A small illustrated guide of the trail is produced and sold by B&NES Council. It is available from the Tourist Information Centre.,,,60,20,,,Fair,Fair,"Bath, Walcot Street, Saracen Street, the Paragon  BA1 5BE, BA1 5BN and BA1 5AX, BA1 5BR","(51.3846, -2.35999)",51.3846,-2.35999,,Pat Panton,,,,,text,Paul Cresswell,,,,,text,Peter McLennan,,,,,incised street markers,,,,,,,,,,,,,,,,,,,BA119-a.jpg|BA119-b.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,35,11,7,1,20
BA54,Dance studio stained glass,Abstract square window with swirls suggesting movements.,2003,2003,The dance studio with the stained glass and stainless steel sculpture at the front of the building were unveiled by the Mayor of Bath.,An abstract piece conveying movement.,Stained glass,,The window was funded through the ‘1% for art’ scheme as part of the building of the Gilchrist dance studio.,"Access to the piece is by appointment, please contact the school to arrange a visit. See also Meryl Stannard’s The Dove and the Jackie Jones Window at the University of Bath, Bath",,87,80,,,Very good,Very good,"St Gregory’s Catholic College, Dance studio entrance, Combe Hay Lane Odd Down Bath BA2 8PA","(51.3535, -2.38219)",51.3535,-2.38219,Abstract|Sculpture,Meryl Stannard,Meryl trained as a ballet dancer but an injury curtailed her career and she retrained in stained glass between 1976-1978 at the Central School of Arts. She has been teaching stained glass since 1981 in London and the South West. Examples of her work can be seen in permanent collections at Kew and the University of Bath.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA54-a.jpg,Copyright: Bath and North East Somerset,30,327,19,1,61
BA108,Donation Box,"The cabinet is made of four sections stacked on top of each other. Each element and the characters are made of wood. The base where money is slotted in and collected has painted instructions for use and details about the piece. The mid section represents a painter’s studio interior and is made of bow glass windows. An animated painter, Thomas Barker of Bath (1767-1847), is seated in front of an easel painting the portrait of Priscilla Jones. The section above accommodates brightly coloured angels holding a paint brush and pointing skyward and downward. The crown of the cabinet is a merry-go-round with the following animals: a dog, an ostrich, a crocodile, a chicken, a camel and a goose. When money is inserted the painter is animated and puts brush to canvas and the merry-go-round turns round.",1997,1997,The box was unveiled on 18 October 1997 to coincide with the centenary of the laying of the foundation stone of the Victoria Art Gallery.,"The figures and animals relate to works of art in the Victoria Art Gallery collection. Race tries to make pieces which move in simple but interesting ways: traditional moving toys have influenced him strongly, and he has travelled in Europe, Indonesia, Mexico, India and Japan in search of them. His moving toys and simple automata incorporate a wide range of natural, re-used and recycled materials.  Much recent work is in driftwood. (Adapted from Robert Race’s website www.robertrace.co.uk).",Wood; paint; metal; brush; paper,,"The Friends of the Victoria Art Gallery commissioned Robert Race to produce a piece to commemorate the centenary of the Gallery, for which foundation stone was laid on 18 October 1897.",,,200,70,50,,Good,Good,"Victoria Art Gallery: first landing of the main staircase, Bridge Street, BA2 4AT","(51.3829, -2.35844)",51.3829,-2.35844,Figurative|Sculpture,Robert Race,"Robert Race has been a toy maker since the late 1970s Starting with dolls’ houses and miniature furniture he has subsequently concentrated on moving toys and simple automata, which have been widely exhibited in Britain, Europe and beyond. Since 1991 he has been an active member of the British Toymakers'' Guild, and was Chairman from 2003 to 2006. In September 2005 he appeared at Expo 2005 Aichi, Japan as a specially invited guest of the World Karakuri Contest. Commissions have included exhibition design for ''Transformations - the Art of Recycling'' at the Pitt Rivers Museum, Oxford (March 2000-Sept 2002), a collection of Victorian optical toys for Sutton House, Hackney (National Trust), and mechanical donation boxes for Black Swan Arts, Frome; Salisbury Playhouse and Dorset County Hospital in Dorchester.",http://www.robertrace.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA108-a.jpg|BA108-b.jpg|BA108-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,35,11,7,1,20
BA160,Mosaic Bench,"A large bench with a wooden plank for seating and mosaic over the bench’s back and forearms. The background is light green with flowers and animals such as a butterfly, a frog and dragonfly. The bench is in very bad condition and large parts of the mosaic are missing including the forearms that used to be shaped in the form of frogs’ heads.",2005,2005,A small community event was organised.,The bench was commissioned when the pond was created to provide a lively seating area for visitors.,Mosaic and wood,,Mosaic Bench was designed and produced by the artist and Bath City Farm visitors. Bath City Farm is hoping to secure funding to repair the mosaic.,,,65,278,,,"Very poor, large sections of the mosaic are missing, other are chipped.",Very poor. Forearms have been sectioned and the wooden plank is cracked.,"Bath City Farm, pond next to the Pig’s area, Kelston View, Whiteway, Bath BA2 1NW","(51.3758, -2.39737)",51.3758,-2.39737,,Kilda Meadows,Kilda is a Play Ranger at the Wansdyke Play Association. She is also a ceramic artist based in the South West.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA160-a.jpg|BA160-b.jpg|BA160-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,28,472,11,1,89
BA37,Guardians of the Heart,"Three coloured glass panels serving as window to the central courtyard depicting a unicorn, a lion and Pegasus. On each mythical figure is engraved the name of donors to the Forever Friends Appeal.",1999,2004,,"''The Guardians of the Heart are here to inspire and encourage all who frequent these corridors, visitors, staff and patients alike.’ John de Mears.",Stained glass,The Unicorn: The Forever Friends Appeal 1999-2000<br>The Lion: The Forever Friends Appeal 2000-2001<br>The Pegasus: The Forever Friends Appeal 2001-2002<br>Also includes individual donors’ names to the Forever Friends Appeal,"The Forever Friends Appeal commissioned John de Mears to create these three pieces to acknowledge and commemorate donors to the Forever Friends Appeal. The name of each donor is included in the glass. The piece is dedicated to Peter Clay, Don Bessant and Jim Chappin. Two more windows have been commissioned and will be added to the courtyard.",,,127,114,,,Very good,Very good,"Royal United Hospital, RUH central, ground floor, centre courtyard left hand side windows, Combe Park, Bath BA1 3NG","(51.3915, -2.3909)",51.3915,-2.3909,Figurative|Other,John de Mears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA37-a.jpg|BA37-b.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,29,316,8,1,16
BA126,Church of Good Shepherd Window,"Two large windows meeting at an angle at the centre of the church building, spreading diagonally on either side and slightly curved at the top where it meets the roof. Main colours are purple, yellow, green and blue.",1967,1967,The church was opened in August 1967 by Bishop J. Rudderham.,,Perspex,,The window was created with the building using the latest suspended roof technique at the time.  It was re-roofed and re-opened in October 1992 by Bishop Mervyn Alexander.,,,600,1100,,,Good,Good,"Batheaston, Church of Good Shepherd, Above the Altar, Northend, Bath BA1 7EN","(51.4075, -2.32011)",51.4075,-2.32011,,Martin Fisher,Martin Fisher is an artist who became an architect. He designed this church window as well as the church itself. His other architectural works can be seen in Frome (St Catharine’s Church) and in Combe Down in Bath (St Peter and St Paul’s church).,,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA126-a.jpg|BA126-b.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,1,35,10,1,23
BA175,Last Night I Dreamt I was Flying,"Against a light blue background and spanning across several boards, a fox is flying towards the sky, leaving behind him a long trail of colourful stars and the words ‘Last Night I Dreamt I was Flying’",2009,,,The artist produced the painting to embellish the hoardings,Stencilled sprayed paint on wooden hoardings,Last Night I Dreamt I was Flying,"The artist approached Westmark, the developers who own the land behind the hoardings and suggested the artwork. Alex worked with a group of thirty parents, young children and teenagers over a two week period to produce the piece.",,,200,2000,,,Good,Good with wood chipped in parts,"Bath, Upper Bristol Road and Windsor Bridge Road, Bath BA1 3BD","(51.3847, -2.38164)",51.3847,-2.38164,Figurative|Painting,Alex Ramsay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA175-a.jpg|BA175-b.jpg|BA175-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,34,206,9,1,54
BA102,"Brayford Water, Lincoln","Abstract black wheels and cogs against a grey-blue background, framed",,,,,"Oil or acrylic on canvas, framed",Signature of the artist,Purchased by the University of Bath.,(Formerly recorded as ''Untitled''),,60,85,,,Good,,"University of Bath: Library level 4-5, West Staircase, University of Bath, The Parade, Claverton Down, Bath, BA2 7AY","(51.38, -2.32788)",51.38,-2.32788,Painting,Patricia Laing,,,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA102-a.jpg,Copyright: Bath and North East Somerset,22,580,12,1,29
CM128,Untitled,A spiralling round head with leaf patterns suggesting a flowering bud is resting on a textured stone block.,1999,1999,"Unveiled by the parents of the deceased, staff and children of the school","The sculpture is a memorial dedicated to Gavin Hawkins and Alex Lee, sixth formers at the school who died in a car accident. The theme of the sculpture is rebirth.",Sculpture: Indiana limestone <br>Base: bricks and mortar,Tindall,"Friends of the deceased collected money and commissioned Tindall to make the sculpture. He chose the theme of re-birth after talking to the children, the staff and the families. Tindall also organised stone carving sessions in which the students took part.","Access to the piece is by appointment, please contact the school to arrange a visit.<br>See also Laurence Tindall’s: Resurrection of Christ, Bath Abbey<br>Fish and Loaves at St Philips and St James Church, Odd Down, Bath<br>Creation Stories and Feeding 5000 at St Philips School, Odd Down, Bath<br>Communication at the RNID Poolemead centre in Bath<br>Pump Room Fountain, The Pump Rooms, Bath<br>What is Heaven Like, St Marks School, Bath<br>Story Mountain at St Julian Primary in Wellow<br>The Temptation of Eve, Combe Grove Country Club, Bath",,120,60,,,Good,Good,"Chew Valley School, school play area, Chew Lane Chew Magna Bristol BS40 8QB","(51.3585, -2.62279)",51.3585,-2.62279,,Laurence Tindall,"Laurence Tindall specialises in Christian art and architecture. He trained as a sculptor at Kingston School of Art between 1969 and 1974. After graduating he worked as a stonemason and trained as a conservator at Wells Cathedral where he worked until 1984. Tindall became a lecturer in Sculpture at Bath Academy of Art from 1980 to 1990. In 1984 he joined the Partner Nimbus Conservation Project, a group of conservators of historical buildings and monuments.",http://www.laurencetindall.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM128-a.jpg,Copyright: Bath and North East Somerset,6,83,21,1,31
BA162,Seating and Eating,"A concrete spiral framed by logs and an outer circle of twenty-one logs serving as seats. The concrete’s surface is incrusted with triangular shaped black stones and scattered with various imprints, some fossils, some casts of children’s drawings and what resembles wheels and cogs.",2001,2001,,"The project remit was to encourage and enable open access to all stages of design, making and installation, and to actively involve the support of the local community. The aim was to create a new and durable public seating and eating artefact. The outer edge of the table is made of tanalised round timbers, driven into the ground in the shape of a gentle and open ammonite helix. Local residents, mainly children, were encouraged and supervised to design and make decorative clay moulds into which coloured cement fondue and stone dust was cast. These motifs and plaques were then inset into the final hand applied top surface of the table. Spiral motifs reminiscent of wrought iron scrollwork were burnt into the wooden sides of the table with a small flame, prior to an anti-graffiti coating being applied. Extract from www.peterosborne.co.uk/publicart.htm#","Wood, concrete, stone",,"The project was funded by a grant from B&NES Council Arts Development, for the Artefacts in the Landscape project. Seating and Eating was the first in a series of projects aimed at revitalising Bath City Farm. Additional funding came from the National Lottery Awards for All. Bath City Farm is hoping to secure funding to repair the piece.",See also Peter Osborne’s Chew Magna Gateway Markers in Chew Magna,,70,500,,,"Poor, traces of moss, lip stick and carved signature on the concrete’s surface.","Poor, a number of logs are cracked open and large sections are missing.","Bath City Farm Garden, Kelston View, Whiteway, Bath BA2 1NW","(51.3758, -2.39737)",51.3758,-2.39737,,Peter Osborne,"Born and educated in Cambridge, Peter developed a strong interest in architecture, and after spending time travelling through North Africa and Central Asia, he worked independently for eighteen years in building conservation, specialising in structural repairs. Architectural ironwork became a particular interest, and between 1988 and 1995 Peter trained in blacksmithing and set up his own forge. He now works from a forge and studio in Somerset, where alongside traditional blacksmithing and conservation work, he also produces both functional and sculptural pieces, for architectural and landscape/garden projects, as well as undertaking commissions for larger site specific work -often public and Community Arts work. Peter uses natural forms as the basis for design, and is particularly interested in combining metals with other media - mortars, glass, mosaic, light, water etc. The organic forms make his work accessible, whilst challenging the public perception of the materials, and their more traditional forms and uses.",http://www.peterosborne.co.uk,,,with children visiting the farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA162-a.jpg|BA162-b.jpg|BA162-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,28,472,11,1,89
