id,easting,northing,latitude,longitude,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
S49,374153.31,164966.67,51.3831533159,-2.372790838,"(51.3831533159, -2.372790838)",33,112,559,12,1
S51,374191.53,164944.78,51.38295824,-2.3722400518,"(51.38295824, -2.3722400518)",33,112,559,12,1
N50,374211.47,164986.18,51.3833313966,-2.371956552,"(51.3833313966, -2.371956552)",34,115,209,9,1
N52,374301.25,164884.97,51.3824254618,-2.3706591295,"(51.3824254618, -2.3706591295)",34,115,211,9,1
N54,374388.17,164787.18,51.3815501336,-2.3694031002,"(51.3815501336, -2.3694031002)",34,55,195,9,1
N56,374409.33,164660.8,51.3804147516,-2.3690899136,"(51.3804147516, -2.3690899136)",34,55,195,9,1
N58,374582.6,164564.73,51.379558762,-2.3665934151,"(51.379558762, -2.3665934151)",34,55,195,9,1
N60,374670.09,164541,51.3793493231,-2.3653346571,"(51.3793493231, -2.3653346571)",34,55,196,9,1
N62,374775.32,164461.8,51.3786419061,-2.3638170673,"(51.3786419061, -2.3638170673)",34,55,196,9,1
N64,374904.55,164392.03,51.3780203252,-2.361955373,"(51.3780203252, -2.361955373)",35,20,14,7,1
S57,375367.18,164286.81,51.3770945991,-2.3553011818,"(51.3770945991, -2.3553011818)",33,111,564,12,1
S63,375388.34,164720.85,51.3809981821,-2.3550273827,"(51.3809981821, -2.3550273827)",35,21,3,7,1
S65,375319.15,164822.06,51.3819051907,-2.356028604,"(51.3819051907, -2.356028604)",35,21,3,7,1
S67,375258.53,164915.85,51.3827458492,-2.3569062028,"(51.3827458492, -2.3569062028)",35,20,11,7,1
