Ref,Description,LocationDescription,Status,Start,End,OrganisationName,TrafficType,Easting,Northing,Latitude,Longitude,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
400256,Drainage Works,The Street whole length,Completed,18/07/2016 12:00:00 AM,01/08/2016 12:00:00 AM,B&NES - Contractor Skanska,Two-Way Signals,355845,156827,51.308835591805241,-2.634845215724995,"(51.30883559180524, -2.634845215724995)",2,6,274,21,1
30015338,leak on sp,",THE LAYS LODGE,",Completed,29/07/2016 11:00:36 AM,04/08/2016 12:00:00 AM,Bristol Water,Signing Only,364303.52,167786.73,51.407973192398771,-2.514606336011998,"(51.40797319239877, -2.514606336011998)",24,48,170,1,1
30015285,Repair Service,6,Completed,29/07/2016 12:00:00 AM,02/08/2016 12:00:00 AM,WESSEX WATER (Bath Operations),Signing Only,373776.72,164368.57,51.377758174984656,-2.378157800129371,"(51.377758174984656, -2.378157800129371)",31,63,347,14,1
30009926,REPLACE 1051M OF 6IN CI WITH 1051M OF 125MM PE AND REPLACE OR TRANSFER APPROX 18 SERVICES.,Outside of greenbank,Completed,01/07/2016 12:00:00 AM,26/08/2016 12:00:00 AM,WGA - BRISTOL & BATH,Two-Way Signals,376143,168078,51.411216238482538,-2.344410862437946,"(51.41121623848254, -2.3444108624379463)",1,25,51,10,1
30009937,"REPLACE 604M OF 8IN, 6IN, 4IN CI WITH 604M OF 75MM, 180MM, 125MM PE AND REPLACE OR TRANSFER APPROX 35 SERVICES",Junction of English combe lane,Completed,25/07/2016 12:00:00 AM,26/08/2016 12:00:00 AM,WGA - BRISTOL & BATH,Two-Way Signals,372701,163064,51.365977270501091,-2.393512482539004,"(51.36597727050109, -2.393512482539004)",27,84,448,15,1
202691,Installation of ATC LOOPS evening work AFTER 1900 hours.,South of Wessex Water office at access to 2 public right of ways,Completed,27/07/2016 12:00:00 AM,27/07/2016 12:00:00 AM,Bath and North East Somerset Council,Two-Way Signals,377934.1,162785.3,51.363699833511021,-2.318327776600135,"(51.36369983351102, -2.3183277766001353)",19,37,105,18,1
30015342,Repair Service,The Tynings,Completed,01/11/2016 12:00:00 AM,03/11/2016 12:00:00 AM,WESSEX WATER (Bath Operations),Road Closure,378145,169244,51.421781384825081,-2.315698358314425,"(51.42178138482508, -2.3156983583144246)",1,25,34,10,1
30006760,REPLACE 127M OF 6IN CI WITH 127M OF 125MM PE AND REPLACE OR TRANSFER APPROX 18 SERVICES,Outside of 1 long hay close,Completed,01/08/2016 12:00:00 AM,09/09/2016 12:00:00 AM,WGA - BRISTOL & BATH,Give and Take,372895,164292,51.377028105919969,-2.390819975068608,"(51.37702810591997, -2.390819975068608)",28,89,464,11,1
30015253,NEW GAS SERVICE 1M PUBLIC 9M PRIVATE,O/S 19,Completed,15/08/2016 12:00:00 AM,18/08/2016 12:00:00 AM,BRISTOL CENTRAL,Give and Take,361050,167724,51.407194374459607,-2.561373817185799,"(51.40719437445961, -2.561373817185799)",7,75,402,20,1
30014246,Safe Access to Underground BT footway and carriageway boxes for fibre cabling and jointing works in existing duct. Required for new customer connection,A36 FROM J A366 TO J B3108 JCN OF IFORD LANE BATH AND NORTH EAST SOMERSET BA2 7TQ,Completed,11/08/2016 12:00:00 AM,11/08/2016 12:00:00 AM,BT,Road Closure,378465.5,158397.5,51.324267117645078,-2.310428329992347,"(51.32426711764508, -2.310428329992347)",10,113,54,10,1
30009956,REPLACE 96M OF 4IN SI WITH 96M OF 75MM PE AND REPLACE OR TRANSFER APPROX 10 SERVICES,JUNC WANSBECK ROAD/WINDRUSH ROAD - JUNC WANSBECK/TORRIDGE ROAD,Completed,01/04/2016 12:00:00 AM,31/03/2017 12:00:00 AM,WGA - BRISTOL & BATH,Give and Take,366209,167674,51.407076740657111,-2.487201071262341,"(51.40707674065711, -2.4872010712623407)",16,46,143,3,1
30015280,leak,",3 RED POST COURT",Completed,26/07/2016 10:28:49 AM,01/08/2016 12:00:00 AM,Bristol Water,Signing Only,369853.52,157108.73,51.312286144452408,-2.433906582441165,"(51.31228614445241, -2.433906582441165)",15,73,378,22,1
30014558,NEW GAS CONNECTION SERVICE 2M PUBLIC 23M PRIVATE,O/S FARMBOROUGH VC PRIMARY SCHOOL,Completed,08/08/2016 12:00:00 AM,12/08/2016 12:00:00 AM,BATH,Give and Take,365817,160594,51.343394596193377,-2.492153194597492,"(51.34339459619338, -2.4921531945974915)",8,40,128,16,1
30015130,REPLACING OVERHEAD CONDUCTORS,O/S HOMESTEAD,Completed,20/07/2016 12:00:00 AM,22/07/2016 12:00:00 AM,Melksham Depot,Stop/Go Boards,377128,158356,51.323841481865621,-2.329619845991874,"(51.32384148186562, -2.329619845991874)",10,113,54,10,1
30012476,REPLACE 2M OF 8IN CI WITH 2M OF 180MM PE AND REPLACE OR TRANSFER ANY AFFECTED SERVICES.,O/S THREE GABLES - O/S THREE GABLES,Completed,25/07/2016 12:00:00 AM,12/08/2016 12:00:00 AM,WGA - BRISTOL & BATH,Road Closure,374608,163336,51.368511807671631,-2.366140306557641,"(51.36851180767163, -2.366140306557641)",18,5,256,17,1
30014959,Tree trimming - No excavation,Outside Stegar,Completed,27/07/2016 12:00:00 AM,27/07/2016 12:00:00 AM,1167 SHEP/WELL M&R,Multi-Way Signals,368128,154734,51.290839415938379,-2.458449464047094,"(51.29083941593838, -2.4584494640470944)",26,99,521,26,1
