GLUID,Retailer,Fascia,StoreName,Add1,Add2,Town,Locality,Postcode,LongWGS84,LatWGS84,EastingBNG,NorthingBN,PQIflag,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
1010001332,Marks And Spencer,Marks And Spencer,Bath,16-18 Stall Street,,Bath,Central Bath,BA11QB,-2.35918,51.379899999999999,375100.299999999988358,164600.690000000002328,1,"(51.3799, -2.35918)",35,20,12,7,1
1010002158,Morrisons,Morrisons,Morrisons Bath,York Place,London Road,Bath,Lansdown,BA16AE,-2.35036,51.391500000000001,375720.479999999981374,165887.510000000009313,1,"(51.3915, -2.35036)",36,96,492,6,1
1010002645,Morrisons,Morrisons Local,Bath Twerton M Local,105 High Street,,Bath,Odd Down,BA21DB,-2.39523,51.379800000000003,372591.489999999990687,164606.670000000012806,1,"(51.3798, -2.39523)",28,92,482,11,1
1010002790,Sainsburys,Sainsburys,Bath,Green Park Station,Green Park Road,Bath,Central Bath,BA12DR,-2.36863,51.381100000000004,374443.5,164738.410000000003492,1,"(51.3811, -2.36863)",34,55,195,9,1
1010002794,Sainsburys,Sainsburys,Bath Odd Down,Frome Road,,Bath,Odd Down,BA25RF,-2.37183,51.3566,374207,162016,1,"(51.3566, -2.37183)",18,4,262,17,1
1010002795,Sainsburys,Sainsburys,Midsomer Norton,The Hollies,High Street,Midsomer Norton,Thicket Mead,BA32DT,-2.48225,51.286499999999997,366467,154268,1,"(51.2865, -2.48225)",11,11,291,25,1
1010003364,Sainsburys,Sainsburys Local,Bath Southgate Local,2-4 Dorchester Street,Southgate,Bath,Central Bath,BA11SS,-2.35884,51.378100000000003,375123.159999999974389,164405.529999999998836,1,"(51.3781, -2.35884)",35,21,13,7,1
1010003365,Sainsburys,Sainsburys Local,Bath Local,43 Monmouth Street,,Bath,Central Bath,BA12AN,-2.36272,51.381500000000003,374854.989999999990687,164784.970000000001164,1,"(51.3815, -2.36272)",34,55,194,9,1
1010003366,Sainsburys,Sainsburys Local,Bath Oldfield Park Local,54-56 Moorland Road,,Bath,Odd Down,BA23PJ,-2.37858,51.3767,373748.489999999990687,164256.739999999990687,1,"(51.3767, -2.37858)",31,63,347,14,1
1010004045,Tesco,Tesco,Keynsham Superstore,Bristol Road,,Keynsham,,BS312BA,-2.50149,51.416400000000003,365224.14000000001397,168720.239999999990687,1,"(51.4164, -2.50149)",24,50,162,1,1
1010004047,Tesco,Tesco,Midsomer Norton Superstore,Old Mills,Paulton,Midsomer Norton,Thicket Mead,BS397SW,-2.49892,51.292499999999997,365309,154946,1,"(51.2925, -2.49892)",13,67,373,23,1
1010004517,Tesco,Tesco Express,Windsor Bridge Express,Courthouse Garage,Upper Bristol Road,Bath,Newbridge,BA13DE,-2.38167,51.384900000000002,373537.85999999998603,165167.200000000011642,1,"(51.3849, -2.38167)",34,54,206,9,1
1010004519,Tesco,Tesco Express,Bath Westgate Building Express,4-5 Westgate Building,,Bath,Central Bath,BA11EB,-2.36269,51.381,374856.619999999995343,164727.60999999998603,1,"(51.381, -2.36269)",35,20,14,7,1
