title,description,updated
INSPIRE General Development Sites Local Plan 2007 Policy GDS1,2016-10-21,General Development Sites Local Plan 2007 Policy GDS1
BANES Tables and Chairs Licences,2019-11-23,"To place tables, chairs or other temporary furniture on the pavement (where the pavement concerned is part of the public highway) you require permission from your local authority.  Unless a shorter period is specifically stated, all permits will be granted for one year from 1 April to 31 March."
POLLING STATIONS 2015,2015-03-28,Polling Stations for 2015 local and general elections
Britain From Above: Bath & North East Somerset,2014-11-06,"The Britain From Above website provides access to the unique Aerofilms collection of aerial photographs from 1919-1953. This dataset provides metadata about the images in the collection that cover the B&NES area. The metadata is provided to support discovery and use of the images. However the images themselves are under a limited licence that covers personal and education use. A link to the terms for each image is provided in the dataset. However, certain images may be freely distributed if they are used for personal, educational use at no charge. Direct links to these images have been provided. Please confirm that your use of the images complies with the original terms."
"""Live"" List of Bicycle Shops in BANES",2019-11-24,"A list of bicycle shops in BANES, pulled using the Google Places API."
Bath Bar & Pub closing times,2014-10-19,"The locations and closing times of a selection of bars & pubs in Bath, as provided by NightCapp."
homepage_wallpaper,2016-10-21,Template Dataset: homepage_wallpaper
Historical Air Quality Sensor Data,2015-04-20,Historical readings from B&NES air quality sensors.
INSPIRE CIL Residential Charging Zones,2016-10-21,Community Infrastructure Levy (CIL) Charging Zones maps for new development in Bath and North East Somerset. These identify the locations and boundaries to which the residential and non-residential CIL charges apply.
weather,2014-10-19,A wide arrangement of weather statistics from wunderground
Bath & North East Somerset Geographic Data,2017-05-17,"This repository is designed to make it easier to share, create and work with data which has a geographic basis.

We have collected together subsets of many national datasets & joined them together with geographic data, where necessary.

** See repository for attribution and licencing details **

Contains geographic data from the following organisations :-

Bath & North East Somerset Council
- BANES INSPIRE
Department for Communities & Local Government
- Green Belt boundaries for England 2013-2014
Department of Energy & Climate Change
- Domestic Electricity Consumption
- Domestic Gas Consumption
Department for the Environment, Food & Rural Affairs
- Strategic noise mapping 2012
- Risk of Flooding from Rivers & Sea
- Historic England
- Listed Buildings
- National Trust
- Bath Skyline Walk Route
- Natural England
Ofcom
- Broadband Survey June 2013
Office for Low Emission Vehicles
- National Charge Point Registry
Office for National Statistics
- Administrative Boundaries
- Census 2011
- Output Area Classifications 2011
-Indices of Mass Deprivation 2015
Ordnance Survey
- Open Map Local
- Code-Point Open
- Terrain 50
Police 
- Street Level Crimes"
Brownfield Register Pilot - June 2017,2017-07-28,"Pilot open data release of brownfield development site locations. 

http://www.bathnes.gov.uk/services/planning-and-building-control/planning-policy/brownfield-register"
